<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLBR-U.US,D,20210610,000000,9.94,9.94,9.9,9.9,642491,0
CLBR-U.US,D,20210611,000000,9.89,9.92,9.85,9.91,14226,0
CLBR-U.US,D,20210614,000000,9.95,9.95,9.91,9.91,27517,0
CLBR-U.US,D,20210615,000000,9.92,9.92,9.92,9.92,53700,0
CLBR-U.US,D,20210616,000000,9.94,9.94,9.91,9.92,11209,0
CLBR-U.US,D,20210617,000000,9.92,9.93,9.92,9.92,9901,0
CLBR-U.US,D,20210618,000000,9.94,9.94,9.89,9.92,7300,0
CLBR-U.US,D,20210621,000000,9.9,9.92,9.6,9.92,307069,0
CLBR-U.US,D,20210622,000000,9.9016,9.915,9.89,9.91,299363,0
CLBR-U.US,D,20210623,000000,9.91,9.91,9.9,9.9,34260,0
CLBR-U.US,D,20210624,000000,9.9,9.91,9.89,9.9,517270,0
CLBR-U.US,D,20210625,000000,9.9,9.9,9.82,9.89,274322,0
CLBR-U.US,D,20210628,000000,9.89,9.89,9.885,9.885,4367,0
CLBR-U.US,D,20210629,000000,9.88,9.94,9.85,9.94,2562740,0
CLBR-U.US,D,20210630,000000,9.94,9.94,9.9001,9.92,3097,0
CLBR-U.US,D,20210701,000000,9.91,9.92,9.9,9.9,27896,0
CLBR-U.US,D,20210702,000000,9.9,9.9,9.8806,9.9,809588,0
CLBR-U.US,D,20210706,000000,9.93,9.93,9.895,9.895,12121,0
CLBR-U.US,D,20210707,000000,9.9,9.9061,9.89,9.9,122758,0
CLBR-U.US,D,20210708,000000,9.9,9.9,9.9,9.9,2175,0
CLBR-U.US,D,20210709,000000,9.91,9.91,9.89,9.895,9734,0
