<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG.US,D,20050225,000000,4.1969,4.3424,4.1969,4.3105,2635598,0
COG.US,D,20050228,000000,4.3661,4.5331,4.2154,4.3264,3915217,0
COG.US,D,20050301,000000,4.3264,4.3661,4.2314,4.2968,4110592,0
COG.US,D,20050302,000000,4.3012,4.3661,4.2543,4.308,5519606,0
COG.US,D,20050303,000000,4.3473,4.3848,4.3012,4.3522,6132896,0
COG.US,D,20050304,000000,4.3613,4.4171,4.2894,4.4104,4568618,0
COG.US,D,20050307,000000,4.4104,4.4104,4.3285,4.3591,4573794,0
COG.US,D,20050308,000000,4.3708,4.4517,4.3685,4.3824,2913772,0
COG.US,D,20050309,000000,4.3893,4.4748,4.3105,4.3153,5095218,0
COG.US,D,20050310,000000,4.3153,4.3153,4.0273,4.0947,6905339,0
COG.US,D,20050311,000000,4.0923,4.176,4.0879,4.1479,4921842,0
COG.US,D,20050314,000000,4.1479,4.1808,4.0157,4.0972,4509095,0
COG.US,D,20050315,000000,4.0947,4.1269,4.018,4.0228,4177878,0
COG.US,D,20050316,000000,4.0273,4.1365,3.9831,4.0599,4885612,0
COG.US,D,20050317,000000,4.1039,4.1596,4.0879,4.1551,4184339,0
COG.US,D,20050318,000000,4.1856,4.2499,4.1411,4.2268,4470277,0
COG.US,D,20050321,000000,4.2268,4.2338,4.1388,4.2017,2709336,0
COG.US,D,20050322,000000,4.2131,4.3105,4.2108,4.2154,5720154,0
COG.US,D,20050323,000000,4.1923,4.1923,3.988,4.0204,4881735,0
COG.US,D,20050324,000000,4.0762,4.1502,4.0113,4.0694,3784546,0
COG.US,D,20050328,000000,4.0879,4.1923,4.0879,4.1573,4951600,0
COG.US,D,20050329,000000,4.1666,4.2293,4.0786,4.0972,4393944,0
COG.US,D,20050330,000000,4.0972,4.1341,4.0113,4.1108,3787126,0
COG.US,D,20050331,000000,4.1502,4.2894,4.1388,4.2615,3602100,0
COG.US,D,20050401,000000,4.4057,4.4238,4.2919,4.3569,5921562,0
COG.US,D,20050404,000000,4.433,4.4934,4.278,4.3799,5925014,0
COG.US,D,20050405,000000,4.4057,4.4374,4.3405,4.3473,5491139,0
COG.US,D,20050406,000000,4.3473,4.4447,4.3239,4.4214,4901137,0
COG.US,D,20050407,000000,4.4586,4.4844,4.3057,4.3569,3277780,0
COG.US,D,20050408,000000,4.3473,4.3522,4.2084,4.2177,3146664,0
COG.US,D,20050411,000000,4.2177,4.2567,4.1153,4.206,4338738,0
COG.US,D,20050412,000000,4.1619,4.169,3.9902,4.0463,6747906,0
COG.US,D,20050413,000000,4.0297,4.0321,3.821,3.8373,6424441,0
COG.US,D,20050414,000000,3.8676,3.9694,3.8488,3.8676,6477067,0
COG.US,D,20050415,000000,3.8676,3.8676,3.6821,3.7352,3355415,0
