<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DE.US,D,19820104,000000,2.6577,2.674,2.6418,2.6661,110749,0
DE.US,D,19820105,000000,2.6261,2.6661,2.5939,2.6099,423954,0
DE.US,D,19820106,000000,2.578,2.6099,2.554,2.554,272616,0
DE.US,D,19820107,000000,2.5623,2.578,2.5464,2.5623,140067,0
DE.US,D,19820108,000000,2.6021,2.6261,2.5623,2.5939,169130,0
DE.US,D,19820111,000000,2.554,2.578,2.5305,2.5381,168627,0
DE.US,D,19820112,000000,2.5464,2.5623,2.5305,2.554,141817,0
DE.US,D,19820113,000000,2.5464,2.578,2.5145,2.5145,224506,0
DE.US,D,19820114,000000,2.5145,2.5381,2.4985,2.5381,78675,0
DE.US,D,19820115,000000,2.554,2.5623,2.5381,2.5381,56375,0
DE.US,D,19820118,000000,2.5381,2.554,2.5145,2.5145,142573,0
DE.US,D,19820119,000000,2.5464,2.578,2.5145,2.5305,275370,0
DE.US,D,19820120,000000,2.5145,2.5305,2.5145,2.5145,225262,0
DE.US,D,19820121,000000,2.5305,2.554,2.4904,2.5381,252820,0
DE.US,D,19820122,000000,2.5305,2.554,2.4904,2.5145,143571,0
DE.US,D,19820125,000000,2.4825,2.4985,2.4584,2.4744,296919,0
DE.US,D,19820126,000000,2.4904,2.4985,2.4744,2.4904,83687,0
DE.US,D,19820127,000000,2.4985,2.5145,2.4744,2.5145,129291,0
DE.US,D,19820128,000000,2.554,2.5939,2.5145,2.5939,156854,0
DE.US,D,19820129,000000,2.6661,2.7297,2.5939,2.6021,598849,0
DE.US,D,19820201,000000,2.554,2.6021,2.5145,2.5145,493615,0
DE.US,D,19820202,000000,2.5145,2.5381,2.4904,2.5145,171383,0
DE.US,D,19820203,000000,2.4904,2.5145,2.4584,2.4584,150341,0
DE.US,D,19820204,000000,2.4985,2.5381,2.4584,2.5381,397394,0
DE.US,D,19820205,000000,2.554,2.578,2.5305,2.5305,156604,0
DE.US,D,19820208,000000,2.4584,2.5145,2.4106,2.4106,540970,0
DE.US,D,19820209,000000,2.4266,2.4584,2.3945,2.4426,272363,0
DE.US,D,19820210,000000,2.4744,2.5145,2.4346,2.4904,279626,0
DE.US,D,19820211,000000,2.4985,2.5145,2.4825,2.4825,164123,0
DE.US,D,19820212,000000,2.4985,2.5145,2.4825,2.5145,60890,0
DE.US,D,19820216,000000,2.4825,2.4985,2.4584,2.4825,91455,0
DE.US,D,19820217,000000,2.4584,2.5145,2.3945,2.3945,394141,0
DE.US,D,19820218,000000,2.4106,2.4266,2.3945,2.3945,691809,0
DE.US,D,19820219,000000,2.3706,2.3945,2.3469,2.3624,269861,0
