<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFS.US,D,20070614,000000,23.151,25.217,23.151,23.773,3965969,0
DFS.US,D,20070615,000000,24.39,24.639,23.878,24.043,955603,0
DFS.US,D,20070618,000000,24.242,24.971,24.225,24.746,1924260,0
DFS.US,D,20070619,000000,24.806,25.049,24.476,24.555,1917126,0
DFS.US,D,20070620,000000,24.838,24.885,24.448,24.648,1035182,0
DFS.US,D,20070621,000000,24.854,26.415,24.483,25.806,1019221,0
DFS.US,D,20070622,000000,26.043,26.598,25.631,26.208,1802955,0
DFS.US,D,20070625,000000,26.043,26.456,25.64,25.877,592639,0
DFS.US,D,20070626,000000,25.877,26.17,25.013,25.146,1032766,0
DFS.US,D,20070627,000000,25.299,25.466,24.448,24.458,1363435,0
DFS.US,D,20070628,000000,24.705,24.722,24.112,24.39,591309,0
DFS.US,D,20070629,000000,24.797,25.049,23.095,23.566,3731454,0
DFS.US,D,20070702,000000,23.606,24.104,22.488,22.739,13302948,0
DFS.US,D,20070703,000000,22.739,22.739,21.62,22.053,10401558,0
DFS.US,D,20070705,000000,21.706,22.255,21.283,21.436,10186147,0
DFS.US,D,20070706,000000,21.199,21.379,20.844,21.199,8722571,0
DFS.US,D,20070709,000000,21.265,21.941,21.034,21.118,14120736,0
DFS.US,D,20070710,000000,21.167,21.207,20.504,20.587,10391511,0
DFS.US,D,20070711,000000,20.687,20.894,20.465,20.844,12398872,0
DFS.US,D,20070712,000000,21.16,21.984,20.844,21.775,12454190,0
DFS.US,D,20070713,000000,21.886,22.679,21.516,22.455,8166939,0
DFS.US,D,20070716,000000,22.497,22.696,22.046,22.194,11964188,0
DFS.US,D,20070717,000000,22.291,22.314,21.754,21.911,6573258,0
DFS.US,D,20070718,000000,21.871,21.911,21.248,21.793,5557236,0
DFS.US,D,20070719,000000,21.706,22.282,21.706,22.086,5888731,0
DFS.US,D,20070720,000000,22.086,22.423,21.706,21.744,6956263,0
DFS.US,D,20070723,000000,21.744,21.92,21.579,21.594,5699474,0
DFS.US,D,20070724,000000,21.118,21.167,20.613,20.67,6632488,0
DFS.US,D,20070725,000000,20.472,20.538,19.637,19.924,10149261,0
DFS.US,D,20070726,000000,19.233,20.57,18.806,20.357,11925233,0
DFS.US,D,20070727,000000,20.059,20.421,19.291,19.291,8076833,0
DFS.US,D,20070730,000000,19.346,19.787,18.495,19.486,6118101,0
DFS.US,D,20070731,000000,19.554,19.924,18.877,19.058,4998734,0
DFS.US,D,20070801,000000,18.755,19.075,18.232,18.918,6753475,0
DFS.US,D,20070802,000000,18.603,19.886,18.588,19.323,3668197,0
DFS.US,D,20070803,000000,18.738,19.11,17.8,18.182,6357092,0
DFS.US,D,20070806,000000,18.388,19.458,17.57,18.315,7269756,0
DFS.US,D,20070807,000000,18.232,19.458,17.956,18.918,4698937,0
DFS.US,D,20070808,000000,19.432,20.315,19.014,20.082,6827692,0
DFS.US,D,20070809,000000,19.346,19.811,18.24,18.322,5509267,0
