<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGNR-U.US,D,20200817,000000,10.75,10.99,10.7,10.75,675135,0
DGNR-U.US,D,20200818,000000,10.94,11.3,10.735,10.7605,469831,0
DGNR-U.US,D,20200819,000000,10.99,11.1,10.75,11.02,312661,0
DGNR-U.US,D,20200820,000000,11.62,11.62,10.9,11,229917,0
DGNR-U.US,D,20200821,000000,11,11.25,10.99,11,105758,0
DGNR-U.US,D,20200824,000000,11.1,11.25,10.97,11.08,284219,0
DGNR-U.US,D,20200825,000000,11.128,11.3,11.128,11.275,391146,0
DGNR-U.US,D,20200826,000000,11.29,11.67,11.1146,11.36,742972,0
DGNR-U.US,D,20200827,000000,11.5,12.07,11.4,12.07,40864,0
DGNR-U.US,D,20200828,000000,12,12.4,11.8,12.2,181287,0
DGNR-U.US,D,20200831,000000,12.45,12.45,11.83,12.06,90342,0
DGNR-U.US,D,20200901,000000,11.95,12.05,11.95,11.99,67068,0
DGNR-U.US,D,20200902,000000,12.11,12.11,11.95,12,61251,0
DGNR-U.US,D,20200903,000000,12.01,12.8179,11.8706,11.88,47754,0
DGNR-U.US,D,20200904,000000,10.77,12.96,10.77,12.12,52250,0
DGNR-U.US,D,20200908,000000,12.05,12.07,11.875,12,20552,0
DGNR-U.US,D,20200909,000000,12.02,12.25,11.98,12,227489,0
DGNR-U.US,D,20200910,000000,12.46,12.46,11.76,11.97,303879,0
DGNR-U.US,D,20200911,000000,11.98,12.25,11.81,11.89,101765,0
DGNR-U.US,D,20200914,000000,12.35,12.35,12.01,12.15,258247,0
DGNR-U.US,D,20200915,000000,12.25,13.1249,12.0159,12.475,574456,0
DGNR-U.US,D,20200916,000000,12.75,12.75,12.3,12.47,170255,0
DGNR-U.US,D,20200917,000000,12.5,12.5,12.2,12.4,127931,0
DGNR-U.US,D,20200918,000000,12.4,12.53,12.2,12.41,99395,0
DGNR-U.US,D,20200921,000000,12.4,12.74,12.2,12.73,161096,0
DGNR-U.US,D,20200922,000000,12.61,12.75,12.22,12.48,70711,0
DGNR-U.US,D,20200923,000000,12.33,12.5,12.0457,12.39,53396,0
DGNR-U.US,D,20200924,000000,12.54,12.54,11.67,12.08,95091,0
DGNR-U.US,D,20200925,000000,12,12.2918,11.99,12,120910,0
DGNR-U.US,D,20200928,000000,12.01,12.37,12.01,12.2,33640,0
DGNR-U.US,D,20200929,000000,12.3,12.3,11.95,12.18,73178,0
DGNR-U.US,D,20200930,000000,12.25,12.94,12,12.25,404502,0
DGNR-U.US,D,20201001,000000,12.28,13,12.235,12.3,237944,0
DGNR-U.US,D,20201002,000000,12.38,12.5,11.76,12.27,76913,0
DGNR-U.US,D,20201005,000000,12.5,12.5,12.1062,12.3,98413,0
DGNR-U.US,D,20201006,000000,12.5,12.5,12,12.3,72797,0
DGNR-U.US,D,20201007,000000,12.32,12.32,11.5,12.055,81841,0
DGNR-U.US,D,20201008,000000,12,12,11.875,12,31497,0
DGNR-U.US,D,20201009,000000,12.09,12.09,11.9,12.07,32354,0
DGNR-U.US,D,20201012,000000,12.01,12.2,12,12.2,56162,0
DGNR-U.US,D,20201013,000000,12.19,12.39,12.02,12.33,48638,0
DGNR-U.US,D,20201014,000000,12.04,12.4,12.04,12.24,24853,0
DGNR-U.US,D,20201015,000000,12.11,12.2,11.715,12,145617,0
DGNR-U.US,D,20201016,000000,11.96,12.15,11.81,12,58027,0
DGNR-U.US,D,20201019,000000,12.01,12.05,11.9,11.9,65865,0
DGNR-U.US,D,20201020,000000,12.35,12.35,11.76,11.76,46328,0
DGNR-U.US,D,20201021,000000,11.92,12.065,11.5,11.5,33549,0
DGNR-U.US,D,20201022,000000,11.86,12,11.79,12,56035,0
DGNR-U.US,D,20201023,000000,12,12,11.85,11.9141,10972,0
DGNR-U.US,D,20201026,000000,11.91,11.91,11.68,11.68,19531,0
DGNR-U.US,D,20201027,000000,11.6,11.8,11.6,11.7,75839,0
DGNR-U.US,D,20201028,000000,11.72,11.82,11.45,11.7,189777,0
DGNR-U.US,D,20201029,000000,11.56,11.75,11.48,11.65,36600,0
DGNR-U.US,D,20201030,000000,11.64,11.847,11.55,11.7,163091,0
DGNR-U.US,D,20201102,000000,11.74,11.78,11.64,11.74,71556,0
DGNR-U.US,D,20201103,000000,11.59,11.86,11.5,11.65,66535,0
DGNR-U.US,D,20201104,000000,11.57,11.96,11.57,11.91,49757,0
DGNR-U.US,D,20201105,000000,11.92,12.1,11.87,12.1,19175,0
DGNR-U.US,D,20201106,000000,11.97,12.19,11.97,12,19658,0
DGNR-U.US,D,20201109,000000,12.31,12.31,11.95,12.05,7138,0
DGNR-U.US,D,20201110,000000,11.97,12.085,11.91,12.08,16356,0
DGNR-U.US,D,20201111,000000,11.89,12.3,11.89,12.2,9817,0
DGNR-U.US,D,20201112,000000,12.05,12.15,12.05,12.125,1867,0
DGNR-U.US,D,20201113,000000,12.24,12.24,11.74,11.98,30405,0
DGNR-U.US,D,20201116,000000,11.9,12.1,11.9,11.97,21554,0
DGNR-U.US,D,20201117,000000,11.95,12.04,11.7,11.7,19146,0
DGNR-U.US,D,20201118,000000,11.7,12,11.7,11.97,12182,0
DGNR-U.US,D,20201119,000000,11.71,12.2,11.71,12.19,81224,0
DGNR-U.US,D,20201120,000000,12.09,12.09,11.92,12.01,10429,0
DGNR-U.US,D,20201123,000000,12.056,12.1379,12.056,12.08,2811,0
DGNR-U.US,D,20201124,000000,12.04,12.25,11.97,12.14,43384,0
DGNR-U.US,D,20201125,000000,12.24,12.9,12.23,12.9,39789,0
DGNR-U.US,D,20201127,000000,13,13.16,12.32,12.75,38430,0
DGNR-U.US,D,20201130,000000,13.33,14.02,12.79,13.44,49332,0
DGNR-U.US,D,20201201,000000,13.33,13.78,13.29,13.74,15412,0
DGNR-U.US,D,20201202,000000,13.42,13.67,12.78,12.7901,13805,0
DGNR-U.US,D,20201203,000000,12.95,13.35,12.88,13.35,35052,0
DGNR-U.US,D,20201204,000000,13.19,13.7943,13.1,13.5,37993,0
DGNR-U.US,D,20201207,000000,13.5,14.26,13.5,14.1,43426,0
DGNR-U.US,D,20201208,000000,14,14.3,14,14,5114,0
DGNR-U.US,D,20201209,000000,14.09,14.495,14.01,14.3,14695,0
DGNR-U.US,D,20201210,000000,14.31,14.73,14,14.3,4713,0
DGNR-U.US,D,20201211,000000,14.48,14.95,13.856,13.88,23951,0
DGNR-U.US,D,20201214,000000,13.8,14.7739,13.8,14.09,7526,0
DGNR-U.US,D,20201215,000000,14.94,14.94,13.87,14,20670,0
DGNR-U.US,D,20201216,000000,14.9,14.9,13.9,14.1885,5514,0
DGNR-U.US,D,20201217,000000,14.5,14.7124,14.345,14.58,6377,0
DGNR-U.US,D,20201218,000000,15.0301,15.45,14.78,14.78,30859,0
DGNR-U.US,D,20201221,000000,14.76,15.25,14.52,15,94443,0
DGNR-U.US,D,20201222,000000,15.1311,15.475,15.01,15.175,9602,0
DGNR-U.US,D,20201223,000000,15,15,14.0002,14.3,23302,0
DGNR-U.US,D,20201224,000000,14.38,14.84,14.34,14.35,28637,0
DGNR-U.US,D,20201228,000000,14.35,15.33,14.35,14.65,81450,0
DGNR-U.US,D,20201229,000000,14.75,14.785,14.2,14.3,48081,0
DGNR-U.US,D,20201230,000000,14,14.52,14,14,6089,0
DGNR-U.US,D,20201231,000000,14.49,14.49,13.57,13.99,121225,0
DGNR-U.US,D,20210104,000000,13.95,14.07,13.76,14,47527,0
DGNR-U.US,D,20210105,000000,14.3,14.36,14.04,14.31,10446,0
DGNR-U.US,D,20210106,000000,14.25,14.5,14.1001,14.25,8166,0
DGNR-U.US,D,20210107,000000,14.55,14.8142,14.28,14.6329,25700,0
DGNR-U.US,D,20210108,000000,15.05,15.05,14.48,14.49,11236,0
DGNR-U.US,D,20210111,000000,14.7,14.7,14.5,14.5,703,0
DGNR-U.US,D,20210112,000000,15.3991,15.3991,14.7,14.985,26320,0
DGNR-U.US,D,20210113,000000,15.3,15.4799,15,15.05,57566,0
