<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGX.US,D,19961226,000000,3.2406,3.2657,3.1577,3.1577,20751,0
DGX.US,D,19961227,000000,3.1577,3.1577,3.1577,3.1577,722,0
DGX.US,D,19961230,000000,3.1907,3.1907,3.1413,3.1413,26785,0
DGX.US,D,19961231,000000,3.1083,3.1413,3.1083,3.1413,14722,0
DGX.US,D,19970102,000000,3.1083,3.1083,3.0334,3.0334,438448,0
DGX.US,D,19970103,000000,3.0334,3.1413,3.0334,3.1083,959655,0
DGX.US,D,19970106,000000,3.1413,3.1577,3.1083,3.1413,1506202,0
DGX.US,D,19970107,000000,3.1577,3.3155,3.1413,3.3155,387290,0
DGX.US,D,19970108,000000,3.3653,3.4731,3.34,3.34,208245,0
DGX.US,D,19970109,000000,3.34,3.3901,3.34,3.3653,283528,0
DGX.US,D,19970110,000000,3.3901,3.4147,3.3653,3.3901,494667,0
DGX.US,D,19970113,000000,3.3901,3.3901,3.3155,3.3653,2036341,0
DGX.US,D,19970114,000000,3.4975,3.6801,3.4731,3.6801,1223396,0
DGX.US,D,19970115,000000,3.5721,3.5972,3.3901,3.3901,1600551,0
DGX.US,D,19970116,000000,3.3155,3.3653,3.2904,3.3155,1767048,0
DGX.US,D,19970117,000000,3.3155,3.3653,3.2904,3.34,799671,0
DGX.US,D,19970120,000000,3.3155,3.34,3.2904,3.2904,1431639,0
DGX.US,D,19970121,000000,3.3155,3.34,3.3155,3.3155,1425130,0
DGX.US,D,19970122,000000,3.34,3.34,3.3155,3.3155,1700451,0
DGX.US,D,19970123,000000,3.3653,3.4482,3.3653,3.3901,645000,0
DGX.US,D,19970124,000000,3.3901,3.5475,3.34,3.34,762029,0
DGX.US,D,19970127,000000,3.34,3.3901,3.34,3.34,1006223,0
DGX.US,D,19970128,000000,3.34,3.4731,3.3155,3.3155,608562,0
DGX.US,D,19970129,000000,3.3155,3.3901,3.2904,3.3155,922981,0
DGX.US,D,19970130,000000,3.3155,3.3653,3.2904,3.3155,1337776,0
DGX.US,D,19970131,000000,3.2657,3.3155,3.2406,3.2657,936250,0
DGX.US,D,19970203,000000,3.2657,3.3653,3.2406,3.3653,1143285,0
DGX.US,D,19970204,000000,3.3653,3.4147,3.34,3.4147,1134114,0
DGX.US,D,19970205,000000,3.4147,3.4482,3.3901,3.4482,282803,0
DGX.US,D,19970206,000000,3.4147,3.4482,3.4147,3.4147,389459,0
DGX.US,D,19970207,000000,3.4147,3.4975,3.3901,3.4731,1541674,0
DGX.US,D,19970210,000000,3.4147,3.4482,3.3901,3.4147,577676,0
DGX.US,D,19970211,000000,3.3653,3.4482,3.3653,3.4147,469813,0
DGX.US,D,19970212,000000,3.3901,3.4147,3.3653,3.3901,241785,0
DGX.US,D,19970213,000000,3.3901,3.5475,3.3901,3.4975,728730,0
DGX.US,D,19970214,000000,3.4975,3.4975,3.3901,3.4147,734038,0
DGX.US,D,19970218,000000,3.3653,3.4482,3.3653,3.4147,1265383,0
DGX.US,D,19970219,000000,3.3901,3.4731,3.3901,3.4482,511560,0
DGX.US,D,19970220,000000,3.4147,3.6305,3.4147,3.4975,659477,0
DGX.US,D,19970221,000000,3.4975,3.5475,3.4731,3.5225,398633,0
DGX.US,D,19970224,000000,3.5225,3.6555,3.5225,3.6555,677816,0
DGX.US,D,19970225,000000,3.6555,3.7048,3.6305,3.6801,286184,0
DGX.US,D,19970226,000000,3.6305,3.6555,3.5721,3.5972,318997,0
DGX.US,D,19970227,000000,3.5721,3.6801,3.5225,3.5475,520728,0
DGX.US,D,19970228,000000,3.4482,3.5475,3.3653,3.4975,321895,0
DGX.US,D,19970303,000000,3.4482,3.5721,3.4482,3.4975,241299,0
DGX.US,D,19970304,000000,3.5225,3.5225,3.4731,3.4975,485980,0
DGX.US,D,19970305,000000,3.4731,3.4975,3.3901,3.4482,937695,0
DGX.US,D,19970306,000000,3.4482,3.4482,3.3901,3.4147,249506,0
DGX.US,D,19970307,000000,3.3901,3.4147,3.2904,3.3653,587084,0
DGX.US,D,19970310,000000,3.3653,3.4147,3.3653,3.3901,203657,0
DGX.US,D,19970311,000000,3.3901,3.4482,3.3901,3.3901,876643,0
DGX.US,D,19970312,000000,3.3901,3.4147,3.3901,3.4147,349405,0
DGX.US,D,19970313,000000,3.3653,3.3901,3.3653,3.3653,219825,0
DGX.US,D,19970314,000000,3.3653,3.4147,3.3653,3.3901,583707,0
DGX.US,D,19970317,000000,3.3901,3.3901,3.3155,3.3155,243232,0
DGX.US,D,19970318,000000,3.3653,3.3653,3.3155,3.34,191109,0
DGX.US,D,19970319,000000,3.34,3.3901,3.34,3.3901,1507649,0
DGX.US,D,19970320,000000,3.3901,3.3901,3.34,3.3653,130548,0
DGX.US,D,19970321,000000,3.34,3.3901,3.2904,3.3155,488153,0
DGX.US,D,19970324,000000,3.2904,3.3155,3.2406,3.2406,146711,0
DGX.US,D,19970325,000000,3.1907,3.2657,3.1413,3.1577,160222,0
DGX.US,D,19970326,000000,3.1083,3.1413,3.0334,3.1413,204385,0
DGX.US,D,19970327,000000,3.1083,3.1907,3.1083,3.1577,150088,0
DGX.US,D,19970331,000000,3.1413,3.1907,3.0835,3.0835,207279,0
DGX.US,D,19970401,000000,3.0835,3.1083,3.0584,3.0584,321895,0
DGX.US,D,19970402,000000,3.0584,3.0835,3.0334,3.0334,173010,0
DGX.US,D,19970403,000000,3.0584,3.0835,3.0334,3.0584,174218,0
DGX.US,D,19970404,000000,3.0584,3.0835,3.0584,3.0584,1338737,0
DGX.US,D,19970407,000000,3.0584,3.0584,3.0004,3.0334,97729,0
DGX.US,D,19970408,000000,3.0004,3.0835,2.9508,3.0835,174218,0
DGX.US,D,19970409,000000,3.0584,3.1413,3.0334,3.1413,242028,0
DGX.US,D,19970410,000000,3.1083,3.2657,3.1083,3.1907,103279,0
DGX.US,D,19970411,000000,3.1083,3.1413,3.0334,3.0334,330340,0
DGX.US,D,19970414,000000,3.0334,3.0584,2.9839,2.9839,245402,0
DGX.US,D,19970415,000000,2.9839,3.0334,2.9839,3.0334,179523,0
DGX.US,D,19970416,000000,3.0004,3.1083,3.0004,3.1083,152744,0
DGX.US,D,19970417,000000,3.2406,3.34,3.2406,3.2904,1219296,0
DGX.US,D,19970418,000000,3.2904,3.3155,3.2904,3.3155,240818,0
DGX.US,D,19970421,000000,3.3155,3.3653,3.2904,3.3155,346511,0
DGX.US,D,19970422,000000,3.3155,3.3155,3.3155,3.3155,150813,0
DGX.US,D,19970423,000000,3.3155,3.34,3.3155,3.3155,96040,0
DGX.US,D,19970424,000000,3.3155,3.34,3.3155,3.3155,326480,0
