<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOC.US,D,20130719,000000,7.6631,7.7767,7.6631,7.6631,2443435,0
DOC.US,D,20130722,000000,7.6977,7.8238,7.6833,7.7437,449327,0
DOC.US,D,20130723,000000,7.8182,7.8497,7.7628,7.8295,92841,0
DOC.US,D,20130724,000000,7.7961,7.863,7.7437,7.7628,43280,0
DOC.US,D,20130725,000000,7.8025,7.8025,7.7301,7.7569,27734,0
DOC.US,D,20130726,000000,7.7767,7.7824,7.6631,7.6631,180475,0
DOC.US,D,20130729,000000,7.7163,7.7301,7.6903,7.7163,108616,0
DOC.US,D,20130730,000000,7.7365,7.7365,7.6769,7.6833,44529,0
DOC.US,D,20130731,000000,7.6833,7.6977,7.6631,7.6631,146018,0
DOC.US,D,20130801,000000,7.6631,7.7628,7.6631,7.7301,70814,0
DOC.US,D,20130802,000000,7.7301,7.7301,7.6977,7.6977,84966,0
DOC.US,D,20130805,000000,7.7437,7.7504,7.6833,7.7504,100465,0
DOC.US,D,20130806,000000,7.6769,7.7365,7.4843,7.7301,52934,0
DOC.US,D,20130807,000000,7.6298,7.7504,7.6106,7.6298,88833,0
DOC.US,D,20130808,000000,7.7504,7.7628,7.709,7.7301,70786,0
DOC.US,D,20130809,000000,7.7569,7.7628,7.6833,7.7035,42703,0
DOC.US,D,20130812,000000,7.6977,7.7628,7.6631,7.7437,123780,0
DOC.US,D,20130813,000000,7.7504,7.8295,7.7504,7.7767,112660,0
DOC.US,D,20130814,000000,7.7437,7.8295,7.7365,7.8182,67058,0
DOC.US,D,20130815,000000,7.7365,7.8954,7.6235,7.8555,159106,0
DOC.US,D,20130816,000000,7.8099,7.8705,7.6162,7.657,192025,0
DOC.US,D,20130819,000000,7.6833,7.7035,7.5228,7.6363,73118,0
DOC.US,D,20130820,000000,7.6162,7.7694,7.6162,7.6631,34062,0
DOC.US,D,20130821,000000,7.709,7.7628,7.6631,7.7035,39585,0
DOC.US,D,20130822,000000,7.6833,7.7301,7.5627,7.6697,31982,0
DOC.US,D,20130823,000000,7.709,7.709,7.597,7.6434,19997,0
DOC.US,D,20130826,000000,7.657,7.6631,7.5565,7.5691,32628,0
DOC.US,D,20130827,000000,7.5906,7.6298,7.3305,7.6162,55329,0
DOC.US,D,20130828,000000,7.6298,7.6977,7.6298,7.6631,38072,0
DOC.US,D,20130829,000000,7.6977,7.6977,7.3959,7.4771,36670,0
DOC.US,D,20130830,000000,7.4967,7.5307,7.3629,7.5037,66719,0
DOC.US,D,20130903,000000,7.5378,7.7301,7.457,7.6697,53981,0
DOC.US,D,20130904,000000,7.7301,7.7889,7.6363,7.7569,28219,0
DOC.US,D,20130905,000000,7.722,7.7301,7.6631,7.6903,23586,0
DOC.US,D,20130906,000000,7.7889,7.7889,7.6235,7.657,14880,0
DOC.US,D,20130909,000000,7.6631,7.8025,7.657,7.7767,70499,0
DOC.US,D,20130910,000000,7.8099,7.8099,7.6697,7.7889,56495,0
DOC.US,D,20130911,000000,7.7961,7.7961,7.6833,7.7694,37663,0
DOC.US,D,20130912,000000,7.7628,7.7961,7.7035,7.7767,98117,0
DOC.US,D,20130913,000000,7.7889,7.8954,7.709,7.8954,71337,0
DOC.US,D,20130916,000000,7.8954,8.0377,7.7035,7.9565,157640,0
DOC.US,D,20130917,000000,7.9285,8.2579,7.9285,8.1421,126809,0
DOC.US,D,20130918,000000,8.1166,8.176,7.935,8.1421,111227,0
DOC.US,D,20130919,000000,8.2371,8.2371,8.0293,8.176,122191,0
DOC.US,D,20130920,000000,8.1908,8.4897,7.9425,7.9834,294316,0
DOC.US,D,20130923,000000,8.0293,8.1633,7.9285,8.0092,182998,0
DOC.US,D,20130924,000000,7.9707,8.0503,7.9285,7.9908,116199,0
DOC.US,D,20130925,000000,7.9959,8.1976,7.9641,8.0444,156522,0
DOC.US,D,20130926,000000,8.1098,8.2647,7.9908,8.0635,217455,0
DOC.US,D,20130927,000000,8.057,8.0635,7.9959,8.0444,84067,0
DOC.US,D,20130930,000000,8.0293,8.3832,7.863,8.076,1008613,0
DOC.US,D,20131001,000000,8.1166,8.4897,8.0818,8.2502,189510,0
DOC.US,D,20131002,000000,8.3832,8.4897,8.2147,8.4233,262759,0
DOC.US,D,20131003,000000,8.3709,8.3709,8.1557,8.2706,139914,0
DOC.US,D,20131004,000000,8.2502,8.4435,8.2502,8.3247,69826,0
DOC.US,D,20131007,000000,8.2751,8.3962,8.0818,8.3247,83558,0
DOC.US,D,20131008,000000,8.3351,8.3351,8.148,8.2044,99728,0
DOC.US,D,20131009,000000,8.2424,8.3962,8.2424,8.3194,131468,0
DOC.US,D,20131010,000000,8.3892,8.5965,8.2706,8.5028,120317,0
DOC.US,D,20131011,000000,8.4966,8.5706,8.282,8.5028,131572,0
DOC.US,D,20131014,000000,8.4631,8.6623,8.4631,8.5625,150671,0
DOC.US,D,20131015,000000,8.5625,8.6172,8.5028,8.583,123457,0
DOC.US,D,20131016,000000,8.4844,8.583,8.431,8.5363,110488,0
DOC.US,D,20131017,000000,8.5164,8.6172,8.4966,8.5777,122373,0
DOC.US,D,20131018,000000,8.6244,8.6361,8.5028,8.5296,117532,0
DOC.US,D,20131021,000000,8.5625,8.5706,8.4844,8.5296,93886,0
DOC.US,D,20131022,000000,8.5363,8.5625,8.4693,8.5296,83222,0
DOC.US,D,20131023,000000,8.5296,8.5416,8.5093,8.5296,82407,0
DOC.US,D,20131024,000000,8.5296,8.5625,8.4631,8.5028,64877,0
DOC.US,D,20131025,000000,8.5296,8.5416,8.4631,8.5416,48442,0
DOC.US,D,20131028,000000,8.5625,8.5625,8.4966,8.5093,28141,0
DOC.US,D,20131029,000000,8.4966,8.5296,8.4897,8.5296,48005,0
DOC.US,D,20131030,000000,8.556,8.556,8.2751,8.3709,84018,0
DOC.US,D,20131031,000000,8.3962,8.4693,8.2147,8.3709,147816,0
DOC.US,D,20131101,000000,8.4155,8.4233,8.2371,8.2957,63906,0
DOC.US,D,20131104,000000,8.2957,8.5625,8.2957,8.5164,63943,0
DOC.US,D,20131105,000000,8.5028,8.5296,8.4102,8.4693,55861,0
DOC.US,D,20131106,000000,8.4631,8.4693,8.2957,8.3892,84757,0
DOC.US,D,20131107,000000,8.4364,8.4364,8.1362,8.1362,61038,0
DOC.US,D,20131108,000000,8.1362,8.1633,8.0635,8.1242,63784,0
DOC.US,D,20131111,000000,8.1242,8.4023,8.1242,8.2957,70177,0
DOC.US,D,20131112,000000,8.2957,8.556,8.1633,8.4561,54094,0
DOC.US,D,20131113,000000,8.3631,8.3832,8.2147,8.2957,122080,0
DOC.US,D,20131114,000000,8.2957,8.2957,8.2286,8.2502,31715,0
DOC.US,D,20131115,000000,8.2579,8.2647,8.1633,8.2095,67776,0
DOC.US,D,20131118,000000,8.2147,8.2286,8.076,8.148,70787,0
DOC.US,D,20131119,000000,8.1692,8.2147,7.9959,8.148,63189,0
DOC.US,D,20131120,000000,8.1633,8.1633,7.9176,8.057,99188,0
DOC.US,D,20131121,000000,8.076,8.148,8.0503,8.0818,90264,0
DOC.US,D,20131122,000000,8.0961,8.1098,7.9285,8.0377,46028,0
DOC.US,D,20131125,000000,8.0503,8.0503,7.9641,8.0092,43258,0
DOC.US,D,20131126,000000,8.0444,8.0635,7.9176,7.9707,139012,0
DOC.US,D,20131127,000000,7.9959,8.0635,7.9641,7.9834,66455,0
DOC.US,D,20131129,000000,8.0293,8.0293,7.9499,7.9641,17583,0
DOC.US,D,20131202,000000,7.9234,7.9285,7.5691,7.6363,214212,0
DOC.US,D,20131203,000000,7.5627,7.5627,7.4368,7.4896,209197,0
DOC.US,D,20131204,000000,7.4305,7.5565,7.3629,7.5037,372669,0
DOC.US,D,20131205,000000,7.4967,7.7035,7.4967,7.6697,508778,0
DOC.US,D,20131206,000000,7.6363,7.7961,7.4028,7.7824,2548163,0
DOC.US,D,20131209,000000,7.7961,7.8705,7.7301,7.7437,654729,0
DOC.US,D,20131210,000000,7.7694,7.8238,7.722,7.7569,384509,0
DOC.US,D,20131211,000000,7.7437,7.8497,7.6631,7.7767,270516,0
DOC.US,D,20131212,000000,7.7961,7.7961,7.722,7.7301,217366,0
DOC.US,D,20131213,000000,7.7569,7.7961,7.6162,7.7035,273279,0
