<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBR-B.US,D,20161014,000000,6.4761,6.4762,6.3042,6.3042,115806,0
EBR-B.US,D,20161017,000000,6.3615,6.5743,6.3288,6.5743,270897,0
EBR-B.US,D,20161018,000000,6.5254,6.8445,6.4843,6.8282,220041,0
EBR-B.US,D,20161019,000000,6.7627,6.7627,6.4761,6.6726,90844,0
EBR-B.US,D,20161020,000000,6.599,6.7872,6.599,6.7872,944571,0
EBR-B.US,D,20161021,000000,6.779,6.8691,6.73,6.8608,73845,0
EBR-B.US,D,20161024,000000,7.1147,7.1147,6.8364,6.8527,118887,0
EBR-B.US,D,20161025,000000,6.7559,7.0001,6.6316,6.951,39264,0
EBR-B.US,D,20161026,000000,6.9837,6.9919,6.8364,6.9919,53877,0
EBR-B.US,D,20161027,000000,7.1147,7.1557,6.9264,6.9919,28845,0
EBR-B.US,D,20161028,000000,7.0738,7.0902,6.9345,6.9919,14667,0
EBR-B.US,D,20161031,000000,7.262,7.2866,6.9592,7.0983,44497,0
EBR-B.US,D,20161101,000000,6.9182,6.9182,6.6808,6.82,25244,0
EBR-B.US,D,20161102,000000,6.5498,6.7135,6.5498,6.6316,2122,0
EBR-B.US,D,20161103,000000,6.6808,6.7052,6.4515,6.4515,10991,0
EBR-B.US,D,20161104,000000,6.599,6.7135,6.5171,6.7135,2492,0
EBR-B.US,D,20161107,000000,6.82,6.91,6.7382,6.8773,22408,0
EBR-B.US,D,20161108,000000,6.8773,6.9919,6.1159,6.7545,66166,0
EBR-B.US,D,20161109,000000,6.7217,6.9264,6.7217,6.73,22884,0
EBR-B.US,D,20161110,000000,6.5334,6.5498,6.1078,6.3615,53275,0
EBR-B.US,D,20161111,000000,5.9439,6.1159,5.6328,6.034,29151,0
EBR-B.US,D,20161114,000000,5.9276,6.1241,5.8047,6.1241,21790,0
EBR-B.US,D,20161115,000000,5.9276,6.6234,5.9276,6.3042,29775,0
EBR-B.US,D,20161116,000000,5.9522,6.2796,5.9522,6.2714,43878,0
EBR-B.US,D,20161117,000000,6.034,6.2304,5.9439,6.1241,26188,0
EBR-B.US,D,20161118,000000,6.1159,6.2551,6.0585,6.1814,78739,0
EBR-B.US,D,20161121,000000,6.3861,6.4843,6.3861,6.4188,19991,0
EBR-B.US,D,20161122,000000,6.648,6.779,6.5171,6.7545,30040,0
EBR-B.US,D,20161123,000000,6.3534,6.6726,6.2877,6.5171,45507,0
EBR-B.US,D,20161125,000000,6.6563,6.6563,6.5006,6.5743,160406,0
EBR-B.US,D,20161128,000000,6.8118,6.8691,6.779,6.82,36422,0
EBR-B.US,D,20161129,000000,6.771,7.082,6.7545,7.082,58634,0
EBR-B.US,D,20161130,000000,6.8691,6.9345,6.4597,6.648,188942,0
EBR-B.US,D,20161201,000000,6.7135,6.8527,6.4188,6.5908,102773,0
EBR-B.US,D,20161202,000000,6.4515,6.4761,6.3534,6.3943,6984,0
EBR-B.US,D,20161205,000000,6.4024,6.4761,6.3861,6.4761,2059,0
EBR-B.US,D,20161206,000000,6.5006,6.5334,6.4106,6.427,26141,0
EBR-B.US,D,20161207,000000,6.2877,6.4433,5.9522,6.1814,126433,0
EBR-B.US,D,20161208,000000,6.2387,6.3042,5.993,6.0176,168938,0
EBR-B.US,D,20161209,000000,6.2058,6.4352,6.0913,6.2633,205471,0
EBR-B.US,D,20161212,000000,6.3696,6.4433,6.2959,6.4106,74192,0
EBR-B.US,D,20161213,000000,6.3861,6.4433,6.3452,6.4433,96239,0
EBR-B.US,D,20161214,000000,6.2468,6.4106,5.9848,6.3615,26743,0
EBR-B.US,D,20161215,000000,6.1486,6.5088,6.1323,6.2551,37803,0
EBR-B.US,D,20161216,000000,6.2387,6.5498,6.1814,6.1814,195194,0
EBR-B.US,D,20161219,000000,6.2796,6.2796,5.9439,6.1241,38660,0
EBR-B.US,D,20161220,000000,6.165,6.165,5.9439,5.971,16905,0
EBR-B.US,D,20161221,000000,6.2468,6.2468,6.0995,6.1567,34667,0
EBR-B.US,D,20161222,000000,6.0831,6.1323,5.9972,6.0667,94292,0
EBR-B.US,D,20161223,000000,6.1896,6.3042,6.165,6.3042,48508,0
EBR-B.US,D,20161227,000000,6.4188,6.7953,6.2714,6.7953,29447,0
EBR-B.US,D,20161228,000000,6.3943,6.427,6.3534,6.3861,31320,0
EBR-B.US,D,20161229,000000,6.4924,6.5743,6.4515,6.4515,40015,0
EBR-B.US,D,20170103,000000,6.5498,6.5498,6.4515,6.4924,66145,0
EBR-B.US,D,20170104,000000,6.558,6.7869,6.5416,6.7869,76272,0
EBR-B.US,D,20170105,000000,6.5825,6.6563,6.3615,6.3615,19423,0
EBR-B.US,D,20170106,000000,6.6234,6.6234,6.4171,6.4171,45533,0
EBR-B.US,D,20170109,000000,6.558,6.6398,6.4105,6.6398,53344,0
EBR-B.US,D,20170110,000000,6.5334,6.5416,6.1241,6.2959,45837,0
EBR-B.US,D,20170111,000000,6.2714,6.599,6.2468,6.558,19960,0
EBR-B.US,D,20170112,000000,6.6808,6.8118,6.3943,6.3943,60144,0
EBR-B.US,D,20170113,000000,6.7135,6.7545,6.427,6.4761,41963,0
EBR-B.US,D,20170117,000000,6.689,6.8036,6.6072,6.8013,24405,0
EBR-B.US,D,20170118,000000,6.689,6.7052,6.4024,6.4515,36938,0
EBR-B.US,D,20170119,000000,6.3696,6.4515,6.2796,6.3369,44988,0
EBR-B.US,D,20170120,000000,6.5254,6.8608,6.2058,6.5908,43614,0
EBR-B.US,D,20170123,000000,6.8691,7.0083,6.82,6.8691,76574,0
EBR-B.US,D,20170124,000000,6.8854,6.91,6.5908,6.779,32199,0
EBR-B.US,D,20170125,000000,6.9345,7.2949,6.7052,6.7464,12703,0
EBR-B.US,D,20170126,000000,6.73,6.8608,6.6971,6.8282,25566,0
EBR-B.US,D,20170127,000000,6.7545,6.8282,6.4679,6.7135,65667,0
EBR-B.US,D,20170130,000000,6.6234,6.6234,6.3943,6.4024,80235,0
EBR-B.US,D,20170131,000000,6.5743,6.6316,6.3288,6.3534,115312,0
EBR-B.US,D,20170201,000000,6.4924,6.5334,6.165,6.427,174864,0
EBR-B.US,D,20170202,000000,6.6316,6.6726,6.5908,6.6316,10993,0
EBR-B.US,D,20170203,000000,6.8364,6.9345,6.7627,6.9182,39768,0
EBR-B.US,D,20170206,000000,6.7464,6.8527,6.6316,6.6316,99918,0
EBR-B.US,D,20170207,000000,6.8936,6.9837,6.8364,6.9345,172159,0
EBR-B.US,D,20170208,000000,6.9674,7.0492,6.8936,7.0492,90772,0
EBR-B.US,D,20170209,000000,6.8936,6.9019,6.7135,6.7464,25177,0
EBR-B.US,D,20170210,000000,6.8036,7.0738,6.8036,6.8608,19101,0
EBR-B.US,D,20170213,000000,7.0329,7.0573,6.6563,6.6726,47352,0
EBR-B.US,D,20170214,000000,6.8527,6.9345,6.7464,6.8691,96321,0
EBR-B.US,D,20170215,000000,6.82,6.9429,6.82,6.9345,8009,0
EBR-B.US,D,20170216,000000,6.8608,6.9019,6.6726,6.771,31456,0
EBR-B.US,D,20170217,000000,6.5845,6.689,6.5334,6.648,49619,0
EBR-B.US,D,20170221,000000,6.6153,6.6644,6.5334,6.6563,152391,0
EBR-B.US,D,20170222,000000,6.5908,6.6316,6.4597,6.5334,110874,0
EBR-B.US,D,20170223,000000,6.7382,6.8445,6.5908,6.6234,84527,0
EBR-B.US,D,20170224,000000,6.4515,6.4924,6.3124,6.3778,188041,0
EBR-B.US,D,20170227,000000,6.599,6.599,6.2468,6.3534,7935,0
EBR-B.US,D,20170228,000000,6.5254,6.6031,6.2058,6.3452,33503,0
EBR-B.US,D,20170301,000000,6.5498,6.7953,6.1733,6.5908,231689,0
EBR-B.US,D,20170302,000000,6.2877,6.3042,6.0667,6.0995,208781,0
EBR-B.US,D,20170303,000000,6.2387,6.3778,6.2058,6.3452,202973,0
EBR-B.US,D,20170306,000000,6.4188,6.5334,6.3696,6.5006,97498,0
EBR-B.US,D,20170307,000000,6.5254,6.5416,6.3288,6.3288,129958,0
EBR-B.US,D,20170308,000000,6.1814,6.2714,6.1241,6.1733,368474,0
EBR-B.US,D,20170309,000000,6.1159,6.1978,6.0667,6.1323,189336,0
EBR-B.US,D,20170310,000000,6.2551,6.2877,5.993,6.1241,30551,0
EBR-B.US,D,20170313,000000,6.1567,6.2058,6.0258,6.0585,14040,0
EBR-B.US,D,20170314,000000,5.9848,6.0176,5.7802,5.8457,304971,0
EBR-B.US,D,20170315,000000,5.8129,6.165,5.7475,6.0422,65348,0
EBR-B.US,D,20170316,000000,6.0995,6.1241,5.903,5.9848,75352,0
EBR-B.US,D,20170317,000000,5.993,6.0136,5.7515,5.9358,152150,0
EBR-B.US,D,20170320,000000,5.8866,6.1896,5.8866,6.0585,201078,0
EBR-B.US,D,20170321,000000,6.0258,6.0258,5.7966,5.8457,38461,0
EBR-B.US,D,20170322,000000,5.7475,6.0503,5.7475,6.034,96946,0
EBR-B.US,D,20170323,000000,5.8866,5.9276,5.7884,5.7884,131489,0
EBR-B.US,D,20170324,000000,5.8211,6.0585,5.8211,6.0585,21528,0
EBR-B.US,D,20170327,000000,5.8703,5.8703,5.5264,5.6819,306973,0
EBR-B.US,D,20170328,000000,5.6165,5.7475,5.5264,5.7228,577394,0
EBR-B.US,D,20170329,000000,5.6001,5.6902,5.551,5.6573,416528,0
EBR-B.US,D,20170330,000000,5.6409,5.6819,5.4772,5.4937,163033,0
EBR-B.US,D,20170331,000000,5.5837,5.772,5.5591,5.6573,194795,0
EBR-B.US,D,20170403,000000,5.731,5.8334,5.6573,5.6902,75197,0
EBR-B.US,D,20170404,000000,5.6409,5.731,5.5755,5.731,110132,0
EBR-B.US,D,20170405,000000,5.6328,5.6737,5.4322,5.4609,74119,0
EBR-B.US,D,20170406,000000,5.4609,5.51,5.2726,5.3299,43803,0
EBR-B.US,D,20170407,000000,5.3218,5.3789,5.1989,5.2316,21134,0
EBR-B.US,D,20170410,000000,5.1334,5.1334,5.0432,5.0761,267509,0
EBR-B.US,D,20170411,000000,4.9861,5.3299,4.9698,5.3299,65979,0
EBR-B.US,D,20170412,000000,5.2809,5.2809,5.1826,5.2643,32800,0
EBR-B.US,D,20170413,000000,5.2397,5.2726,5.0187,5.0761,113031,0
EBR-B.US,D,20170417,000000,5.1252,5.2235,5.1252,5.1907,119321,0
EBR-B.US,D,20170418,000000,5.1498,5.2152,5.1089,5.1742,51687,0
EBR-B.US,D,20170419,000000,5.1417,5.1417,4.9451,5.0433,37434,0
EBR-B.US,D,20170420,000000,5.0597,5.2397,5.0187,5.1742,35712,0
EBR-B.US,D,20170421,000000,5.1498,5.1826,4.9205,5.1826,24831,0
EBR-B.US,D,20170424,000000,5.289,5.379,5.1989,5.3218,73028,0
EBR-B.US,D,20170425,000000,5.2071,5.7228,5.2071,5.7148,57150,0
EBR-B.US,D,20170426,000000,5.6082,5.7228,5.5018,5.6082,112516,0
EBR-B.US,D,20170427,000000,5.5918,5.6655,5.5428,5.5918,32720,0
EBR-B.US,D,20170428,000000,5.6165,5.8375,5.5918,5.6902,173765,0
