<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDEU.US,D,20150925,000000,12.22,12.375,12.22,12.226,2428442,0
FDEU.US,D,20150928,000000,12.234,12.339,12.22,12.22,136479,0
FDEU.US,D,20150929,000000,12.22,12.226,12.22,12.22,75439,0
FDEU.US,D,20150930,000000,12.226,12.313,12.22,12.22,101299,0
FDEU.US,D,20151001,000000,12.22,12.252,12.22,12.22,52042,0
FDEU.US,D,20151002,000000,12.22,12.247,12.22,12.242,41399,0
FDEU.US,D,20151005,000000,12.22,12.76,12.22,12.529,339561,0
FDEU.US,D,20151006,000000,12.325,12.529,12.22,12.22,209473,0
FDEU.US,D,20151007,000000,12.242,12.269,12.22,12.22,68080,0
FDEU.US,D,20151008,000000,12.234,12.512,12.226,12.279,179530,0
FDEU.US,D,20151009,000000,12.279,12.505,12.242,12.242,281973,0
FDEU.US,D,20151012,000000,12.247,12.365,12.247,12.252,25665,0
FDEU.US,D,20151013,000000,12.252,12.313,12.22,12.22,184440,0
FDEU.US,D,20151014,000000,12.242,12.242,12.22,12.22,122576,0
FDEU.US,D,20151015,000000,12.226,12.319,12.22,12.226,128140,0
FDEU.US,D,20151016,000000,12.365,12.365,12.22,12.22,83955,0
FDEU.US,D,20151019,000000,12.299,12.387,12.226,12.252,172004,0
FDEU.US,D,20151020,000000,12.252,12.252,12.22,12.22,104765,0
FDEU.US,D,20151021,000000,12.234,12.264,12.22,12.226,62512,0
FDEU.US,D,20151022,000000,12.234,12.234,12.22,12.22,84942,0
FDEU.US,D,20151023,000000,12.252,12.293,12.22,12.22,93938,0
FDEU.US,D,20151026,000000,12.226,12.38,12.22,12.313,54987,0
FDEU.US,D,20151027,000000,12.307,12.387,12.226,12.293,34532,0
FDEU.US,D,20151028,000000,12.242,12.352,12.22,12.346,136655,0
FDEU.US,D,20151029,000000,12.264,12.432,12.264,12.432,57771,0
FDEU.US,D,20151030,000000,12.346,12.399,12.22,12.22,204240,0
FDEU.US,D,20151102,000000,12.22,12.399,12.22,12.22,1201996,0
FDEU.US,D,20151103,000000,12.234,12.247,12.22,12.22,133864,0
FDEU.US,D,20151104,000000,12.22,12.226,12.22,12.22,113746,0
FDEU.US,D,20151105,000000,12.22,12.242,12.22,12.22,98847,0
FDEU.US,D,20151106,000000,12.197,12.269,12.197,12.22,280014,0
FDEU.US,D,20151109,000000,11.979,12.145,11.322,11.441,195832,0
FDEU.US,D,20151110,000000,11.227,11.422,11.227,11.392,90661,0
FDEU.US,D,20151111,000000,11.397,11.669,11.397,11.528,66936,0
FDEU.US,D,20151112,000000,11.525,11.732,11.525,11.568,100813,0
FDEU.US,D,20151113,000000,11.634,12.171,11.289,11.328,146023,0
FDEU.US,D,20151116,000000,11.378,11.955,11.378,11.795,73496,0
FDEU.US,D,20151117,000000,11.764,11.795,11.595,11.687,52521,0
FDEU.US,D,20151118,000000,11.601,11.687,11.421,11.653,72522,0
FDEU.US,D,20151119,000000,11.499,11.568,11.341,11.414,72687,0
FDEU.US,D,20151120,000000,11.561,11.634,11.378,11.466,67803,0
FDEU.US,D,20151123,000000,11.611,11.611,11.07,11.249,86179,0
FDEU.US,D,20151124,000000,11.371,11.371,11.08,11.15,132751,0
FDEU.US,D,20151125,000000,11.378,11.378,11.144,11.17,87163,0
FDEU.US,D,20151127,000000,11.125,11.144,11.07,11.084,38537,0
FDEU.US,D,20151130,000000,11.088,11.096,10.608,10.789,341961,0
FDEU.US,D,20151201,000000,10.824,11.026,10.735,11.026,111597,0
FDEU.US,D,20151202,000000,11.056,11.175,10.843,10.915,144637,0
FDEU.US,D,20151203,000000,10.885,11.009,10.806,10.907,63476,0
FDEU.US,D,20151204,000000,10.8,11.687,10.8,11.212,164397,0
FDEU.US,D,20151207,000000,11.119,11.144,10.982,11.144,33170,0
FDEU.US,D,20151208,000000,11.06,11.144,10.915,10.988,88463,0
FDEU.US,D,20151209,000000,10.843,11.009,10.837,10.885,73988,0
FDEU.US,D,20151210,000000,11.009,11.033,10.89,10.976,84236,0
FDEU.US,D,20151211,000000,10.88,10.895,10.456,10.613,122119,0
FDEU.US,D,20151214,000000,10.533,10.681,9.974,10.351,142756,0
FDEU.US,D,20151215,000000,10.48,10.495,10.283,10.337,198541,0
FDEU.US,D,20151216,000000,10.217,10.5,10.217,10.461,156915,0
FDEU.US,D,20151217,000000,10.495,10.548,10.456,10.515,214646,0
