<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLS.US,D,20050225,000000,6.8325,6.9708,6.8325,6.9453,877692,0
FLS.US,D,20050228,000000,6.9453,7.1855,6.9453,7.0553,1151482,0
FLS.US,D,20050301,000000,7.0865,7.1855,7.0128,7.0299,1494347,0
FLS.US,D,20050302,000000,7.0415,7.0948,6.9991,7.0525,834829,0
FLS.US,D,20050303,000000,7.1091,7.1711,7.0328,7.1008,1047708,0
FLS.US,D,20050304,000000,7.1264,7.2136,7.1008,7.1626,1172735,0
FLS.US,D,20050307,000000,7.1825,7.2022,7.1233,7.1398,819608,0
FLS.US,D,20050308,000000,7.1398,7.1429,7.0299,7.0525,1215597,0
FLS.US,D,20050309,000000,7.0553,7.2785,7.0444,7.1119,1973923,0
FLS.US,D,20050310,000000,7.1291,7.3037,7.1008,7.273,1013705,0
FLS.US,D,20050311,000000,7.2928,7.5186,7.2928,7.4817,1668610,0
FLS.US,D,20050314,000000,7.4845,7.5609,7.3688,7.4536,760099,0
FLS.US,D,20050315,000000,7.4958,7.5412,7.3857,7.4113,779581,0
FLS.US,D,20050316,000000,7.4113,7.4478,7.3575,7.3829,515355,0
FLS.US,D,20050317,000000,7.3829,7.5044,7.3548,7.4904,848296,0
FLS.US,D,20050318,000000,7.5638,7.5665,7.3857,7.4309,1820915,0
FLS.US,D,20050321,000000,7.3972,7.4733,7.349,7.4509,651364,0
FLS.US,D,20050322,000000,7.4225,7.5437,7.4143,7.4478,801190,0
FLS.US,D,20050323,000000,7.3972,7.5015,7.3548,7.3888,974389,0
FLS.US,D,20050324,000000,7.3998,7.51,7.3998,7.4309,951726,0
FLS.US,D,20050328,000000,7.4449,7.4874,7.2419,7.335,634011,0
FLS.US,D,20050329,000000,7.3376,7.4196,7.1146,7.1319,688906,0
FLS.US,D,20050330,000000,7.1741,7.349,7.1741,7.3405,502956,0
FLS.US,D,20050331,000000,7.3153,7.3798,7.2811,7.3037,574503,0
FLS.US,D,20050401,000000,7.3716,7.459,7.2615,7.3009,703078,0
FLS.US,D,20050404,000000,7.3009,7.4143,7.2305,7.3461,574503,0
FLS.US,D,20050405,000000,7.3548,7.3888,7.2532,7.2811,637198,0
FLS.US,D,20050406,000000,7.3125,7.3972,7.2841,7.2841,654551,0
FLS.US,D,20050407,000000,7.2841,7.3575,7.2277,7.3068,607089,0
FLS.US,D,20050408,000000,7.2982,7.4845,7.2504,7.3265,981119,0
FLS.US,D,20050411,000000,7.3265,7.3265,7.1035,7.2022,937914,0
FLS.US,D,20050412,000000,7.1685,7.51,7.1345,7.4817,1115708,0
FLS.US,D,20050413,000000,7.4845,7.5353,7.3548,7.3716,1517722,0
FLS.US,D,20050414,000000,7.3548,7.425,7.2078,7.2305,1551726,0
FLS.US,D,20050415,000000,7.2333,7.3405,7.1656,7.2532,2580665,0
FLS.US,D,20050418,000000,7.2532,7.4225,7.2362,7.3888,2329899,0
FLS.US,D,20050419,000000,7.459,7.6569,7.4394,7.6542,2785025,0
FLS.US,D,20050420,000000,7.7244,8.021,7.6767,7.8969,2788931,0
FLS.US,D,20050421,000000,7.9196,7.99,7.9026,7.99,2421631,0
FLS.US,D,20050422,000000,7.99,7.99,7.8461,7.9701,2493178,0
FLS.US,D,20050425,000000,7.9701,8.179,7.9473,8.1282,2472278,0
FLS.US,D,20050426,000000,8.1282,8.1508,7.9136,7.9136,914178,0
FLS.US,D,20050427,000000,7.9248,8.0181,7.7273,7.9423,1008041,0
FLS.US,D,20050428,000000,7.9335,7.9335,7.7558,7.8065,1432359,0
FLS.US,D,20050429,000000,7.8204,7.9026,7.6935,7.8373,2674166,0
FLS.US,D,20050502,000000,7.8373,8.0096,7.8123,7.9647,1800016,0
FLS.US,D,20050503,000000,7.9647,8.1055,7.9423,8.0293,1688448,0
FLS.US,D,20050504,000000,8.0293,8.103,7.9985,8.075,1672861,0
FLS.US,D,20050505,000000,8.075,8.1309,7.99,8.0466,989616,0
FLS.US,D,20050506,000000,8.1171,8.2185,8.0293,8.1877,712284,0
FLS.US,D,20050509,000000,8.1455,8.343,8.1282,8.3287,893637,0
FLS.US,D,20050510,000000,8.258,8.258,8.114,8.1877,1549603,0
FLS.US,D,20050511,000000,8.0181,8.1198,7.8773,8.103,2111706,0
FLS.US,D,20050512,000000,8.103,8.357,8.0977,8.2104,1602024,0
FLS.US,D,20050513,000000,8.1931,8.2215,7.9054,8.0631,2034492,0
FLS.US,D,20050516,000000,8.0631,8.2272,8.0127,8.1907,1236500,0
FLS.US,D,20050517,000000,8.1958,8.371,8.1256,8.3317,1669677,0
FLS.US,D,20050518,000000,8.374,8.6334,8.371,8.5548,2112412,0
FLS.US,D,20050519,000000,8.5832,8.6122,8.4535,8.4989,1302017,0
