<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGB.US,D,20050225,000000,3.5639,3.6753,3.5214,3.6153,7224471,0
GGB.US,D,20050228,000000,3.6499,3.7867,3.6324,3.7611,8519245,0
GGB.US,D,20050301,000000,3.7353,3.7523,3.5552,3.5639,4069218,0
GGB.US,D,20050302,000000,3.5122,3.5811,3.4437,3.5725,2561710,0
GGB.US,D,20050303,000000,3.6753,3.6753,3.5725,3.641,2859531,0
GGB.US,D,20050304,000000,3.6499,3.8297,3.6499,3.7611,3848606,0
GGB.US,D,20050307,000000,3.9493,3.958,3.8549,3.8809,6776949,0
GGB.US,D,20050308,000000,3.8637,3.8809,3.7693,3.8381,5368192,0
GGB.US,D,20050309,000000,3.8297,3.8981,3.8211,3.8466,6260617,0
GGB.US,D,20050310,000000,3.8381,3.8381,3.6499,3.6584,7910468,0
GGB.US,D,20050311,000000,3.7611,3.804,3.684,3.7097,3638498,0
GGB.US,D,20050314,000000,3.684,3.684,3.5725,3.6324,3285002,0
GGB.US,D,20050315,000000,3.6665,3.6921,3.5982,3.6153,3909537,0
GGB.US,D,20050316,000000,3.5725,3.6153,3.5214,3.5639,3047581,0
GGB.US,D,20050317,000000,3.5296,3.6499,3.4953,3.6068,2686198,0
GGB.US,D,20050318,000000,3.6584,3.6584,3.5122,3.5384,3370095,0
GGB.US,D,20050321,000000,3.5214,3.5214,3.4611,3.4867,3024464,0
GGB.US,D,20050322,000000,3.4867,3.6068,3.3754,3.4011,5178048,0
GGB.US,D,20050323,000000,3.3754,3.3754,3.2727,3.3242,4094951,0
GGB.US,D,20050324,000000,3.3411,3.4268,3.3328,3.3754,1778015,0
GGB.US,D,20050328,000000,3.3584,3.3584,3.2211,3.247,2034344,0
GGB.US,D,20050329,000000,3.2902,3.3069,3.0756,3.1267,4681148,0
GGB.US,D,20050330,000000,3.1267,3.1701,3.0929,3.161,4555608,0
GGB.US,D,20050331,000000,3.247,3.2555,3.1014,3.1441,7358420,0
GGB.US,D,20050401,000000,3.2211,3.247,3.1267,3.161,5788401,0
GGB.US,D,20050404,000000,3.161,3.1783,3.0756,3.1267,3493531,0
GGB.US,D,20050405,000000,3.1526,3.1956,3.0671,3.0756,3473564,0
GGB.US,D,20050406,000000,3.1014,3.1783,3.1014,3.1526,3180471,0
GGB.US,D,20050407,000000,3.161,3.1867,3.1358,3.1701,3216187,0
