<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITT.US,D,19951218,000000,3.0267,3.0267,2.8491,2.8965,8742605,0
ITT.US,D,19951219,000000,2.8965,2.929,2.831,2.929,9814603,0
ITT.US,D,19951220,000000,2.929,2.9616,2.8786,2.8786,7716486,0
ITT.US,D,19951221,000000,2.9144,2.9971,2.7985,2.9616,18767020,0
ITT.US,D,19951222,000000,2.9616,3.0593,2.9616,3.0267,8286555,0
ITT.US,D,19951226,000000,3.0449,3.1602,3.0449,3.1453,5476694,0
ITT.US,D,19951227,000000,3.1453,3.1453,3.0951,3.0951,4372992,0
ITT.US,D,19951228,000000,3.0951,3.1453,3.0593,3.1278,8777684,0
ITT.US,D,19951229,000000,3.1096,3.1602,3.0951,3.1602,1924062,0
ITT.US,D,19960102,000000,3.1278,3.193,3.1096,3.175,2937364,0
ITT.US,D,19960103,000000,3.1602,3.2256,3.1096,3.1096,9332239,0
ITT.US,D,19960104,000000,3.1096,3.1453,3.0593,3.0771,6842830,0
ITT.US,D,19960105,000000,3.0593,3.0593,2.9971,3.0267,6523056,0
ITT.US,D,19960108,000000,3.0267,3.0771,3.0267,3.0449,1869414,0
ITT.US,D,19960109,000000,3.0593,3.1278,3.0593,3.0893,29084897,0
ITT.US,D,19960110,000000,3.0449,3.0771,2.9971,3.0267,10880526,0
ITT.US,D,19960111,000000,3.0267,3.0449,2.929,2.9794,12402507,0
ITT.US,D,19960112,000000,2.9794,3.0267,2.9616,3.0267,4938337,0
ITT.US,D,19960115,000000,3.0119,3.0449,2.9616,3.0449,4320370,0
ITT.US,D,19960116,000000,3.0449,3.0593,3.0119,3.0593,5996164,0
ITT.US,D,19960117,000000,3.0449,3.0951,3.0267,3.0771,5515823,0
ITT.US,D,19960118,000000,3.0593,3.0951,3.0449,3.0449,4417518,0
ITT.US,D,19960119,000000,2.9971,3.0267,2.9616,2.9616,3201823,0
ITT.US,D,19960122,000000,2.9794,3.0951,2.9616,3.0951,5631859,0
ITT.US,D,19960123,000000,3.0951,3.2581,3.0951,3.2435,6608729,0
ITT.US,D,19960124,000000,3.2758,3.4063,3.2758,3.3913,7491829,0
ITT.US,D,19960125,000000,3.3559,3.3736,3.2758,3.2758,5476694,0
ITT.US,D,19960126,000000,3.2581,3.3084,3.2256,3.3084,2722823,0
ITT.US,D,19960129,000000,3.3084,3.4063,3.3084,3.4063,2645246,0
ITT.US,D,19960130,000000,3.3736,3.4239,3.3559,3.4239,4064003,0
ITT.US,D,19960131,000000,3.3913,3.442,3.3913,3.4239,4472160,0
ITT.US,D,19960201,000000,3.4063,3.4891,3.4063,3.4715,2934665,0
ITT.US,D,19960202,000000,3.4715,3.4891,3.3559,3.4063,3004152,0
ITT.US,D,19960205,000000,3.3913,3.4566,3.3913,3.4063,2786924,0
ITT.US,D,19960206,000000,3.3913,3.4063,3.2936,3.3235,3455485,0
ITT.US,D,19960207,000000,3.3235,3.3559,3.3084,3.3411,5355936,0
ITT.US,D,19960208,000000,3.3559,3.3913,3.3235,3.3913,3568826,0
ITT.US,D,19960209,000000,3.4063,3.4715,3.3913,3.442,2530558,0
ITT.US,D,19960212,000000,3.4239,3.4715,3.3736,3.4566,2105536,0
