<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM_G.US,D,20150615,000000,24.72,24.72,24.54,24.6,454549,0
JPM_G.US,D,20150616,000000,24.6,24.71,24.6,24.65,582887,0
JPM_G.US,D,20150617,000000,24.64,24.69,24.55,24.63,446343,0
JPM_G.US,D,20150618,000000,24.66,24.67,24.5,24.57,780990,0
JPM_G.US,D,20150619,000000,24.58,24.63,24.55,24.58,390643,0
JPM_G.US,D,20150622,000000,24.62,24.63,24.52,24.6,374969,0
JPM_G.US,D,20150623,000000,24.45,24.6,24.45,24.57,608256,0
JPM_G.US,D,20150624,000000,24.58,24.69,24.58,24.68,610358,0
JPM_G.US,D,20150625,000000,24.67,24.7,24.62,24.7,412769,0
JPM_G.US,D,20150626,000000,24.67,24.74,24.63,24.71,413240,0
JPM_G.US,D,20150629,000000,24.69,24.72,24.61,24.65,411080,0
JPM_G.US,D,20150630,000000,24.7,24.8,24.66,24.73,669870,0
JPM_G.US,D,20150701,000000,24.75,24.8,24.74,24.78,408591,0
JPM_G.US,D,20150702,000000,24.8,24.9,24.78,24.86,509581,0
JPM_G.US,D,20150706,000000,24.84,24.96,24.82,24.92,585470,0
JPM_G.US,D,20150707,000000,24.95,24.95,24.86,24.93,631839,0
JPM_G.US,D,20150708,000000,24.94,24.96,24.88,24.9,406160,0
JPM_G.US,D,20150709,000000,24.91,25.02,24.91,24.97,1216342,0
JPM_G.US,D,20150710,000000,24.98,25.02,24.95,24.96,853953,0
JPM_G.US,D,20150713,000000,24.76,25.02,24.76,24.99,776737,0
JPM_G.US,D,20150714,000000,25.01,25.07,25,25.03,851133,0
JPM_G.US,D,20150715,000000,25.03,25.07,25.02,25.04,795748,0
JPM_G.US,D,20150716,000000,25.08,25.17,25.05,25.15,1291360,0
JPM_G.US,D,20150717,000000,25.16,25.23,25.09,25.16,3300739,0
JPM_G.US,D,20150720,000000,25.125,25.2,25.12,25.16,641556,0
JPM_G.US,D,20150721,000000,25.18,25.28,25.14,25.2,378472,0
JPM_G.US,D,20150722,000000,25.21,25.21,24.94,24.95,1342458,0
JPM_G.US,D,20150723,000000,25,25.05,24.95,25.02,399728,0
JPM_G.US,D,20150724,000000,25.02,25.05,24.98,25.03,143445,0
JPM_G.US,D,20150727,000000,25.04,25.05,24.98,24.99,205049,0
JPM_G.US,D,20150728,000000,25.02,25.07,25.01,25.05,390708,0
JPM_G.US,D,20150729,000000,25.05,25.07,25.02,25.05,317724,0
JPM_G.US,D,20150730,000000,24.67,24.8,24.67,24.75,492297,0
JPM_G.US,D,20150731,000000,24.86,24.87,24.75,24.83,400619,0
JPM_G.US,D,20150803,000000,24.86,24.95,24.82,24.85,242912,0
JPM_G.US,D,20150804,000000,24.85,24.94,24.85,24.88,299553,0
JPM_G.US,D,20150805,000000,24.9,24.93,24.82,24.86,431795,0
JPM_G.US,D,20150806,000000,24.84,24.89,24.83,24.86,280095,0
JPM_G.US,D,20150807,000000,24.87,24.9,24.85,24.88,263792,0
JPM_G.US,D,20150810,000000,24.93,24.93,24.86,24.89,271186,0
JPM_G.US,D,20150811,000000,24.89,24.9,24.81,24.86,392774,0
JPM_G.US,D,20150812,000000,24.86,24.87,24.806,24.86,211017,0
JPM_G.US,D,20150813,000000,24.87,24.9,24.81,24.842,208165,0
JPM_G.US,D,20150814,000000,24.87,24.92,24.821,24.92,155164,0
JPM_G.US,D,20150817,000000,24.92,24.92,24.88,24.89,228173,0
JPM_G.US,D,20150818,000000,24.89,24.9,24.82,24.85,356895,0
JPM_G.US,D,20150819,000000,24.9,24.9,24.84,24.9,187062,0
JPM_G.US,D,20150820,000000,24.9,24.93,24.85,24.884,198948,0
JPM_G.US,D,20150821,000000,24.9,24.91,24.76,24.76,233289,0
JPM_G.US,D,20150824,000000,24.6,24.7,24.3,24.55,422979,0
JPM_G.US,D,20150825,000000,24.74,24.82,24.592,24.73,208986,0
JPM_G.US,D,20150826,000000,24.84,24.85,24.66,24.73,266679,0
JPM_G.US,D,20150827,000000,24.77,24.93,24.71,24.85,226713,0
JPM_G.US,D,20150828,000000,24.85,24.88,24.8,24.83,253208,0
JPM_G.US,D,20150831,000000,24.79,24.895,24.74,24.74,371649,0
JPM_G.US,D,20150901,000000,24.73,24.88,24.7,24.85,410502,0
JPM_G.US,D,20150902,000000,24.92,24.97,24.892,24.94,292174,0
JPM_G.US,D,20150903,000000,24.93,24.966,24.9,24.95,280226,0
JPM_G.US,D,20150904,000000,24.94,24.96,24.91,24.95,135277,0
JPM_G.US,D,20150908,000000,24.95,24.95,24.861,24.89,224670,0
JPM_G.US,D,20150909,000000,24.93,24.93,24.83,24.88,248044,0
JPM_G.US,D,20150910,000000,24.88,24.89,24.8,24.82,240297,0
JPM_G.US,D,20150911,000000,24.83,24.9,24.82,24.845,212259,0
JPM_G.US,D,20150914,000000,24.89,24.94,24.86,24.9,170746,0
JPM_G.US,D,20150915,000000,24.94,24.94,24.87,24.89,121473,0
JPM_G.US,D,20150916,000000,24.9,24.9,24.83,24.88,162014,0
JPM_G.US,D,20150917,000000,24.9,25,24.85,24.91,189217,0
JPM_G.US,D,20150918,000000,24.92,24.98,24.91,24.94,227848,0
JPM_G.US,D,20150921,000000,24.94,24.99,24.91,24.95,296689,0
JPM_G.US,D,20150922,000000,24.95,24.98,24.92,24.95,295121,0
JPM_G.US,D,20150923,000000,24.95,25,24.92,25,163579,0
JPM_G.US,D,20150924,000000,25,25.01,24.96,24.99,280864,0
JPM_G.US,D,20150925,000000,25,25.03,24.99,25.01,195767,0
JPM_G.US,D,20150928,000000,25.03,25.03,24.82,24.86,219773,0
JPM_G.US,D,20150929,000000,24.86,24.978,24.85,24.9,140001,0
JPM_G.US,D,20150930,000000,24.96,25,24.946,24.96,207869,0
JPM_G.US,D,20151001,000000,24.98,25.04,24.81,24.88,231274,0
JPM_G.US,D,20151002,000000,24.85,24.95,24.79,24.95,179727,0
JPM_G.US,D,20151005,000000,24.97,25.13,24.9,25.01,253147,0
JPM_G.US,D,20151006,000000,25.01,25.09,25.01,25.08,151298,0
JPM_G.US,D,20151007,000000,25.08,25.12,25,25,286080,0
JPM_G.US,D,20151008,000000,25.07,25.08,25.02,25.047,325410,0
JPM_G.US,D,20151009,000000,25.08,25.19,25.05,25.19,191795,0
JPM_G.US,D,20151012,000000,25.19,25.25,25.16,25.25,114811,0
JPM_G.US,D,20151013,000000,25.23,25.25,25.17,25.23,244665,0
JPM_G.US,D,20151014,000000,25.25,25.29,25.21,25.25,264329,0
JPM_G.US,D,20151015,000000,25.28,25.34,25.25,25.325,201431,0
JPM_G.US,D,20151016,000000,25.31,25.4,25.27,25.4,225817,0
JPM_G.US,D,20151019,000000,25.36,25.36,25.25,25.28,174617,0
JPM_G.US,D,20151020,000000,25.29,25.38,25.272,25.375,120074,0
JPM_G.US,D,20151021,000000,25.36,25.49,25.36,25.41,150738,0
JPM_G.US,D,20151022,000000,25.46,25.6,25.46,25.55,144522,0
JPM_G.US,D,20151023,000000,25.61,25.69,25.511,25.6,157712,0
JPM_G.US,D,20151026,000000,25.54,25.72,25.51,25.65,138928,0
JPM_G.US,D,20151027,000000,25.68,25.7,25.53,25.665,174038,0
JPM_G.US,D,20151028,000000,25.65,25.72,25.62,25.69,141877,0
JPM_G.US,D,20151029,000000,25.38,25.4,25.31,25.33,201939,0
JPM_G.US,D,20151030,000000,25.3,25.39,25.3,25.31,130536,0
JPM_G.US,D,20151102,000000,25.31,25.54,25.31,25.47,154275,0
JPM_G.US,D,20151103,000000,25.47,25.62,25.45,25.49,275703,0
JPM_G.US,D,20151104,000000,25.57,25.57,25.441,25.5,185362,0
