<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEO.US,D,20050225,000000,4.5909,4.6074,4.5641,4.5863,143735,0
LEO.US,D,20050228,000000,4.597,4.6074,4.5702,4.575,125064,0
LEO.US,D,20050301,000000,4.5641,4.6022,4.5641,4.575,85675,0
LEO.US,D,20050302,000000,4.5702,4.597,4.5702,4.575,113118,0
LEO.US,D,20050303,000000,4.5805,4.6022,4.5805,4.6022,60671,0
LEO.US,D,20050304,000000,4.5805,4.6074,4.5805,4.5863,147275,0
LEO.US,D,20050307,000000,4.5863,4.6123,4.5805,4.6074,159033,0
LEO.US,D,20050308,000000,4.6234,4.6234,4.6022,4.6183,188159,0
LEO.US,D,20050309,000000,4.5641,4.575,4.5216,4.5216,149149,0
LEO.US,D,20050310,000000,4.5161,4.5428,4.5161,4.5266,84559,0
LEO.US,D,20050311,000000,4.5216,4.5379,4.5107,4.5161,160157,0
LEO.US,D,20050314,000000,4.5055,4.5055,4.4735,4.4785,196562,0
LEO.US,D,20050315,000000,4.484,4.4948,4.4463,4.452,275688,0
LEO.US,D,20050316,000000,4.4574,4.4676,4.4304,4.4463,142046,0
LEO.US,D,20050317,000000,4.452,4.4735,4.4463,4.4676,79144,0
LEO.US,D,20050318,000000,4.4676,4.4676,4.4304,4.4362,126557,0
LEO.US,D,20050321,000000,4.4248,4.4411,4.4034,4.4148,248447,0
LEO.US,D,20050322,000000,4.4034,4.4248,4.3555,4.3929,252552,0
LEO.US,D,20050323,000000,4.3929,4.3929,4.275,4.3125,290638,0
LEO.US,D,20050324,000000,4.3125,4.3343,4.2913,4.3017,199913,0
LEO.US,D,20050328,000000,4.382,4.382,4.2913,4.3074,293619,0
LEO.US,D,20050329,000000,4.3343,4.3343,4.2961,4.3074,175283,0
LEO.US,D,20050330,000000,4.3074,4.3555,4.3074,4.3396,214850,0
LEO.US,D,20050331,000000,4.3396,4.382,4.3396,4.3768,104535,0
LEO.US,D,20050401,000000,4.3929,4.4195,4.382,4.3982,109569,0
LEO.US,D,20050404,000000,4.382,4.4463,4.382,4.4463,128801,0
LEO.US,D,20050405,000000,4.4463,4.452,4.4195,4.4304,123196,0
LEO.US,D,20050406,000000,4.4195,4.4411,4.4092,4.4304,72988,0
LEO.US,D,20050407,000000,4.4195,4.4362,4.4195,4.4195,84739,0
LEO.US,D,20050408,000000,4.4148,4.4463,4.4148,4.4463,126185,0
LEO.US,D,20050411,000000,4.4195,4.4362,4.3982,4.4248,167816,0
LEO.US,D,20050412,000000,4.3982,4.4304,4.3982,4.4195,162390,0
LEO.US,D,20050413,000000,4.4092,4.4304,4.4034,4.4304,87351,0
LEO.US,D,20050414,000000,4.4195,4.4411,4.4092,4.4304,42184,0
LEO.US,D,20050415,000000,4.4304,4.452,4.4148,4.4411,111990,0
LEO.US,D,20050418,000000,4.452,4.4676,4.4195,4.4304,310795,0
LEO.US,D,20050419,000000,4.452,4.4735,4.4248,4.4362,133648,0
LEO.US,D,20050420,000000,4.4248,4.4362,4.3877,4.4034,161284,0
LEO.US,D,20050421,000000,4.4092,4.4195,4.3982,4.4034,153064,0
LEO.US,D,20050422,000000,4.4195,4.4463,4.4092,4.4304,181066,0
LEO.US,D,20050425,000000,4.4463,4.4623,4.4248,4.4362,203651,0
LEO.US,D,20050426,000000,4.4623,4.4623,4.4148,4.4411,203098,0
LEO.US,D,20050427,000000,4.4574,4.5055,4.4463,4.4785,288207,0
LEO.US,D,20050428,000000,4.484,4.5216,4.484,4.5216,103229,0
LEO.US,D,20050429,000000,4.5216,4.5541,4.4894,4.4894,118522,0
LEO.US,D,20050502,000000,4.4894,4.5107,4.4894,4.5055,92581,0
LEO.US,D,20050503,000000,4.5161,4.5266,4.4948,4.5216,98373,0
LEO.US,D,20050504,000000,4.5055,4.5484,4.5055,4.5379,257781,0
LEO.US,D,20050505,000000,4.5428,4.5541,4.5326,4.5326,93524,0
LEO.US,D,20050506,000000,4.5161,4.5379,4.5055,4.5107,186466,0
LEO.US,D,20050509,000000,4.5266,4.5266,4.4785,4.5266,247699,0
LEO.US,D,20050510,000000,4.5107,4.5216,4.4894,4.5004,141300,0
LEO.US,D,20050511,000000,4.5266,4.5326,4.4894,4.5107,120214,0
LEO.US,D,20050512,000000,4.5161,4.5216,4.484,4.5216,109193,0
LEO.US,D,20050513,000000,4.5326,4.5379,4.5107,4.5216,86789,0
LEO.US,D,20050516,000000,4.5107,4.5326,4.5004,4.5266,166130,0
LEO.US,D,20050517,000000,4.5004,4.5379,4.5004,4.5379,132159,0
LEO.US,D,20050518,000000,4.5216,4.5702,4.5216,4.5589,125627,0
LEO.US,D,20050519,000000,4.5702,4.575,4.5541,4.5541,79515,0
LEO.US,D,20050520,000000,4.575,4.575,4.5484,4.5641,76904,0
LEO.US,D,20050523,000000,4.5805,4.597,4.5702,4.5702,91467,0
LEO.US,D,20050524,000000,4.5641,4.6022,4.5326,4.5589,167429,0
LEO.US,D,20050525,000000,4.5641,4.5641,4.5266,4.5484,110881,0
LEO.US,D,20050526,000000,4.5541,4.5909,4.5266,4.5641,262811,0
LEO.US,D,20050527,000000,4.575,4.5805,4.5541,4.5641,208135,0
LEO.US,D,20050531,000000,4.597,4.6022,4.575,4.597,66636,0
LEO.US,D,20050601,000000,4.6074,4.6663,4.6022,4.6502,294930,0
LEO.US,D,20050602,000000,4.704,4.7361,4.6342,4.688,339540,0
LEO.US,D,20050603,000000,4.688,4.7085,4.6607,4.6607,194868,0
LEO.US,D,20050606,000000,4.6607,4.6767,4.6074,4.6123,158292,0
LEO.US,D,20050607,000000,4.6502,4.6983,4.6286,4.6983,200851,0
LEO.US,D,20050608,000000,4.7085,4.7085,4.6607,4.6663,128610,0
LEO.US,D,20050609,000000,4.6663,4.688,4.6183,4.688,201216,0
LEO.US,D,20050610,000000,4.6717,4.6717,4.6393,4.6393,121147,0
LEO.US,D,20050613,000000,4.6234,4.6502,4.6123,4.6342,71683,0
LEO.US,D,20050614,000000,4.6342,4.6663,4.6183,4.6663,184985,0
LEO.US,D,20050615,000000,4.6552,4.6928,4.6393,4.6928,204208,0
LEO.US,D,20050616,000000,4.6717,4.7361,4.6552,4.6983,236879,0
LEO.US,D,20050617,000000,4.6823,4.7085,4.6663,4.7085,195994,0
LEO.US,D,20050620,000000,4.7247,4.7247,4.6607,4.6767,285037,0
LEO.US,D,20050621,000000,4.6717,4.715,4.6717,4.715,77274,0
LEO.US,D,20050622,000000,4.7247,4.7247,4.6928,4.7196,264307,0
LEO.US,D,20050623,000000,4.715,4.7416,4.704,4.7361,293250,0
LEO.US,D,20050624,000000,4.7085,4.7461,4.7085,4.7461,182747,0
LEO.US,D,20050627,000000,4.7522,4.7625,4.6983,4.7572,226798,0
LEO.US,D,20050628,000000,4.7572,4.7572,4.7196,4.7461,215964,0
LEO.US,D,20050629,000000,4.7522,4.7572,4.7303,4.7461,299970,0
LEO.US,D,20050630,000000,4.7461,4.7572,4.7196,4.7361,129729,0
LEO.US,D,20050701,000000,4.6607,4.7361,4.6607,4.7085,244529,0
LEO.US,D,20050705,000000,4.6663,4.7247,4.6663,4.7247,149888,0
LEO.US,D,20050706,000000,4.7247,4.7522,4.7085,4.7522,117035,0
LEO.US,D,20050707,000000,4.7522,4.7572,4.7247,4.7461,179200,0
LEO.US,D,20050708,000000,4.7303,4.7572,4.715,4.7572,275688,0
LEO.US,D,20050711,000000,4.7522,4.7572,4.7196,4.7572,182555,0
LEO.US,D,20050712,000000,4.6983,4.7361,4.6983,4.7361,130656,0
LEO.US,D,20050713,000000,4.7522,4.7572,4.7361,4.7522,232575,0
LEO.US,D,20050714,000000,4.7416,4.7572,4.7196,4.7572,170241,0
LEO.US,D,20050715,000000,4.7572,4.7949,4.7247,4.7949,163523,0
LEO.US,D,20050718,000000,4.7681,4.7841,4.7196,4.7416,235757,0
LEO.US,D,20050719,000000,4.7361,4.7416,4.704,4.715,197308,0
LEO.US,D,20050720,000000,4.6717,4.7303,4.6717,4.7303,189276,0
LEO.US,D,20050721,000000,4.6928,4.7361,4.6928,4.7361,189464,0
LEO.US,D,20050722,000000,4.715,4.7625,4.715,4.7625,143545,0
LEO.US,D,20050725,000000,4.7625,4.7681,4.7196,4.7681,157730,0
LEO.US,D,20050726,000000,4.7461,4.7572,4.7196,4.7416,176771,0
LEO.US,D,20050727,000000,4.7522,4.7681,4.7361,4.7681,97248,0
LEO.US,D,20050728,000000,4.8,4.8161,4.7786,4.7949,233325,0
LEO.US,D,20050729,000000,4.8161,4.8161,4.7572,4.7681,101355,0
LEO.US,D,20050801,000000,4.7625,4.7891,4.7522,4.7891,118158,0
LEO.US,D,20050802,000000,4.7681,4.7891,4.7522,4.7841,75598,0
LEO.US,D,20050803,000000,4.7681,4.8,4.7681,4.7731,70560,0
LEO.US,D,20050804,000000,4.7572,4.8051,4.7572,4.7949,123196,0
LEO.US,D,20050805,000000,4.7949,4.7949,4.7625,4.7731,48342,0
