<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDLXQ.US,D,20160818,000000,23.043,23.052,22.816,22.844,66141,0
MDLXQ.US,D,20160819,000000,22.864,22.891,22.834,22.834,18669,0
MDLXQ.US,D,20160822,000000,22.911,23.09,22.911,22.938,81779,0
MDLXQ.US,D,20160823,000000,22.977,23.009,22.878,22.958,93043,0
MDLXQ.US,D,20160824,000000,23.024,23.052,22.901,22.948,94223,0
MDLXQ.US,D,20160825,000000,23.005,23.015,22.929,22.948,24501,0
MDLXQ.US,D,20160826,000000,22.977,23.015,22.92,22.948,68696,0
MDLXQ.US,D,20160829,000000,22.986,23.356,22.977,23.309,102623,0
MDLXQ.US,D,20160830,000000,23.299,23.44,23.261,23.403,76192,0
MDLXQ.US,D,20160831,000000,23.44,23.535,23.346,23.393,31841,0
MDLXQ.US,D,20160901,000000,23.403,23.422,23.213,23.393,29452,0
MDLXQ.US,D,20160902,000000,23.413,23.436,23.356,23.403,14457,0
MDLXQ.US,D,20160906,000000,23.403,23.403,23.09,23.147,61394,0
MDLXQ.US,D,20160907,000000,23.232,23.252,23.043,23.043,83740,0
MDLXQ.US,D,20160908,000000,23.081,23.195,23.062,23.128,33340,0
MDLXQ.US,D,20160909,000000,23.261,23.261,23.071,23.071,23907,0
MDLXQ.US,D,20160912,000000,23.166,23.166,23.096,23.1,11742,0
MDLXQ.US,D,20160913,000000,23.1,23.147,23.024,23.062,20768,0
MDLXQ.US,D,20160914,000000,23.043,23.204,23.043,23.1,8057,0
MDLXQ.US,D,20160915,000000,23.166,23.166,23.043,23.071,15564,0
MDLXQ.US,D,20160916,000000,23.071,23.081,22.986,23.021,20735,0
MDLXQ.US,D,20160919,000000,23.024,23.071,22.995,23.005,23770,0
MDLXQ.US,D,20160920,000000,23.071,23.156,23.052,23.119,27121,0
MDLXQ.US,D,20160921,000000,23.119,23.309,23.119,23.309,17095,0
MDLXQ.US,D,20160922,000000,23.356,23.403,23.346,23.403,16137,0
MDLXQ.US,D,20160923,000000,23.431,23.451,23.156,23.156,32117,0
MDLXQ.US,D,20160926,000000,23.156,23.261,23.119,23.213,22265,0
MDLXQ.US,D,20160927,000000,23.195,23.252,23.195,23.213,16158,0
MDLXQ.US,D,20160928,000000,23.242,23.393,23.175,23.252,31391,0
MDLXQ.US,D,20160929,000000,23.309,23.309,23.213,23.222,21235,0
MDLXQ.US,D,20160930,000000,23.309,23.366,23.222,23.313,10456,0
