<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOG-B.US,D,20100823,000000,30.902,30.902,30.243,30.243,311,0
MOG-B.US,D,20100824,000000,29.478,29.807,29.14,29.807,622,0
MOG-B.US,D,20100825,000000,29.567,29.701,29.567,29.701,211,0
MOG-B.US,D,20100826,000000,30.328,30.328,30.146,30.146,311,0
MOG-B.US,D,20100827,000000,30.435,31.015,30.435,31.015,412,0
MOG-B.US,D,20100831,000000,30.253,30.253,29.615,29.953,412,0
MOG-B.US,D,20100901,000000,30.677,31.885,30.677,31.885,412,0
MOG-B.US,D,20100903,000000,32.649,32.649,32.649,32.649,211,0
MOG-B.US,D,20100907,000000,33.256,33.256,33.093,33.093,622,0
MOG-B.US,D,20100908,000000,33.335,33.683,33.335,33.683,412,0
MOG-B.US,D,20100909,000000,32.918,33.074,32.918,33.074,211,0
MOG-B.US,D,20100910,000000,33.838,33.838,33.838,33.838,211,0
MOG-B.US,D,20100913,000000,34.493,34.784,34.204,34.784,412,0
MOG-B.US,D,20100914,000000,34.165,34.165,34.059,34.059,311,0
MOG-B.US,D,20100915,000000,33.818,33.818,33.818,33.818,311,0
MOG-B.US,D,20100916,000000,33.054,33.084,33.045,33.084,311,0
MOG-B.US,D,20100917,000000,33.412,33.412,33.306,33.306,311,0
MOG-B.US,D,20100920,000000,34.175,34.832,34.175,34.629,622,0
MOG-B.US,D,20100921,000000,34.784,35.266,34.784,35.151,412,0
MOG-B.US,D,20100922,000000,34.387,34.387,33.741,33.741,311,0
MOG-B.US,D,20100924,000000,34.251,35.411,34.251,35.411,412,0
MOG-B.US,D,20100928,000000,34.649,34.649,34.649,34.649,100,0
MOG-B.US,D,20100929,000000,34.822,35.266,34.812,35.266,311,0
MOG-B.US,D,20100930,000000,35.509,35.509,34.784,34.784,311,0
MOG-B.US,D,20101001,000000,34.522,34.522,34.522,34.522,100,0
MOG-B.US,D,20101004,000000,33.76,33.76,33.103,33.247,311,0
MOG-B.US,D,20101005,000000,34.011,35.035,34.011,35.035,311,0
MOG-B.US,D,20101006,000000,34.687,35.392,34.687,35.191,622,0
MOG-B.US,D,20101007,000000,35.025,35.025,34.784,34.784,616,0
MOG-B.US,D,20101011,000000,34.397,35.074,34.36,35.074,2276,0
MOG-B.US,D,20101012,000000,34.311,34.62,34.311,34.571,2759,0
MOG-B.US,D,20101013,000000,35.151,35.749,35.151,35.749,622,0
MOG-B.US,D,20101014,000000,35.489,35.489,35.489,35.489,100,0
MOG-B.US,D,20101015,000000,36.253,36.253,36.253,36.253,211,0
MOG-B.US,D,20101018,000000,35.896,36.04,35.896,35.943,828,0
MOG-B.US,D,20101020,000000,36.06,36.253,36.06,36.253,622,0
MOG-B.US,D,20101022,000000,35.778,35.778,35.345,35.778,1582,0
MOG-B.US,D,20101025,000000,36.473,36.473,36.473,36.473,211,0
MOG-B.US,D,20101027,000000,36.089,36.089,35.519,35.848,932,0
MOG-B.US,D,20101028,000000,35.991,35.991,35.991,35.991,211,0
MOG-B.US,D,20101029,000000,36.224,36.224,36.224,36.224,211,0
MOG-B.US,D,20101101,000000,36.523,36.523,36.349,36.349,261,0
MOG-B.US,D,20101102,000000,36.986,37.054,36.707,37.054,1862,0
MOG-B.US,D,20101103,000000,37.199,37.449,36.735,37.344,1139,0
MOG-B.US,D,20101104,000000,37.683,37.683,37.683,37.683,211,0
MOG-B.US,D,20101105,000000,37.596,37.596,37.439,37.518,828,0
MOG-B.US,D,20101108,000000,37.142,37.558,37.142,37.373,437,0
MOG-B.US,D,20101109,000000,37.459,37.508,37.122,37.122,828,0
MOG-B.US,D,20101110,000000,37.132,37.393,36.707,37.393,1139,0
MOG-B.US,D,20101111,000000,36.717,36.996,36.717,36.996,311,0
MOG-B.US,D,20101112,000000,36.233,36.233,36.233,36.233,211,0
MOG-B.US,D,20101115,000000,35.749,35.749,35.654,35.654,311,0
MOG-B.US,D,20101116,000000,35.266,35.519,35.266,35.519,311,0
MOG-B.US,D,20101117,000000,35.459,35.459,35.239,35.276,1241,0
MOG-B.US,D,20101119,000000,35.469,35.469,35.364,35.364,311,0
MOG-B.US,D,20101122,000000,34.832,34.995,34.397,34.62,950,0
MOG-B.US,D,20101124,000000,34.812,35.749,34.812,35.749,632,0
MOG-B.US,D,20101129,000000,34.784,35.374,34.784,35.374,1346,0
MOG-B.US,D,20101130,000000,35.499,35.509,35.459,35.459,622,0
MOG-B.US,D,20101201,000000,36.185,37.373,36.185,36.717,3097,0
MOG-B.US,D,20101202,000000,37.189,38.165,37.189,37.924,2144,0
MOG-B.US,D,20101203,000000,38.165,38.165,38.165,38.165,211,0
MOG-B.US,D,20101207,000000,38.165,38.725,38.136,38.136,622,0
MOG-B.US,D,20101208,000000,38.097,38.312,38.097,38.273,2646,0
MOG-B.US,D,20101210,000000,38.088,38.088,38.088,38.088,211,0
MOG-B.US,D,20101213,000000,37.934,38.013,37.877,37.924,1139,0
MOG-B.US,D,20101214,000000,37.924,38.293,37.924,38.263,2692,0
MOG-B.US,D,20101215,000000,37.983,38.049,37.71,37.71,828,0
MOG-B.US,D,20101216,000000,37.508,38.445,37.508,38.445,622,0
