<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTR.US,D,20050225,000000,29.089,29.267,28.814,28.934,17053,0
MTR.US,D,20050228,000000,29.111,29.319,28.814,29.224,17275,0
MTR.US,D,20050301,000000,29.178,29.178,28.814,29.032,16397,0
MTR.US,D,20050302,000000,28.928,29.045,28.814,29.045,2621,0
MTR.US,D,20050303,000000,28.928,29.265,28.814,29.111,5248,0
MTR.US,D,20050304,000000,29.111,29.519,29.045,29.385,23832,0
MTR.US,D,20050307,000000,29.497,30.365,29.497,29.953,51603,0
MTR.US,D,20050308,000000,30.07,30.413,30.07,30.41,43075,0
MTR.US,D,20050309,000000,30.413,30.639,30.098,30.177,50502,0
MTR.US,D,20050310,000000,30.186,30.186,29.934,30.109,16623,0
MTR.US,D,20050311,000000,30.018,30.186,29.953,30.047,21863,0
MTR.US,D,20050314,000000,29.98,30.295,29.825,30.25,27766,0
MTR.US,D,20050315,000000,30.363,30.413,30.363,30.413,2621,0
MTR.US,D,20050316,000000,30.391,30.528,30.298,30.482,12679,0
MTR.US,D,20050317,000000,30.528,30.664,30.277,30.515,18153,0
MTR.US,D,20050318,000000,30.528,30.645,30.413,30.416,5679,0
MTR.US,D,20050321,000000,30.298,30.639,30.298,30.622,9408,0
MTR.US,D,20050322,000000,30.507,30.622,30.186,30.26,6334,0
MTR.US,D,20050323,000000,30.218,30.226,30.137,30.137,4369,0
MTR.US,D,20050324,000000,30.754,30.806,30.645,30.794,15296,0
MTR.US,D,20050328,000000,30.909,30.919,30.186,30.645,19020,0
MTR.US,D,20050329,000000,30.322,30.645,30.277,30.55,13992,0
MTR.US,D,20050330,000000,30.528,30.528,29.983,30.277,12027,0
MTR.US,D,20050331,000000,30.365,30.688,30.365,30.688,9619,0
MTR.US,D,20050401,000000,30.645,30.962,30.575,30.734,7657,0
MTR.US,D,20050404,000000,30.645,30.828,30.645,30.806,16834,0
MTR.US,D,20050405,000000,30.688,30.779,30.038,30.052,20988,0
MTR.US,D,20050406,000000,30.137,30.869,30.137,30.869,5907,0
MTR.US,D,20050407,000000,30.779,30.828,30.7,30.769,31708,0
MTR.US,D,20050408,000000,30.664,30.664,30.664,30.664,1321,0
MTR.US,D,20050411,000000,30.593,30.593,30.55,30.55,13992,0
MTR.US,D,20050412,000000,30.55,30.88,30.55,30.773,10279,0
MTR.US,D,20050413,000000,30.664,30.664,30.413,30.416,13325,0
MTR.US,D,20050414,000000,30.277,30.622,30.277,30.622,4145,0
MTR.US,D,20050415,000000,30.622,30.794,30.413,30.459,7436,0
MTR.US,D,20050418,000000,30.413,30.482,30.298,30.482,5907,0
MTR.US,D,20050419,000000,30.482,30.482,30.186,30.413,6552,0
MTR.US,D,20050420,000000,30.256,30.869,30.256,30.413,10279,0
MTR.US,D,20050421,000000,30.507,30.841,30.413,30.459,9183,0
MTR.US,D,20050422,000000,30.277,30.645,30.277,30.645,2413,0
MTR.US,D,20050425,000000,30.645,31.004,30.528,30.664,16397,0
MTR.US,D,20050426,000000,30.664,31.031,30.565,30.962,8750,0
MTR.US,D,20050427,000000,30.831,31.004,30.773,30.806,14214,0
MTR.US,D,20050428,000000,30.754,30.754,30.507,30.507,3280,0
MTR.US,D,20050429,000000,30.622,30.828,30.416,30.828,5679,0
MTR.US,D,20050502,000000,30.828,30.938,30.459,30.938,4597,0
MTR.US,D,20050503,000000,30.828,30.938,30.575,30.575,7657,0
MTR.US,D,20050504,000000,30.459,30.482,30.365,30.365,1532,0
MTR.US,D,20050505,000000,30.391,30.55,30.365,30.55,2842,0
MTR.US,D,20050506,000000,30.507,30.909,30.507,30.909,6990,0
MTR.US,D,20050509,000000,30.806,30.806,30.668,30.668,2180,0
MTR.US,D,20050510,000000,30.688,30.873,30.645,30.645,3720,0
MTR.US,D,20050511,000000,30.664,30.664,30.322,30.322,4807,0
MTR.US,D,20050512,000000,30.211,30.645,30.186,30.645,6782,0
MTR.US,D,20050513,000000,30.528,30.528,29.947,29.947,7436,0
MTR.US,D,20050516,000000,29.909,30.186,29.497,30.137,10279,0
MTR.US,D,20050517,000000,30.021,30.298,29.819,30.298,3504,0
MTR.US,D,20050518,000000,30.186,30.528,30.186,30.298,3280,0
MTR.US,D,20050519,000000,30.459,30.459,30.196,30.196,1089,0
MTR.US,D,20050520,000000,30.413,30.413,30.413,30.413,884,0
MTR.US,D,20050523,000000,30.07,30.095,29.774,29.909,13992,0
MTR.US,D,20050524,000000,29.892,29.953,29.892,29.892,4369,0
MTR.US,D,20050525,000000,30.004,30.413,29.909,30.413,17053,0
MTR.US,D,20050526,000000,30.229,30.413,30.18,30.18,1743,0
MTR.US,D,20050527,000000,30.163,30.186,30.163,30.163,3720,0
MTR.US,D,20050531,000000,30.186,30.413,30.186,30.211,2842,0
MTR.US,D,20050601,000000,30.186,30.277,30.07,30.081,2413,0
MTR.US,D,20050602,000000,30.163,30.186,30.163,30.177,1972,0
MTR.US,D,20050603,000000,30.186,30.575,30.021,30.021,3280,0
MTR.US,D,20050606,000000,29.664,29.723,29.538,29.723,24711,0
MTR.US,D,20050607,000000,29.089,29.385,28.814,28.897,31927,0
MTR.US,D,20050608,000000,28.854,29.172,28.744,29.172,25588,0
MTR.US,D,20050609,000000,28.971,29.018,28.839,28.928,9619,0
MTR.US,D,20050610,000000,28.839,29.267,28.814,29.267,5466,0
MTR.US,D,20050613,000000,29.385,29.716,29.267,29.497,6782,0
MTR.US,D,20050614,000000,29.61,29.61,29.39,29.406,8314,0
MTR.US,D,20050615,000000,29.294,29.5,29.294,29.497,14864,0
MTR.US,D,20050616,000000,29.497,29.61,29.342,29.342,5679,0
MTR.US,D,20050617,000000,29.342,29.716,29.342,29.497,15748,0
MTR.US,D,20050620,000000,29.409,29.819,29.409,29.742,34767,0
MTR.US,D,20050621,000000,29.723,29.723,29.497,29.497,3940,0
MTR.US,D,20050622,000000,29.61,29.723,29.497,29.613,5466,0
MTR.US,D,20050623,000000,29.61,29.657,29.385,29.657,8092,0
MTR.US,D,20050624,000000,29.723,29.797,29.589,29.797,8750,0
MTR.US,D,20050627,000000,29.799,29.841,29.635,29.841,10279,0
MTR.US,D,20050628,000000,29.385,29.444,29.217,29.217,6782,0
MTR.US,D,20050629,000000,29.385,29.515,29.319,29.515,6552,0
MTR.US,D,20050630,000000,29.723,29.723,29.497,29.571,8962,0
MTR.US,D,20050701,000000,29.723,29.797,29.723,29.797,6990,0
MTR.US,D,20050705,000000,29.841,29.976,29.841,29.959,4807,0
MTR.US,D,20050706,000000,29.976,30.018,29.797,29.892,2842,0
MTR.US,D,20050707,000000,29.797,30.021,29.78,29.841,3280,0
MTR.US,D,20050708,000000,29.723,29.953,29.723,29.723,5031,0
MTR.US,D,20050711,000000,29.61,29.702,29.365,29.365,15527,0
MTR.US,D,20050712,000000,29.365,29.797,29.267,29.61,13325,0
