<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKI.US,D,19830406,000000,4.5671,4.6047,4.4259,4.4259,179682,0
PKI.US,D,19830407,000000,4.4632,4.4822,4.4072,4.4072,49276,0
PKI.US,D,19830408,000000,4.4632,4.4822,4.4259,4.4822,157593,0
PKI.US,D,19830411,000000,4.6047,4.7178,4.539,4.7178,146550,0
PKI.US,D,19830412,000000,4.7178,4.8684,4.7178,4.8684,115967,0
PKI.US,D,19830413,000000,4.906,4.9342,4.8872,4.9342,101522,0
PKI.US,D,19830414,000000,4.8872,4.8872,4.7933,4.8308,159719,0
PKI.US,D,19830415,000000,4.7933,4.8115,4.6798,4.6798,230239,0
PKI.US,D,19830418,000000,4.6893,4.7742,4.633,4.7742,202622,0
PKI.US,D,19830419,000000,4.7742,4.8308,4.7083,4.8115,110023,0
PKI.US,D,19830420,000000,4.7742,4.8308,4.7742,4.8115,171186,0
PKI.US,D,19830421,000000,4.8308,4.9624,4.8115,4.9246,343652,0
PKI.US,D,19830422,000000,4.906,4.906,4.7742,4.8115,138054,0
PKI.US,D,19830425,000000,4.6893,4.7742,4.6144,4.6144,186060,0
PKI.US,D,19830426,000000,4.5766,4.6522,4.5012,4.52,180961,0
PKI.US,D,19830427,000000,4.4632,4.5766,4.3221,4.3598,203473,0
PKI.US,D,19830428,000000,4.4259,4.5012,4.3409,4.4443,1019058,0
PKI.US,D,19830429,000000,4.4822,4.52,4.4259,4.4822,425639,0
PKI.US,D,19830502,000000,4.4259,4.5012,4.3409,4.5012,149101,0
PKI.US,D,19830503,000000,4.3409,4.3977,4.3034,4.3598,227685,0
PKI.US,D,19830504,000000,4.4443,4.5012,4.3787,4.4259,200078,0
PKI.US,D,19830505,000000,4.4259,4.4443,4.3787,4.3787,98549,0
PKI.US,D,19830506,000000,4.3977,4.633,4.3977,4.6144,555198,0
PKI.US,D,19830509,000000,4.6144,4.633,4.5576,4.6144,177984,0
PKI.US,D,19830510,000000,4.5949,4.6522,4.52,4.539,338554,0
PKI.US,D,19830511,000000,4.5766,4.5766,4.3409,4.4259,669040,0
PKI.US,D,19830512,000000,4.4443,4.4443,4.3787,4.3787,481284,0
PKI.US,D,19830513,000000,4.3977,4.633,4.3977,4.5949,395901,0
PKI.US,D,19830516,000000,4.5576,4.5576,4.4822,4.52,187332,0
PKI.US,D,19830517,000000,4.5576,4.6144,4.5012,4.52,428607,0
PKI.US,D,19830518,000000,4.539,4.5576,4.4822,4.52,194976,0
PKI.US,D,19830519,000000,4.4632,4.5012,4.3221,4.3598,169067,0
PKI.US,D,19830520,000000,4.3598,4.3787,4.2471,4.3787,155044,0
PKI.US,D,19830523,000000,4.3409,4.5012,4.3221,4.5012,206020,0
PKI.US,D,19830524,000000,4.4632,4.539,4.4443,4.4632,275262,0
PKI.US,D,19830525,000000,4.5012,4.6144,4.5012,4.6144,392075,0
PKI.US,D,19830526,000000,4.633,4.633,4.539,4.5576,271862,0
PKI.US,D,19830527,000000,4.52,4.52,4.3409,4.4443,719589,0
PKI.US,D,19830531,000000,4.3598,4.3977,4.1716,4.1716,613391,0
PKI.US,D,19830601,000000,4.1716,4.3221,4.1716,4.3221,422238,0
PKI.US,D,19830602,000000,4.3409,4.4259,4.2471,4.3598,460043,0
PKI.US,D,19830603,000000,4.3787,4.4443,4.3409,4.3598,189454,0
PKI.US,D,19830606,000000,4.3787,4.633,4.3787,4.539,401426,0
PKI.US,D,19830607,000000,4.633,4.6703,4.5766,4.6522,760368,0
PKI.US,D,19830608,000000,4.5766,4.6893,4.5766,4.6522,838527,0
PKI.US,D,19830609,000000,4.7273,4.9246,4.7273,4.906,803268,0
PKI.US,D,19830610,000000,4.9624,4.9813,4.9437,4.9624,482131,0
PKI.US,D,19830613,000000,5.0564,5.1226,5.019,5.0564,424358,0
PKI.US,D,19830614,000000,5.1604,5.4712,5.1226,5.2733,553497,0
PKI.US,D,19830615,000000,5.198,5.2355,5.0849,5.2355,447720,0
PKI.US,D,19830616,000000,5.3863,5.3863,5.198,5.3299,486380,0
PKI.US,D,19830617,000000,5.3671,5.3863,5.2733,5.3299,246376,0
PKI.US,D,19830620,000000,5.3484,5.4144,5.2733,5.3107,250201,0
PKI.US,D,19830621,000000,5.2733,5.3484,5.179,5.3299,212814,0
PKI.US,D,19830622,000000,5.3299,5.3863,5.2733,5.3107,296501,0
PKI.US,D,19830623,000000,5.2733,5.3484,5.2355,5.3299,528432,0
PKI.US,D,19830624,000000,5.292,5.292,5.1604,5.2733,163117,0
PKI.US,D,19830627,000000,5.2355,5.2544,5.179,5.2544,180532,0
PKI.US,D,19830628,000000,5.2355,5.2733,5.1226,5.1226,236607,0
PKI.US,D,19830629,000000,5.0849,5.198,5.0849,5.1226,412466,0
PKI.US,D,19830630,000000,5.179,5.2168,5.1226,5.179,73062,0
PKI.US,D,19830701,000000,5.1604,5.2355,5.0849,5.2355,128286,0
PKI.US,D,19830705,000000,5.198,5.2544,5.0849,5.2544,79862,0
PKI.US,D,19830706,000000,5.292,5.3299,5.2168,5.2733,96000,0
PKI.US,D,19830707,000000,5.2355,5.292,5.198,5.198,205171,0
PKI.US,D,19830708,000000,5.2355,5.2733,5.179,5.2544,93451,0
PKI.US,D,19830711,000000,5.2733,5.4712,5.2733,5.3671,259120,0
PKI.US,D,19830712,000000,5.3484,5.4334,5.3484,5.3671,126162,0
PKI.US,D,19830713,000000,5.3484,5.3671,5.2544,5.3484,360642,0
PKI.US,D,19830714,000000,5.5839,5.7441,5.4897,5.7441,520362,0
PKI.US,D,19830715,000000,5.7441,5.857,5.6027,5.6405,255724,0
PKI.US,D,19830718,000000,5.6405,5.6405,5.5369,5.6027,198800,0
PKI.US,D,19830719,000000,5.6405,5.6971,5.6217,5.6782,146550,0
PKI.US,D,19830720,000000,5.7347,5.8291,5.7347,5.8291,222591,0
PKI.US,D,19830721,000000,5.8667,5.9325,5.8475,5.8852,249346,0
PKI.US,D,19830722,000000,5.904,5.9325,5.8667,5.8852,197948,0
PKI.US,D,19830725,000000,5.8291,5.8475,5.7723,5.8101,234907,0
PKI.US,D,19830726,000000,5.8667,5.8852,5.7723,5.8101,254021,0
PKI.US,D,19830727,000000,5.7912,5.8291,5.6782,5.716,198373,0
PKI.US,D,19830728,000000,5.6782,5.6971,5.6782,5.6782,48424,0
PKI.US,D,19830729,000000,5.6405,5.6405,5.2832,5.3484,262091,0
PKI.US,D,19830801,000000,5.3107,5.3484,5.132,5.1886,249346,0
PKI.US,D,19830802,000000,5.1886,5.245,5.151,5.1695,134658,0
PKI.US,D,19830803,000000,5.1886,5.2262,5.1695,5.2262,101099,0
PKI.US,D,19830804,000000,5.2072,5.2072,5.0755,5.2072,189454,0
PKI.US,D,19830805,000000,5.1695,5.2072,5.0944,5.1886,93875,0
PKI.US,D,19830808,000000,5.0944,5.1695,4.9531,5.132,98977,0
PKI.US,D,19830809,000000,5.0944,5.132,5.019,5.1131,89633,0
PKI.US,D,19830810,000000,5.151,5.1886,5.1131,5.1886,86231,0
PKI.US,D,19830811,000000,5.2262,5.3299,5.1695,5.245,104925,0
PKI.US,D,19830812,000000,5.2072,5.4617,5.2072,5.4617,80286,0
PKI.US,D,19830815,000000,5.4424,5.5747,5.4424,5.5179,76037,0
PKI.US,D,19830816,000000,5.4804,5.5369,5.4237,5.4237,62871,0
PKI.US,D,19830817,000000,5.4237,5.5179,5.4237,5.4617,51400,0
PKI.US,D,19830818,000000,5.4991,5.5747,5.4804,5.4804,74334,0
PKI.US,D,19830819,000000,5.4804,5.5179,5.4424,5.4424,50975,0
PKI.US,D,19830822,000000,5.4424,5.5369,5.4424,5.4617,62871,0
PKI.US,D,19830823,000000,5.4424,5.4991,5.4424,5.4424,87504,0
PKI.US,D,19830824,000000,5.4424,5.4424,5.4053,5.4053,75611,0
PKI.US,D,19830825,000000,5.4053,5.4053,5.245,5.3107,111717,0
PKI.US,D,19830826,000000,5.2832,5.3107,5.245,5.2638,370838,0
PKI.US,D,19830829,000000,5.2832,5.2832,5.245,5.2832,80706,0
PKI.US,D,19830830,000000,5.3107,5.4053,5.3107,5.3671,90479,0
PKI.US,D,19830831,000000,5.3863,5.4237,5.3671,5.4053,91330,0
PKI.US,D,19830901,000000,5.4053,5.4053,5.3107,5.3107,100674,0
PKI.US,D,19830902,000000,5.3107,5.3863,5.245,5.3863,243826,0
PKI.US,D,19830906,000000,5.3484,5.4424,5.3484,5.4237,196676,0
PKI.US,D,19830907,000000,5.4237,5.5179,5.4237,5.4804,104499,0
PKI.US,D,19830908,000000,5.4617,5.716,5.4617,5.716,180961,0
PKI.US,D,19830909,000000,5.6971,5.716,5.6217,5.6782,148248,0
PKI.US,D,19830912,000000,5.6782,5.7531,5.4617,5.5179,112569,0
PKI.US,D,19830913,000000,5.4991,5.5747,5.4991,5.4991,98977,0
PKI.US,D,19830914,000000,5.5179,5.5369,5.4424,5.4991,323261,0
PKI.US,D,19830915,000000,5.4617,5.4617,5.3484,5.4053,103223,0
PKI.US,D,19830916,000000,5.4053,5.4804,5.3671,5.4424,159719,0
PKI.US,D,19830919,000000,5.4424,5.4804,5.4053,5.4424,206871,0
PKI.US,D,19830920,000000,5.4424,5.5557,5.4424,5.5557,142730,0
PKI.US,D,19830921,000000,5.5747,5.5747,5.3863,5.3863,132109,0
PKI.US,D,19830922,000000,5.4237,5.5179,5.3671,5.3671,122763,0
PKI.US,D,19830923,000000,5.3299,5.4991,5.3299,5.4804,106619,0
PKI.US,D,19830926,000000,5.5179,5.5747,5.4804,5.5179,52677,0
PKI.US,D,19830927,000000,5.4804,5.5179,5.4424,5.4991,46726,0
PKI.US,D,19830928,000000,5.4804,5.5747,5.4617,5.5557,39929,0
PKI.US,D,19830929,000000,5.4804,5.4991,5.4424,5.4617,110871,0
PKI.US,D,19830930,000000,5.4617,5.4804,5.4424,5.4804,62443,0
PKI.US,D,19831003,000000,5.4804,5.4804,5.2832,5.3863,141880,0
PKI.US,D,19831004,000000,5.4237,5.4424,5.3299,5.3299,231932,0
PKI.US,D,19831005,000000,5.3484,5.3671,5.2832,5.3671,53099,0
PKI.US,D,19831006,000000,5.3863,5.4804,5.3863,5.4424,79434,0
PKI.US,D,19831007,000000,5.4804,5.6027,5.4617,5.5557,95153,0
PKI.US,D,19831010,000000,5.6027,5.7531,5.6027,5.7531,76887,0
