<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMAX.US,D,20131002,000000,22.078,23.524,21.365,22.708,16457396,0
RMAX.US,D,20131003,000000,22.818,26.142,22.708,25.406,2918011,0
RMAX.US,D,20131004,000000,26.005,28.209,25.568,26.618,2374973,0
RMAX.US,D,20131007,000000,26.159,26.427,25.249,25.93,547058,0
RMAX.US,D,20131008,000000,25.662,25.769,23.62,23.972,1309819,0
RMAX.US,D,20131009,000000,23.972,24.744,23.34,24.383,437132,0
RMAX.US,D,20131010,000000,25.233,25.535,24.879,25.045,312375,0
RMAX.US,D,20131011,000000,25.318,25.318,24.24,24.704,156901,0
RMAX.US,D,20131014,000000,24.24,25.189,24.02,25.114,213503,0
RMAX.US,D,20131015,000000,25.318,25.318,24.793,25.098,248812,0
RMAX.US,D,20131016,000000,25.189,25.276,24.5,25.216,404970,0
RMAX.US,D,20131017,000000,24.998,24.998,24.18,24.584,294793,0
RMAX.US,D,20131018,000000,24.399,24.854,24.221,24.685,160698,0
RMAX.US,D,20131021,000000,24.98,25.123,23.986,24.071,178546,0
RMAX.US,D,20131022,000000,24.375,24.678,23.717,23.955,227727,0
RMAX.US,D,20131023,000000,23.644,23.963,23.128,23.533,316941,0
RMAX.US,D,20131024,000000,23.548,24.793,23.475,24.752,337982,0
RMAX.US,D,20131025,000000,24.542,25.062,23.972,24.441,177364,0
RMAX.US,D,20131028,000000,24.18,24.341,23.717,23.836,396650,0
RMAX.US,D,20131029,000000,23.533,23.717,23.128,23.475,151896,0
RMAX.US,D,20131030,000000,23.548,23.548,22.668,23.145,329587,0
RMAX.US,D,20131031,000000,22.844,23.963,22.708,23.717,124466,0
RMAX.US,D,20131101,000000,23.692,23.972,23.055,23.265,59392,0
RMAX.US,D,20131104,000000,23.81,24.434,23.34,24.324,123128,0
RMAX.US,D,20131105,000000,24.071,24.768,23.651,24.704,73853,0
RMAX.US,D,20131106,000000,24.491,24.685,24.005,24.356,40482,0
RMAX.US,D,20131107,000000,24.08,24.383,23.683,23.853,60050,0
RMAX.US,D,20131108,000000,23.295,23.348,22.413,23.206,232536,0
RMAX.US,D,20131111,000000,23.071,23.483,22.708,22.969,183031,0
RMAX.US,D,20131112,000000,23.03,23.548,22.716,23.49,100032,0
RMAX.US,D,20131113,000000,23.357,23.885,23.348,23.77,380686,0
RMAX.US,D,20131114,000000,22.878,23.717,22.852,23.34,263461,0
RMAX.US,D,20131115,000000,23.466,24.601,23.34,24.592,203900,0
RMAX.US,D,20131118,000000,24.601,25.3,24.559,24.896,251285,0
RMAX.US,D,20131119,000000,24.896,24.913,24.349,24.793,79696,0
RMAX.US,D,20131120,000000,24.956,25.189,24.267,24.434,155188,0
RMAX.US,D,20131121,000000,24.474,25.309,24.08,25.123,424501,0
RMAX.US,D,20131122,000000,24.921,25.406,24.921,25.332,105610,0
RMAX.US,D,20131125,000000,25.233,25.444,25.03,25.106,44830,0
RMAX.US,D,20131126,000000,25.123,25.996,25.123,25.476,136369,0
RMAX.US,D,20131127,000000,25.568,26.208,25.493,25.888,162387,0
RMAX.US,D,20131129,000000,25.945,26.316,25.399,25.552,23904,0
RMAX.US,D,20131202,000000,25.374,25.476,24.888,25.189,165762,0
RMAX.US,D,20131203,000000,24.434,25.434,24.434,25.318,167988,0
RMAX.US,D,20131204,000000,25.139,25.416,24.888,25.233,129710,0
RMAX.US,D,20131205,000000,25.147,25.318,24.896,25.156,132520,0
RMAX.US,D,20131206,000000,25.318,25.406,24.292,24.391,94639,0
RMAX.US,D,20131209,000000,24.332,25.276,24.332,25.071,86476,0
RMAX.US,D,20131210,000000,25.098,25.098,24.729,24.879,83193,0
RMAX.US,D,20131211,000000,24.971,25.174,24.491,24.801,115857,0
RMAX.US,D,20131212,000000,24.913,25.016,24.205,24.349,119246,0
RMAX.US,D,20131213,000000,24.5,24.5,23.305,23.348,209942,0
RMAX.US,D,20131216,000000,23.483,25.179,23.483,24.963,306531,0
RMAX.US,D,20131217,000000,25.03,25.233,24.669,25.13,189954,0
RMAX.US,D,20131218,000000,25.079,26.334,24.628,26.039,240652,0
RMAX.US,D,20131219,000000,25.729,26.074,24.712,24.836,204838,0
RMAX.US,D,20131220,000000,24.844,25.839,24.417,25.839,1651683,0
RMAX.US,D,20131223,000000,25.987,27.502,25.823,27.073,193210,0
RMAX.US,D,20131224,000000,27.041,27.328,26.679,27.161,29599,0
RMAX.US,D,20131226,000000,27.354,27.536,26.232,26.722,98537,0
RMAX.US,D,20131227,000000,26.78,27.502,26.343,27.388,82772,0
RMAX.US,D,20131230,000000,27.354,27.562,26.702,26.796,58142,0
RMAX.US,D,20131231,000000,26.83,27.37,26.731,26.971,108686,0
RMAX.US,D,20140102,000000,26.907,27.107,26.563,27.066,93484,0
RMAX.US,D,20140103,000000,27.058,27.193,26.739,26.997,61694,0
RMAX.US,D,20140106,000000,26.813,26.956,25.805,26.098,108777,0
RMAX.US,D,20140107,000000,26.125,26.377,25.769,26.074,78789,0
RMAX.US,D,20140108,000000,26.134,26.159,25.745,25.93,102729,0
RMAX.US,D,20140109,000000,26.081,26.25,25.484,26.005,59896,0
RMAX.US,D,20140110,000000,26.098,26.485,25.905,26.167,92009,0
RMAX.US,D,20140113,000000,26.173,26.173,25.257,25.662,55172,0
RMAX.US,D,20140114,000000,25.688,26.159,25.61,25.737,30313,0
RMAX.US,D,20140115,000000,25.6,26.53,25.593,26.521,69429,0
RMAX.US,D,20140116,000000,26.401,26.512,25.461,25.688,52904,0
RMAX.US,D,20140117,000000,25.593,25.769,23.909,24.039,170374,0
RMAX.US,D,20140121,000000,24.154,25.276,24.097,25.199,166246,0
RMAX.US,D,20140122,000000,25.174,26.368,24.819,26.214,248226,0
RMAX.US,D,20140123,000000,26.015,26.493,25.324,25.905,96385,0
RMAX.US,D,20140124,000000,25.679,26.107,24.903,25.147,73727,0
RMAX.US,D,20140127,000000,25.098,25.179,23.602,24.24,85809,0
RMAX.US,D,20140128,000000,24.324,24.534,24.02,24.365,60758,0
RMAX.US,D,20140129,000000,24.029,24.459,23.972,24.383,71200,0
RMAX.US,D,20140130,000000,24.721,25.276,24.559,25.164,89889,0
RMAX.US,D,20140131,000000,24.879,25.139,24.324,24.526,105400,0
RMAX.US,D,20140203,000000,24.399,24.516,23.802,24.213,172749,0
RMAX.US,D,20140204,000000,24.24,24.819,24.013,24.417,91029,0
RMAX.US,D,20140205,000000,24.375,24.643,23.802,24.341,116637,0
RMAX.US,D,20140206,000000,24.307,24.685,23.895,24.314,112269,0
RMAX.US,D,20140207,000000,24.332,24.569,24.071,24.526,67036,0
RMAX.US,D,20140210,000000,24.577,24.619,24.013,24.341,86966,0
RMAX.US,D,20140211,000000,24.3,24.601,24.24,24.365,52435,0
RMAX.US,D,20140212,000000,24.375,24.752,24.23,24.678,107494,0
RMAX.US,D,20140213,000000,24.426,25.062,24.426,25.007,62685,0
RMAX.US,D,20140214,000000,25.038,25.189,24.801,25.114,76616,0
