<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPAI.US,D,20120405,000000,5.6269,5.6651,5.4668,5.5949,11965548,0
RPAI.US,D,20120409,000000,5.5499,5.8766,5.5244,5.7804,3000888,0
RPAI.US,D,20120410,000000,5.838,6.043,5.5885,5.5885,3126125,0
RPAI.US,D,20120411,000000,5.7354,5.8188,5.6332,5.7933,918277,0
RPAI.US,D,20120412,000000,5.7612,5.8574,5.6779,5.8574,769770,0
RPAI.US,D,20120413,000000,5.8317,5.9149,5.6651,5.7612,828009,0
RPAI.US,D,20120416,000000,5.8574,5.8766,5.6717,5.7741,646378,0
RPAI.US,D,20120417,000000,5.7804,5.838,5.7102,5.7549,603132,0
RPAI.US,D,20120418,000000,5.7293,5.8254,5.7293,5.7675,848111,0
RPAI.US,D,20120419,000000,5.7612,5.8317,5.7421,5.7997,1173578,0
RPAI.US,D,20120420,000000,5.7933,5.8894,5.7612,5.8638,888675,0
RPAI.US,D,20120423,000000,5.7933,5.8894,5.7612,5.8512,549107,0
RPAI.US,D,20120424,000000,5.806,5.8766,5.806,5.8574,817774,0
RPAI.US,D,20120425,000000,5.8188,5.9019,5.8122,5.8574,1922963,0
RPAI.US,D,20120426,000000,5.838,5.8638,5.806,5.8254,586791,0
RPAI.US,D,20120427,000000,5.8122,5.8317,5.7933,5.8122,288411,0
RPAI.US,D,20120430,000000,5.8122,5.8188,5.7612,5.7933,442368,0
RPAI.US,D,20120501,000000,5.7741,5.8512,5.7741,5.8254,359343,0
RPAI.US,D,20120502,000000,5.7933,5.8446,5.7675,5.806,449031,0
RPAI.US,D,20120503,000000,5.7168,5.838,5.7168,5.7933,940775,0
RPAI.US,D,20120504,000000,5.7168,5.8122,5.7168,5.7421,670445,0
RPAI.US,D,20120507,000000,5.7036,5.7612,5.6843,5.7421,395518,0
RPAI.US,D,20120508,000000,5.6973,5.7612,5.6332,5.7484,1022848,0
RPAI.US,D,20120509,000000,5.4416,5.7612,5.4416,5.7168,288235,0
RPAI.US,D,20120510,000000,5.6973,5.8254,5.6973,5.8254,385814,0
RPAI.US,D,20120511,000000,5.7612,5.838,5.7612,5.8188,996879,0
RPAI.US,D,20120514,000000,5.8122,5.8574,5.8122,5.8317,393291,0
RPAI.US,D,20120515,000000,5.8254,5.8701,5.7997,5.8254,572019,0
RPAI.US,D,20120516,000000,5.7997,5.8254,5.7293,5.7612,498338,0
RPAI.US,D,20120517,000000,5.7354,5.7354,5.6205,5.6269,443353,0
RPAI.US,D,20120518,000000,5.6011,5.6332,5.5244,5.5308,334724,0
RPAI.US,D,20120521,000000,5.5758,5.7612,5.5758,5.7168,350667,0
RPAI.US,D,20120522,000000,5.6717,5.7168,5.6397,5.6843,1357251,0
RPAI.US,D,20120523,000000,5.6332,5.7354,5.6332,5.6779,262300,0
RPAI.US,D,20120524,000000,5.6973,5.7293,5.6523,5.7168,373119,0
RPAI.US,D,20120525,000000,5.6908,5.7232,5.5693,5.7036,405125,0
RPAI.US,D,20120529,000000,5.7421,5.806,5.6779,5.7741,497176,0
RPAI.US,D,20120530,000000,5.7421,5.7868,5.6779,5.7868,386708,0
RPAI.US,D,20120531,000000,5.7612,5.8574,5.7293,5.8574,281742,0
RPAI.US,D,20120601,000000,5.7232,5.8446,5.6717,5.6717,409074,0
RPAI.US,D,20120604,000000,5.6523,5.6651,5.4416,5.5372,516349,0
RPAI.US,D,20120605,000000,5.5373,5.7006,5.5373,5.6938,215404,0
