<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPRQ-WS.US,D,20210119,000000,2.81,3.05,2.62,2.7,218853,0
SPRQ-WS.US,D,20210120,000000,2.8,2.88,2.72,2.72,104439,0
SPRQ-WS.US,D,20210121,000000,2.76,3,2.66,2.73,239970,0
SPRQ-WS.US,D,20210122,000000,2.54,3.15,2.53,2.7198,317744,0
SPRQ-WS.US,D,20210125,000000,4.11,4.21,3.21,3.39,6765850,0
SPRQ-WS.US,D,20210126,000000,3.6,3.6,2.9,2.9099,2293686,0
SPRQ-WS.US,D,20210127,000000,2.65,2.98,2.34,2.34,1529653,0
SPRQ-WS.US,D,20210128,000000,2.6,2.7,2.3,2.3,802349,0
SPRQ-WS.US,D,20210129,000000,2.35,2.54,2.31,2.33,394135,0
SPRQ-WS.US,D,20210201,000000,2.44,2.75,2.35,2.61,877570,0
SPRQ-WS.US,D,20210202,000000,2.66,2.75,2.52,2.54,954617,0
SPRQ-WS.US,D,20210203,000000,2.71,2.8201,2.55,2.75,976628,0
SPRQ-WS.US,D,20210204,000000,2.91,2.91,2.6,2.75,542592,0
SPRQ-WS.US,D,20210205,000000,2.77,2.91,2.66,2.89,525118,0
SPRQ-WS.US,D,20210208,000000,3,3.05,2.85,2.98,734269,0
SPRQ-WS.US,D,20210209,000000,2.94,2.94,2.71,2.8,518088,0
SPRQ-WS.US,D,20210210,000000,2.8,2.865,2.66,2.73,437543,0
SPRQ-WS.US,D,20210211,000000,2.66,3,2.61,2.91,382389,0
SPRQ-WS.US,D,20210212,000000,2.99,2.99,2.72,2.78,179964,0
SPRQ-WS.US,D,20210216,000000,3,3,2.63,2.7,235319,0
SPRQ-WS.US,D,20210217,000000,2.75,2.757,2.61,2.6459,143841,0
SPRQ-WS.US,D,20210218,000000,2.62,2.89,2.54,2.66,170012,0
SPRQ-WS.US,D,20210219,000000,2.85,2.85,2.49,2.53,421384,0
SPRQ-WS.US,D,20210222,000000,2.7,2.81,2.56,2.59,421829,0
SPRQ-WS.US,D,20210223,000000,2.49,2.49,1.9899,2.05,903978,0
SPRQ-WS.US,D,20210224,000000,2.15,2.27,2.15,2.22,233814,0
SPRQ-WS.US,D,20210225,000000,2.21,2.21,1.8,1.875,434836,0
SPRQ-WS.US,D,20210226,000000,1.91,2.0299,1.87,1.95,307590,0
SPRQ-WS.US,D,20210301,000000,2.12,2.12,1.91,1.93,159732,0
SPRQ-WS.US,D,20210302,000000,1.92,2.03,1.7805,2,241695,0
SPRQ-WS.US,D,20210303,000000,1.9,1.96,1.85,1.9,229632,0
SPRQ-WS.US,D,20210304,000000,1.75,1.9001,1.61,1.73,553308,0
SPRQ-WS.US,D,20210305,000000,1.6,1.75,1.45,1.73,394435,0
SPRQ-WS.US,D,20210308,000000,1.83,1.83,1.6,1.67,124560,0
SPRQ-WS.US,D,20210309,000000,1.73,1.75,1.68,1.75,128887,0
SPRQ-WS.US,D,20210310,000000,1.766,2.14,1.75,2.14,245692,0
SPRQ-WS.US,D,20210311,000000,2.23,2.23,1.96,2.17,231926,0
SPRQ-WS.US,D,20210312,000000,2.27,2.27,1.9301,2.12,42461,0
SPRQ-WS.US,D,20210315,000000,2.12,2.295,2.0501,2.24,90433,0
SPRQ-WS.US,D,20210316,000000,2.3,2.3,2.14,2.25,251916,0
SPRQ-WS.US,D,20210317,000000,2.27,2.27,2.1006,2.1006,51513,0
SPRQ-WS.US,D,20210318,000000,2.3,2.3,1.99,2.04,103971,0
SPRQ-WS.US,D,20210319,000000,2.25,2.25,1.975,2.01,92149,0
SPRQ-WS.US,D,20210322,000000,2.02,2.0497,1.8,1.92,217098,0
SPRQ-WS.US,D,20210323,000000,1.985,2,1.89,1.925,61325,0
SPRQ-WS.US,D,20210324,000000,1.9948,1.9948,1.85,1.9,101322,0
SPRQ-WS.US,D,20210325,000000,1.8,1.825,1.55,1.79,152108,0
SPRQ-WS.US,D,20210326,000000,1.8,1.8,1.67,1.67,88124,0
SPRQ-WS.US,D,20210329,000000,1.67,1.67,1.5801,1.67,167811,0
SPRQ-WS.US,D,20210330,000000,1.58,1.79,1.58,1.79,181972,0
SPRQ-WS.US,D,20210331,000000,1.79,1.88,1.75,1.83,63859,0
SPRQ-WS.US,D,20210401,000000,1.79,1.93,1.79,1.8901,97891,0
SPRQ-WS.US,D,20210405,000000,1.99,1.99,1.7701,1.87,51146,0
SPRQ-WS.US,D,20210406,000000,1.98,1.98,1.82,1.89,33965,0
SPRQ-WS.US,D,20210407,000000,1.98,1.98,1.8,1.89,127220,0
SPRQ-WS.US,D,20210408,000000,2,2,1.75,1.9,76039,0
SPRQ-WS.US,D,20210409,000000,2,2,1.8,1.87,14033,0
SPRQ-WS.US,D,20210412,000000,2.04,2.04,1.78,1.99,50169,0
SPRQ-WS.US,D,20210413,000000,2.07,2.07,1.8,1.95,25285,0
SPRQ-WS.US,D,20210414,000000,1.83,1.9,1.672,1.76,97869,0
SPRQ-WS.US,D,20210415,000000,1.94,1.94,1.63,1.72,100569,0
SPRQ-WS.US,D,20210416,000000,1.84,1.8409,1.65,1.82,76948,0
SPRQ-WS.US,D,20210419,000000,1.7301,1.78,1.53,1.59,39763,0
SPRQ-WS.US,D,20210420,000000,1.56,1.64,1.36,1.43,79412,0
SPRQ-WS.US,D,20210421,000000,1.44,1.54,1.355,1.54,52851,0
SPRQ-WS.US,D,20210422,000000,1.5,1.51,1.48,1.49,25247,0
SPRQ-WS.US,D,20210423,000000,1.4,1.54,1.4,1.53,26094,0
