<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STZ-B.US,D,20100824,000000,15.44,15.44,15.44,15.44,213,0
STZ-B.US,D,20100825,000000,15.306,15.54,15.306,15.54,324,0
STZ-B.US,D,20100831,000000,15.306,15.604,15.306,15.604,3322,0
STZ-B.US,D,20100901,000000,15.84,15.952,15.84,15.952,860,0
STZ-B.US,D,20100903,000000,16.1,16.167,16.1,16.167,428,0
STZ-B.US,D,20100907,000000,15.868,15.868,15.868,15.868,100,0
STZ-B.US,D,20100909,000000,15.708,15.84,15.7,15.84,1150,0
STZ-B.US,D,20100913,000000,16.1,16.1,16.1,16.1,100,0
STZ-B.US,D,20100914,000000,16.24,16.24,16.177,16.177,535,0
STZ-B.US,D,20100915,000000,16.269,16.547,16.269,16.538,1927,0
STZ-B.US,D,20100916,000000,16.315,16.521,16.315,16.521,638,0
STZ-B.US,D,20100917,000000,16.727,16.727,16.727,16.727,213,0
STZ-B.US,D,20100920,000000,16.902,16.959,16.902,16.959,535,0
STZ-B.US,D,20100921,000000,16.93,16.93,16.93,16.93,428,0
STZ-B.US,D,20100922,000000,16.837,16.837,16.837,16.837,100,0
STZ-B.US,D,20100923,000000,16.679,16.755,16.624,16.624,428,0
STZ-B.US,D,20100924,000000,16.902,17.017,16.902,17.017,324,0
STZ-B.US,D,20100927,000000,16.745,16.745,16.745,16.745,100,0
STZ-B.US,D,20100928,000000,16.67,16.67,16.567,16.567,213,0
STZ-B.US,D,20100929,000000,16.652,16.652,16.491,16.521,3429,0
STZ-B.US,D,20100930,000000,16.67,16.67,16.67,16.67,100,0
STZ-B.US,D,20101001,000000,16.587,16.587,16.587,16.587,428,0
STZ-B.US,D,20101004,000000,16.577,16.577,16.577,16.577,100,0
STZ-B.US,D,20101005,000000,16.482,16.531,15.934,16.531,3349,0
STZ-B.US,D,20101006,000000,16.391,17.305,16.391,17.248,2251,0
STZ-B.US,D,20101007,000000,17.539,17.539,17.446,17.446,324,0
STZ-B.US,D,20101008,000000,17.427,17.5,17.427,17.5,535,0
STZ-B.US,D,20101011,000000,17.354,17.817,17.354,17.743,7393,0
STZ-B.US,D,20101012,000000,17.585,17.688,17.218,17.688,638,0
STZ-B.US,D,20101013,000000,17.873,17.903,17.743,17.743,2175,0
STZ-B.US,D,20101014,000000,17.781,17.781,17.688,17.697,964,0
STZ-B.US,D,20101018,000000,17.854,17.986,17.854,17.986,213,0
STZ-B.US,D,20101019,000000,17.863,17.873,16.988,17.873,2251,0
STZ-B.US,D,20101025,000000,18.105,18.349,18.105,18.339,428,0
STZ-B.US,D,20101026,000000,18.105,18.105,18.105,18.105,100,0
STZ-B.US,D,20101027,000000,17.873,17.873,17.64,17.64,213,0
STZ-B.US,D,20101028,000000,17.863,17.863,17.863,17.863,100,0
STZ-B.US,D,20101029,000000,17.95,18.435,17.95,18.435,638,0
STZ-B.US,D,20101103,000000,18.202,18.202,18.202,18.202,100,0
STZ-B.US,D,20101104,000000,18.435,18.435,18.435,18.435,213,0
STZ-B.US,D,20101105,000000,18.668,18.668,18.668,18.668,213,0
STZ-B.US,D,20101108,000000,18.603,18.742,18.603,18.742,2035,0
STZ-B.US,D,20101112,000000,18.368,18.368,18.368,18.368,213,0
STZ-B.US,D,20101115,000000,18.603,18.834,18.603,18.834,213,0
STZ-B.US,D,20101116,000000,18.805,18.805,18.574,18.574,324,0
STZ-B.US,D,20101117,000000,18.63,18.63,18.63,18.63,100,0
STZ-B.US,D,20101118,000000,18.805,19.328,18.805,19.328,880,0
STZ-B.US,D,20101119,000000,19.508,19.508,19.508,19.508,213,0
STZ-B.US,D,20101122,000000,19.367,19.367,19.236,19.312,428,0
STZ-B.US,D,20101124,000000,19.544,19.544,18.844,19.472,19174,0
STZ-B.US,D,20101126,000000,19.319,19.319,19.303,19.303,753,0
STZ-B.US,D,20101129,000000,19.209,19.209,19.209,19.209,213,0
STZ-B.US,D,20101201,000000,19.425,19.618,19.425,19.618,213,0
STZ-B.US,D,20101202,000000,19.645,19.863,19.407,19.863,2097,0
STZ-B.US,D,20101203,000000,20.095,20.328,20.095,20.328,428,0
STZ-B.US,D,20101207,000000,20.095,20.152,20.095,20.152,1927,0
STZ-B.US,D,20101208,000000,20.011,20.051,20.002,20.051,753,0
STZ-B.US,D,20101213,000000,20.225,20.225,20.051,20.051,213,0
STZ-B.US,D,20101214,000000,19.992,19.992,19.992,19.992,100,0
STZ-B.US,D,20101215,000000,20.181,20.338,20.181,20.338,1605,0
STZ-B.US,D,20101216,000000,20.804,20.804,20.804,20.804,213,0
STZ-B.US,D,20101220,000000,20.572,20.572,20.552,20.552,324,0
STZ-B.US,D,20101221,000000,20.535,20.535,20.535,20.535,213,0
STZ-B.US,D,20101223,000000,20.767,20.767,20.767,20.767,100,0
STZ-B.US,D,20101228,000000,20.757,20.757,20.757,20.757,100,0
STZ-B.US,D,20101229,000000,20.702,20.702,20.702,20.702,100,0
STZ-B.US,D,20101230,000000,20.525,20.525,20.525,20.525,100,0
STZ-B.US,D,20101231,000000,20.656,20.656,20.656,20.656,213,0
STZ-B.US,D,20110103,000000,20.423,20.423,20.031,20.133,638,0
STZ-B.US,D,20110104,000000,19.954,19.954,19.816,19.816,428,0
STZ-B.US,D,20110106,000000,19.723,19.723,18.668,18.668,2784,0
STZ-B.US,D,20110107,000000,18.435,18.435,18.024,18.135,860,0
STZ-B.US,D,20110110,000000,18.248,18.443,18.248,18.443,324,0
STZ-B.US,D,20110111,000000,18.202,18.202,18.202,18.202,100,0
STZ-B.US,D,20110112,000000,17.873,17.95,17.873,17.95,213,0
STZ-B.US,D,20110113,000000,17.986,17.986,17.733,17.922,1287,0
STZ-B.US,D,20110114,000000,18.043,18.154,17.968,17.968,1353,0
STZ-B.US,D,20110118,000000,17.986,17.986,17.986,17.986,280,0
STZ-B.US,D,20110119,000000,17.968,17.968,17.968,17.968,213,0
STZ-B.US,D,20110121,000000,17.968,17.968,17.733,17.733,324,0
STZ-B.US,D,20110126,000000,17.986,17.986,17.733,17.873,753,0
STZ-B.US,D,20110127,000000,18.078,18.078,18.078,18.078,213,0
STZ-B.US,D,20110128,000000,17.845,17.845,17.845,17.845,100,0
STZ-B.US,D,20110131,000000,17.612,17.827,17.267,17.827,2510,0
STZ-B.US,D,20110201,000000,18.061,18.071,18.061,18.071,324,0
STZ-B.US,D,20110203,000000,18.304,18.304,18.304,18.304,100,0
STZ-B.US,D,20110204,000000,18.463,18.471,18.463,18.471,638,0
STZ-B.US,D,20110207,000000,18.537,18.556,18.537,18.547,428,0
STZ-B.US,D,20110208,000000,18.481,18.481,18.471,18.471,324,0
STZ-B.US,D,20110210,000000,18.574,18.574,18.574,18.574,324,0
STZ-B.US,D,20110211,000000,18.705,18.705,18.705,18.705,213,0
STZ-B.US,D,20110214,000000,18.761,18.902,18.761,18.902,3729,0
STZ-B.US,D,20110215,000000,19.106,19.106,18.93,19.106,324,0
STZ-B.US,D,20110216,000000,19.134,19.312,19.134,19.303,535,0
STZ-B.US,D,20110222,000000,19.347,19.347,18.986,18.986,1241,0
STZ-B.US,D,20110223,000000,18.986,18.986,18.844,18.844,324,0
STZ-B.US,D,20110224,000000,18.834,18.834,18.639,18.639,535,0
STZ-B.US,D,20110225,000000,18.824,18.824,18.824,18.824,100,0
STZ-B.US,D,20110301,000000,18.93,18.93,18.695,18.695,213,0
STZ-B.US,D,20110302,000000,18.377,18.613,18.377,18.377,213,0
STZ-B.US,D,20110303,000000,18.481,18.715,18.481,18.715,213,0
STZ-B.US,D,20110304,000000,18.705,18.705,18.239,18.295,428,0
STZ-B.US,D,20110307,000000,18.443,18.443,18.443,18.443,100,0
STZ-B.US,D,20110308,000000,18.678,18.678,18.613,18.613,213,0
STZ-B.US,D,20110310,000000,18.443,18.443,18.211,18.211,213,0
STZ-B.US,D,20110311,000000,18.078,18.078,18.078,18.078,100,0
STZ-B.US,D,20110314,000000,17.845,17.845,17.612,17.679,324,0
STZ-B.US,D,20110315,000000,17.257,17.408,17.007,17.408,428,0
STZ-B.US,D,20110317,000000,17.277,17.277,17.045,17.072,428,0
STZ-B.US,D,20110318,000000,17.182,17.182,17.182,17.182,100,0
STZ-B.US,D,20110322,000000,17.455,17.455,17.325,17.455,213,0
STZ-B.US,D,20110325,000000,18.078,18.078,17.724,18.078,324,0
