<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXI.US,D,20050225,000000,26.008,26.735,25.945,26.735,21725,0
SXI.US,D,20050228,000000,26.745,26.745,26.283,26.614,21942,0
SXI.US,D,20050301,000000,26.653,27.114,26.387,27.114,26177,0
SXI.US,D,20050302,000000,27.114,27.621,27.114,27.552,33017,0
SXI.US,D,20050303,000000,27.562,27.601,27.25,27.535,19445,0
SXI.US,D,20050304,000000,27.582,27.683,27.371,27.461,21182,0
SXI.US,D,20050307,000000,27.371,27.701,27.323,27.409,10320,0
SXI.US,D,20050308,000000,27.437,27.471,27.169,27.176,31065,0
SXI.US,D,20050309,000000,27.114,27.133,26.369,26.369,51051,0
SXI.US,D,20050310,000000,26.423,26.7,26.414,26.423,17162,0
SXI.US,D,20050311,000000,26.423,26.423,26.063,26.228,12923,0
SXI.US,D,20050314,000000,26.163,26.459,26.144,26.323,10755,0
SXI.US,D,20050315,000000,26.378,26.561,26.236,26.236,16073,0
SXI.US,D,20050316,000000,26.236,26.283,25.952,25.962,14123,0
SXI.US,D,20050317,000000,25.962,26.045,25.871,25.871,12167,0
SXI.US,D,20050318,000000,25.926,25.926,25.566,25.566,52681,0
SXI.US,D,20050321,000000,25.594,25.825,25.594,25.695,9559,0
SXI.US,D,20050322,000000,25.705,25.705,25.427,25.427,14446,0
SXI.US,D,20050323,000000,25.427,25.75,25.427,25.445,24981,0
SXI.US,D,20050324,000000,25.481,25.731,25.427,25.445,21071,0
SXI.US,D,20050328,000000,25.498,25.917,25.436,25.843,19773,0
SXI.US,D,20050329,000000,25.852,25.898,25.084,25.084,14775,0
SXI.US,D,20050330,000000,25.181,25.417,25.181,25.275,29108,0
SXI.US,D,20050331,000000,25.339,25.481,24.992,25.132,34325,0
SXI.US,D,20050401,000000,25.181,25.284,24.167,25.037,84724,0
SXI.US,D,20050404,000000,25.037,26.818,25.037,26.063,44968,0
SXI.US,D,20050405,000000,26.192,26.515,26.08,26.08,17162,0
SXI.US,D,20050406,000000,26.192,26.468,26.192,26.265,20202,0
SXI.US,D,20050407,000000,26.378,26.468,26.202,26.414,6734,0
SXI.US,D,20050408,000000,26.459,26.459,25.797,25.797,9453,0
SXI.US,D,20050411,000000,25.917,26.144,25.871,25.871,17599,0
SXI.US,D,20050412,000000,25.871,25.871,25.122,25.648,23352,0
SXI.US,D,20050413,000000,25.648,26.026,25.246,25.246,14552,0
SXI.US,D,20050414,000000,25.294,25.498,25.132,25.132,14339,0
SXI.US,D,20050415,000000,25.181,25.329,24.488,24.488,15317,0
SXI.US,D,20050418,000000,24.488,24.63,24.25,24.459,16513,0
SXI.US,D,20050419,000000,24.459,24.969,24.459,24.923,18573,0
SXI.US,D,20050420,000000,24.858,24.858,24.479,24.479,25523,0
SXI.US,D,20050421,000000,24.572,25.227,24.562,25.132,16513,0
SXI.US,D,20050422,000000,25.171,25.236,24.923,25.084,18684,0
SXI.US,D,20050425,000000,25.132,25.132,24.8,24.905,12384,0
SXI.US,D,20050426,000000,24.95,25.084,24.119,24.268,22159,0
SXI.US,D,20050427,000000,24.213,24.782,23.985,24.657,13145,0
SXI.US,D,20050428,000000,24.562,24.562,24.306,24.306,22378,0
SXI.US,D,20050429,000000,24.306,24.368,23.631,24.119,41492,0
SXI.US,D,20050502,000000,24.231,24.324,23.523,23.852,21182,0
SXI.US,D,20050503,000000,23.947,24.394,23.947,24.11,24111,0
SXI.US,D,20050504,000000,23.975,24.63,23.975,24.562,30088,0
SXI.US,D,20050505,000000,24.422,24.535,23.947,23.956,7927,0
SXI.US,D,20050506,000000,24.394,24.64,24.394,24.488,17162,0
SXI.US,D,20050509,000000,24.488,24.562,24.353,24.488,11297,0
SXI.US,D,20050510,000000,24.441,24.441,24.306,24.314,23571,0
SXI.US,D,20050511,000000,24.394,24.488,24.213,24.441,14231,0
SXI.US,D,20050512,000000,24.488,24.488,23.842,23.852,10535,0
SXI.US,D,20050513,000000,23.796,24.084,23.612,23.659,12492,0
SXI.US,D,20050516,000000,23.568,23.796,23.568,23.733,9341,0
SXI.US,D,20050517,000000,23.724,23.759,23.542,23.64,13689,0
SXI.US,D,20050518,000000,23.707,24.343,23.688,24.343,20313,0
SXI.US,D,20050519,000000,24.394,24.8,24.394,24.765,12058,0
SXI.US,D,20050520,000000,24.765,25.162,24.71,25.094,7059,0
SXI.US,D,20050523,000000,25.191,25.481,25.084,25.132,24873,0
SXI.US,D,20050524,000000,25.037,25.037,24.765,24.849,10212,0
SXI.US,D,20050525,000000,24.765,24.765,24.119,24.119,19333,0
SXI.US,D,20050526,000000,24.167,24.62,24.084,24.223,37149,0
SXI.US,D,20050527,000000,24.223,24.535,24.203,24.506,9120,0
SXI.US,D,20050531,000000,24.581,24.829,24.581,24.64,13470,0
SXI.US,D,20050601,000000,24.64,24.829,24.535,24.782,16726,0
SXI.US,D,20050602,000000,24.657,25.094,24.657,25.075,11625,0
SXI.US,D,20050603,000000,25.075,25.113,24.858,24.867,30522,0
SXI.US,D,20050606,000000,24.782,24.858,24.72,24.829,4236,0
SXI.US,D,20050607,000000,24.839,25.037,24.782,24.886,14339,0
SXI.US,D,20050608,000000,24.886,24.985,24.73,24.73,7820,0
SXI.US,D,20050609,000000,24.73,25.017,24.657,25.017,5214,0
SXI.US,D,20050610,000000,25.084,25.084,24.886,24.886,12709,0
SXI.US,D,20050613,000000,25.066,25.731,24.969,25.705,13578,0
SXI.US,D,20050614,000000,25.612,25.871,25.538,25.871,11297,0
SXI.US,D,20050615,000000,25.962,26.053,25.676,26.053,16726,0
SXI.US,D,20050616,000000,25.999,26.468,25.962,26.468,16945,0
SXI.US,D,20050617,000000,26.653,26.653,26.35,26.35,59417,0
SXI.US,D,20050620,000000,26.256,26.331,26.126,26.163,10971,0
SXI.US,D,20050621,000000,26.202,26.236,26.136,26.192,11184,0
SXI.US,D,20050622,000000,26.331,26.7,26.331,26.495,12923,0
SXI.US,D,20050623,000000,26.505,26.7,26.098,26.098,21182,0
SXI.US,D,20050624,000000,26.053,26.063,25.32,25.498,35193,0
