<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SZC.US,D,20120926,000000,45.921,45.972,45.921,45.948,122645,0
SZC.US,D,20120927,000000,45.948,46.027,45.948,46.027,4897,0
SZC.US,D,20120928,000000,45.921,46.127,45.665,45.948,42151,0
SZC.US,D,20121001,000000,45.948,46.046,45.948,45.972,5571,0
SZC.US,D,20121002,000000,46.027,46.027,45.921,45.991,4484,0
SZC.US,D,20121003,000000,45.921,46.005,45.921,45.921,4541,0
SZC.US,D,20121004,000000,45.921,45.921,45.789,45.816,1937,0
SZC.US,D,20121005,000000,45.847,45.847,45.563,45.583,16205,0
SZC.US,D,20121008,000000,45.665,45.921,45.307,45.665,12326,0
SZC.US,D,20121009,000000,45.693,45.91,45.563,45.832,7073,0
SZC.US,D,20121010,000000,45.758,45.847,45.563,45.832,3782,0
SZC.US,D,20121011,000000,45.758,45.758,45.487,45.563,7880,0
SZC.US,D,20121012,000000,45.563,45.665,45.544,45.583,5559,0
SZC.US,D,20121015,000000,45.563,45.758,45.563,45.646,5986,0
SZC.US,D,20121016,000000,45.847,45.91,45.733,45.847,1852,0
SZC.US,D,20121017,000000,45.91,45.921,45.77,45.77,2197,0
SZC.US,D,20121018,000000,45.77,46.058,45.758,45.758,1234,0
SZC.US,D,20121019,000000,45.832,46.027,45.758,45.847,3397,0
SZC.US,D,20121022,000000,45.91,46.127,45.91,46.127,3850,0
SZC.US,D,20121023,000000,46.027,46.294,45.847,45.921,4375,0
SZC.US,D,20121024,000000,45.91,45.91,45.563,45.758,3781,0
SZC.US,D,20121025,000000,45.847,45.847,45.041,45.26,10232,0
SZC.US,D,20121026,000000,45.351,45.374,44.999,45.374,11727,0
SZC.US,D,20121031,000000,44.999,45.789,44.999,45.789,20759,0
SZC.US,D,20121101,000000,45.876,45.91,45.418,45.418,3426,0
SZC.US,D,20121102,000000,45.48,45.544,45.307,45.544,1335,0
SZC.US,D,20121105,000000,45.48,45.646,45.201,45.48,2824,0
SZC.US,D,20121106,000000,45.48,46.027,45.48,45.921,22923,0
SZC.US,D,20121107,000000,45.921,45.991,45.921,45.991,27025,0
SZC.US,D,20121108,000000,45.898,45.991,45.816,45.948,11238,0
SZC.US,D,20121109,000000,45.816,45.816,45.583,45.758,1716,0
SZC.US,D,20121112,000000,45.665,45.665,45.201,45.201,3996,0
SZC.US,D,20121113,000000,45.201,45.201,44.201,44.551,9753,0
SZC.US,D,20121114,000000,44.466,44.466,41.544,42.26,63081,0
SZC.US,D,20121115,000000,42.158,42.158,39.789,40.456,20085,0
SZC.US,D,20121116,000000,40.704,41.803,40.423,40.586,10395,0
SZC.US,D,20121119,000000,41.35,41.578,40.083,40.526,26010,0
SZC.US,D,20121120,000000,40.733,41.116,40.277,40.603,13171,0
SZC.US,D,20121121,000000,40.986,41.716,40.603,41.232,10484,0
SZC.US,D,20121123,000000,41.097,42.033,41.097,41.165,4599,0
SZC.US,D,20121126,000000,41.293,42.033,40.82,41.35,16880,0
SZC.US,D,20121127,000000,41.185,42.184,41.015,41.372,22831,0
SZC.US,D,20121128,000000,41.486,42.568,41.486,41.898,11635,0
SZC.US,D,20121129,000000,42.395,42.948,41.833,42.313,23464,0
SZC.US,D,20121130,000000,42.207,43.474,42.158,43.013,15053,0
SZC.US,D,20121203,000000,42.669,42.966,41.775,42.06,8381,0
SZC.US,D,20121204,000000,41.878,42.336,41.506,42.014,15072,0
SZC.US,D,20121205,000000,42.568,42.568,41.428,41.637,9443,0
SZC.US,D,20121206,000000,41.428,41.52,40.711,40.986,15102,0
SZC.US,D,20121207,000000,41.35,41.506,40.82,41.394,4217,0
SZC.US,D,20121210,000000,41.174,41.597,40.915,41.293,4443,0
SZC.US,D,20121211,000000,41.066,41.597,40.441,41.046,18477,0
SZC.US,D,20121212,000000,40.942,41.41,40.82,40.962,5936,0
SZC.US,D,20121213,000000,40.839,41.027,40.787,40.986,8247,0
SZC.US,D,20121214,000000,40.986,41.331,40.86,41.165,4784,0
SZC.US,D,20121217,000000,41.451,41.547,41.097,41.297,16649,0
SZC.US,D,20121218,000000,41.046,41.428,40.911,41.331,32708,0
SZC.US,D,20121219,000000,41.275,42.256,41.174,41.694,19711,0
SZC.US,D,20121220,000000,41.528,42.048,41.509,41.928,17022,0
SZC.US,D,20121221,000000,41.905,42.709,41.862,42.176,9849,0
SZC.US,D,20121224,000000,42.372,42.608,41.734,41.905,13699,0
SZC.US,D,20121226,000000,42.12,42.12,41.648,41.738,20575,0
SZC.US,D,20121227,000000,41.815,41.823,41.474,41.528,12666,0
SZC.US,D,20121228,000000,41.255,41.823,41.066,41.255,24777,0
SZC.US,D,20121231,000000,41.597,42.473,41.35,42.15,18413,0
SZC.US,D,20130102,000000,42.403,43.435,42.403,43.326,7384,0
SZC.US,D,20130103,000000,43.59,44.259,43.298,44.06,4541,0
SZC.US,D,20130104,000000,44.517,44.637,43.651,43.889,10758,0
SZC.US,D,20130107,000000,43.458,44.481,43.458,44.481,6714,0
SZC.US,D,20130108,000000,44.481,44.481,43.968,43.968,11879,0
SZC.US,D,20130109,000000,44.225,44.841,44.116,44.637,8344,0
SZC.US,D,20130110,000000,44.977,44.977,44.146,44.602,24723,0
SZC.US,D,20130111,000000,44.717,44.717,44.116,44.301,7895,0
SZC.US,D,20130114,000000,44.452,44.735,43.948,44.195,3282,0
SZC.US,D,20130115,000000,44.033,44.225,43.666,44.181,10323,0
SZC.US,D,20130116,000000,44.225,44.225,44.021,44.165,6559,0
SZC.US,D,20130117,000000,44.225,44.602,44.135,44.551,60037,0
SZC.US,D,20130118,000000,44.652,44.754,44.524,44.569,20834,0
SZC.US,D,20130122,000000,44.717,45.193,44.652,45.091,17799,0
SZC.US,D,20130123,000000,44.735,45.499,44.735,45.354,20233,0
SZC.US,D,20130124,000000,45.499,45.499,45.299,45.313,14417,0
SZC.US,D,20130125,000000,45.499,45.917,45.354,45.499,13310,0
SZC.US,D,20130128,000000,45.354,45.56,45.154,45.536,15899,0
SZC.US,D,20130129,000000,45.669,45.896,45.56,45.847,11107,0
SZC.US,D,20130130,000000,45.689,45.863,45.465,45.706,22497,0
SZC.US,D,20130131,000000,45.812,45.896,45.52,45.896,21248,0
SZC.US,D,20130201,000000,45.812,46.436,45.812,46.317,19269,0
SZC.US,D,20130204,000000,46.171,46.317,45.499,45.863,9516,0
SZC.US,D,20130205,000000,46.264,46.274,45.669,46.274,11407,0
SZC.US,D,20130206,000000,46.171,46.171,45.477,46.103,12803,0
SZC.US,D,20130207,000000,45.944,46.103,45.536,45.917,8881,0
SZC.US,D,20130208,000000,46.082,46.082,45.689,45.896,8378,0
SZC.US,D,20130211,000000,45.988,46.249,45.642,46.249,5542,0
SZC.US,D,20130212,000000,46.171,46.171,45.896,46.046,13315,0
SZC.US,D,20130213,000000,46.082,46.237,45.917,46.127,19089,0
SZC.US,D,20130214,000000,45.896,46.264,45.896,46.264,15116,0
SZC.US,D,20130215,000000,46.264,46.264,45.828,45.988,26074,0
SZC.US,D,20130219,000000,45.863,46.436,45.863,46.436,11998,0
SZC.US,D,20130220,000000,46.535,46.535,45.828,46.237,17403,0
SZC.US,D,20130221,000000,45.944,46.082,45.536,45.812,17236,0
SZC.US,D,20130222,000000,45.873,46.082,45.726,46.058,14312,0
SZC.US,D,20130225,000000,46.264,46.264,45.52,45.706,21599,0
SZC.US,D,20130226,000000,45.689,45.816,45.382,45.597,8762,0
SZC.US,D,20130227,000000,45.382,46.155,45.382,45.898,6267,0
SZC.US,D,20130228,000000,46.07,46.446,45.098,45.457,28839,0
SZC.US,D,20130301,000000,45.571,46.41,45.571,46.325,18176,0
SZC.US,D,20130304,000000,46.182,46.578,46.031,46.578,9062,0
SZC.US,D,20130305,000000,46.73,46.746,46.309,46.578,11529,0
SZC.US,D,20130306,000000,46.512,46.594,45.828,45.91,17241,0
SZC.US,D,20130307,000000,46.089,46.245,45.706,46.046,13603,0
SZC.US,D,20130308,000000,46.137,46.568,46.137,46.568,7801,0
SZC.US,D,20130311,000000,46.701,46.73,45.789,46.546,13048,0
SZC.US,D,20130312,000000,46.678,46.787,46.261,46.512,18686,0
SZC.US,D,20130313,000000,46.267,46.889,46.267,46.766,9419,0
SZC.US,D,20130314,000000,46.613,46.766,46.287,46.309,7761,0
SZC.US,D,20130315,000000,46.492,46.649,46.046,46.325,4975,0
SZC.US,D,20130318,000000,45.88,46.481,45.789,46.388,11929,0
SZC.US,D,20130319,000000,46.369,46.432,44.879,45.77,31841,0
SZC.US,D,20130320,000000,46.137,46.205,45.483,46.008,17130,0
SZC.US,D,20130321,000000,45.689,46.261,45.358,46.07,16964,0
SZC.US,D,20130322,000000,46.233,46.659,46.233,46.432,9233,0
SZC.US,D,20130325,000000,46.578,46.766,46.432,46.531,15438,0
SZC.US,D,20130326,000000,46.659,46.939,46.137,46.446,54007,0
SZC.US,D,20130327,000000,46.089,46.388,46.008,46.155,24495,0
SZC.US,D,20130328,000000,46.325,46.388,45.706,45.898,66589,0
SZC.US,D,20130401,000000,45.816,46.089,45.816,45.91,9588,0
SZC.US,D,20130402,000000,46.261,46.341,46.046,46.261,12723,0
SZC.US,D,20130403,000000,46.546,46.546,45.473,45.669,19668,0
SZC.US,D,20130404,000000,45.828,46.137,45.669,45.847,16224,0
SZC.US,D,20130405,000000,45.358,45.536,45.098,45.536,19022,0
SZC.US,D,20130408,000000,45.351,45.622,45.264,45.517,28710,0
SZC.US,D,20130409,000000,45.642,45.972,45.457,45.972,20923,0
SZC.US,D,20130410,000000,45.91,46.613,45.91,46.613,32699,0
SZC.US,D,20130411,000000,46.862,47.35,46.568,47.172,34313,0
SZC.US,D,20130412,000000,47.109,47.13,46.73,47.064,13059,0
SZC.US,D,20130415,000000,47.064,47.226,45.726,45.755,30492,0
SZC.US,D,20130416,000000,46.182,46.341,45.382,45.816,15014,0
SZC.US,D,20130417,000000,45.789,45.828,45.162,45.457,10166,0
