<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGI.US,D,20120224,000000,7.7262,7.7262,7.6867,7.7214,2102332,0
VGI.US,D,20120227,000000,7.7424,7.7424,7.7087,7.7262,224335,0
VGI.US,D,20120228,000000,7.7465,7.7465,7.7087,7.7354,120172,0
VGI.US,D,20120229,000000,7.7087,7.7303,7.7087,7.7262,137009,0
VGI.US,D,20120301,000000,7.7087,7.7262,7.7087,7.7262,95296,0
VGI.US,D,20120302,000000,7.7262,7.7262,7.7087,7.7087,19153,0
VGI.US,D,20120305,000000,7.7087,7.7303,7.7087,7.7262,89037,0
VGI.US,D,20120306,000000,7.7262,7.7303,7.7214,7.7303,30620,0
VGI.US,D,20120307,000000,7.7087,7.7262,7.7087,7.7262,22719,0
VGI.US,D,20120308,000000,7.7465,7.7465,7.7193,7.7262,4269,0
VGI.US,D,20120309,000000,7.7193,7.7262,7.7087,7.7262,28736,0
VGI.US,D,20120312,000000,7.7262,7.7303,7.7262,7.7303,8088,0
VGI.US,D,20120313,000000,7.7303,7.7303,7.7262,7.7303,13065,0
VGI.US,D,20120314,000000,7.7262,7.7303,7.7262,7.7262,18629,0
VGI.US,D,20120315,000000,7.7262,7.7303,7.7262,7.7303,16258,0
VGI.US,D,20120316,000000,7.7262,7.7465,7.7262,7.7303,15905,0
VGI.US,D,20120319,000000,7.7262,7.7303,7.7262,7.7262,11436,0
VGI.US,D,20120320,000000,7.7262,7.7303,7.7262,7.7303,18376,0
VGI.US,D,20120321,000000,7.7303,7.7465,7.7262,7.7354,19714,0
VGI.US,D,20120322,000000,7.7465,7.8014,7.7303,7.7465,43016,0
VGI.US,D,20120323,000000,7.7465,7.767,7.7303,7.7303,14294,0
VGI.US,D,20120326,000000,7.7303,7.7465,7.7262,7.7354,19933,0
VGI.US,D,20120327,000000,7.7354,7.7465,7.7354,7.7465,10792,0
VGI.US,D,20120328,000000,7.7633,7.7633,7.7262,7.7262,146031,0
VGI.US,D,20120329,000000,7.7262,7.7303,7.7087,7.7262,230173,0
VGI.US,D,20120330,000000,7.7262,7.7465,7.7262,7.7465,143132,0
VGI.US,D,20120402,000000,7.7262,7.7465,7.7262,7.7465,102669,0
VGI.US,D,20120403,000000,7.8233,7.8233,7.707,7.7262,394499,0
VGI.US,D,20120404,000000,7.7087,7.7303,7.707,7.7087,226114,0
VGI.US,D,20120405,000000,7.7262,7.7303,7.7087,7.7193,98485,0
VGI.US,D,20120409,000000,7.6787,7.6787,7.3389,7.4316,155753,0
VGI.US,D,20120410,000000,7.4739,7.533,7.4373,7.4525,56851,0
VGI.US,D,20120411,000000,7.5083,7.5083,7.3991,7.4525,33252,0
VGI.US,D,20120412,000000,7.4583,7.5172,7.3991,7.4499,40968,0
VGI.US,D,20120413,000000,7.4677,7.6355,7.409,7.4739,36734,0
VGI.US,D,20120416,000000,7.533,7.6867,7.3083,7.3669,75323,0
VGI.US,D,20120417,000000,7.6511,7.6511,7.0547,7.1685,218379,0
VGI.US,D,20120418,000000,7.1927,7.2446,7.0522,7.2446,115415,0
VGI.US,D,20120419,000000,7.2837,7.4133,7.2837,7.3815,32685,0
VGI.US,D,20120420,000000,7.3359,7.3443,7.226,7.3011,66746,0
VGI.US,D,20120423,000000,7.2446,7.2729,7.0522,7.1293,75069,0
VGI.US,D,20120424,000000,6.9771,7.3011,6.9771,7.1754,151642,0
VGI.US,D,20120425,000000,7.1964,7.2644,7.0696,7.1293,131195,0
VGI.US,D,20120426,000000,7.1439,7.1439,7.0324,7.0663,72850,0
