<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMT.US,D,19720320,000000,0.03175,0.03175,0.03175,0.03175,3357499,0
WMT.US,D,19720322,000000,0.03175,0.03965,0.03175,0.03175,1162209,0
WMT.US,D,19720323,000000,0.03175,0.03965,0.03175,0.03175,839376,0
WMT.US,D,19720324,000000,0.03175,0.03965,0.03175,0.03175,1355911,0
WMT.US,D,19720327,000000,0.03965,0.03965,0.03965,0.03965,1485047,0
WMT.US,D,19720328,000000,0.03965,0.03965,0.03965,0.03965,1872449,0
WMT.US,D,19720329,000000,0.03965,0.03965,0.03965,0.03965,1678745,0
WMT.US,D,19720330,000000,0.03965,0.03965,0.03965,0.03965,1614182,0
WMT.US,D,19720403,000000,0.03965,0.03965,0.03175,0.03175,516539,0
WMT.US,D,19720404,000000,0.03175,0.03965,0.03175,0.03175,516539,0
WMT.US,D,19720405,000000,0.03175,0.03175,0.03175,0.03175,387402,0
WMT.US,D,19720406,000000,0.03175,0.03175,0.03175,0.03175,968510,0
WMT.US,D,19720407,000000,0.03175,0.03175,0.03175,0.03175,1678745,0
WMT.US,D,19720410,000000,0.03175,0.03175,0.03175,0.03175,451969,0
WMT.US,D,19720411,000000,0.03175,0.03175,0.03175,0.03175,1420478,0
WMT.US,D,19720412,000000,0.03175,0.03175,0.03175,0.03175,451969,0
WMT.US,D,19720413,000000,0.03175,0.03175,0.03175,0.03175,645670,0
WMT.US,D,19720508,000000,0.03175,0.03175,0.03175,0.03175,10911865,0
WMT.US,D,19720511,000000,0.03175,0.03175,0.03175,0.03175,6198452,0
WMT.US,D,19720512,000000,0.03175,0.03175,0.03175,0.03175,4003167,0
WMT.US,D,19720515,000000,0.03175,0.03175,0.03175,0.03175,14979597,0
WMT.US,D,19720516,000000,0.03175,0.03175,0.03175,0.03175,5681915,0
WMT.US,D,19720517,000000,0.03175,0.03175,0.03175,0.03175,4519703,0
WMT.US,D,19720518,000000,0.03175,0.03175,0.03175,0.03175,4584274,0
WMT.US,D,19720519,000000,0.03965,0.03965,0.03965,0.03965,9039417,0
WMT.US,D,19720522,000000,0.03965,0.03965,0.03965,0.03965,4196870,0
WMT.US,D,19720523,000000,0.03965,0.03965,0.03965,0.03965,6908693,0
WMT.US,D,19720524,000000,0.03965,0.03965,0.03965,0.03965,9620518,0
WMT.US,D,19720525,000000,0.03965,0.03965,0.03965,0.03965,4003167,0
