<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMO.US,D,20050225,000000,19.904,20.294,19.672,20.071,262802,0
IMO.US,D,20050228,000000,20.376,21.05,19.964,20.117,451597,0
IMO.US,D,20050301,000000,20.037,20.32,19.97,20.037,192046,0
IMO.US,D,20050302,000000,19.946,20.238,19.939,20.222,237530,0
IMO.US,D,20050303,000000,20.177,20.609,20.177,20.586,246555,0
IMO.US,D,20050304,000000,20.775,21.209,20.745,21.107,452675,0
IMO.US,D,20050307,000000,21.107,21.13,20.678,20.694,314058,0
IMO.US,D,20050308,000000,20.702,21.002,20.501,20.942,329226,0
IMO.US,D,20050309,000000,21.027,21.182,20.609,20.609,270741,0
IMO.US,D,20050310,000000,20.609,20.609,19.789,19.886,324166,0
IMO.US,D,20050311,000000,19.886,20.212,19.804,19.929,168581,0
IMO.US,D,20050314,000000,19.939,20.125,19.588,20.054,152696,0
IMO.US,D,20050315,000000,20.16,20.453,20.045,20.252,134650,0
IMO.US,D,20050316,000000,20.194,20.618,20.151,20.527,204318,0
IMO.US,D,20050317,000000,20.669,20.978,20.626,20.969,252330,0
IMO.US,D,20050318,000000,20.969,21.384,20.969,21.13,224172,0
IMO.US,D,20050321,000000,21.13,21.13,20.535,20.809,454483,0
IMO.US,D,20050322,000000,20.868,21.018,20.694,20.694,207567,0
IMO.US,D,20050323,000000,20.222,20.303,19.797,20.012,257026,0
IMO.US,D,20050324,000000,20.104,20.247,19.964,20.054,114434,0
IMO.US,D,20050328,000000,19.879,19.929,19.612,19.913,225975,0
IMO.US,D,20050329,000000,19.97,20.717,19.97,20.593,357379,0
IMO.US,D,20050330,000000,20.52,20.626,20.187,20.36,196739,0
IMO.US,D,20050331,000000,20.501,21.115,20.501,21.092,232476,0
IMO.US,D,20050401,000000,21.233,21.857,20.859,21.648,337882,0
IMO.US,D,20050404,000000,21.648,22.089,21.413,21.838,446903,0
IMO.US,D,20050405,000000,21.838,21.847,21.35,21.501,316589,0
IMO.US,D,20050406,000000,21.277,21.501,21.059,21.501,358821,0
IMO.US,D,20050407,000000,21.555,22.131,21.358,21.631,318392,0
IMO.US,D,20050408,000000,21.439,21.683,21.085,21.14,292398,0
IMO.US,D,20050411,000000,20.885,21.192,20.793,21.092,258104,0
IMO.US,D,20050412,000000,21.092,21.192,20.501,20.702,361708,0
IMO.US,D,20050413,000000,20.252,20.494,20.088,20.203,419106,0
IMO.US,D,20050414,000000,20.169,20.419,20.143,20.187,176523,0
IMO.US,D,20050415,000000,20.111,20.335,20.019,20.133,266408,0
IMO.US,D,20050418,000000,19.964,20.169,19.763,19.913,338969,0
IMO.US,D,20050419,000000,19.956,20.759,19.956,20.753,195655,0
IMO.US,D,20050420,000000,20.71,21.05,20.569,20.783,369290,0
IMO.US,D,20050421,000000,20.662,20.726,20.294,20.486,367483,0
IMO.US,D,20050422,000000,20.419,20.809,20.36,20.419,194933,0
IMO.US,D,20050425,000000,20.501,20.827,20.32,20.818,166055,0
IMO.US,D,20050426,000000,20.527,20.702,20.443,20.453,123459,0
IMO.US,D,20050427,000000,20.428,20.428,20.088,20.096,128875,0
