<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REPX.US,D,20050225,000000,26.4,26.4,24,25.2,598,0
REPX.US,D,20050228,000000,26.4,26.4,22.8,22.8,1119,0
REPX.US,D,20050301,000000,24,24,22.8,22.8,389,0
REPX.US,D,20050302,000000,22.8,25.2,22.8,24,425,0
REPX.US,D,20050303,000000,15.6,25.2,15.6,22.8,1407,0
REPX.US,D,20050304,000000,24,26.4,22.8,25.2,1976,0
REPX.US,D,20050307,000000,25.2,31.2,24,28.8,5324,0
REPX.US,D,20050308,000000,28.8,33.6,24,30,10164,0
REPX.US,D,20050309,000000,33.6,48,33.6,40.8,22659,0
REPX.US,D,20050310,000000,42,43.2,36,38.4,8812,0
REPX.US,D,20050311,000000,38.4,40.8,31.2,37.2,3699,0
REPX.US,D,20050314,000000,36,38.4,33.6,34.8,2074,0
REPX.US,D,20050315,000000,37.2,37.2,32.4,32.4,2244,0
REPX.US,D,20050316,000000,31.2,34.8,30,31.2,4045,0
REPX.US,D,20050317,000000,31.2,33.6,28.8,28.8,2858,0
REPX.US,D,20050318,000000,30,33.6,30,33.6,3502,0
REPX.US,D,20050321,000000,33.6,33.6,30,31.2,1282,0
REPX.US,D,20050322,000000,32.4,36,31.2,33.6,1635,0
REPX.US,D,20050323,000000,33.6,33.6,31.2,33.6,1563,0
REPX.US,D,20050324,000000,33.6,34.8,31.2,33.6,2167,0
REPX.US,D,20050328,000000,33.6,33.6,32.4,32.4,710,0
REPX.US,D,20050329,000000,32.4,34.8,32.4,32.4,700,0
REPX.US,D,20050330,000000,33.6,33.6,30,31.2,687,0
REPX.US,D,20050331,000000,31.2,31.2,28.8,30,585,0
REPX.US,D,20050401,000000,30,31.2,27.6,31.2,2020,0
REPX.US,D,20050404,000000,31.2,34.8,30,32.4,1225,0
REPX.US,D,20050405,000000,31.2,33.6,30,30,326,0
REPX.US,D,20050406,000000,31.2,32.4,28.8,31.2,798,0
REPX.US,D,20050407,000000,30,31.2,28.8,30,371,0
REPX.US,D,20050408,000000,30,31.2,28.8,30,161,0
REPX.US,D,20050411,000000,28.8,30,27.6,28.8,348,0
REPX.US,D,20050412,000000,27.6,30,27.6,28.8,219,0
REPX.US,D,20050413,000000,28.8,30,28.8,30,862,0
REPX.US,D,20050414,000000,30,30,27.6,30,297,0
REPX.US,D,20050415,000000,30,30,28.8,28.8,152,0
REPX.US,D,20050418,000000,30,30,30,30,28,0
REPX.US,D,20050419,000000,28.8,30,28.8,28.8,33,0
REPX.US,D,20050420,000000,28.8,30,27.6,30,705,0
REPX.US,D,20050421,000000,28.8,30,27.6,27.6,611,0
REPX.US,D,20050422,000000,27.6,31.2,27.6,28.8,2693,0
REPX.US,D,20050425,000000,28.8,30,28.8,30,497,0
REPX.US,D,20050426,000000,28.8,30,28.8,30,184,0
REPX.US,D,20050427,000000,28.8,31.2,28.8,28.8,664,0
REPX.US,D,20050428,000000,31.2,31.2,27.6,31.2,1025,0
REPX.US,D,20050429,000000,31.2,33.6,31.2,33.6,973,0
REPX.US,D,20050502,000000,33.6,33.6,30,31.2,1350,0
REPX.US,D,20050503,000000,32.4,32.4,25.2,27.6,10077,0
