<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VHAQ-WS.US,D,20210208,000000,0.75,0.85,0.729823,0.731,681785,0
VHAQ-WS.US,D,20210209,000000,0.72,0.75,0.6499,0.725199,1652056,0
VHAQ-WS.US,D,20210210,000000,0.7301,0.7301,0.68,0.695,354928,0
VHAQ-WS.US,D,20210211,000000,0.7,0.7,0.651,0.69,260188,0
VHAQ-WS.US,D,20210212,000000,0.69,0.75,0.68,0.75,287779,0
VHAQ-WS.US,D,20210216,000000,0.75,0.75,0.6998,0.73,208738,0
VHAQ-WS.US,D,20210217,000000,0.75,0.7589,0.66,0.7589,340690,0
VHAQ-WS.US,D,20210218,000000,0.7,0.749899,0.68,0.695,390109,0
VHAQ-WS.US,D,20210219,000000,0.7,0.74,0.685,0.709899,527126,0
VHAQ-WS.US,D,20210222,000000,0.71,0.711,0.6601,0.68,886164,0
VHAQ-WS.US,D,20210223,000000,0.68,0.7,0.6112,0.65,271944,0
VHAQ-WS.US,D,20210224,000000,0.64,0.68,0.63,0.66,87424,0
VHAQ-WS.US,D,20210225,000000,0.65,0.66,0.52,0.5771,365344,0
VHAQ-WS.US,D,20210226,000000,0.61,0.61,0.5472,0.5727,297368,0
VHAQ-WS.US,D,20210301,000000,0.64,0.64,0.55,0.609,118241,0
VHAQ-WS.US,D,20210302,000000,0.609899,0.609899,0.5,0.5789,320800,0
VHAQ-WS.US,D,20210303,000000,0.55,0.6,0.5012,0.56,167444,0
VHAQ-WS.US,D,20210304,000000,0.51,0.51,0.3403,0.4087,652970,0
VHAQ-WS.US,D,20210305,000000,0.3989,0.47,0.3989,0.4699,294859,0
VHAQ-WS.US,D,20210308,000000,0.465699,0.498699,0.4112,0.44,53296,0
VHAQ-WS.US,D,20210309,000000,0.4,0.479899,0.4,0.47,49845,0
VHAQ-WS.US,D,20210310,000000,0.45,0.48,0.4101,0.46,65792,0
VHAQ-WS.US,D,20210311,000000,0.4599,0.4989,0.459899,0.47,27736,0
VHAQ-WS.US,D,20210312,000000,0.489199,0.492,0.440101,0.49,54306,0
VHAQ-WS.US,D,20210315,000000,0.5,0.5,0.47,0.470751,14630,0
VHAQ-WS.US,D,20210316,000000,0.49,0.4917,0.3701,0.39,172219,0
VHAQ-WS.US,D,20210317,000000,0.39,0.4,0.3845,0.3986,34154,0
VHAQ-WS.US,D,20210318,000000,0.38,0.418544,0.375,0.3915,103952,0
VHAQ-WS.US,D,20210319,000000,0.375,0.41,0.3725,0.41,47593,0
VHAQ-WS.US,D,20210322,000000,0.3944,0.411,0.3744,0.379999,74144,0
VHAQ-WS.US,D,20210323,000000,0.38,0.4,0.35,0.3599,54633,0
VHAQ-WS.US,D,20210324,000000,0.36,0.36,0.34,0.3406,76884,0
VHAQ-WS.US,D,20210325,000000,0.34,0.34,0.249899,0.32,180421,0
VHAQ-WS.US,D,20210326,000000,0.28,0.35,0.28,0.3401,46157,0
VHAQ-WS.US,D,20210329,000000,0.331501,0.3701,0.331501,0.37,39539,0
VHAQ-WS.US,D,20210330,000000,0.35,0.38225,0.35,0.38,70121,0
VHAQ-WS.US,D,20210331,000000,0.36,0.3805,0.3201,0.3805,327887,0
VHAQ-WS.US,D,20210401,000000,0.38,0.3901,0.3789,0.39,21779,0
VHAQ-WS.US,D,20210405,000000,0.4001,0.42,0.330101,0.3705,9483,0
VHAQ-WS.US,D,20210406,000000,0.37,0.41,0.37,0.41,35069,0
VHAQ-WS.US,D,20210407,000000,0.41,0.43,0.4,0.4,90373,0
VHAQ-WS.US,D,20210408,000000,0.42,0.43,0.42,0.43,14164,0
VHAQ-WS.US,D,20210409,000000,0.45,0.47,0.3909,0.4,204092,0
VHAQ-WS.US,D,20210412,000000,0.45,0.45,0.36,0.4,83540,0
VHAQ-WS.US,D,20210413,000000,0.4,0.4,0.38,0.3998,16232,0
VHAQ-WS.US,D,20210414,000000,0.4,0.4,0.38,0.39,43829,0
VHAQ-WS.US,D,20210415,000000,0.4,0.4,0.380101,0.39,17282,0
VHAQ-WS.US,D,20210416,000000,0.4,0.44,0.3851,0.4,50668,0
VHAQ-WS.US,D,20210419,000000,0.47,0.47,0.38,0.4001,9727,0
VHAQ-WS.US,D,20210420,000000,0.47,0.47,0.382,0.4001,2510,0
VHAQ-WS.US,D,20210421,000000,0.45,0.45,0.38015,0.4181,13785,0
VHAQ-WS.US,D,20210422,000000,0.47,0.47,0.47,0.47,1000,0
VHAQ-WS.US,D,20210423,000000,0.45,0.45,0.4025,0.44,7356,0
VHAQ-WS.US,D,20210426,000000,0.45,0.46,0.42,0.42,147624,0
VHAQ-WS.US,D,20210427,000000,0.43,0.47,0.3697,0.4026,396374,0
VHAQ-WS.US,D,20210428,000000,0.3801,0.3988,0.36,0.3839,44909,0
VHAQ-WS.US,D,20210429,000000,0.3501,0.399899,0.3501,0.38,24758,0
VHAQ-WS.US,D,20210430,000000,0.3512,0.3606,0.34,0.34,16729,0
VHAQ-WS.US,D,20210503,000000,0.35,0.39,0.322,0.322,67482,0
VHAQ-WS.US,D,20210504,000000,0.3223,0.3485,0.3,0.34,106764,0
VHAQ-WS.US,D,20210505,000000,0.306,0.32,0.306,0.32,18032,0
VHAQ-WS.US,D,20210506,000000,0.34,0.35,0.32,0.324,38203,0
VHAQ-WS.US,D,20210507,000000,0.323899,0.325,0.2965,0.316501,28756,0
VHAQ-WS.US,D,20210510,000000,0.3165,0.3311,0.3143,0.3167,18066,0
VHAQ-WS.US,D,20210511,000000,0.3041,0.3101,0.2712,0.3051,35709,0
VHAQ-WS.US,D,20210512,000000,0.320051,0.329899,0.2914,0.3008,20300,0
VHAQ-WS.US,D,20210513,000000,0.2721,0.315001,0.272,0.315001,40366,0
VHAQ-WS.US,D,20210514,000000,0.2712,0.33,0.2712,0.33,14269,0
VHAQ-WS.US,D,20210517,000000,0.33,0.33,0.294101,0.32,7529,0
VHAQ-WS.US,D,20210518,000000,0.2906,0.32,0.2906,0.31,66898,0
VHAQ-WS.US,D,20210519,000000,0.3001,0.31,0.2915,0.2915,7901,0
VHAQ-WS.US,D,20210520,000000,0.3199,0.3199,0.2701,0.3,16195,0
VHAQ-WS.US,D,20210521,000000,0.3,0.319,0.292249,0.305,14601,0
VHAQ-WS.US,D,20210524,000000,0.28,0.28,0.28,0.28,382,0
VHAQ-WS.US,D,20210525,000000,0.2976,0.3097,0.2798,0.2925,18227,0
VHAQ-WS.US,D,20210526,000000,0.3,0.32,0.2804,0.32,130595,0
VHAQ-WS.US,D,20210527,000000,0.3199,0.39,0.297,0.34,55764,0
VHAQ-WS.US,D,20210528,000000,0.3104,0.327399,0.3104,0.321,5347,0
VHAQ-WS.US,D,20210601,000000,0.316,0.3349,0.316,0.3349,2753,0
