<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWJV.US,60,20200914,160000,23.339,23.339,23.339,23.339,101,0
EWJV.US,60,20200914,170000,23.434,23.434,23.424,23.424,1009,0
EWJV.US,60,20200914,180000,23.414,23.429,23.414,23.429,2442,0
EWJV.US,60,20200914,190000,23.439,23.439,23.369,23.369,2018,0
EWJV.US,60,20200914,200000,23.369,23.369,23.342,23.352,1945,0
EWJV.US,60,20200914,210000,23.379,23.379,23.379,23.379,101,0
EWJV.US,60,20200914,220000,23.379,23.409,23.379,23.399,3632,0
EWJV.US,60,20200915,160000,23.448,23.448,23.448,23.448,363,0
EWJV.US,60,20200915,170000,23.389,23.389,23.377,23.377,202,0
EWJV.US,60,20200915,180000,23.389,23.399,23.389,23.399,1413,0
EWJV.US,60,20200915,190000,23.409,23.409,23.409,23.409,979,0
EWJV.US,60,20200915,210000,23.415,23.419,23.415,23.419,719,0
EWJV.US,60,20200915,220000,23.419,23.419,23.419,23.419,295,0
EWJV.US,60,20200916,160000,23.349,23.349,23.349,23.349,230,0
EWJV.US,60,20200916,170000,23.359,23.359,23.339,23.349,1731,0
EWJV.US,60,20200916,220000,23.409,23.409,23.359,23.359,1125,0
EWJV.US,60,20200917,160000,23.191,23.191,23.191,23.191,239,0
EWJV.US,60,20200917,170000,23.28,23.28,23.262,23.262,858,0
EWJV.US,60,20200917,180000,23.28,23.28,23.28,23.28,151,0
EWJV.US,60,20200918,160000,23.24,23.24,23.228,23.228,214,0
EWJV.US,60,20200918,170000,23.211,23.211,23.211,23.211,117,0
EWJV.US,60,20200918,180000,23.216,23.216,23.216,23.216,101,0
EWJV.US,60,20200918,220000,23.164,23.171,23.111,23.131,1180,0
EWJV.US,60,20200921,160000,22.715,22.715,22.675,22.675,939,0
EWJV.US,60,20200921,170000,22.675,22.893,22.656,22.814,108010,0
EWJV.US,60,20200921,180000,22.804,22.943,22.765,22.765,13925,0
EWJV.US,60,20200921,190000,22.804,22.804,22.804,22.804,202,0
EWJV.US,60,20200921,210000,22.869,22.869,22.849,22.849,404,0
EWJV.US,60,20200921,220000,22.933,22.933,22.933,22.933,111,0
EWJV.US,60,20200922,160000,22.765,22.765,22.735,22.735,1013,0
EWJV.US,60,20200922,210000,22.774,22.774,22.774,22.774,404,0
EWJV.US,60,20200922,220000,22.786,22.786,22.786,22.786,202,0
EWJV.US,60,20200923,160000,22.993,23.003,22.993,22.993,2405,0
EWJV.US,60,20200923,180000,22.968,22.983,22.968,22.983,707,0
EWJV.US,60,20200923,190000,22.987,22.993,22.987,22.993,283,0
EWJV.US,60,20200923,220000,22.988,22.988,22.988,22.988,643,0
EWJV.US,60,20200924,160000,22.675,22.675,22.616,22.616,541,0
EWJV.US,60,20200924,170000,22.685,22.685,22.656,22.656,303,0
EWJV.US,60,20200924,180000,22.742,22.742,22.742,22.742,202,0
EWJV.US,60,20200924,210000,22.745,22.745,22.745,22.745,202,0
EWJV.US,60,20200924,220000,22.7,22.755,22.7,22.755,505,0
EWJV.US,60,20200925,160000,22.616,22.616,22.596,22.596,202,0
EWJV.US,60,20200925,200000,22.68,22.68,22.68,22.68,555,0
EWJV.US,60,20200928,160000,23.003,23.003,23.003,23.003,282,0
EWJV.US,60,20200928,170000,23.072,23.072,23.002,23.002,505,0
EWJV.US,60,20200928,180000,23.131,23.161,23.131,23.156,1110,0
EWJV.US,60,20200928,190000,23.131,23.131,23.131,23.131,202,0
EWJV.US,60,20200928,200000,23.121,23.141,23.121,23.141,202,0
EWJV.US,60,20200928,210000,23.122,23.143,23.112,23.112,2953,0
EWJV.US,60,20200928,220000,23.151,23.151,23.151,23.151,101,0
EWJV.US,60,20200929,170000,23.161,23.161,23.092,23.092,202,0
EWJV.US,60,20200929,200000,23.098,23.126,23.098,23.111,2782,0
EWJV.US,60,20200929,210000,23.107,23.107,23.107,23.107,202,0
EWJV.US,60,20200930,160000,22.814,22.814,22.814,22.814,427,0
EWJV.US,60,20200930,170000,22.874,22.874,22.874,22.874,151,0
EWJV.US,60,20200930,180000,22.854,22.859,22.854,22.859,363,0
EWJV.US,60,20200930,220000,22.893,22.893,22.893,22.893,202,0
EWJV.US,60,20201001,160000,22.824,22.824,22.824,22.824,675,0
EWJV.US,60,20201001,180000,22.849,22.849,22.849,22.849,205,0
EWJV.US,60,20201001,210000,22.837,22.837,22.785,22.785,3741,0
EWJV.US,60,20201001,220000,22.799,22.804,22.799,22.804,302,0
EWJV.US,60,20201002,170000,22.775,22.775,22.775,22.775,101,0
EWJV.US,60,20201002,180000,22.854,22.854,22.827,22.827,208,0
EWJV.US,60,20201002,190000,22.864,22.888,22.864,22.864,1141,0
