<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXTG.US,60,20200914,160000,33.335,33.335,33.335,33.335,122,0
GXTG.US,60,20200914,170000,33.425,33.425,33.425,33.425,201,0
GXTG.US,60,20200914,180000,33.534,33.534,33.514,33.514,301,0
GXTG.US,60,20200914,190000,33.554,33.554,33.534,33.534,301,0
GXTG.US,60,20200914,210000,33.554,33.569,33.474,33.475,603,0
GXTG.US,60,20200914,220000,33.57,33.57,33.57,33.57,100,0
GXTG.US,60,20200915,160000,34.43,34.43,34.092,34.092,803,0
GXTG.US,60,20200915,170000,34.042,34.042,33.922,33.922,733,0
GXTG.US,60,20200915,190000,34.052,34.082,34.042,34.042,902,0
GXTG.US,60,20200915,220000,34.107,34.171,34.042,34.042,1117,0
GXTG.US,60,20200916,160000,34.271,34.271,34.271,34.271,501,0
GXTG.US,60,20200916,180000,34.351,34.351,34.351,34.351,284,0
GXTG.US,60,20200916,190000,34.51,34.51,34.51,34.51,121,0
GXTG.US,60,20200916,220000,34.251,34.251,34.151,34.151,301,0
GXTG.US,60,20200917,160000,33.952,33.952,33.952,33.952,1044,0
GXTG.US,60,20200917,170000,33.793,33.793,33.793,33.793,241,0
GXTG.US,60,20200917,210000,33.723,33.723,33.723,33.723,372,0
GXTG.US,60,20200918,160000,34.092,34.092,34.092,34.092,117,0
GXTG.US,60,20200918,180000,33.972,33.972,33.972,33.972,121,0
GXTG.US,60,20200918,190000,33.853,33.853,33.831,33.831,298,0
GXTG.US,60,20200921,160000,33.544,33.544,33.544,33.544,351,0
GXTG.US,60,20200921,170000,33.305,33.305,32.857,32.857,834,0
GXTG.US,60,20200921,180000,33.006,33.185,32.997,33.174,1912,0
GXTG.US,60,20200921,210000,33.166,33.166,33.166,33.166,334,0
GXTG.US,60,20200922,160000,33.315,33.315,33.315,33.315,117,0
GXTG.US,60,20200922,170000,33.275,33.275,33.275,33.275,200,0
GXTG.US,60,20200922,200000,33.706,33.706,33.706,33.706,402,0
GXTG.US,60,20200923,190000,33.584,33.584,33.584,33.584,125,0
GXTG.US,60,20200924,160000,32.608,32.608,32.29,32.29,1302,0
GXTG.US,60,20200924,180000,32.349,32.608,32.349,32.608,206,0
GXTG.US,60,20200924,210000,32.658,32.658,32.658,32.658,4190,0
GXTG.US,60,20200924,220000,32.558,32.562,32.558,32.562,410,0
GXTG.US,60,20200925,170000,32.737,32.737,32.737,32.737,283,0
GXTG.US,60,20200925,200000,32.907,32.907,32.907,32.907,201,0
