<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEWG.US,60,20200914,160000,28.223,28.243,28.223,28.243,1833,0
HEWG.US,60,20200914,170000,28.253,28.263,28.184,28.194,4660,0
HEWG.US,60,20200914,180000,28.204,28.233,28.184,28.194,1526,0
HEWG.US,60,20200914,190000,28.184,28.194,28.174,28.174,1621,0
HEWG.US,60,20200914,200000,28.194,28.194,28.115,28.154,1321,0
HEWG.US,60,20200914,210000,28.164,28.194,28.154,28.164,4670,0
HEWG.US,60,20200914,220000,28.174,28.213,28.144,28.174,75137,0
HEWG.US,60,20200915,160000,28.302,28.322,28.283,28.283,4722,0
HEWG.US,60,20200915,170000,28.283,28.302,28.233,28.263,28009,0
HEWG.US,60,20200915,180000,28.263,28.292,28.243,28.253,3900,0
HEWG.US,60,20200915,190000,28.265,28.273,28.243,28.263,3545,0
HEWG.US,60,20200915,200000,28.273,28.273,28.243,28.253,9228,0
HEWG.US,60,20200915,210000,28.243,28.243,28.213,28.233,1671,0
HEWG.US,60,20200915,220000,28.233,28.263,28.184,28.263,6814,0
HEWG.US,60,20200916,160000,28.273,28.302,28.243,28.253,709,0
HEWG.US,60,20200916,170000,28.283,28.302,28.273,28.273,38747,0
HEWG.US,60,20200916,180000,28.283,28.362,28.283,28.342,6533,0
HEWG.US,60,20200916,190000,28.332,28.333,28.292,28.292,4862,0
HEWG.US,60,20200916,200000,28.292,28.322,28.273,28.322,2735,0
HEWG.US,60,20200916,210000,28.332,28.401,28.322,28.332,11498,0
HEWG.US,60,20200916,220000,28.332,28.352,28.223,28.253,139908,0
HEWG.US,60,20200917,160000,28.115,28.233,28.115,28.223,4660,0
HEWG.US,60,20200917,170000,28.233,28.302,28.223,28.302,29475,0
HEWG.US,60,20200917,180000,28.322,28.342,28.233,28.233,15535,0
HEWG.US,60,20200917,190000,28.233,28.273,28.184,28.273,18259,0
HEWG.US,60,20200917,200000,28.273,28.292,28.263,28.292,1925,0
HEWG.US,60,20200917,210000,28.292,28.312,28.253,28.292,4862,0
HEWG.US,60,20200917,220000,28.263,28.332,28.253,28.302,80728,0
HEWG.US,60,20200918,160000,28.263,28.273,28.204,28.243,4925,0
HEWG.US,60,20200918,170000,28.253,28.263,28.164,28.184,13999,0
HEWG.US,60,20200918,180000,28.184,28.223,28.125,28.194,34350,0
HEWG.US,60,20200918,190000,28.213,28.213,28.115,28.125,12257,0
HEWG.US,60,20200918,200000,28.115,28.134,28.006,28.105,25892,0
HEWG.US,60,20200918,210000,28.105,28.164,28.095,28.164,48421,0
HEWG.US,60,20200918,220000,28.174,28.204,28.125,28.125,36632,0
HEWG.US,60,20200921,160000,27.256,27.256,27.068,27.177,10150,0
HEWG.US,60,20200921,170000,27.177,27.177,26.91,26.95,13332,0
HEWG.US,60,20200921,180000,27.019,27.068,26.901,26.95,14467,0
HEWG.US,60,20200921,190000,27.039,27.049,27.039,27.049,1722,0
HEWG.US,60,20200921,200000,26.989,27.068,26.989,27.068,9847,0
HEWG.US,60,20200921,210000,27.058,27.078,26.999,27.078,10565,0
HEWG.US,60,20200921,220000,27.098,27.167,27.098,27.167,84469,0
HEWG.US,60,20200922,160000,27.236,27.256,27.147,27.147,8001,0
HEWG.US,60,20200922,170000,27.167,27.286,27.167,27.167,39202,0
HEWG.US,60,20200922,180000,27.147,27.197,27.039,27.108,47237,0
HEWG.US,60,20200922,190000,27.108,27.137,27.029,27.049,12851,0
HEWG.US,60,20200922,200000,27.049,27.157,27.049,27.157,5904,0
HEWG.US,60,20200922,210000,27.167,27.21,27.157,27.167,12577,0
HEWG.US,60,20200922,220000,27.157,27.271,27.157,27.256,52906,0
HEWG.US,60,20200923,160000,27.404,27.404,27.305,27.335,16715,0
HEWG.US,60,20200923,170000,27.345,27.345,27.216,27.315,31556,0
HEWG.US,60,20200923,180000,27.286,27.295,27.147,27.147,25831,0
HEWG.US,60,20200923,190000,27.118,27.216,27.118,27.192,12987,0
HEWG.US,60,20200923,200000,27.207,27.207,27.118,27.128,10482,0
HEWG.US,60,20200923,210000,27.118,27.118,26.999,26.999,8200,0
HEWG.US,60,20200923,220000,26.989,27.019,26.955,26.97,87784,0
HEWG.US,60,20200924,160000,27.068,27.157,26.999,27.147,80716,0
HEWG.US,60,20200924,170000,27.147,27.207,26.979,27.049,139995,0
HEWG.US,60,20200924,180000,27.049,27.177,27.009,27.167,28797,0
HEWG.US,60,20200924,190000,27.177,27.197,27.128,27.197,18488,0
HEWG.US,60,20200924,200000,27.207,27.286,27.207,27.256,8104,0
HEWG.US,60,20200924,210000,27.266,27.266,27.108,27.108,58908,0
HEWG.US,60,20200924,220000,27.128,27.177,27.039,27.147,154168,0
HEWG.US,60,20200925,160000,26.683,26.762,26.654,26.762,102471,0
HEWG.US,60,20200925,170000,26.743,26.822,26.644,26.792,95292,0
HEWG.US,60,20200925,180000,26.802,26.861,26.752,26.782,113080,0
HEWG.US,60,20200925,190000,26.802,26.861,26.802,26.861,185271,0
HEWG.US,60,20200925,200000,26.856,26.94,26.856,26.94,15168,0
HEWG.US,60,20200925,210000,26.94,27.019,26.94,27.019,26757,0
HEWG.US,60,20200925,220000,27.039,27.088,27.009,27.068,22151,0
HEWG.US,60,20200928,160000,27.572,27.572,27.522,27.572,11524,0
HEWG.US,60,20200928,170000,27.562,27.641,27.542,27.592,23035,0
HEWG.US,60,20200928,180000,27.592,27.671,27.572,27.611,13422,0
HEWG.US,60,20200928,190000,27.611,27.611,27.572,27.611,2745,0
HEWG.US,60,20200928,200000,27.592,27.641,27.582,27.631,4062,0
HEWG.US,60,20200928,210000,27.631,27.651,27.621,27.631,1722,0
HEWG.US,60,20200928,220000,27.611,27.631,27.582,27.631,15951,0
HEWG.US,60,20200929,160000,27.602,27.631,27.572,27.582,2938,0
HEWG.US,60,20200929,170000,27.582,27.621,27.483,27.513,17930,0
HEWG.US,60,20200929,180000,27.513,27.582,27.483,27.493,3748,0
HEWG.US,60,20200929,190000,27.532,27.532,27.532,27.532,810,0
HEWG.US,60,20200929,200000,27.493,27.532,27.493,27.532,304,0
HEWG.US,60,20200929,210000,27.562,27.562,27.562,27.562,405,0
HEWG.US,60,20200929,220000,27.552,27.582,27.542,27.582,42942,0
HEWG.US,60,20200930,160000,27.542,27.631,27.542,27.621,74203,0
HEWG.US,60,20200930,170000,27.631,27.661,27.601,27.611,105655,0
HEWG.US,60,20200930,180000,27.611,27.611,27.434,27.503,25335,0
HEWG.US,60,20200930,190000,27.513,27.562,27.503,27.542,5976,0
HEWG.US,60,20200930,200000,27.542,27.542,27.473,27.503,2330,0
HEWG.US,60,20200930,210000,27.513,27.552,27.414,27.453,58449,0
HEWG.US,60,20200930,220000,27.453,27.483,27.325,27.404,81282,0
HEWG.US,60,20201001,160000,27.522,27.522,27.453,27.453,3647,0
HEWG.US,60,20201001,170000,27.424,27.493,27.335,27.453,144828,0
HEWG.US,60,20201001,180000,27.463,27.473,27.414,27.453,32973,0
HEWG.US,60,20201001,190000,27.443,27.473,27.394,27.473,10351,0
HEWG.US,60,20201001,200000,27.473,27.503,27.414,27.414,12004,0
HEWG.US,60,20201001,210000,27.453,27.463,27.384,27.463,21799,0
HEWG.US,60,20201001,220000,27.483,27.513,27.404,27.493,14046,0
HEWG.US,60,20201002,160000,27.137,27.295,27.137,27.256,24630,0
HEWG.US,60,20201002,170000,27.256,27.315,27.226,27.256,121170,0
HEWG.US,60,20201002,180000,27.256,27.384,27.246,27.315,36873,0
HEWG.US,60,20201002,190000,27.305,27.483,27.286,27.453,91973,0
HEWG.US,60,20201002,200000,27.463,27.463,27.384,27.404,117810,0
HEWG.US,60,20201002,210000,27.404,27.468,27.404,27.443,25979,0
HEWG.US,60,20201002,220000,27.453,27.483,27.404,27.453,107211,0
HEWG.US,60,20201005,160000,27.641,27.671,27.621,27.621,3292,0
HEWG.US,60,20201005,170000,27.631,27.69,27.621,27.69,6615,0
HEWG.US,60,20201005,180000,27.69,27.74,27.68,27.7,19146,0
HEWG.US,60,20201005,190000,27.7,27.72,27.7,27.71,8013,0
HEWG.US,60,20201005,200000,27.71,27.71,27.69,27.69,9188,0
HEWG.US,60,20201005,210000,27.68,27.74,27.671,27.74,3667,0
HEWG.US,60,20201005,220000,27.749,27.858,27.74,27.858,8927,0
HEWG.US,60,20201006,160000,27.898,27.898,27.858,27.868,1433,0
HEWG.US,60,20201006,170000,27.888,27.917,27.828,27.858,7091,0
HEWG.US,60,20201006,180000,27.848,27.848,27.779,27.779,4692,0
HEWG.US,60,20201006,190000,27.809,27.848,27.809,27.848,25341,0
HEWG.US,60,20201006,200000,27.898,27.898,27.868,27.868,810,0
HEWG.US,60,20201006,210000,27.917,27.937,27.611,27.72,44444,0
HEWG.US,60,20201006,220000,27.671,27.72,27.582,27.631,113527,0
HEWG.US,60,20201007,160000,27.74,27.779,27.74,27.769,1317,0
HEWG.US,60,20201007,170000,27.749,27.749,27.7,27.749,2026,0
HEWG.US,60,20201007,180000,27.789,27.819,27.789,27.799,2961,0
HEWG.US,60,20201007,190000,27.828,27.828,27.816,27.816,494,0
HEWG.US,60,20201007,200000,27.828,27.838,27.828,27.838,1165,0
HEWG.US,60,20201007,210000,27.878,27.878,27.868,27.868,1317,0
HEWG.US,60,20201007,220000,27.888,27.898,27.858,27.858,11102,0
HEWG.US,60,20201008,160000,28.105,28.144,28.095,28.125,11452,0
HEWG.US,60,20201008,170000,28.144,28.213,28.105,28.134,22083,0
HEWG.US,60,20201008,180000,28.144,28.154,28.065,28.115,14104,0
HEWG.US,60,20201008,190000,28.105,28.164,28.105,28.144,4863,0
HEWG.US,60,20201008,200000,28.144,28.144,28.134,28.144,507,0
HEWG.US,60,20201008,210000,28.125,28.164,28.125,28.164,709,0
HEWG.US,60,20201008,220000,28.134,28.164,28.134,28.154,6558,0
HEWG.US,60,20201009,160000,28.154,28.154,28.105,28.125,41158,0
HEWG.US,60,20201009,170000,28.125,28.144,28.056,28.085,68747,0
HEWG.US,60,20201009,180000,28.085,28.184,28.085,28.184,66402,0
HEWG.US,60,20201009,190000,28.164,28.174,28.12,28.134,51268,0
HEWG.US,60,20201009,200000,28.144,28.144,28.134,28.144,1722,0
HEWG.US,60,20201009,210000,28.154,28.154,28.095,28.125,27166,0
HEWG.US,60,20201009,220000,28.125,28.154,28.125,28.154,11237,0
HEWG.US,60,20201012,160000,28.253,28.263,28.233,28.243,15195,0
HEWG.US,60,20201012,170000,28.243,28.312,28.243,28.312,4506,0
HEWG.US,60,20201012,180000,28.302,28.352,28.302,28.312,7395,0
HEWG.US,60,20201012,190000,28.332,28.391,28.332,28.381,4254,0
HEWG.US,60,20201012,200000,28.362,28.371,28.352,28.371,950,0
HEWG.US,60,20201012,210000,28.419,28.421,28.411,28.411,2735,0
HEWG.US,60,20201012,220000,28.411,28.411,28.371,28.391,26852,0
HEWG.US,60,20201013,160000,28.036,28.036,27.986,28.026,2320,0
HEWG.US,60,20201013,170000,28.046,28.046,27.977,28.036,6520,0
HEWG.US,60,20201013,180000,28.026,28.085,28.026,28.085,3807,0
HEWG.US,60,20201013,190000,28.085,28.085,28.046,28.075,3545,0
HEWG.US,60,20201013,200000,28.075,28.075,28.006,28.006,8408,0
HEWG.US,60,20201013,210000,28.006,28.036,27.977,28.036,10807,0
HEWG.US,60,20201013,220000,28.075,28.125,28.036,28.036,3365,0
HEWG.US,60,20201014,160000,28.154,28.174,28.154,28.174,378,0
HEWG.US,60,20201014,170000,28.194,28.194,28.134,28.164,3157,0
HEWG.US,60,20201014,180000,28.154,28.194,28.065,28.065,16032,0
HEWG.US,60,20201014,190000,28.065,28.09,28.016,28.065,35758,0
HEWG.US,60,20201014,200000,28.056,28.056,28.016,28.026,2837,0
HEWG.US,60,20201014,210000,28.056,28.056,28.006,28.006,1722,0
HEWG.US,60,20201014,220000,28.065,28.095,28.026,28.026,29773,0
HEWG.US,60,20201015,160000,27.374,27.483,27.374,27.483,9952,0
HEWG.US,60,20201015,170000,27.483,27.483,27.374,27.424,12106,0
HEWG.US,60,20201015,180000,27.443,27.542,27.424,27.513,56474,0
HEWG.US,60,20201015,190000,27.513,27.532,27.473,27.513,2330,0
HEWG.US,60,20201015,200000,27.513,27.552,27.513,27.542,659,0
HEWG.US,60,20201015,210000,27.572,27.572,27.513,27.513,458,0
HEWG.US,60,20201015,220000,27.572,27.601,27.557,27.562,26380,0
HEWG.US,60,20201016,160000,27.819,27.858,27.779,27.858,16940,0
HEWG.US,60,20201016,170000,27.858,28.006,27.858,27.957,78608,0
HEWG.US,60,20201016,180000,27.947,27.947,27.898,27.898,15890,0
HEWG.US,60,20201016,190000,27.868,27.898,27.858,27.888,9404,0
HEWG.US,60,20201016,200000,27.907,27.927,27.907,27.927,405,0
HEWG.US,60,20201016,210000,27.917,27.917,27.917,27.917,304,0
HEWG.US,60,20201016,220000,27.898,27.898,27.838,27.868,54169,0
HEWG.US,60,20201019,160000,27.828,27.858,27.769,27.828,15104,0
HEWG.US,60,20201019,170000,27.809,27.848,27.74,27.838,15144,0
HEWG.US,60,20201019,180000,27.848,27.878,27.789,27.799,56201,0
HEWG.US,60,20201019,190000,27.789,27.819,27.759,27.779,51612,0
HEWG.US,60,20201019,200000,27.779,27.779,27.69,27.705,7536,0
HEWG.US,60,20201019,210000,27.7,27.72,27.562,27.611,12025,0
HEWG.US,60,20201019,220000,27.562,27.572,27.498,27.532,13488,0
HEWG.US,60,20201020,160000,27.621,27.71,27.611,27.7,16653,0
HEWG.US,60,20201020,170000,27.7,27.7,27.641,27.661,8965,0
HEWG.US,60,20201020,180000,27.651,27.651,27.532,27.532,19764,0
HEWG.US,60,20201020,190000,27.572,27.631,27.572,27.582,6157,0
HEWG.US,60,20201020,200000,27.601,27.651,27.601,27.601,1114,0
HEWG.US,60,20201020,210000,27.601,27.621,27.582,27.582,1324,0
HEWG.US,60,20201020,220000,27.542,27.552,27.463,27.503,38961,0
HEWG.US,60,20201021,160000,27.256,27.345,27.256,27.345,3500,0
HEWG.US,60,20201021,170000,27.325,27.325,27.207,27.216,8458,0
HEWG.US,60,20201021,180000,27.207,27.207,27.058,27.078,29631,0
HEWG.US,60,20201021,190000,27.098,27.147,27.088,27.098,8661,0
HEWG.US,60,20201021,200000,27.098,27.137,27.098,27.128,1064,0
HEWG.US,60,20201021,210000,27.167,27.187,27.157,27.187,1469,0
HEWG.US,60,20201021,220000,27.187,27.187,27.058,27.058,18695,0
HEWG.US,60,20201022,160000,27.049,27.088,27.039,27.088,14114,0
HEWG.US,60,20201022,170000,27.068,27.098,26.94,27.019,26338,0
HEWG.US,60,20201022,180000,27.058,27.128,27.058,27.088,12967,0
HEWG.US,60,20201022,190000,27.078,27.137,27.078,27.137,12665,0
HEWG.US,60,20201022,200000,27.177,27.177,27.177,27.177,9320,0
HEWG.US,60,20201022,210000,27.207,27.216,27.187,27.187,3039,0
HEWG.US,60,20201022,220000,27.187,27.207,27.157,27.167,12674,0
HEWG.US,60,20201023,160000,27.325,27.325,27.286,27.295,35321,0
HEWG.US,60,20201023,170000,27.266,27.276,27.236,27.256,27485,0
HEWG.US,60,20201023,180000,27.226,27.266,27.167,27.216,19555,0
HEWG.US,60,20201023,190000,27.207,27.226,27.147,27.207,33466,0
HEWG.US,60,20201023,210000,27.226,27.266,27.226,27.246,16917,0
HEWG.US,60,20201023,220000,27.256,27.325,27.251,27.32,4212,0
HEWG.US,60,20201026,150000,26.437,26.456,26.338,26.417,14994,0
HEWG.US,60,20201026,160000,26.427,26.427,26.269,26.279,29164,0
HEWG.US,60,20201026,170000,26.239,26.239,26.15,26.16,29774,0
HEWG.US,60,20201026,180000,26.14,26.2,26.14,26.15,19176,0
HEWG.US,60,20201026,190000,26.101,26.111,25.953,26.081,4305,0
HEWG.US,60,20201026,200000,26.121,26.14,26.111,26.131,16689,0
