<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNQI.US,60,20200914,160000,48.772,48.88,48.713,48.841,32164,0
VNQI.US,60,20200914,170000,48.831,48.89,48.779,48.89,74401,0
VNQI.US,60,20200914,180000,48.879,48.91,48.811,48.831,55232,0
VNQI.US,60,20200914,190000,48.831,48.9,48.801,48.861,50438,0
VNQI.US,60,20200914,200000,48.861,48.875,48.737,48.821,64391,0
VNQI.US,60,20200914,210000,48.801,48.881,48.781,48.851,42513,0
VNQI.US,60,20200914,220000,48.8,48.92,48.8,48.851,74543,0
VNQI.US,60,20200915,160000,49.336,49.515,49.336,49.47,67912,0
VNQI.US,60,20200915,170000,49.47,49.534,49.435,49.524,81119,0
VNQI.US,60,20200915,180000,49.515,49.516,49.396,49.396,73506,0
VNQI.US,60,20200915,190000,49.416,49.505,49.406,49.475,60212,0
VNQI.US,60,20200915,200000,49.455,49.524,49.445,49.47,56112,0
VNQI.US,60,20200915,210000,49.467,49.485,49.406,49.445,80760,0
VNQI.US,60,20200915,220000,49.465,49.465,49.336,49.425,117110,0
VNQI.US,60,20200916,160000,49.683,49.782,49.643,49.759,39959,0
VNQI.US,60,20200916,170000,49.792,49.832,49.713,49.782,37854,0
VNQI.US,60,20200916,180000,49.772,49.941,49.744,49.832,60207,0
VNQI.US,60,20200916,190000,49.842,49.881,49.802,49.849,42688,0
VNQI.US,60,20200916,200000,49.846,49.851,49.723,49.827,74851,0
VNQI.US,60,20200916,210000,49.825,49.98,49.713,49.768,54833,0
VNQI.US,60,20200916,220000,49.772,49.871,49.605,49.693,72884,0
VNQI.US,60,20200917,160000,49.683,49.683,49.435,49.584,17255,0
VNQI.US,60,20200917,170000,49.604,49.772,49.594,49.737,31310,0
VNQI.US,60,20200917,180000,49.738,49.782,49.614,49.643,98270,0
VNQI.US,60,20200917,190000,49.633,49.653,49.534,49.614,30166,0
VNQI.US,60,20200917,200000,49.614,49.723,49.604,49.653,38112,0
VNQI.US,60,20200917,210000,49.684,49.832,49.643,49.723,44510,0
VNQI.US,60,20200917,220000,49.693,49.822,49.644,49.782,73609,0
VNQI.US,60,20200918,160000,49.653,49.653,49.287,49.361,53555,0
VNQI.US,60,20200918,170000,49.361,49.396,49.287,49.289,26902,0
VNQI.US,60,20200918,180000,49.307,49.396,49.288,49.326,50924,0
VNQI.US,60,20200918,190000,49.326,49.351,49.232,49.262,38260,0
VNQI.US,60,20200918,200000,49.242,49.297,49.049,49.158,53175,0
VNQI.US,60,20200918,210000,49.158,49.267,49.117,49.173,68703,0
VNQI.US,60,20200918,220000,49.178,49.188,49.076,49.138,111109,0
VNQI.US,60,20200921,160000,48.385,48.385,47.949,48.128,45153,0
VNQI.US,60,20200921,170000,48.063,48.123,47.831,47.92,26482,0
VNQI.US,60,20200921,180000,47.908,48.006,47.821,47.949,40131,0
VNQI.US,60,20200921,190000,47.959,48.08,47.929,47.929,72899,0
VNQI.US,60,20200921,200000,47.953,48.098,47.92,48.074,25205,0
VNQI.US,60,20200921,210000,48.038,48.08,47.959,48.023,41988,0
VNQI.US,60,20200921,220000,48.029,48.246,48.021,48.157,66384,0
VNQI.US,60,20200922,160000,48.157,48.167,47.86,47.88,69744,0
VNQI.US,60,20200922,170000,47.89,48.103,47.801,47.801,93999,0
VNQI.US,60,20200922,180000,47.791,47.86,47.712,47.791,53505,0
VNQI.US,60,20200922,190000,47.781,47.85,47.702,47.716,55019,0
VNQI.US,60,20200922,200000,47.726,47.9,47.721,47.87,61081,0
VNQI.US,60,20200922,210000,47.89,47.949,47.859,47.859,118470,0
VNQI.US,60,20200922,220000,47.875,47.989,47.85,47.949,163051,0
VNQI.US,60,20200923,160000,47.85,47.852,47.672,47.672,18160,0
VNQI.US,60,20200923,170000,47.697,47.725,47.484,47.586,22036,0
VNQI.US,60,20200923,180000,47.598,47.662,47.464,47.513,45135,0
VNQI.US,60,20200923,190000,47.464,47.603,47.464,47.534,45657,0
VNQI.US,60,20200923,200000,47.553,47.583,47.454,47.479,38066,0
VNQI.US,60,20200923,210000,47.454,47.454,47.236,47.236,69182,0
VNQI.US,60,20200923,220000,47.246,47.314,47.157,47.167,79966,0
