<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VONG.US,60,20200914,160000,54.77,55.112,54.64,55.035,35057,0
VONG.US,60,20200914,170000,54.975,55.339,54.975,55.125,13530,0
VONG.US,60,20200914,180000,55.23,55.256,55.09,55.24,23398,0
VONG.US,60,20200914,190000,55.208,55.289,54.978,54.978,19059,0
VONG.US,60,20200914,200000,55.042,55.042,54.673,54.943,41340,0
VONG.US,60,20200914,210000,54.87,54.998,54.795,54.827,17429,0
VONG.US,60,20200914,220000,54.94,55.15,54.767,54.958,29577,0
VONG.US,60,20200915,160000,55.681,55.847,55.622,55.847,17717,0
VONG.US,60,20200915,170000,55.837,55.847,55.489,55.489,23595,0
VONG.US,60,20200915,180000,55.614,55.766,55.611,55.687,16134,0
VONG.US,60,20200915,190000,55.766,55.779,55.707,55.777,38976,0
VONG.US,60,20200915,200000,55.786,55.824,55.712,55.716,30974,0
VONG.US,60,20200915,210000,55.694,55.707,55.564,55.664,18839,0
VONG.US,60,20200915,220000,55.634,55.634,55.294,55.604,77330,0
VONG.US,60,20200916,160000,55.692,55.786,55.591,55.644,14556,0
VONG.US,60,20200916,170000,55.734,55.742,55.271,55.446,54778,0
VONG.US,60,20200916,180000,55.431,55.641,55.431,55.512,33975,0
VONG.US,60,20200916,190000,55.512,55.552,55.337,55.404,16875,0
VONG.US,60,20200916,200000,55.454,55.454,55.197,55.302,20382,0
VONG.US,60,20200916,210000,55.354,55.641,55.309,55.309,43848,0
VONG.US,60,20200916,220000,55.391,55.391,54.833,54.892,50691,0
VONG.US,60,20200917,160000,53.78,54.064,53.655,54.064,26155,0
VONG.US,60,20200917,170000,54.214,54.398,53.972,54.389,29196,0
VONG.US,60,20200917,180000,54.258,54.433,53.94,53.952,46283,0
VONG.US,60,20200917,190000,53.899,53.899,53.557,53.754,22497,0
VONG.US,60,20200917,200000,53.87,53.995,53.687,53.96,9179,0
VONG.US,60,20200917,210000,54.004,54.043,53.697,53.762,19400,0
VONG.US,60,20200917,220000,53.754,54.201,53.649,54.201,48535,0
VONG.US,60,20200918,160000,54.488,54.488,54.093,54.096,14183,0
VONG.US,60,20200918,170000,54.296,54.323,53.757,53.832,11864,0
VONG.US,60,20200918,180000,53.809,53.897,53.597,53.767,21779,0
VONG.US,60,20200918,190000,53.797,53.867,53.283,53.343,41829,0
VONG.US,60,20200918,200000,53.383,53.383,52.943,53.316,75812,0
VONG.US,60,20200918,210000,53.205,53.398,53.205,53.376,37265,0
VONG.US,60,20200918,220000,53.509,53.669,53.467,53.524,34865,0
VONG.US,60,20200921,160000,52.697,53.063,52.657,53.063,54389,0
VONG.US,60,20200921,170000,52.853,52.876,52.282,52.552,43479,0
VONG.US,60,20200921,180000,52.554,52.779,52.469,52.752,27674,0
VONG.US,60,20200921,190000,52.923,53.063,52.885,52.885,38479,0
VONG.US,60,20200921,200000,52.931,53.176,52.843,53.01,24500,0
VONG.US,60,20200921,210000,53.003,53.063,52.741,52.99,27794,0
VONG.US,60,20200921,220000,53.01,53.614,53.01,53.614,109700,0
VONG.US,60,20200922,160000,54.036,54.036,53.55,53.667,16014,0
VONG.US,60,20200922,170000,53.734,53.934,53.644,53.647,53267,0
VONG.US,60,20200922,180000,53.472,53.82,53.442,53.817,20950,0
VONG.US,60,20200922,190000,53.835,53.987,53.792,53.792,14884,0
VONG.US,60,20200922,200000,53.844,54.194,53.844,54.189,21740,0
VONG.US,60,20200922,210000,54.226,54.346,54.186,54.206,35606,0
VONG.US,60,20200922,220000,54.251,54.566,54.236,54.448,36584,0
VONG.US,60,20200923,160000,54.584,54.584,54.341,54.389,17324,0
VONG.US,60,20200923,170000,54.223,54.306,54.124,54.183,14171,0
VONG.US,60,20200923,180000,54.151,54.273,53.982,53.982,37766,0
VONG.US,60,20200923,190000,53.824,54.038,53.794,54.038,11458,0
VONG.US,60,20200923,200000,54.093,54.093,53.724,53.754,19072,0
VONG.US,60,20200923,210000,53.607,53.655,53.161,53.168,14516,0
VONG.US,60,20200923,220000,53.161,53.248,52.888,53.018,39244,0
VONG.US,60,20200924,160000,52.557,53.196,52.521,52.906,17116,0
VONG.US,60,20200924,170000,53.373,53.413,52.761,53.13,12985,0
