<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACOR.US,60,20200914,160000,2.7024,2.7318,2.6166,2.6166,17325,0
ACOR.US,60,20200914,170000,2.6136,2.6262,2.5344,2.5998,62303,0
ACOR.US,60,20200914,180000,2.6046,2.7498,2.5878,2.7066,23520,0
ACOR.US,60,20200914,190000,2.7072,2.7498,2.6736,2.6754,8674,0
ACOR.US,60,20200914,200000,2.676,2.748,2.676,2.7288,12117,0
ACOR.US,60,20200914,210000,2.7297,2.7378,2.6514,2.6772,9289,0
ACOR.US,60,20200914,220000,2.6772,2.7444,2.658,2.718,17189,0
ACOR.US,60,20200915,160000,2.6958,2.7978,2.6763,2.7294,7761,0
ACOR.US,60,20200915,170000,2.7144,2.9898,2.7144,2.9274,46234,0
ACOR.US,60,20200915,180000,2.937,2.9874,2.8464,2.9532,22804,0
ACOR.US,60,20200915,190000,2.952,3.15,2.952,3.1146,46287,0
ACOR.US,60,20200915,200000,3.1158,3.273,3.0876,3.1038,84985,0
ACOR.US,60,20200915,210000,3.1038,3.1194,3.03,3.0316,24772,0
ACOR.US,60,20200915,220000,3.0354,3.0816,3.0216,3.0588,30313,0
ACOR.US,60,20200916,160000,3.1026,3.2484,3.0936,3.153,22849,0
ACOR.US,60,20200916,170000,3.1434,3.2394,3.1434,3.1686,24429,0
ACOR.US,60,20200916,180000,3.1716,3.204,3.15,3.2034,13888,0
ACOR.US,60,20200916,190000,3.2016,3.36,3.2016,3.354,29564,0
ACOR.US,60,20200916,200000,3.3504,3.4704,3.2178,3.2682,87799,0
ACOR.US,60,20200916,210000,3.2676,3.39,3.24,3.2466,20942,0
ACOR.US,60,20200916,220000,3.246,3.3144,3.2194,3.3,45973,0
ACOR.US,60,20200917,160000,3.3,3.426,3.21,3.396,36660,0
ACOR.US,60,20200917,170000,3.3954,3.5268,3.3582,3.4548,24783,0
ACOR.US,60,20200917,180000,3.4548,3.711,3.4542,3.6396,64829,0
ACOR.US,60,20200917,190000,3.6357,3.6594,3.456,3.456,42367,0
ACOR.US,60,20200917,200000,3.4794,3.5406,3.4752,3.5256,10408,0
ACOR.US,60,20200917,210000,3.5256,3.54,3.4824,3.5394,24633,0
