<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACRX.US,60,20200914,160000,1.12,1.14,1.1128,1.125,146888,0
ACRX.US,60,20200914,170000,1.125,1.21,1.125,1.195,593759,0
ACRX.US,60,20200914,180000,1.1901,1.25,1.19,1.2426,312316,0
ACRX.US,60,20200914,190000,1.24,1.25,1.24,1.241,106765,0
ACRX.US,60,20200914,200000,1.245,1.29,1.24,1.2863,248330,0
ACRX.US,60,20200914,210000,1.28,1.29,1.24,1.25,136031,0
ACRX.US,60,20200914,220000,1.255,1.29,1.22,1.26,615661,0
ACRX.US,60,20200915,160000,1.26,1.2898,1.25,1.2597,92832,0
ACRX.US,60,20200915,170000,1.25466,1.26,1.22,1.225,78982,0
ACRX.US,60,20200915,180000,1.225,1.23,1.22,1.225,30718,0
ACRX.US,60,20200915,190000,1.225,1.23,1.2,1.23,87336,0
ACRX.US,60,20200915,200000,1.23,1.25,1.23,1.24,40517,0
ACRX.US,60,20200915,210000,1.24,1.24,1.22,1.225,51922,0
ACRX.US,60,20200915,220000,1.225,1.23,1.21,1.22,62360,0
ACRX.US,60,20200916,160000,1.25,1.29,1.2201,1.28525,104801,0
ACRX.US,60,20200916,170000,1.2859,1.29,1.245,1.26,110912,0
ACRX.US,60,20200916,180000,1.265,1.265,1.24,1.25,55145,0
ACRX.US,60,20200916,190000,1.25,1.26,1.2491,1.26,20519,0
ACRX.US,60,20200916,200000,1.2598,1.31,1.25,1.2902,200376,0
ACRX.US,60,20200916,210000,1.3,1.3,1.29,1.29,82038,0
ACRX.US,60,20200916,220000,1.295,1.3,1.28,1.28,104751,0
ACRX.US,60,20200917,160000,1.31,1.36,1.27,1.36,105805,0
ACRX.US,60,20200917,170000,1.3522,1.4478,1.35,1.4,451736,0
ACRX.US,60,20200917,180000,1.395,1.5,1.395,1.45,495043,0
ACRX.US,60,20200917,190000,1.455,1.46,1.4205,1.45,165359,0
ACRX.US,60,20200917,200000,1.4401,1.45,1.4,1.42,100616,0
ACRX.US,60,20200917,210000,1.425,1.43,1.4,1.405,67589,0
ACRX.US,60,20200917,220000,1.405,1.407,1.36,1.37,195530,0
ACRX.US,60,20200918,160000,1.44,1.4473,1.4,1.41,106333,0
ACRX.US,60,20200918,170000,1.4122,1.54,1.4122,1.5046,362954,0
ACRX.US,60,20200918,180000,1.505,1.505,1.46,1.475,215203,0
ACRX.US,60,20200918,190000,1.48,1.51,1.47,1.51,163343,0
ACRX.US,60,20200918,200000,1.51,1.5132,1.48,1.495,139043,0
ACRX.US,60,20200918,210000,1.49,1.64,1.49,1.635,1194301,0
ACRX.US,60,20200918,220000,1.6301,1.65,1.57,1.57,640473,0
ACRX.US,60,20200921,160000,1.63,1.72,1.55,1.6899,563855,0
ACRX.US,60,20200921,170000,1.6828,1.77,1.67,1.74,674884,0
ACRX.US,60,20200921,180000,1.745,2.13,1.745,2.01,4944148,0
ACRX.US,60,20200921,190000,2.0164,2.05,1.85,1.9086,3573471,0
ACRX.US,60,20200921,200000,1.9086,1.99,1.82,1.93,1436638,0
ACRX.US,60,20200921,210000,1.93,2,1.89,1.91,2043062,0
ACRX.US,60,20200921,220000,1.91,1.92,1.77,1.81,1635294,0
ACRX.US,60,20200922,160000,1.98,2.05,1.88,1.8923,1616053,0
ACRX.US,60,20200922,170000,1.895,1.93,1.81,1.81,892120,0
ACRX.US,60,20200922,180000,1.8122,1.87,1.775,1.825,821511,0
ACRX.US,60,20200922,190000,1.83,1.87,1.78,1.795,463236,0
ACRX.US,60,20200922,200000,1.7951,1.82,1.78,1.81,271205,0
ACRX.US,60,20200922,210000,1.81,1.81,1.75,1.7516,268311,0
ACRX.US,60,20200922,220000,1.755,1.79,1.74,1.765,636793,0
ACRX.US,60,20200923,160000,1.77,1.83,1.67,1.745,459808,0
ACRX.US,60,20200923,170000,1.7441,1.77,1.69,1.74,282776,0
ACRX.US,60,20200923,180000,1.735,1.74,1.6843,1.69,198255,0
ACRX.US,60,20200923,190000,1.685,1.71,1.68,1.685,107808,0
ACRX.US,60,20200923,200000,1.68,1.68,1.58,1.5815,580122,0
ACRX.US,60,20200923,210000,1.5803,1.5898,1.51,1.545,330651,0
ACRX.US,60,20200923,220000,1.545,1.55,1.52,1.53,469974,0
ACRX.US,60,20200924,160000,1.46,1.5,1.4,1.49,339070,0
ACRX.US,60,20200924,170000,1.4914,1.53,1.46,1.49,122081,0
ACRX.US,60,20200924,180000,1.4934,1.5,1.48,1.495,68240,0
ACRX.US,60,20200924,190000,1.495,1.56,1.495,1.5403,119607,0
ACRX.US,60,20200924,200000,1.545,1.55,1.52,1.525,82122,0
ACRX.US,60,20200924,210000,1.5243,1.525,1.5,1.5,50932,0
ACRX.US,60,20200924,220000,1.505,1.52,1.45,1.49,257996,0
ACRX.US,60,20200925,160000,1.43,1.514,1.43,1.4981,116590,0
ACRX.US,60,20200925,170000,1.5,1.56,1.5,1.55,228369,0
ACRX.US,60,20200925,180000,1.55,1.55,1.5,1.54,116624,0
ACRX.US,60,20200925,190000,1.54,1.5499,1.49,1.5,196048,0
ACRX.US,60,20200925,200000,1.4901,1.5299,1.49,1.5,79761,0
ACRX.US,60,20200925,210000,1.4914,1.51,1.485,1.4982,85330,0
ACRX.US,60,20200925,220000,1.495,1.5,1.48,1.49,187521,0
ACRX.US,60,20200928,160000,1.49,1.53,1.475,1.478,58674,0
ACRX.US,60,20200928,170000,1.4798,1.69,1.47,1.6453,473580,0
ACRX.US,60,20200928,180000,1.645,1.65,1.54,1.58,469047,0
ACRX.US,60,20200928,190000,1.58,1.59,1.5344,1.54,101999,0
ACRX.US,60,20200928,200000,1.55,1.57,1.49,1.55,169506,0
ACRX.US,60,20200928,210000,1.5465,1.57,1.5358,1.56,93906,0
ACRX.US,60,20200928,220000,1.5571,1.57,1.49,1.53,400091,0
ACRX.US,60,20200929,160000,1.54,1.5695,1.52,1.53,55579,0
ACRX.US,60,20200929,170000,1.52,1.53,1.49,1.4956,132229,0
ACRX.US,60,20200929,180000,1.4914,1.5,1.44,1.5,204928,0
ACRX.US,60,20200929,190000,1.5,1.52,1.48,1.49,85367,0
ACRX.US,60,20200929,200000,1.49,1.5,1.47,1.48,135041,0
ACRX.US,60,20200929,210000,1.48,1.49,1.47,1.48,67045,0
ACRX.US,60,20200929,220000,1.48,1.48,1.42,1.43,286453,0
ACRX.US,60,20200930,160000,1.45,1.4699,1.42,1.4386,91440,0
ACRX.US,60,20200930,170000,1.44,1.4692,1.42,1.4215,140192,0
ACRX.US,60,20200930,180000,1.4237,1.4557,1.42,1.4402,71062,0
ACRX.US,60,20200930,190000,1.4498,1.47,1.44,1.45,124371,0
ACRX.US,60,20200930,200000,1.45,1.4551,1.425,1.425,54572,0
ACRX.US,60,20200930,210000,1.43,1.435,1.41,1.4102,195073,0
ACRX.US,60,20200930,220000,1.4199,1.435,1.39,1.42,358005,0
ACRX.US,60,20201001,160000,1.44,1.44,1.4,1.405,41828,0
ACRX.US,60,20201001,170000,1.41,1.425,1.3969,1.425,172398,0
ACRX.US,60,20201001,180000,1.42,1.4247,1.39,1.395,79070,0
ACRX.US,60,20201001,190000,1.395,1.41,1.37,1.39,84531,0
ACRX.US,60,20201001,200000,1.38514,1.41,1.38,1.39,146950,0
ACRX.US,60,20201001,210000,1.39,1.4,1.36,1.36,229622,0
ACRX.US,60,20201001,220000,1.365,1.37,1.34,1.35,234674,0
ACRX.US,60,20201002,160000,1.33,1.33,1.25,1.32,282834,0
ACRX.US,60,20201002,170000,1.315,1.35,1.31,1.35,40295,0
ACRX.US,60,20201002,180000,1.35,1.46,1.33,1.46,378211,0
ACRX.US,60,20201002,190000,1.46,1.47,1.415,1.415,111333,0
ACRX.US,60,20201002,200000,1.4154,1.42,1.33,1.37,257028,0
ACRX.US,60,20201002,210000,1.37,1.39,1.34,1.3632,210984,0
ACRX.US,60,20201002,220000,1.3664,1.38,1.35,1.35,151369,0
ACRX.US,60,20201005,160000,1.37,1.4,1.35,1.3699,160866,0
ACRX.US,60,20201005,170000,1.365,1.41,1.35,1.36,364349,0
ACRX.US,60,20201005,180000,1.3612,1.37,1.33,1.355,182898,0
ACRX.US,60,20201005,190000,1.36,1.37,1.3502,1.36,159000,0
ACRX.US,60,20201005,200000,1.3698,1.37,1.34,1.34,78304,0
ACRX.US,60,20201005,210000,1.34,1.35,1.32,1.34,108643,0
ACRX.US,60,20201005,220000,1.34,1.35,1.33,1.34,130008,0
ACRX.US,60,20201006,160000,1.35,1.38,1.33,1.351,254261,0
ACRX.US,60,20201006,170000,1.3579,1.39,1.351,1.37,84157,0
ACRX.US,60,20201006,180000,1.37,1.42,1.36,1.42,140167,0
ACRX.US,60,20201006,190000,1.42,1.425,1.35,1.4,198539,0
ACRX.US,60,20201006,200000,1.4,1.425,1.39,1.3966,126569,0
ACRX.US,60,20201006,210000,1.3999,1.41,1.36,1.365,64131,0
ACRX.US,60,20201006,220000,1.365,1.375,1.33,1.33,263477,0
ACRX.US,60,20201007,160000,1.37,1.39,1.3643,1.375,72543,0
ACRX.US,60,20201007,170000,1.3713,1.41,1.35,1.405,177782,0
ACRX.US,60,20201007,180000,1.409,1.41,1.38,1.4,84686,0
ACRX.US,60,20201007,190000,1.4015,1.47,1.4,1.4547,372724,0
ACRX.US,60,20201007,200000,1.455,1.46,1.43,1.435,150628,0
ACRX.US,60,20201007,210000,1.44,1.44,1.43,1.44,86944,0
ACRX.US,60,20201007,220000,1.435,1.45,1.405,1.44,408168,0
ACRX.US,60,20201008,160000,1.44,1.56,1.4333,1.475,405557,0
ACRX.US,60,20201008,170000,1.4742,1.63,1.4592,1.5829,570867,0
ACRX.US,60,20201008,180000,1.5802,1.6756,1.58,1.6334,518231,0
ACRX.US,60,20201008,190000,1.6399,1.64,1.55,1.58,297681,0
ACRX.US,60,20201008,200000,1.57,1.63,1.57,1.625,112245,0
ACRX.US,60,20201008,210000,1.625,1.67,1.6,1.6169,183842,0
ACRX.US,60,20201008,220000,1.615,1.65,1.57,1.59,446518,0
ACRX.US,60,20201009,160000,1.695,1.75,1.625,1.745,621675,0
ACRX.US,60,20201009,170000,1.7412,1.82,1.7,1.7078,743023,0
ACRX.US,60,20201009,180000,1.7099,1.79,1.7,1.7716,249110,0
ACRX.US,60,20201009,190000,1.775,1.905,1.7515,1.89,943860,0
ACRX.US,60,20201009,200000,1.8815,1.96,1.83,1.95,805174,0
ACRX.US,60,20201009,210000,1.95,1.98,1.85,1.8699,848399,0
ACRX.US,60,20201009,220000,1.86,1.9053,1.83,1.88,502300,0
ACRX.US,60,20201012,160000,2,2.025,1.872,1.96,927369,0
ACRX.US,60,20201012,170000,1.951,1.99,1.89,1.97,434965,0
ACRX.US,60,20201012,180000,1.97,1.995,1.95,1.9678,188490,0
ACRX.US,60,20201012,190000,1.9707,2.1,1.9707,2.07,1340573,0
ACRX.US,60,20201012,200000,2.07,2.09,1.99,2.0002,955169,0
