<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADOC.US,60,20201211,160000,9.99,10,9.95,9.95,475001,0
ADOC.US,60,20201211,170000,9.98,9.98,9.98,9.98,100,0
ADOC.US,60,20201211,180000,9.9998,10,9.9998,10,8900,0
ADOC.US,60,20201211,190000,10.05,10.055,9.98,10,241650,0
ADOC.US,60,20201211,220000,10.1042,10.1042,10.1042,10.1042,100,0
ADOC.US,60,20201214,170000,10.1,10.1,10.05,10.0506,11131,0
ADOC.US,60,20201214,190000,10.05,10.05,10.02,10.02,7128,0
ADOC.US,60,20201214,200000,10,10,9.99,9.99,2350,0
ADOC.US,60,20201214,210000,9.99,9.9906,9.98,9.9906,41975,0
ADOC.US,60,20201214,220000,10,10.0299,10,10,1151,0
ADOC.US,60,20201215,160000,9.99,9.99,9.99,9.99,100,0
ADOC.US,60,20201215,170000,9.98,9.9999,9.98,9.9885,3603,0
ADOC.US,60,20201215,180000,9.985,10,9.985,10,24625,0
ADOC.US,60,20201215,190000,10.01,10.01,10.01,10.01,500,0
ADOC.US,60,20201215,200000,10.0278,10.0278,10.02,10.02,769,0
ADOC.US,60,20201215,210000,10.02,10.02,10.02,10.02,2115,0
ADOC.US,60,20201215,220000,10.02,10.02,9.97,10,208496,0
ADOC.US,60,20201216,160000,9.991,9.991,9.9738,9.9738,800,0
ADOC.US,60,20201216,170000,9.97,9.9701,9.97,9.9701,600,0
ADOC.US,60,20201216,180000,9.99,9.9912,9.98,9.98,1833,0
ADOC.US,60,20201216,190000,9.9725,9.99,9.9725,9.99,57357,0
ADOC.US,60,20201216,200000,9.985,10,9.98,9.98,1000,0
ADOC.US,60,20201216,210000,9.97,9.97,9.965,9.97,56220,0
ADOC.US,60,20201216,220000,9.97,9.97,9.97,9.97,1476,0
ADOC.US,60,20201217,160000,10,10.0114,9.99,9.99,21960,0
ADOC.US,60,20201217,180000,10.0196,10.02,10.0149,10.0149,5200,0
ADOC.US,60,20201217,190000,10.03,10.06,10.03,10.06,1200,0
ADOC.US,60,20201217,200000,10.0342,10.0342,10.0342,10.0342,300,0
ADOC.US,60,20201217,210000,10.05,10.05,10.05,10.05,100,0
