<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMTX.US,60,20200914,160000,2.21,2.28,2.15,2.2303,132519,0
AMTX.US,60,20200914,170000,2.2,2.22,2.15,2.18,107855,0
AMTX.US,60,20200914,180000,2.18,2.2,2.13,2.19,100206,0
AMTX.US,60,20200914,190000,2.19,2.22,2.17,2.2,112778,0
AMTX.US,60,20200914,200000,2.2,2.21,2.18,2.18,133693,0
AMTX.US,60,20200914,210000,2.18,2.19,2.1,2.1,169971,0
AMTX.US,60,20200914,220000,2.1,2.13,2.06,2.09,205349,0
AMTX.US,60,20200915,160000,2.11,2.13,2.0678,2.09,71366,0
AMTX.US,60,20200915,170000,2.08,2.12,2.07,2.08,42048,0
AMTX.US,60,20200915,180000,2.1,2.12,2.05,2.055,64398,0
AMTX.US,60,20200915,190000,2.06,2.09,2.03,2.06,35254,0
AMTX.US,60,20200915,200000,2.065,2.07,2.02,2.02,42698,0
AMTX.US,60,20200915,210000,2.02,2.07,2.02,2.0699,31381,0
AMTX.US,60,20200915,220000,2.06,2.08,2,2.03,66125,0
AMTX.US,60,20200916,160000,2.15,2.28,2.15,2.1913,248996,0
AMTX.US,60,20200916,170000,2.1963,2.266,2.18,2.21,239693,0
AMTX.US,60,20200916,180000,2.2,2.26,2.2,2.2,108166,0
AMTX.US,60,20200916,190000,2.21,2.33,2.21,2.2501,298492,0
AMTX.US,60,20200916,200000,2.2402,2.27,2.19,2.227,158298,0
AMTX.US,60,20200916,210000,2.23,2.29,2.22,2.23,129486,0
AMTX.US,60,20200916,220000,2.23,2.27,2.16,2.16,99094,0
AMTX.US,60,20200917,160000,2.11,2.1636,2.0797,2.13,36663,0
AMTX.US,60,20200917,170000,2.1559,2.58,2.15,2.56,396192,0
AMTX.US,60,20200917,180000,2.57,2.8,2.52,2.685,1923946,0
AMTX.US,60,20200917,190000,2.6898,2.73,2.54,2.595,1021112,0
AMTX.US,60,20200917,200000,2.5901,2.66,2.5,2.6,278190,0
AMTX.US,60,20200917,210000,2.605,2.67,2.59,2.6101,191367,0
AMTX.US,60,20200917,220000,2.61,2.63,2.57,2.61,250885,0
