<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANNX.US,60,20200914,160000,25,25.64,24.75,24.95,28675,0
ANNX.US,60,20200914,170000,24.86,24.95,23.557,24.13,56734,0
ANNX.US,60,20200914,180000,24.035,24.705,23.79,24.02,21814,0
ANNX.US,60,20200914,190000,24.08,24.1821,23.865,24.075,18435,0
ANNX.US,60,20200914,200000,23.97,24.015,23.5,23.82,32609,0
ANNX.US,60,20200914,210000,23.81,24.19,23.785,23.93,12374,0
ANNX.US,60,20200914,220000,23.865,24.19,22.161,23.09,120476,0
ANNX.US,60,20200915,160000,23.02,24.52,23.02,23.925,7747,0
ANNX.US,60,20200915,170000,24.07,24.07,23.6,23.82,27374,0
ANNX.US,60,20200915,180000,23.765,23.775,23.41,23.72,41276,0
ANNX.US,60,20200915,190000,23.75,23.855,23.465,23.655,16684,0
ANNX.US,60,20200915,200000,23.55,23.76,23.485,23.56,13788,0
ANNX.US,60,20200915,210000,23.555,23.74,23.04,23.4,11334,0
ANNX.US,60,20200915,220000,23.345,23.46,23.0001,23.02,27134,0
ANNX.US,60,20200916,160000,23.43,25.36,23.1,23.3,6820,0
ANNX.US,60,20200916,170000,23.175,23.65,22.5326,22.9,39089,0
ANNX.US,60,20200916,180000,22.88,22.91,22.5,22.6,27399,0
ANNX.US,60,20200916,190000,22.6,23.74,22.19,23,109436,0
ANNX.US,60,20200916,200000,23.03,23.435,22.505,23.04,21889,0
ANNX.US,60,20200916,210000,23.15,23.335,22.49,22.59,25474,0
ANNX.US,60,20200916,220000,22.45,23.425,22.17,22.47,161826,0
ANNX.US,60,20200917,160000,22.26,22.61,22.26,22.61,3171,0
ANNX.US,60,20200917,170000,22.61,22.61,22.1524,22.43,45528,0
ANNX.US,60,20200917,180000,22.43,22.79,22.12,22.205,17883,0
ANNX.US,60,20200917,190000,22.13,22.4,22.13,22.15,13494,0
ANNX.US,60,20200917,200000,22.25,22.465,22.14,22.27,27237,0
ANNX.US,60,20200917,210000,22.27,22.29,21.37,21.565,50056,0
ANNX.US,60,20200917,220000,21.55,21.95,21.21,21.29,125997,0
ANNX.US,60,20200918,160000,22.19,23.14,21.29,22.3,17899,0
ANNX.US,60,20200918,170000,22.31,23.45,22.31,22.985,26121,0
ANNX.US,60,20200918,180000,22.945,23.27,22.62,22.87,31687,0
ANNX.US,60,20200918,190000,22.845,24.35,22.57,24.335,45337,0
ANNX.US,60,20200918,200000,24.33,24.52,23.39,23.97,85001,0
ANNX.US,60,20200918,210000,23.89,24.2,22.6,23.14,42769,0
ANNX.US,60,20200918,220000,23.095,23.88,22.07,22.5,1885266,0
ANNX.US,60,20200921,160000,22.07,22.5,22.07,22.5,11843,0
ANNX.US,60,20200921,170000,22.445,22.5,22.2,22.46,5522,0
ANNX.US,60,20200921,180000,22.385,22.55,22.28,22.4,13917,0
ANNX.US,60,20200921,190000,22.4613,22.5,22.155,22.4,9494,0
ANNX.US,60,20200921,200000,22.35,22.57,22.265,22.345,55097,0
ANNX.US,60,20200921,210000,22.39,22.44,21.895,22.03,33859,0
ANNX.US,60,20200921,220000,22,22.27,21.87,22.02,109542,0
ANNX.US,60,20200922,160000,21.91,22.22,21.825,21.885,1913,0
ANNX.US,60,20200922,170000,21.89,22.33,21.71,21.795,10029,0
ANNX.US,60,20200922,180000,21.795,22.09,21.78,21.93,14923,0
ANNX.US,60,20200922,190000,21.93,22.5,21.76,22.19,32069,0
ANNX.US,60,20200922,200000,22.12,22.28,21.81,21.905,33801,0
ANNX.US,60,20200922,210000,21.83,22.16,21.81,21.98,29948,0
ANNX.US,60,20200922,220000,22.13,22.23,21.85,22.18,146913,0
ANNX.US,60,20200923,160000,22.01,22.695,22,22.25,7947,0
ANNX.US,60,20200923,170000,22.25,23.77,22.25,23.68,15779,0
ANNX.US,60,20200923,180000,23.68,24.08,23.455,23.8,19135,0
ANNX.US,60,20200923,190000,23.84,24.9499,23.79,24.765,22260,0
ANNX.US,60,20200923,200000,24.76,24.76,23.15,23.3,32114,0
ANNX.US,60,20200923,210000,23.405,23.47,22.11,23.13,73691,0
ANNX.US,60,20200923,220000,23.25,23.3,22.79,23,66379,0
ANNX.US,60,20200924,160000,22.89,23.465,22.43,23.465,2289,0
ANNX.US,60,20200924,170000,22.9,22.9,21.89,22.76,10639,0
ANNX.US,60,20200924,180000,22.76,23.18,22.5,22.99,15800,0
ANNX.US,60,20200924,190000,22.98,23.11,22.85,22.98,9611,0
ANNX.US,60,20200924,200000,23.07,23.57,23.07,23.44,13351,0
ANNX.US,60,20200924,210000,23.5,23.65,23.188,23.25,13385,0
ANNX.US,60,20200924,220000,23.265,23.475,22.75,22.97,38137,0
ANNX.US,60,20200925,160000,22.8,22.8,21.79,22.57,19893,0
ANNX.US,60,20200925,170000,22.51,23.9,22.2,23.19,62388,0
ANNX.US,60,20200925,180000,23.2,23.52,22.71,22.82,24718,0
ANNX.US,60,20200925,190000,22.82,23.175,22.63,22.93,32561,0
ANNX.US,60,20200925,200000,22.99,23.09,22.58,22.58,8692,0
ANNX.US,60,20200925,210000,22.64,23.19,22.445,22.88,26535,0
ANNX.US,60,20200925,220000,23.02,23.27,22.55,23,53659,0
ANNX.US,60,20200928,160000,23.1,23.24,22.38,23.24,23782,0
ANNX.US,60,20200928,170000,23.21,24.2,22.865,23.85,3460,0
ANNX.US,60,20200928,180000,23.87,24.2,23.87,24.18,4721,0
ANNX.US,60,20200928,190000,24.065,24.22,23.92,24.06,16418,0
ANNX.US,60,20200928,200000,23.93,24.56,23.93,24.5,5638,0
ANNX.US,60,20200928,210000,24.385,24.7632,23.89,24.1,10637,0
ANNX.US,60,20200928,220000,24.06,24.74,23.65,24.55,15396,0
ANNX.US,60,20200929,160000,24.53,24.96,23.47,24.68,5703,0
ANNX.US,60,20200929,170000,24.9,25.99,24.76,25.77,11518,0
ANNX.US,60,20200929,180000,25.73,26.79,24.98,26.35,168875,0
ANNX.US,60,20200929,190000,26.345,27.7,26.345,27.03,52230,0
ANNX.US,60,20200929,200000,27.08,27.83,26.54,26.78,53063,0
ANNX.US,60,20200929,210000,26.84,27.79,26.84,27.775,7613,0
ANNX.US,60,20200929,220000,27.715,28.49,27.26,28.05,65847,0
ANNX.US,60,20200930,160000,27.8,27.99,25.19,27.05,14178,0
ANNX.US,60,20200930,170000,26.7001,27.58,26.05,27.09,48912,0
ANNX.US,60,20200930,180000,27.11,28.1,26.74,27.04,11379,0
ANNX.US,60,20200930,190000,27.27,27.4,26.95,27.16,6500,0
ANNX.US,60,20200930,200000,27.15,27.9,27.15,27.9,2900,0
ANNX.US,60,20200930,210000,27.9,28.22,27.58,27.96,1400,0
ANNX.US,60,20200930,220000,28.275,30.69,28.17,30.23,52985,0
ANNX.US,60,20201001,160000,30.24,31.75,30.24,31.12,13788,0
ANNX.US,60,20201001,170000,31.715,31.715,30.785,31.23,4870,0
ANNX.US,60,20201001,180000,31.34,31.34,30.386,30.386,7718,0
ANNX.US,60,20201001,190000,30.18,30.62,30.01,30.31,17007,0
ANNX.US,60,20201001,200000,30.32,30.5,29.16,29.16,4327,0
ANNX.US,60,20201001,210000,29.38,30.1,28.92,29.12,14034,0
ANNX.US,60,20201001,220000,29.015,29.7573,27.89,28.93,43338,0
ANNX.US,60,20201002,160000,28.64,28.64,28.18,28.23,2520,0
ANNX.US,60,20201002,170000,28.36,28.91,26.5,27,22513,0
ANNX.US,60,20201002,180000,28.0556,28.16,26.43,27.18,38392,0
ANNX.US,60,20201002,190000,27.18,27.51,26.4,27.51,5762,0
ANNX.US,60,20201002,200000,27.65,27.96,27.06,27.06,3830,0
ANNX.US,60,20201002,210000,27.06,27.34,26.365,26.8,14600,0
ANNX.US,60,20201002,220000,26.52,27.34,26.52,26.97,29315,0
ANNX.US,60,20201005,160000,27.21,27.21,27,27,426,0
ANNX.US,60,20201005,170000,27,27.45,26.575,27.21,10381,0
ANNX.US,60,20201005,180000,27,27.34,26.93,27.32,3538,0
ANNX.US,60,20201005,190000,27.345,27.92,26.91,27.365,146736,0
ANNX.US,60,20201005,200000,27.37,28.19,27,27.71,20054,0
ANNX.US,60,20201005,210000,27.71,28.55,27.5,28.375,20321,0
ANNX.US,60,20201005,220000,28.42,28.48,27.2,27.75,148765,0
ANNX.US,60,20201006,160000,27.95,27.95,26.03,27,80928,0
ANNX.US,60,20201006,170000,27.3,29.17,27.3,28.84,8388,0
ANNX.US,60,20201006,180000,28.59,29.49,28.16,28.285,24732,0
ANNX.US,60,20201006,190000,28.16,28.16,26.93,27.3,22315,0
ANNX.US,60,20201006,200000,27.16,27.38,26.96,27.02,3300,0
ANNX.US,60,20201006,210000,27.04,27.62,27,27,8220,0
ANNX.US,60,20201006,220000,27,27.47,27,27.31,46593,0
ANNX.US,60,20201007,160000,27.41,27.935,27.1343,27.905,1675,0
ANNX.US,60,20201007,170000,27.8,28,26.855,27.8,111993,0
ANNX.US,60,20201007,180000,27.8,27.86,27.42,27.82,32648,0
ANNX.US,60,20201007,190000,27.8,27.855,27.605,27.79,18277,0
ANNX.US,60,20201007,200000,27.79,27.825,27.535,27.585,8381,0
ANNX.US,60,20201007,210000,27.6,27.835,27.195,27.265,12382,0
ANNX.US,60,20201007,220000,27.19,27.425,26.97,27,40504,0
ANNX.US,60,20201008,160000,27.27,27.35,26.94,26.98,2882,0
ANNX.US,60,20201008,170000,26.76,27.34,26.74,26.905,13632,0
ANNX.US,60,20201008,180000,27,27.89,26.755,27.3,58421,0
ANNX.US,60,20201008,190000,27.14,27.22,27.05,27.12,1400,0
ANNX.US,60,20201008,200000,27.33,27.46,27.12,27.12,2410,0
ANNX.US,60,20201008,210000,27.01,27.13,26.83,27.1,1000,0
ANNX.US,60,20201008,220000,27.15,27.65,27.1,27.33,12433,0
ANNX.US,60,20201009,160000,27.55,27.92,27.55,27.7,830,0
ANNX.US,60,20201009,170000,27.3,27.93,27.28,27.71,3312,0
ANNX.US,60,20201009,180000,27.885,28.205,27.68,27.68,2897,0
ANNX.US,60,20201009,190000,27.91,28.1699,27.72,28,14210,0
ANNX.US,60,20201009,200000,28,28,27.88,27.9,9392,0
ANNX.US,60,20201009,210000,27.965,28.01,27.9,27.955,6077,0
ANNX.US,60,20201009,220000,28,28.06,27.43,27.88,29239,0
ANNX.US,60,20201012,160000,28.16,28.78,27.51,27.7,5497,0
ANNX.US,60,20201012,170000,27.85,28.65,27.51,28.35,13215,0
ANNX.US,60,20201012,180000,28.22,28.34,27.805,28.1394,18811,0
ANNX.US,60,20201012,190000,28.105,28.325,27.93,28.14,23130,0
ANNX.US,60,20201012,200000,28.14,28.8,27.9556,28.4,8754,0
ANNX.US,60,20201012,210000,28.68,28.8499,28.51,28.6,3100,0
ANNX.US,60,20201012,220000,28.6,29.71,28.6,29.11,25835,0
ANNX.US,60,20201013,160000,28.81,29.39,28.015,28.84,5780,0
ANNX.US,60,20201013,170000,28.84,28.99,28.33,28.42,7400,0
ANNX.US,60,20201013,180000,28.51,29.08,28.24,28.625,47752,0
ANNX.US,60,20201013,190000,28.64,28.85,28.5,28.85,6270,0
ANNX.US,60,20201013,200000,28.86,28.89,28.64,28.88,2800,0
ANNX.US,60,20201013,210000,28.66,29.74,28.66,28.95,14372,0
ANNX.US,60,20201013,220000,29.07,29.5,28.97,29.4,10728,0
ANNX.US,60,20201014,160000,29.48,30.39,29.03,29.03,2467,0
ANNX.US,60,20201014,170000,29.12,29.44,28.535,28.99,22740,0
ANNX.US,60,20201014,180000,29.02,29.33,28.9315,28.9315,14735,0
ANNX.US,60,20201014,190000,28.81,29,28.08,28.345,19747,0
ANNX.US,60,20201014,200000,28.365,28.7,28.145,28.54,23253,0
ANNX.US,60,20201014,210000,28.55,28.9,28.05,28.535,16695,0
ANNX.US,60,20201014,220000,28.65,29.12,28.46,28.8,46793,0
ANNX.US,60,20201015,160000,28.52,28.52,28.16,28.16,278,0
ANNX.US,60,20201015,170000,27.64,28.7975,27.59,28.425,9778,0
ANNX.US,60,20201015,180000,28.31,28.95,28.22,28.76,57857,0
ANNX.US,60,20201015,190000,28.7,29.12,28.6,28.6,1974,0
ANNX.US,60,20201015,200000,28.58,29.28,28.48,29.25,9483,0
ANNX.US,60,20201015,210000,29.235,29.555,28.9,28.9,6828,0
ANNX.US,60,20201015,220000,29.49,29.85,28.875,29.16,16024,0
ANNX.US,60,20201016,160000,28.81,31.5,28.81,29.9,31623,0
ANNX.US,60,20201016,170000,30.04,30.91,29.955,30.31,3933,0
ANNX.US,60,20201016,180000,30.31,30.985,30.07,30.5,17157,0
ANNX.US,60,20201016,190000,30.705,31.0399,30.51,30.68,6600,0
ANNX.US,60,20201016,200000,30.52,30.555,30.32,30.32,1400,0
ANNX.US,60,20201016,210000,30.34,30.445,29.98,30.245,1992,0
ANNX.US,60,20201016,220000,30.05,30.815,29.87,30.32,31023,0
ANNX.US,60,20201019,160000,30.76,30.76,30.36,30.655,2012,0
ANNX.US,60,20201019,170000,30.6834,30.69,30.16,30.17,2100,0
ANNX.US,60,20201019,180000,30.17,30.26,29.755,30.07,7855,0
ANNX.US,60,20201019,190000,30.06,30.58,30.04,30.54,7374,0
ANNX.US,60,20201019,200000,30.54,30.555,30.02,30.02,9986,0
ANNX.US,60,20201019,210000,29.915,30.2,29.805,30.2,9458,0
ANNX.US,60,20201019,220000,30,30.12,29.82,30.04,19585,0
ANNX.US,60,20201020,160000,30.4,30.4,29.75,29.78,4145,0
ANNX.US,60,20201020,170000,30.44,30.91,28.77,28.8,15112,0
ANNX.US,60,20201020,180000,28.5601,28.68,28.0613,28.5852,11000,0
ANNX.US,60,20201020,190000,28.49,28.62,28.03,28.115,16989,0
ANNX.US,60,20201020,200000,28.505,28.505,28.1101,28.1101,1300,0
ANNX.US,60,20201020,210000,28.12,28.5199,27.405,27.59,5183,0
ANNX.US,60,20201020,220000,27.64,27.83,26.74,27.82,31643,0
ANNX.US,60,20201021,160000,27.58,27.745,27.58,27.745,471,0
ANNX.US,60,20201021,170000,27.99,28.24,27.5,27.63,8407,0
ANNX.US,60,20201021,180000,27.5,27.51,26.74,26.74,12855,0
ANNX.US,60,20201021,190000,26.8,27.025,26.8,26.81,4403,0
ANNX.US,60,20201021,200000,26.78,26.78,26.63,26.72,2750,0
ANNX.US,60,20201021,210000,26.7325,26.7325,26.18,26.5,4595,0
