<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARBG.US,60,20210112,160000,10.27,10.27,10.27,10.27,101,0
ARBG.US,60,20210112,170000,10.35,10.35,10.35,10.35,567,0
ARBG.US,60,20210112,200000,10.43,10.43,10.43,10.43,160,0
ARBG.US,60,20210112,210000,10.45,10.45,10.45,10.45,1300,0
ARBG.US,60,20210113,160000,10.71,10.71,10.71,10.71,100,0
ARBG.US,60,20210113,170000,10.5,10.53,10.38,10.38,1384,0
ARBG.US,60,20210113,180000,10.4962,10.4962,10.4962,10.4962,100,0
ARBG.US,60,20210113,220000,10.429,10.5,10.429,10.5,36650,0
ARBG.US,60,20210114,160000,10.75,10.75,10.5628,10.5628,297,0
ARBG.US,60,20210114,170000,10.59,10.6,10.49,10.6,34989,0
ARBG.US,60,20210114,180000,10.52,10.52,10.48,10.48,4974,0
ARBG.US,60,20210114,190000,10.43,10.43,10.43,10.43,1671,0
ARBG.US,60,20210114,200000,10.44,10.44,10.405,10.405,200,0
ARBG.US,60,20210114,210000,10.4,10.45,10.3994,10.41,4498,0
ARBG.US,60,20210114,220000,10.42,10.45,10.42,10.45,1300,0
ARBG.US,60,20210115,160000,10.45,10.45,10.45,10.45,200,0
ARBG.US,60,20210115,180000,10.44,10.44,10.4,10.4,253,0
ARBG.US,60,20210115,190000,10.4,10.48,10.4,10.48,1400,0
ARBG.US,60,20210115,220000,10.41,10.45,10.39,10.45,1338,0
ARBG.US,60,20210119,160000,10.4,10.4,10.3309,10.3309,916,0
ARBG.US,60,20210119,170000,10.36,10.38,10.31,10.375,5096,0
ARBG.US,60,20210119,180000,10.32,10.35,10.32,10.33,2114,0
ARBG.US,60,20210119,190000,10.33,10.46,10.33,10.46,10288,0
ARBG.US,60,20210119,200000,10.3,10.47,10.3,10.41,11745,0
ARBG.US,60,20210119,210000,10.35,10.38,10.32,10.38,7958,0
ARBG.US,60,20210119,220000,10.36,10.37,10.35,10.37,11548,0
ARBG.US,60,20210120,160000,10.3,10.46,10.29,10.46,1050,0
ARBG.US,60,20210120,170000,10.38,10.38,10.3399,10.3399,525,0
ARBG.US,60,20210120,180000,10.34,10.34,10.3,10.3,1250,0
ARBG.US,60,20210120,190000,10.31,10.395,10.26,10.26,67407,0
ARBG.US,60,20210120,200000,10.3404,10.3404,10.28,10.28,20250,0
ARBG.US,60,20210120,210000,10.28,10.28,10.28,10.28,22057,0
ARBG.US,60,20210120,220000,10.3,10.31,10.3,10.31,1100,0
ARBG.US,60,20210121,160000,10.4,10.4,10.4,10.4,100,0
ARBG.US,60,20210121,170000,10.385,10.425,10.385,10.41,5600,0
ARBG.US,60,20210121,180000,10.36,10.37,10.2498,10.26,30530,0
ARBG.US,60,20210121,190000,10.28,10.28,10.26,10.26,96309,0
ARBG.US,60,20210121,200000,10.28,10.31,10.26,10.3099,10367,0
ARBG.US,60,20210121,210000,10.3,10.32,10.29,10.29,3188,0
ARBG.US,60,20210121,220000,10.3517,10.36,10.29,10.305,1658,0
ARBG.US,60,20210122,160000,10.37,10.39,10.37,10.39,610,0
ARBG.US,60,20210122,170000,10.4,10.4,10.3641,10.3641,700,0
ARBG.US,60,20210122,180000,10.35,10.35,10.33,10.35,8194,0
ARBG.US,60,20210122,190000,10.35,10.35,10.33,10.33,1400,0
ARBG.US,60,20210122,200000,10.33,10.33,10.24,10.3,8440,0
ARBG.US,60,20210122,210000,10.25,10.25,10.22,10.24,9030,0
ARBG.US,60,20210122,220000,10.24,10.31,10.2,10.31,12770,0
ARBG.US,60,20210125,160000,10.4,10.4201,10.39,10.4201,2764,0
ARBG.US,60,20210125,170000,10.4,10.4,10.33,10.36,4809,0
ARBG.US,60,20210125,180000,10.36,10.36,10.24,10.25,14634,0
ARBG.US,60,20210125,190000,10.25,10.32,10.2398,10.3,9517,0
ARBG.US,60,20210125,200000,10.31,10.32,10.31,10.32,800,0
ARBG.US,60,20210125,210000,10.31,10.31,10.26,10.26,3400,0
ARBG.US,60,20210125,220000,10.29,10.315,10.25,10.25,29142,0
ARBG.US,60,20210126,160000,10.31,10.36,10.3,10.3,6019,0
ARBG.US,60,20210126,170000,10.37,10.37,10.27,10.3,15770,0
ARBG.US,60,20210126,180000,10.2756,10.3,10.2756,10.3,1485,0
ARBG.US,60,20210126,190000,10.29,10.33,10.2789,10.33,5538,0
ARBG.US,60,20210126,200000,10.29,10.29,10.2,10.21,18107,0
ARBG.US,60,20210126,210000,10.2,10.22,10.19,10.22,41227,0
ARBG.US,60,20210126,220000,10.22,10.24,10.18,10.22,11749,0
ARBG.US,60,20210127,160000,10.1,10.1,9.96,10.1,7869,0
ARBG.US,60,20210127,170000,10.11,10.11,10.11,10.11,150,0
ARBG.US,60,20210127,180000,10.15,10.15,10.1,10.1,10600,0
ARBG.US,60,20210127,200000,10.12,10.12,10.1,10.11,13395,0
ARBG.US,60,20210127,210000,10.12,10.15,10.1,10.1,16026,0
ARBG.US,60,20210127,220000,10.1,10.12,10.1,10.1,8560,0
ARBG.US,60,20210128,170000,10.15,10.15,10.125,10.15,650,0
ARBG.US,60,20210128,180000,10.11,10.11,10.1,10.1,15290,0
ARBG.US,60,20210128,190000,10.1,10.14,10.1,10.14,3600,0
ARBG.US,60,20210128,200000,10.105,10.15,10.105,10.13,200575,0
ARBG.US,60,20210128,220000,10.14,10.19,10.14,10.18,9727,0
ARBG.US,60,20210129,160000,10.18,10.185,10.18,10.185,900,0
ARBG.US,60,20210129,190000,10.16,10.16,10.14,10.14,729,0
ARBG.US,60,20210129,200000,10.11,10.12,10.05,10.1,5492,0
ARBG.US,60,20210129,210000,10.11,10.11,10.1095,10.1095,1669,0
ARBG.US,60,20210129,220000,10.11,10.13,10.06,10.13,25729,0
ARBG.US,60,20210201,160000,10.13,10.13,10.13,10.13,100,0
ARBG.US,60,20210201,170000,10.2,10.2,10.15,10.15,4300,0
ARBG.US,60,20210201,180000,10.19,10.24,10.19,10.24,2700,0
ARBG.US,60,20210201,190000,10.225,10.25,10.225,10.25,1300,0
ARBG.US,60,20210201,220000,10.2,10.2,10.19,10.2,48900,0
ARBG.US,60,20210202,160000,10.27,10.27,10.27,10.27,120,0
ARBG.US,60,20210202,170000,10.26,10.26,10.2,10.2,9925,0
ARBG.US,60,20210202,180000,10.2,10.2,10.19,10.1995,9066,0
ARBG.US,60,20210202,190000,10.2,10.2,10.19,10.2,12000,0
ARBG.US,60,20210202,200000,10.2,10.2,10.1699,10.1699,4846,0
ARBG.US,60,20210202,210000,10.17,10.2,10.17,10.19,5886,0
ARBG.US,60,20210202,220000,10.2,10.24,10.145,10.23,23628,0
ARBG.US,60,20210203,170000,10.38,10.39,10.31,10.31,2678,0
ARBG.US,60,20210203,180000,10.35,10.35,10.35,10.35,2500,0
ARBG.US,60,20210203,190000,10.34,10.35,10.27,10.27,6887,0
ARBG.US,60,20210203,200000,10.29,10.3,10.29,10.29,6680,0
ARBG.US,60,20210203,210000,10.297,10.33,10.285,10.33,8325,0
ARBG.US,60,20210203,220000,10.31,10.34,10.23,10.23,10222,0
ARBG.US,60,20210204,160000,10.21,10.25,10.2,10.25,5175,0
ARBG.US,60,20210204,170000,10.25,10.25,10.25,10.25,200,0
ARBG.US,60,20210204,180000,10.25,10.25,10.24,10.24,151799,0
ARBG.US,60,20210204,190000,10.26,10.3,10.26,10.3,6297,0
ARBG.US,60,20210204,200000,10.3001,10.35,10.3001,10.35,400,0
ARBG.US,60,20210204,210000,10.36,10.36,10.3,10.33,4862,0
ARBG.US,60,20210204,220000,10.36,10.38,10.33,10.38,9070,0
ARBG.US,60,20210205,160000,10.38,10.48,10.38,10.48,3480,0
ARBG.US,60,20210205,170000,10.47,10.48,10.365,10.365,4157,0
ARBG.US,60,20210205,190000,10.39,10.44,10.38,10.44,7566,0
ARBG.US,60,20210205,200000,10.48,10.48,10.425,10.44,600,0
ARBG.US,60,20210205,210000,10.43,10.45,10.39,10.4,13989,0
ARBG.US,60,20210205,220000,10.4,10.49,10.37,10.49,9505,0
ARBG.US,60,20210208,160000,10.49,10.5,10.4,10.41,4775,0
ARBG.US,60,20210208,170000,10.48,10.5,10.465,10.465,3546,0
ARBG.US,60,20210208,180000,10.43,10.43,10.42,10.43,2200,0
ARBG.US,60,20210208,190000,10.43,10.43,10.41,10.43,3511,0
ARBG.US,60,20210208,200000,10.4201,10.43,10.4,10.43,8190,0
ARBG.US,60,20210208,210000,10.43,10.43,10.41,10.41,8650,0
ARBG.US,60,20210208,220000,10.415,10.43,10.4,10.43,2200,0
ARBG.US,60,20210209,160000,10.42,10.42,10.23,10.23,19855,0
ARBG.US,60,20210209,170000,10.28,10.4,10.28,10.36,5200,0
ARBG.US,60,20210209,180000,10.35,10.37,10.35,10.37,1200,0
ARBG.US,60,20210209,190000,10.36,10.36,10.36,10.36,100,0
ARBG.US,60,20210209,210000,10.34,10.34,10.3,10.34,13525,0
ARBG.US,60,20210209,220000,10.33,10.33,10.3,10.32,9560,0
ARBG.US,60,20210210,160000,10.4,10.4,10.33,10.33,2711,0
ARBG.US,60,20210210,170000,10.3999,10.4,10.3,10.3,10937,0
ARBG.US,60,20210210,190000,10.31,10.32,10.31,10.32,1249,0
ARBG.US,60,20210210,200000,10.31,10.31,10.31,10.31,100,0
ARBG.US,60,20210210,210000,10.3886,10.3886,10.3886,10.3886,131,0
ARBG.US,60,20210210,220000,10.36,10.39,10.36,10.39,200,0
ARBG.US,60,20210211,160000,10.35,10.35,10.35,10.35,100,0
ARBG.US,60,20210211,170000,10.35,10.35,10.31,10.31,1245,0
ARBG.US,60,20210211,180000,10.3999,10.4,10.38,10.38,4000,0
ARBG.US,60,20210211,190000,10.38,10.38,10.35,10.35,10410,0
ARBG.US,60,20210211,200000,10.35,10.38,10.35,10.38,524,0
ARBG.US,60,20210211,210000,10.35,10.38,10.3,10.31,5584,0
ARBG.US,60,20210211,220000,10.31,10.48,10.295,10.36,48608,0
ARBG.US,60,20210212,160000,10.41,10.41,10.41,10.41,900,0
ARBG.US,60,20210212,170000,10.28,10.3899,10.28,10.3899,500,0
ARBG.US,60,20210212,180000,10.36,10.36,10.36,10.36,100,0
ARBG.US,60,20210212,190000,10.36,10.49,10.35,10.35,27789,0
ARBG.US,60,20210212,200000,10.36,10.36,10.35,10.35,219,0
ARBG.US,60,20210212,210000,10.38,10.4099,10.368,10.368,710,0
ARBG.US,60,20210212,220000,10.41,10.4499,10.41,10.4499,850,0
ARBG.US,60,20210216,160000,10.44,10.44,10.42,10.42,300,0
ARBG.US,60,20210216,170000,10.42,10.42,10.28,10.31,26927,0
ARBG.US,60,20210216,180000,10.35,10.35,10.32,10.32,201,0
ARBG.US,60,20210216,190000,10.36,10.37,10.31,10.36,15277,0
ARBG.US,60,20210216,200000,10.32,10.32,10.3101,10.32,350,0
ARBG.US,60,20210216,210000,10.32,10.34,10.31,10.34,6850,0
ARBG.US,60,20210216,220000,10.35,10.36,10.3,10.35,3834,0
ARBG.US,60,20210217,160000,10.3501,10.36,10.35,10.36,3845,0
ARBG.US,60,20210217,170000,10.35,10.35,10.35,10.35,3988,0
ARBG.US,60,20210217,180000,10.36,10.37,10.35,10.36,11860,0
ARBG.US,60,20210217,190000,10.35,10.39,10.35,10.36,9564,0
ARBG.US,60,20210217,200000,10.35,10.365,10.35,10.35,2583,0
ARBG.US,60,20210217,210000,10.35,10.36,10.35,10.35,3700,0
ARBG.US,60,20210217,220000,10.35,10.38,10.35,10.35,4906,0
ARBG.US,60,20210218,160000,10.43,10.43,10.36,10.395,705,0
ARBG.US,60,20210218,170000,10.36,10.4,10.36,10.4,108420,0
ARBG.US,60,20210218,180000,10.4,10.4,10.4,10.4,14730,0
ARBG.US,60,20210218,190000,10.4,10.4,10.4,10.4,19600,0
ARBG.US,60,20210218,200000,10.4,10.44,10.37,10.4,59372,0
ARBG.US,60,20210218,210000,10.385,10.4,10.38,10.4,25995,0
ARBG.US,60,20210218,220000,10.38,10.42,10.35,10.37,7100,0
