<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARGX.US,60,20200914,160000,225.44,227.46,225.25,227.46,18401,0
ARGX.US,60,20200914,170000,227.79,230.23,227.79,229.21,37610,0
ARGX.US,60,20200914,180000,229.25,231.96,228.96,231.37,62628,0
ARGX.US,60,20200914,190000,231.3,231.78,230.405,231.165,4220,0
ARGX.US,60,20200914,200000,231.48,232.51,231.23,232.02,12224,0
ARGX.US,60,20200914,210000,231.31,231.95,230.17,231.283,4300,0
ARGX.US,60,20200914,220000,231.285,232.93,231.05,232.16,52251,0
ARGX.US,60,20200915,160000,235.08,236.83,233.99,236.67,40371,0
ARGX.US,60,20200915,170000,236.7,237.47,235.47,235.79,10823,0
ARGX.US,60,20200915,180000,235.87,235.89,233.91,233.96,5500,0
ARGX.US,60,20200915,190000,233.93,234.445,233.57,234.155,3240,0
ARGX.US,60,20200915,200000,234.94,235.35,234.34,234.4,2305,0
ARGX.US,60,20200915,210000,234.15,234.15,232.56,232.98,9400,0
ARGX.US,60,20200915,220000,232.55,234.08,232.55,233.28,42856,0
ARGX.US,60,20200916,160000,235.53,235.845,234.54,235.01,11032,0
ARGX.US,60,20200916,170000,235.05,236.745,234.75,235.78,13710,0
ARGX.US,60,20200916,180000,235.76,236.46,235.5,236.37,11223,0
ARGX.US,60,20200916,190000,235.91,236.55,235.58,236.35,5207,0
ARGX.US,60,20200916,200000,236.89,239.34,236.085,239.34,11160,0
ARGX.US,60,20200916,210000,239.57,241.195,239.05,240.64,18916,0
ARGX.US,60,20200916,220000,240.67,240.82,239.06,239.32,71541,0
ARGX.US,60,20200917,160000,239.4,241.17,239.4,241,23160,0
ARGX.US,60,20200917,170000,240.82,242,239.9,241.17,15013,0
ARGX.US,60,20200917,180000,241.18,241.41,240.42,241.19,35476,0
ARGX.US,60,20200917,190000,241.643,242.31,240.85,241.83,16183,0
ARGX.US,60,20200917,200000,242.09,244.12,242.09,243.71,10075,0
ARGX.US,60,20200917,210000,244.07,245.03,243.06,243.68,7176,0
ARGX.US,60,20200917,220000,243.15,244.55,242.48,244.46,43516,0
ARGX.US,60,20200918,160000,242.96,245.81,242.96,245.45,37612,0
ARGX.US,60,20200918,170000,245.55,248.43,245,246.755,37689,0
ARGX.US,60,20200918,180000,246.57,246.77,244.41,246.69,47228,0
ARGX.US,60,20200918,190000,245.57,247.6,244.345,244.345,4300,0
ARGX.US,60,20200918,200000,244.4,245.225,243.695,245.11,6100,0
ARGX.US,60,20200918,210000,245.09,249.33,244.99,249.31,18430,0
ARGX.US,60,20200918,220000,249.35,249.98,248.27,249.74,62561,0
ARGX.US,60,20200921,160000,241.32,245.17,239.79,244.12,16296,0
ARGX.US,60,20200921,170000,244.605,244.87,239.74,241.36,23166,0
ARGX.US,60,20200921,180000,241.22,242.565,240.9,242.52,14847,0
ARGX.US,60,20200921,190000,242.65,243.4,242.39,242.715,6009,0
ARGX.US,60,20200921,200000,243,244,242.635,243.33,3960,0
