<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATNI.US,60,20200914,160000,53.696,54.334,51.45,51.945,6211,0
ATNI.US,60,20200914,170000,51.959,52.43,50.52,51.104,6459,0
ATNI.US,60,20200914,180000,51.104,51.578,50.975,51.441,7057,0
ATNI.US,60,20200914,190000,51.658,51.737,51.044,51.321,6208,0
ATNI.US,60,20200914,200000,51.326,52.642,51.232,52.598,5994,0
ATNI.US,60,20200914,210000,52.44,52.667,52.172,52.281,10261,0
ATNI.US,60,20200914,220000,51.999,51.999,48.819,49.323,34359,0
ATNI.US,60,20200915,160000,50.223,51.806,50.223,51.806,4207,0
ATNI.US,60,20200915,170000,52.143,53.062,52.034,53.052,8122,0
ATNI.US,60,20200915,180000,53.043,53.73,52.706,53.497,10180,0
ATNI.US,60,20200915,190000,53.389,54.566,53.349,54.353,10112,0
ATNI.US,60,20200915,200000,54.517,54.704,54.121,54.339,7902,0
ATNI.US,60,20200915,210000,54.536,54.626,53.038,53.23,11392,0
ATNI.US,60,20200915,220000,53.22,53.379,52.014,52.677,29367,0
ATNI.US,60,20200916,160000,52.4,55.384,52.4,52.915,1570,0
ATNI.US,60,20200916,170000,53.127,53.127,52.291,52.291,3040,0
ATNI.US,60,20200916,180000,52.4,52.588,51.688,51.737,3740,0
ATNI.US,60,20200916,190000,51.707,52.568,51.559,52.568,2325,0
ATNI.US,60,20200916,200000,52.468,52.865,52.468,52.677,2730,0
ATNI.US,60,20200916,210000,52.677,53.627,52.44,53.384,2426,0
ATNI.US,60,20200916,220000,53.092,53.315,52.133,52.42,24721,0
ATNI.US,60,20200917,170000,51.529,52.271,51.529,51.974,5965,0
ATNI.US,60,20200917,180000,52.088,52.088,51.441,52.083,7756,0
ATNI.US,60,20200917,190000,52.167,52.172,51.48,51.915,5762,0
ATNI.US,60,20200917,200000,51.915,52.246,51.441,52.083,6470,0
ATNI.US,60,20200917,210000,52.083,52.133,51.441,51.441,9968,0
ATNI.US,60,20200917,220000,51.757,51.964,51.084,51.48,35134,0
ATNI.US,60,20200918,160000,52.351,53.705,51.51,51.668,17190,0
ATNI.US,60,20200918,170000,52.618,53.567,51.698,52.463,5964,0
ATNI.US,60,20200918,180000,52.543,52.543,51.767,51.767,2932,0
ATNI.US,60,20200918,190000,51.727,51.727,51.154,51.296,2692,0
ATNI.US,60,20200918,200000,51.411,52.182,51.381,51.46,7582,0
ATNI.US,60,20200918,210000,51.608,51.777,51.311,51.311,2391,0
ATNI.US,60,20200918,220000,51.242,51.811,50.936,51.618,467170,0
ATNI.US,60,20200921,160000,50.877,51.519,50.877,51.203,1444,0
ATNI.US,60,20200921,170000,51.222,51.441,50.441,50.441,2123,0
ATNI.US,60,20200921,180000,50.555,50.882,50.45,50.51,3831,0
ATNI.US,60,20200921,190000,50.405,50.45,49.63,49.63,3747,0
ATNI.US,60,20200921,200000,49.68,50.184,49.253,50.184,3351,0
ATNI.US,60,20200921,210000,50.253,50.253,49.363,49.363,5560,0
ATNI.US,60,20200921,220000,49.704,50.303,49.65,50.154,25735,0
ATNI.US,60,20200922,160000,50.066,50.707,49.937,50.669,2238,0
ATNI.US,60,20200922,170000,50.59,50.59,49.53,49.897,4444,0
ATNI.US,60,20200922,180000,49.462,49.462,48.709,48.966,7701,0
ATNI.US,60,20200922,190000,49.066,49.076,48.205,48.631,4852,0
ATNI.US,60,20200922,200000,48.645,49.288,48.349,49.288,4936,0
ATNI.US,60,20200922,210000,49.166,49.363,48.779,49.233,6141,0
ATNI.US,60,20200922,220000,49.233,50.174,49.126,49.55,26092,0
ATNI.US,60,20200923,160000,49.709,51.089,49.709,50.283,2419,0
ATNI.US,60,20200923,170000,50.391,50.391,49.714,49.729,3017,0
ATNI.US,60,20200923,180000,49.872,49.872,49.096,49.338,1516,0
ATNI.US,60,20200923,190000,49.096,49.293,49.041,49.166,1071,0
ATNI.US,60,20200923,200000,49.166,49.166,48.724,49.006,3239,0
ATNI.US,60,20200923,210000,48.839,48.976,48.225,48.275,5459,0
ATNI.US,60,20200923,220000,48.334,48.69,47.76,47.839,24917,0
ATNI.US,60,20200924,160000,49.492,49.492,48.413,48.413,4782,0
ATNI.US,60,20200924,170000,48.709,49.253,48.572,49.253,2324,0
ATNI.US,60,20200924,180000,49.462,49.51,48.854,49.51,3032,0
ATNI.US,60,20200924,190000,49.867,50.164,49.68,50.134,2894,0
ATNI.US,60,20200924,200000,50.134,50.6,50.134,50.273,4368,0
ATNI.US,60,20200924,210000,50.273,50.273,49.729,49.877,7292,0
ATNI.US,60,20200924,220000,49.877,50.174,49.69,49.907,16656,0
ATNI.US,60,20200925,160000,49.501,51.566,49.501,51.47,3188,0
ATNI.US,60,20200925,170000,51.47,51.638,50.5,50.907,5830,0
ATNI.US,60,20200925,180000,50.907,51.104,50.372,50.827,4635,0
ATNI.US,60,20200925,190000,50.827,51.044,50.827,51.044,2830,0
ATNI.US,60,20200925,200000,51.044,51.174,50.917,51.074,1820,0
ATNI.US,60,20200925,210000,51.054,51.341,50.984,51.094,2326,0
ATNI.US,60,20200925,220000,51.154,51.237,50.59,51.074,17051,0
ATNI.US,60,20200928,160000,51.431,51.47,51.149,51.257,2076,0
ATNI.US,60,20200928,170000,50.994,51.004,50.184,50.431,3495,0
ATNI.US,60,20200928,180000,50.441,50.64,49.555,49.719,4415,0
ATNI.US,60,20200928,190000,49.665,50.016,49.56,49.779,2733,0
ATNI.US,60,20200928,200000,49.58,49.779,49.214,49.719,4295,0
ATNI.US,60,20200928,210000,49.57,50.48,49.57,50.48,3246,0
ATNI.US,60,20200928,220000,50.54,50.697,50.066,50.243,20328,0
ATNI.US,60,20200929,160000,50.174,51.464,49.821,50.759,2889,0
ATNI.US,60,20200929,170000,50.849,51.583,50.719,50.987,10693,0
ATNI.US,60,20200929,180000,50.874,51.603,50.874,51.245,5158,0
ATNI.US,60,20200929,190000,51.187,51.722,50.849,51.305,5184,0
ATNI.US,60,20200929,200000,51.285,51.285,50.839,50.839,1587,0
ATNI.US,60,20200929,210000,50.581,51.107,50.392,51.097,1870,0
ATNI.US,60,20200929,220000,51.092,51.405,50.987,51.117,14808,0
ATNI.US,60,20200930,160000,51.464,51.484,51.464,51.484,484,0
ATNI.US,60,20200930,170000,51.385,51.385,50.611,50.611,906,0
ATNI.US,60,20200930,180000,50.541,50.621,50.392,50.621,1108,0
ATNI.US,60,20200930,190000,50.442,50.442,50.268,50.268,402,0
ATNI.US,60,20200930,200000,50.129,50.491,50.079,50.392,2431,0
ATNI.US,60,20200930,210000,50.303,50.333,49.568,49.568,1310,0
ATNI.US,60,20200930,220000,49.518,49.856,49.211,49.767,28868,0
ATNI.US,60,20201001,160000,49.658,50.65,49.152,49.152,821,0
ATNI.US,60,20201001,170000,48.729,49.23,48.308,49.23,2216,0
ATNI.US,60,20201001,180000,49.24,49.24,48.814,49.132,1208,0
ATNI.US,60,20201001,190000,49.042,49.112,48.874,49.022,977,0
ATNI.US,60,20201001,200000,48.904,49.588,48.904,49.588,2248,0
ATNI.US,60,20201001,210000,49.3,49.469,48.794,49.33,3226,0
ATNI.US,60,20201001,220000,49.22,49.22,48.566,48.972,16613,0
ATNI.US,60,20201002,180000,48.754,48.754,48.754,48.754,100,0
ATNI.US,60,20201002,190000,48.616,48.834,48.387,48.834,3086,0
ATNI.US,60,20201002,200000,48.754,48.754,48.03,48.03,402,0
ATNI.US,60,20201002,210000,48.308,48.566,48.169,48.536,2593,0
ATNI.US,60,20201002,220000,48.844,48.844,48.278,48.338,14952,0
ATNI.US,60,20201005,160000,48.675,49.727,48.675,49.727,800,0
ATNI.US,60,20201005,170000,49.777,50.065,49.34,50.065,3036,0
ATNI.US,60,20201005,180000,50.025,50.451,49.772,50.124,1048,0
ATNI.US,60,20201005,190000,50.461,50.471,50.278,50.451,403,0
ATNI.US,60,20201005,200000,50.343,50.442,49.916,49.916,1970,0
ATNI.US,60,20201005,210000,50.065,50.253,49.816,49.816,2725,0
ATNI.US,60,20201005,220000,49.786,50.045,49.658,49.747,13838,0
ATNI.US,60,20201006,160000,50.015,50.015,49.255,49.255,516,0
ATNI.US,60,20201006,170000,49.082,50.581,49.082,50.581,907,0
ATNI.US,60,20201006,180000,50.372,50.372,50.372,50.372,202,0
ATNI.US,60,20201006,190000,50.333,50.789,50.094,50.094,1209,0
ATNI.US,60,20201006,200000,50.739,50.739,50.273,50.273,604,0
ATNI.US,60,20201006,210000,50.074,50.699,50.005,50.035,7951,0
ATNI.US,60,20201006,220000,50.68,50.709,49.23,49.508,21883,0
ATNI.US,60,20201007,160000,49.608,49.608,49.608,49.608,236,0
ATNI.US,60,20201007,170000,49.245,49.39,48.784,48.844,1226,0
ATNI.US,60,20201007,180000,48.754,49.142,48.576,49.142,1398,0
ATNI.US,60,20201007,190000,49.062,49.062,48.794,48.933,1209,0
ATNI.US,60,20201007,200000,48.874,49.012,48.675,49.012,2880,0
ATNI.US,60,20201007,210000,49.012,49.112,48.904,49.102,5279,0
ATNI.US,60,20201007,220000,49.112,49.588,49.112,49.43,18818,0
ATNI.US,60,20201008,160000,49.737,50.362,49.29,50.144,1287,0
ATNI.US,60,20201008,170000,49.28,50.035,48.933,50.005,2418,0
ATNI.US,60,20201008,180000,50.005,50.203,49.618,49.618,604,0
ATNI.US,60,20201008,190000,50.104,50.104,49.508,49.508,704,0
ATNI.US,60,20201008,200000,49.39,49.856,49.37,49.856,1109,0
ATNI.US,60,20201008,210000,50.104,50.243,49.876,50.094,806,0
ATNI.US,60,20201008,220000,50,50.402,49.816,50.005,9015,0
ATNI.US,60,20201009,160000,50.511,50.621,50.511,50.591,2173,0
ATNI.US,60,20201009,170000,50.541,50.631,49.41,50.313,3756,0
ATNI.US,60,20201009,180000,50.343,50.343,49.727,50.293,881,0
ATNI.US,60,20201009,190000,50.094,50.273,50.069,50.273,510,0
ATNI.US,60,20201009,200000,49.876,50.074,49.638,49.638,833,0
ATNI.US,60,20201009,210000,49.648,50.164,49.638,49.831,2173,0
ATNI.US,60,20201009,220000,49.688,50.114,49.688,49.995,8673,0
ATNI.US,60,20201012,160000,50.025,50.571,49.628,50.283,4661,0
ATNI.US,60,20201012,170000,50.042,50.926,49.737,49.866,5509,0
ATNI.US,60,20201012,180000,50.035,50.035,50.035,50.035,100,0
ATNI.US,60,20201012,190000,50.104,50.263,49.806,49.926,1108,0
ATNI.US,60,20201012,200000,50.084,50.084,50.084,50.084,100,0
ATNI.US,60,20201012,210000,50.084,50.159,49.896,50.159,3670,0
ATNI.US,60,20201012,220000,50.223,50.461,50.035,50.253,12143,0
ATNI.US,60,20201013,160000,49.697,50.074,49.697,49.836,1312,0
ATNI.US,60,20201013,170000,49.43,49.43,49.142,49.28,503,0
ATNI.US,60,20201013,180000,49.29,49.518,48.904,49.518,1411,0
ATNI.US,60,20201013,190000,49.212,49.22,48.704,49.172,2351,0
ATNI.US,60,20201013,200000,49.172,49.172,48.947,49.062,907,0
ATNI.US,60,20201013,210000,49.042,49.072,48.606,48.606,1188,0
ATNI.US,60,20201013,220000,48.645,49.112,48.645,48.804,12492,0
ATNI.US,60,20201014,160000,48.962,49.4,48.709,48.884,989,0
ATNI.US,60,20201014,170000,49.24,49.24,48.446,48.446,604,0
ATNI.US,60,20201014,180000,47.99,47.995,47.97,47.995,302,0
ATNI.US,60,20201014,190000,47.96,48.258,47.96,48.159,1511,0
ATNI.US,60,20201014,200000,48.02,48.02,48.02,48.02,100,0
ATNI.US,60,20201014,210000,47.618,48.189,47.618,47.757,1425,0
ATNI.US,60,20201014,220000,47.742,47.901,47.444,47.663,8281,0
ATNI.US,60,20201015,160000,46.879,47.444,46.879,47.245,687,0
ATNI.US,60,20201015,170000,47.633,47.633,46.501,47.077,1314,0
ATNI.US,60,20201015,180000,47.405,47.415,47.117,47.415,907,0
ATNI.US,60,20201015,190000,47.345,47.633,47.188,47.633,874,0
ATNI.US,60,20201015,200000,47.533,47.821,47.435,47.742,1814,0
ATNI.US,60,20201015,210000,47.831,47.911,47.583,47.861,1410,0
ATNI.US,60,20201015,220000,47.663,47.791,47.147,47.285,13166,0
ATNI.US,60,20201016,160000,47.177,48.099,47.177,47.633,2317,0
ATNI.US,60,20201016,170000,48.099,48.099,48.05,48.05,303,0
ATNI.US,60,20201016,180000,47.673,47.673,47.633,47.653,1310,0
ATNI.US,60,20201016,190000,47.881,47.911,47.643,47.911,2601,0
ATNI.US,60,20201016,200000,47.762,47.861,47.722,47.801,402,0
ATNI.US,60,20201016,210000,47.871,48.169,47.811,47.901,1906,0
ATNI.US,60,20201016,220000,47.881,47.881,47.643,47.762,27266,0
ATNI.US,60,20201019,160000,48.01,48.01,47.653,47.653,643,0
ATNI.US,60,20201019,170000,47.643,48.129,47.633,48.129,3667,0
ATNI.US,60,20201019,180000,47.663,47.663,47.206,47.643,605,0
