<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHFAL.US,60,20200914,170000,26.7,26.7,26.7,26.7,100,0
BHFAL.US,60,20200914,190000,26.82,26.8207,26.79,26.79,2410,0
BHFAL.US,60,20200914,200000,26.82,26.83,26.7416,26.7416,5460,0
BHFAL.US,60,20200914,210000,26.75,26.8099,26.715,26.7279,1362,0
BHFAL.US,60,20200914,220000,26.73,26.7518,26.73,26.74,1301,0
BHFAL.US,60,20200915,160000,26.94,26.95,26.825,26.825,5861,0
BHFAL.US,60,20200915,170000,26.93,26.95,26.8643,26.95,3100,0
BHFAL.US,60,20200915,180000,26.94,26.96,26.92,26.95,3888,0
BHFAL.US,60,20200915,190000,26.98,27,26.98,27,1200,0
BHFAL.US,60,20200915,200000,26.94,26.94,26.93,26.93,2060,0
BHFAL.US,60,20200915,210000,26.9163,27,26.87,27,1496,0
BHFAL.US,60,20200915,220000,26.96,27.1,26.96,27.1,2847,0
BHFAL.US,60,20200916,170000,27.03,27.18,27.03,27.15,1585,0
BHFAL.US,60,20200916,190000,27.2167,27.2167,27.2167,27.2167,300,0
BHFAL.US,60,20200916,200000,27.17,27.1701,27.0905,27.0905,4231,0
BHFAL.US,60,20200916,210000,27.23,27.23,27.0801,27.19,500,0
BHFAL.US,60,20200916,220000,27.2337,27.24,26.93,26.93,4547,0
BHFAL.US,60,20200917,160000,26.85,26.85,26.85,26.85,1090,0
BHFAL.US,60,20200917,170000,26.96,26.96,26.96,26.96,100,0
BHFAL.US,60,20200917,180000,26.9462,26.97,26.93,26.94,1821,0
BHFAL.US,60,20200917,190000,26.8,27,26.8,26.9902,31200,0
BHFAL.US,60,20200917,200000,26.8,26.8,26.75,26.75,780,0
BHFAL.US,60,20200917,220000,26.72,26.72,26.71,26.72,2971,0
BHFAL.US,60,20200918,190000,26.71,26.7625,26.71,26.71,15329,0
BHFAL.US,60,20200918,210000,26.71,26.71,26.71,26.71,515,0
BHFAL.US,60,20200918,220000,26.7325,26.75,26.72,26.7479,1637,0
BHFAL.US,60,20200921,160000,26.7,26.7,26.7,26.7,200,0
BHFAL.US,60,20200921,170000,26.63,26.63,26.52,26.59,300,0
BHFAL.US,60,20200921,180000,26.78,26.7947,26.64,26.7947,315,0
