<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUW.US,60,20210210,160000,10.15,10.1858,10.15,10.1858,1099,0
BLUW.US,60,20210210,170000,10.17,10.19,10.16,10.16,17368,0
BLUW.US,60,20210210,180000,10.19,10.19,10.18,10.18,39338,0
BLUW.US,60,20210210,190000,10.2,10.2,10.2,10.2,1300,0
BLUW.US,60,20210210,200000,10.2,10.2,10.19,10.19,5401,0
BLUW.US,60,20210210,210000,10.19,10.19,10.19,10.19,11069,0
BLUW.US,60,20210210,220000,10.185,10.19,10.16,10.19,11372,0
BLUW.US,60,20210211,160000,10.19,10.19,10.15,10.15,1575,0
BLUW.US,60,20210211,170000,10.16,10.18,10.14,10.14,11481,0
BLUW.US,60,20210211,180000,10.18,10.18,10.18,10.18,5717,0
BLUW.US,60,20210211,190000,10.19,10.19,10.18,10.18,16137,0
BLUW.US,60,20210211,200000,10.177,10.18,10.17,10.18,1800,0
BLUW.US,60,20210211,210000,10.18,10.21,10.18,10.21,69117,0
BLUW.US,60,20210211,220000,10.3,10.67,10.21,10.29,8600,0
BLUW.US,60,20210212,160000,10.29,10.2925,10.29,10.2925,200,0
BLUW.US,60,20210212,190000,10.3,10.3,10.3,10.3,100,0
BLUW.US,60,20210212,220000,10.2,10.2,10.2,10.2,6739,0
BLUW.US,60,20210216,160000,10.235,10.235,10.235,10.235,500,0
BLUW.US,60,20210216,170000,10.25,10.29,10.17,10.17,3812,0
BLUW.US,60,20210216,180000,10.3,10.3,10.16,10.16,6039,0
BLUW.US,60,20210216,190000,10.16,10.175,10.15,10.15,1800,0
BLUW.US,60,20210216,220000,10.175,10.19,10.175,10.19,1100,0
BLUW.US,60,20210217,160000,10.16,10.16,10.16,10.16,199,0
BLUW.US,60,20210217,170000,10.19,10.19,10.18,10.18,5975,0
BLUW.US,60,20210217,180000,10.19,10.19,10.18,10.18,200,0
BLUW.US,60,20210217,190000,10.19,10.19,10.19,10.19,450,0
BLUW.US,60,20210217,210000,10.19,10.19,10.17,10.19,8200,0
BLUW.US,60,20210217,220000,10.1899,10.19,10.17,10.19,8000,0
BLUW.US,60,20210218,160000,10.19,10.19,10.1759,10.1759,3121,0
BLUW.US,60,20210218,170000,10.1885,10.1885,10.1885,10.1885,800,0
BLUW.US,60,20210218,180000,10.18,10.18,10.1708,10.1721,2438,0
BLUW.US,60,20210218,190000,10.18,10.18,10.18,10.18,4900,0
BLUW.US,60,20210218,200000,10.16,10.18,10.16,10.166,26919,0
BLUW.US,60,20210218,210000,10.18,10.18,10.18,10.18,1304,0
BLUW.US,60,20210218,220000,10.17,10.17,10.15,10.16,18061,0
BLUW.US,60,20210219,160000,10.17,10.17,10.16,10.16,8230,0
BLUW.US,60,20210219,170000,10.17,10.2,10.16,10.16,13798,0
BLUW.US,60,20210219,180000,10.17,10.17,10.17,10.17,2000,0
BLUW.US,60,20210219,190000,10.16,10.1601,10.16,10.16,15553,0
BLUW.US,60,20210219,200000,10.17,10.17,10.17,10.17,100,0
BLUW.US,60,20210219,210000,10.17,10.17,10.17,10.17,500,0
BLUW.US,60,20210219,220000,10.1606,10.17,10.1606,10.17,5166,0
BLUW.US,60,20210222,160000,10.16,10.1999,10.14,10.1999,42606,0
BLUW.US,60,20210222,170000,10.165,10.17,10.165,10.17,360,0
BLUW.US,60,20210222,180000,10.18,10.2,10.17,10.18,9952,0
BLUW.US,60,20210222,190000,10.18,10.18,10.17,10.18,2279,0
BLUW.US,60,20210222,200000,10.19,10.19,10.18,10.19,500,0
BLUW.US,60,20210222,210000,10.185,10.19,10.18,10.18,2018,0
BLUW.US,60,20210222,220000,10.18,10.19,10.175,10.18,11700,0
BLUW.US,60,20210223,160000,10.15,10.15,10.13,10.15,17457,0
BLUW.US,60,20210223,170000,10.17,10.18,10.15,10.18,6375,0
BLUW.US,60,20210223,180000,10.16,10.16,10.16,10.16,300,0
BLUW.US,60,20210223,190000,10.15,10.16,10.15,10.16,4910,0
