<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRY.US,60,20200914,160000,3.6269,3.6866,3.5077,3.5773,85631,0
BRY.US,60,20200914,170000,3.5773,3.5773,3.4283,3.4978,34906,0
BRY.US,60,20200914,180000,3.5077,3.6369,3.5027,3.612,29793,0
BRY.US,60,20200914,190000,3.617,3.7611,3.6089,3.7611,32737,0
BRY.US,60,20200914,200000,3.7661,3.8853,3.7661,3.7959,35313,0
BRY.US,60,20200914,210000,3.8008,3.8143,3.7313,3.7611,22887,0
BRY.US,60,20200914,220000,3.7661,3.7959,3.7561,3.7959,66204,0
BRY.US,60,20200915,160000,3.7859,3.8455,3.617,3.6667,18757,0
BRY.US,60,20200915,170000,3.6915,3.6965,3.5872,3.617,51505,0
BRY.US,60,20200915,180000,3.6071,3.7362,3.6071,3.7064,40899,0
BRY.US,60,20200915,190000,3.6965,3.7164,3.6766,3.6816,22469,0
BRY.US,60,20200915,200000,3.6766,3.7164,3.6717,3.6816,39610,0
BRY.US,60,20200915,210000,3.6866,3.7064,3.6668,3.6866,30859,0
BRY.US,60,20200915,220000,3.6915,3.6915,3.5888,3.6369,111268,0
BRY.US,60,20200916,160000,3.6369,3.7545,3.5673,3.6369,10979,0
BRY.US,60,20200916,170000,3.6567,3.6965,3.6071,3.617,25937,0
BRY.US,60,20200916,180000,3.6269,3.6865,3.6071,3.6667,64408,0
BRY.US,60,20200916,190000,3.6717,3.7064,3.6617,3.6965,47638,0
BRY.US,60,20200916,200000,3.6965,3.7213,3.6816,3.6965,27684,0
BRY.US,60,20200916,210000,3.6866,3.7064,3.6866,3.6915,42110,0
BRY.US,60,20200916,220000,3.6915,3.6965,3.6269,3.6269,385212,0
BRY.US,60,20200917,160000,3.8157,3.8686,3.6966,3.8431,49945,0
BRY.US,60,20200917,170000,3.8356,3.935,3.8157,3.9002,49559,0
BRY.US,60,20200917,180000,3.9002,4.0343,3.8952,4.0327,63117,0
BRY.US,60,20200917,190000,4.0194,4.094,3.9747,3.9847,40422,0
BRY.US,60,20200917,200000,3.9847,4.0443,3.9747,4.0145,87411,0
BRY.US,60,20200917,210000,4.0045,4.0542,4.0045,4.0294,49055,0
BRY.US,60,20200917,220000,4.0244,4.0343,3.9648,3.9847,426082,0
BRY.US,60,20200918,160000,4.0741,4.0741,3.8058,3.9052,102186,0
BRY.US,60,20200918,170000,3.9449,4.1039,3.9449,4.094,21021,0
BRY.US,60,20200918,180000,4.1,4.1436,4.094,4.094,15052,0
BRY.US,60,20200918,190000,4.0911,4.0911,3.9946,4.0145,19227,0
BRY.US,60,20200918,200000,4.0244,4.0542,3.9946,4.0443,13488,0
BRY.US,60,20200918,210000,4.0343,4.0741,4.0343,4.0642,12789,0
BRY.US,60,20200918,220000,4.0642,4.1287,3.925,4.0045,993737,0
BRY.US,60,20200921,160000,3.8754,3.8803,3.6766,3.7263,28982,0
BRY.US,60,20200921,170000,3.7164,3.7164,3.5474,3.5524,63527,0
BRY.US,60,20200921,180000,3.5477,3.6468,3.4779,3.5872,218143,0
BRY.US,60,20200921,190000,3.5872,3.6567,3.4977,3.4978,163866,0
BRY.US,60,20200921,200000,3.4978,3.5872,3.4978,3.5605,67094,0
BRY.US,60,20200921,210000,3.5623,3.5872,3.5425,3.5474,68865,0
BRY.US,60,20200921,220000,3.5524,3.5574,3.5077,3.5077,407566,0
BRY.US,60,20200922,160000,3.5276,3.6269,3.5027,3.5574,22461,0
BRY.US,60,20200922,170000,3.5574,3.5673,3.4978,3.4978,62720,0
BRY.US,60,20200922,180000,3.5027,3.5276,3.4779,3.5176,34602,0
BRY.US,60,20200922,190000,3.5176,3.5276,3.4779,3.4779,10030,0
