<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTWNU.US,60,20201019,160000,10.05,10.1,10.05,10.1,67778,0
BTWNU.US,60,20201019,170000,10.1,10.2,10.09,10.15,145534,0
BTWNU.US,60,20201019,180000,10.15,10.25,10.15,10.19,345669,0
BTWNU.US,60,20201019,190000,10.195,10.2,10.185,10.195,148360,0
BTWNU.US,60,20201019,200000,10.195,10.2,10.19,10.19,219453,0
BTWNU.US,60,20201019,210000,10.19,10.2,10.15,10.16,61336,0
BTWNU.US,60,20201019,220000,10.15,10.16,10.13,10.16,73556,0
BTWNU.US,60,20201020,160000,10.25,10.25,10.18,10.195,52539,0
BTWNU.US,60,20201020,170000,10.19,10.25,10.19,10.24,327150,0
BTWNU.US,60,20201020,180000,10.235,10.24,10.2,10.223,12656,0
BTWNU.US,60,20201020,190000,10.235,10.24,10.2,10.2,23721,0
BTWNU.US,60,20201020,200000,10.23,10.24,10.21,10.24,14254,0
BTWNU.US,60,20201020,210000,10.23,10.24,10.2,10.2,50721,0
BTWNU.US,60,20201020,220000,10.2005,10.22,10.19,10.2,84819,0
BTWNU.US,60,20201021,160000,10.23,10.25,10.17,10.17,100801,0
BTWNU.US,60,20201021,170000,10.181,10.2,10.15,10.18,128567,0
BTWNU.US,60,20201021,180000,10.18,10.25,10.17,10.18,214568,0
BTWNU.US,60,20201021,190000,10.175,10.2099,10.17,10.205,169722,0
BTWNU.US,60,20201021,200000,10.205,10.25,10.2016,10.225,21410,0
BTWNU.US,60,20201021,210000,10.235,10.25,10.22,10.22,32384,0
BTWNU.US,60,20201021,220000,10.23,10.24,10.2,10.2,147629,0
BTWNU.US,60,20201022,160000,10.3,10.3,10.2,10.2,18868,0
BTWNU.US,60,20201022,170000,10.2,10.24,10.2,10.23,5787,0
BTWNU.US,60,20201022,180000,10.2341,10.24,10.22,10.23,9528,0
BTWNU.US,60,20201022,190000,10.2309,10.24,10.23,10.23,7500,0
BTWNU.US,60,20201022,200000,10.24,10.24,10.225,10.23,5701,0
BTWNU.US,60,20201022,210000,10.23,10.23,10.2,10.2,17626,0
BTWNU.US,60,20201022,220000,10.2101,10.22,10.21,10.22,1433,0
BTWNU.US,60,20201023,160000,10.3,10.3,10.23,10.23,49532,0
BTWNU.US,60,20201023,170000,10.23,10.23,10.21,10.21,15852,0
BTWNU.US,60,20201023,180000,10.2099,10.21,10.2,10.2098,8611,0
BTWNU.US,60,20201023,190000,10.2,10.2,10.2,10.2,1100,0
BTWNU.US,60,20201023,200000,10.2,10.215,10.2,10.215,11696,0
BTWNU.US,60,20201023,210000,10.215,10.22,10.2,10.215,2673,0
BTWNU.US,60,20201023,220000,10.2099,10.23,10.2,10.205,30661,0
BTWNU.US,60,20201026,150000,10.29,10.29,10.24,10.25,3772,0
BTWNU.US,60,20201026,160000,10.25,10.25,10.22,10.24,2100,0
BTWNU.US,60,20201026,170000,10.22,10.24,10.2,10.2,3790,0
BTWNU.US,60,20201026,180000,10.2,10.21,10.17,10.17,22382,0
BTWNU.US,60,20201026,190000,10.1798,10.18,10.176,10.18,4900,0
BTWNU.US,60,20201026,200000,10.17,10.19,10.15,10.19,6940,0
BTWNU.US,60,20201026,210000,10.1801,10.21,10.18,10.21,48800,0
BTWNU.US,60,20201027,150000,10.2,10.2,10.09,10.135,46075,0
BTWNU.US,60,20201027,160000,10.12,10.165,10.11,10.15,29504,0
BTWNU.US,60,20201027,170000,10.145,10.147,10.12,10.135,4536,0
BTWNU.US,60,20201027,180000,10.12,10.15,10.1,10.1,11200,0
BTWNU.US,60,20201027,190000,10.1,10.12,10.08,10.085,39869,0
BTWNU.US,60,20201027,200000,10.09,10.1,10.07,10.07,21288,0
BTWNU.US,60,20201027,210000,10.075,10.15,10.07,10.09,30133,0
BTWNU.US,60,20201028,150000,10.1,10.11,10.07,10.08,6259,0
BTWNU.US,60,20201028,160000,10.08,10.1,10.05,10.07,8400,0
BTWNU.US,60,20201028,170000,10.07,10.1,10.02,10.06,138270,0
BTWNU.US,60,20201028,180000,10.06,10.0745,10.04,10.0745,79173,0
BTWNU.US,60,20201028,190000,10.06,10.06,10.02,10.05,24420,0
BTWNU.US,60,20201028,200000,10.05,10.05,10.02,10.025,46772,0
BTWNU.US,60,20201028,210000,10.03,10.05,10,10.04,145434,0
BTWNU.US,60,20201029,150000,10.04,10.065,10.04,10.065,800,0
BTWNU.US,60,20201029,160000,10.06,10.065,10.01,10.03,12971,0
BTWNU.US,60,20201029,170000,10.07,10.07,10.045,10.045,9597,0
BTWNU.US,60,20201029,180000,10.05,10.05,10.05,10.05,6650,0
BTWNU.US,60,20201029,190000,10.0456,10.08,10.0456,10.0712,11865,0
BTWNU.US,60,20201029,200000,10.08,10.1,10.065,10.1,25900,0
BTWNU.US,60,20201029,210000,10.14,10.15,10.125,10.125,4800,0
BTWNU.US,60,20201030,150000,10.15,10.15,10.05,10.05,810,0
