<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYSI.US,60,20200914,160000,13.58,13.9064,13.58,13.9064,2490,0
BYSI.US,60,20200914,170000,13.89,14.46,13.83,14.3,21761,0
BYSI.US,60,20200914,180000,14.18,14.27,14.0901,14.26,6142,0
BYSI.US,60,20200914,190000,14.275,14.315,14.1701,14.3081,10130,0
BYSI.US,60,20200914,200000,14.32,14.33,14.1302,14.33,8534,0
BYSI.US,60,20200914,210000,14.34,14.42,14.18,14.18,6940,0
BYSI.US,60,20200914,220000,14.17,14.19,14.1,14.14,12271,0
BYSI.US,60,20200915,160000,14.2,14.8,14.2,14.8,14098,0
BYSI.US,60,20200915,170000,14.7,15.51,14.6,14.84,32117,0
BYSI.US,60,20200915,180000,14.84,15.22,14.795,14.97,15344,0
BYSI.US,60,20200915,190000,14.8849,15.1,14.8849,15.0123,5023,0
BYSI.US,60,20200915,200000,15.08,15.08,15.04,15.04,300,0
BYSI.US,60,20200915,210000,15,15,14.87,14.89,1300,0
BYSI.US,60,20200915,220000,14.89,14.89,14.7,14.83,10438,0
BYSI.US,60,20200916,160000,14.88,15.23,14.88,14.92,13372,0
BYSI.US,60,20200916,170000,14.951,15.2199,14.69,14.73,15004,0
BYSI.US,60,20200916,180000,14.65,14.69,14.15,14.4,11495,0
BYSI.US,60,20200916,190000,14.4,14.57,14.35,14.49,4037,0
BYSI.US,60,20200916,200000,14.5,14.59,14.44,14.5108,3311,0
BYSI.US,60,20200916,210000,14.415,14.65,14.415,14.45,3984,0
BYSI.US,60,20200916,220000,14.5,14.71,14.33,14.51,15101,0
BYSI.US,60,20200917,160000,14.37,14.96,14.37,14.73,1862,0
BYSI.US,60,20200917,170000,14.76,14.9603,14.5,14.9,9492,0
BYSI.US,60,20200917,180000,14.76,14.83,14.74,14.83,500,0
BYSI.US,60,20200917,190000,14.74,14.78,14.64,14.77,3579,0
BYSI.US,60,20200917,200000,14.76,15.1,14.75,15.08,5590,0
BYSI.US,60,20200917,210000,15.09,15.41,15.09,15.27,4918,0
BYSI.US,60,20200917,220000,15.19,15.19,14.99,15.09,14289,0
BYSI.US,60,20200918,160000,15.25,15.3,15.15,15.3,20052,0
BYSI.US,60,20200918,170000,15.315,15.49,15.25,15.35,6443,0
BYSI.US,60,20200918,180000,15.35,15.5899,15.19,15.5899,21353,0
BYSI.US,60,20200918,190000,15.59,15.59,15.38,15.38,1420,0
BYSI.US,60,20200918,200000,15.38,15.43,15.285,15.285,2757,0
BYSI.US,60,20200918,210000,15.295,15.395,15.295,15.34,4141,0
BYSI.US,60,20200918,220000,15.39,15.55,15.06,15.18,37195,0
BYSI.US,60,20200921,160000,14.96,15.09,14.74,14.85,13171,0
BYSI.US,60,20200921,170000,14.965,14.965,13.9616,14.11,37084,0
BYSI.US,60,20200921,180000,14.09,14.52,14.09,14.51,9476,0
BYSI.US,60,20200921,190000,14.58,14.58,14.36,14.36,3049,0
BYSI.US,60,20200921,200000,14.33,14.4,14.1,14.23,8443,0
BYSI.US,60,20200921,210000,14.26,14.26,14.04,14.1,8411,0
BYSI.US,60,20200921,220000,14.16,14.305,14.05,14.06,28051,0
BYSI.US,60,20200922,160000,14.12,14.12,13.61,13.7,5406,0
BYSI.US,60,20200922,170000,13.71,13.72,13.21,13.24,14174,0
BYSI.US,60,20200922,180000,13.4,13.57,13.35,13.57,6870,0
BYSI.US,60,20200922,190000,13.72,13.86,13.59,13.59,2961,0
BYSI.US,60,20200922,200000,13.53,13.55,13.44,13.46,2555,0
BYSI.US,60,20200922,210000,13.465,13.62,13.32,13.41,7387,0
BYSI.US,60,20200922,220000,13.51,13.8,13.5,13.72,8764,0
BYSI.US,60,20200923,160000,13.63,13.63,13.44,13.5,4315,0
BYSI.US,60,20200923,170000,13.41,13.41,13.1,13.1,6588,0
BYSI.US,60,20200923,180000,13.2,13.28,13.12,13.244,4645,0
BYSI.US,60,20200923,190000,13.16,13.36,13.16,13.34,3600,0
BYSI.US,60,20200923,200000,13.29,13.44,13.13,13.33,8742,0
BYSI.US,60,20200923,210000,13.33,13.39,13.26,13.26,6435,0
BYSI.US,60,20200923,220000,13.21,13.32,13.075,13.13,20872,0
BYSI.US,60,20200924,160000,13.03,13.19,12.45,12.91,23669,0
BYSI.US,60,20200924,170000,13.01,13.1127,12.51,12.778,9133,0
BYSI.US,60,20200924,180000,12.72,13.12,12.53,12.92,7950,0
BYSI.US,60,20200924,190000,12.83,12.85,12.56,12.75,2798,0
BYSI.US,60,20200924,200000,12.84,12.98,12.8012,12.88,3681,0
BYSI.US,60,20200924,210000,12.86,12.89,12.72,12.72,3239,0
BYSI.US,60,20200924,220000,12.7,12.78,12.59,12.61,30070,0
