<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATC.US,60,20200914,160000,51.746,51.894,51.609,51.609,804,0
CATC.US,60,20200914,170000,52.673,52.673,52.673,52.673,102,0
CATC.US,60,20200914,180000,52.396,52.396,52.396,52.396,102,0
CATC.US,60,20200914,190000,52.52,52.52,52.52,52.52,102,0
CATC.US,60,20200914,200000,52.535,52.535,52.298,52.298,831,0
CATC.US,60,20200914,210000,52.515,52.515,52.515,52.515,102,0
CATC.US,60,20200914,220000,53.007,53.077,52.535,52.712,1846,0
CATC.US,60,20200915,160000,52.476,52.711,51.746,51.997,1117,0
CATC.US,60,20200915,170000,51.914,51.914,51.737,51.737,478,0
CATC.US,60,20200915,190000,52.258,52.258,51.796,51.796,222,0
CATC.US,60,20200915,200000,51.899,51.899,51.849,51.849,254,0
CATC.US,60,20200915,210000,51.904,51.904,51.904,51.904,102,0
CATC.US,60,20200915,220000,52.239,52.239,51.904,51.904,1207,0
CATC.US,60,20200916,160000,52.022,52.022,52.022,52.022,127,0
CATC.US,60,20200916,180000,52.466,52.653,52.436,52.436,508,0
CATC.US,60,20200916,200000,52.564,52.564,52.564,52.564,102,0
CATC.US,60,20200916,220000,52.525,52.663,52.2,52.2,2646,0
CATC.US,60,20200917,160000,51.717,51.717,51.717,51.717,193,0
CATC.US,60,20200917,180000,52.21,52.21,52.21,52.21,102,0
CATC.US,60,20200917,190000,52.357,52.357,52.357,52.357,102,0
CATC.US,60,20200917,200000,52.535,52.535,52.234,52.234,204,0
CATC.US,60,20200917,210000,52.092,52.092,52.092,52.092,102,0
CATC.US,60,20200917,220000,52.062,52.062,51.766,51.934,737,0
CATC.US,60,20200918,160000,52.456,52.456,52.456,52.456,8433,0
CATC.US,60,20200918,170000,52.125,52.125,52.125,52.125,406,0
CATC.US,60,20200918,180000,52.283,52.328,52.283,52.308,813,0
CATC.US,60,20200918,190000,51.796,51.796,51.693,51.697,1320,0
CATC.US,60,20200918,200000,51.697,51.697,51.697,51.697,102,0
CATC.US,60,20200918,210000,51.293,51.786,51.293,51.786,203,0
CATC.US,60,20200918,220000,51.54,51.727,50.378,50.722,5195,0
CATC.US,60,20200921,160000,50.308,50.476,50.308,50.476,271,0
CATC.US,60,20200921,180000,50.476,50.476,50.23,50.23,1076,0
CATC.US,60,20200921,190000,49.195,49.215,49.127,49.132,1567,0
CATC.US,60,20200921,200000,48.753,48.902,48.639,48.639,913,0
CATC.US,60,20200921,210000,48.802,48.881,48.802,48.881,204,0
CATC.US,60,20200921,220000,49.127,49.333,48.891,48.891,4776,0
CATC.US,60,20200922,160000,49.55,49.55,49.55,49.55,371,0
CATC.US,60,20200922,170000,48.753,48.753,48.753,48.753,203,0
CATC.US,60,20200922,180000,48.477,48.654,47.989,48.654,3466,0
CATC.US,60,20200922,190000,48.6,48.6,48.22,48.26,1407,0
CATC.US,60,20200922,200000,48.162,48.496,48.162,48.418,305,0
CATC.US,60,20200922,210000,48.634,48.634,48.122,48.122,204,0
CATC.US,60,20200922,220000,48.102,48.31,47.768,48.26,4702,0
CATC.US,60,20200923,160000,48.25,48.506,48.25,48.506,2765,0
CATC.US,60,20200923,170000,48.063,48.26,48.014,48.044,926,0
CATC.US,60,20200923,180000,48.024,48.358,48.014,48.014,771,0
CATC.US,60,20200923,190000,48.014,48.014,48.014,48.014,609,0
CATC.US,60,20200923,200000,48.014,48.024,48.014,48.024,1145,0
CATC.US,60,20200923,210000,48.024,48.024,47.521,47.521,3252,0
CATC.US,60,20200923,220000,47.541,47.768,47.521,47.561,3138,0
CATC.US,60,20200924,160000,47.758,48.063,47.541,47.541,559,0
CATC.US,60,20200924,180000,47.551,47.551,47.551,47.551,102,0
CATC.US,60,20200924,190000,47.428,47.738,47.428,47.738,8801,0
CATC.US,60,20200924,200000,48.21,48.21,48.21,48.21,304,0
CATC.US,60,20200924,210000,48.034,48.034,47.321,47.945,716,0
CATC.US,60,20200924,220000,47.61,47.61,47.335,47.335,1449,0
CATC.US,60,20200925,160000,47.029,48.162,47.029,48.162,207,0
CATC.US,60,20200925,170000,48.496,48.496,48.496,48.496,102,0
CATC.US,60,20200925,180000,48.556,48.595,48.556,48.556,1356,0
CATC.US,60,20200925,190000,48.338,48.338,48.014,48.014,1015,0
CATC.US,60,20200925,200000,47.728,47.886,47.315,47.732,1625,0
CATC.US,60,20200925,210000,47.756,47.756,47.756,47.756,152,0
CATC.US,60,20200925,220000,47.679,48.034,47.61,47.62,2143,0
CATC.US,60,20200928,160000,49.245,49.245,49.245,49.245,102,0
CATC.US,60,20200928,170000,49.127,49.127,49.127,49.127,102,0
CATC.US,60,20200928,180000,50.152,50.152,50.152,50.152,406,0
CATC.US,60,20200928,190000,50.389,50.476,50.389,50.476,214,0
CATC.US,60,20200928,200000,50.18,50.18,50.18,50.18,102,0
CATC.US,60,20200928,210000,49.994,49.994,49.481,49.836,1262,0
CATC.US,60,20200928,220000,49.836,50.023,49.275,49.275,3266,0
CATC.US,60,20200929,160000,49.767,50.102,49.767,50.102,225,0
CATC.US,60,20200929,170000,49.757,49.757,49.757,49.757,203,0
CATC.US,60,20200929,190000,49.806,49.806,49.806,49.806,102,0
CATC.US,60,20200929,200000,50.062,50.087,49.885,49.885,406,0
CATC.US,60,20200929,210000,50.112,50.446,50.112,50.446,305,0
CATC.US,60,20200929,220000,50.496,51.215,50.496,51.165,2313,0
CATC.US,60,20200930,160000,50.889,50.889,50.588,50.588,461,0
CATC.US,60,20200930,180000,51.461,51.53,51.461,51.53,406,0
CATC.US,60,20200930,190000,52.002,52.002,52.002,52.002,203,0
CATC.US,60,20200930,200000,52.19,52.19,52.19,52.19,102,0
CATC.US,60,20200930,210000,52.042,52.2,51.806,52.052,2234,0
CATC.US,60,20200930,220000,51.992,52.514,51.992,52.357,2335,0
CATC.US,60,20201001,160000,52.539,52.539,52.539,52.539,102,0
CATC.US,60,20201001,170000,52.2,52.416,51.944,52.416,1620,0
CATC.US,60,20201001,180000,52.263,52.263,52.263,52.263,102,0
CATC.US,60,20201001,190000,51.904,51.904,51.904,51.904,102,0
CATC.US,60,20201001,200000,51.776,51.776,51.737,51.737,203,0
CATC.US,60,20201001,210000,51.496,52.14,51.496,52.13,1238,0
CATC.US,60,20201001,220000,52.692,53.195,52.052,53.087,6004,0
CATC.US,60,20201002,160000,54.662,54.662,52.268,52.446,1322,0
CATC.US,60,20201002,170000,52.335,52.495,52.335,52.495,508,0
CATC.US,60,20201002,180000,52.816,52.816,52.816,52.816,702,0
CATC.US,60,20201002,190000,53.037,53.924,53.037,53.083,2741,0
CATC.US,60,20201002,200000,53.234,53.234,53.234,53.234,102,0
CATC.US,60,20201002,210000,53.333,53.381,52.894,53.381,3320,0
CATC.US,60,20201002,220000,53.224,54.17,53.224,54.17,4187,0
CATC.US,60,20201005,160000,54.79,54.79,54.79,54.79,180,0
CATC.US,60,20201005,170000,53.785,54.366,53.785,54.366,680,0
CATC.US,60,20201005,180000,54.701,54.711,54.558,54.558,811,0
CATC.US,60,20201005,190000,55.155,55.155,55.155,55.155,1781,0
CATC.US,60,20201005,200000,55.155,56.632,55.155,55.894,1828,0
CATC.US,60,20201005,210000,55.765,55.765,55.765,55.765,304,0
CATC.US,60,20201005,220000,55.765,56.563,55.45,55.874,4002,0
CATC.US,60,20201006,160000,56.228,56.228,55.45,55.942,334,0
CATC.US,60,20201006,170000,56.829,57.361,56.553,57.321,915,0
CATC.US,60,20201006,180000,57.4,57.558,57.321,57.518,2233,0
CATC.US,60,20201006,190000,57.528,57.528,57.223,57.272,1210,0
CATC.US,60,20201006,210000,57.548,59.094,57.548,58.296,6576,0
CATC.US,60,20201006,220000,58.995,59.528,58.11,58.661,13718,0
CATC.US,60,20201007,170000,59.094,59.104,59.094,59.104,548,0
CATC.US,60,20201007,180000,59.34,59.586,58.897,58.947,4561,0
CATC.US,60,20201007,190000,59.353,59.493,58.897,59.493,813,0
CATC.US,60,20201007,210000,59.143,59.97,59.143,59.97,1321,0
CATC.US,60,20201007,220000,59.754,59.832,59.35,59.586,4469,0
CATC.US,60,20201008,160000,60.079,60.079,59.291,60.069,609,0
CATC.US,60,20201008,170000,59.975,59.975,59.448,59.448,406,0
CATC.US,60,20201008,180000,59.724,59.832,59.636,59.685,3025,0
CATC.US,60,20201008,190000,59.636,59.636,59.537,59.537,305,0
CATC.US,60,20201008,200000,59.784,59.832,59.636,59.685,1370,0
CATC.US,60,20201008,210000,60.059,60.571,60.02,60.571,3188,0
CATC.US,60,20201008,220000,60.621,61.31,60.551,61.162,3560,0
CATC.US,60,20201009,190000,61.32,62.664,60.837,62.058,2772,0
CATC.US,60,20201009,200000,61.852,63.802,61.556,63.802,2537,0
CATC.US,60,20201009,210000,63.378,63.905,62.246,62.443,2324,0
CATC.US,60,20201009,220000,61.99,63.103,61.99,62.521,3449,0
CATC.US,60,20201012,160000,63.024,63.024,63.024,63.024,102,0
CATC.US,60,20201012,170000,63.684,63.684,63.684,63.684,102,0
CATC.US,60,20201012,180000,63.033,63.181,62.295,62.895,3335,0
CATC.US,60,20201012,190000,63.033,63.526,62.068,62.068,3455,0
CATC.US,60,20201012,200000,62.383,62.531,62.383,62.531,711,0
CATC.US,60,20201012,210000,61.842,61.91,61.842,61.91,203,0
CATC.US,60,20201012,220000,61.103,61.172,59.822,60.867,2018,0
CATC.US,60,20201013,160000,60.069,60.069,60.069,60.069,227,0
CATC.US,60,20201013,170000,60.571,60.571,58.877,58.877,6985,0
CATC.US,60,20201013,190000,57.715,57.715,57.651,57.651,203,0
CATC.US,60,20201013,200000,58.789,58.847,58.734,58.847,1219,0
CATC.US,60,20201013,210000,58.333,58.333,58.333,58.333,254,0
CATC.US,60,20201013,220000,59.419,60.236,58.237,58.789,16626,0
CATC.US,60,20201014,160000,59.094,59.685,59.094,59.685,528,0
CATC.US,60,20201014,170000,58.819,58.819,58.819,58.819,102,0
CATC.US,60,20201014,210000,57.243,58.137,57.243,58.137,304,0
CATC.US,60,20201014,220000,58.09,58.09,57.163,57.163,737,0
CATC.US,60,20201015,160000,56.987,57.311,56.987,57.311,208,0
CATC.US,60,20201015,170000,57.568,57.568,57.568,57.568,102,0
CATC.US,60,20201015,200000,58.769,58.769,57.912,58.51,478,0
CATC.US,60,20201015,210000,57.555,57.555,57.555,57.555,304,0
CATC.US,60,20201015,220000,57.636,58.686,57.015,58.109,2693,0
CATC.US,60,20201016,160000,57.459,57.459,56.824,56.824,862,0
CATC.US,60,20201016,190000,58.296,58.296,58.296,58.296,102,0
CATC.US,60,20201016,200000,59.084,59.094,58.562,58.995,5787,0
CATC.US,60,20201016,210000,58.956,59.441,58.956,59.094,8419,0
CATC.US,60,20201016,220000,59.488,60.769,59.488,60.769,5745,0
CATC.US,60,20201019,160000,61.054,61.064,61.054,61.064,406,0
CATC.US,60,20201019,170000,60.769,60.769,60.769,60.769,619,0
CATC.US,60,20201019,180000,60.508,60.512,60.296,60.296,1015,0
CATC.US,60,20201019,200000,60.138,60.138,60.138,60.138,102,0
CATC.US,60,20201019,210000,60.551,61.867,60.551,61.867,1218,0
CATC.US,60,20201019,220000,61.865,61.865,59.104,59.104,1385,0
CATC.US,60,20201020,160000,60.774,60.945,56.776,56.776,420,0
CATC.US,60,20201020,170000,62.541,63.88,62.049,62.463,3908,0
CATC.US,60,20201020,180000,62.398,62.472,62.354,62.472,921,0
CATC.US,60,20201020,190000,61.862,62.597,61.507,61.507,508,0
CATC.US,60,20201020,200000,62.886,64.698,62.886,64.698,1926,0
