<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLNNW.US,60,20210104,160000,1,1,0.71,0.75,62980,0
CLNNW.US,60,20210104,170000,0.8,0.85,0.65,0.85,108129,0
CLNNW.US,60,20210104,180000,0.8,0.874999,0.8,0.874999,67400,0
CLNNW.US,60,20210104,190000,0.85,0.87,0.85,0.85001,21660,0
CLNNW.US,60,20210104,200000,0.85,0.9,0.85,0.9,19095,0
CLNNW.US,60,20210104,210000,0.88,0.89,0.87,0.87,4824,0
CLNNW.US,60,20210104,220000,0.879,0.89,0.879,0.89,57788,0
CLNNW.US,60,20210105,160000,0.76,0.85,0.76,0.8001,8657,0
CLNNW.US,60,20210105,170000,0.83,0.83,0.76,0.780099,50355,0
CLNNW.US,60,20210105,180000,0.78,0.799899,0.78,0.7901,9186,0
CLNNW.US,60,20210105,190000,0.7901,0.82,0.71,0.75925,19928,0
CLNNW.US,60,20210105,200000,0.7593,0.78,0.74,0.745001,13068,0
CLNNW.US,60,20210105,210000,0.74,0.81,0.74,0.81,25557,0
CLNNW.US,60,20210105,220000,0.82,0.82,0.755,0.755,31228,0
CLNNW.US,60,20210106,160000,0.75,0.81,0.75,0.81,3600,0
CLNNW.US,60,20210106,170000,0.8,0.8,0.7156,0.72,20927,0
CLNNW.US,60,20210106,180000,0.73,0.85,0.73,0.7601,47159,0
CLNNW.US,60,20210106,190000,0.78,0.8,0.7601,0.770101,10550,0
CLNNW.US,60,20210106,200000,0.77,0.77,0.73,0.73,25252,0
CLNNW.US,60,20210106,210000,0.7301,0.74,0.72,0.729999,7495,0
CLNNW.US,60,20210106,220000,0.7204,0.75,0.71,0.71,19739,0
CLNNW.US,60,20210107,160000,0.7101,0.7101,0.68,0.68,17131,0
CLNNW.US,60,20210107,170000,0.739405,0.739405,0.6727,0.6727,39234,0
CLNNW.US,60,20210107,180000,0.673599,0.69,0.65,0.6701,46294,0
CLNNW.US,60,20210107,190000,0.68505,0.7,0.62,0.63,70057,0
CLNNW.US,60,20210107,200000,0.6575,0.73,0.65,0.7,33868,0
CLNNW.US,60,20210107,210000,0.71,0.7203,0.70505,0.7203,11500,0
CLNNW.US,60,20210107,220000,0.7275,0.74,0.72,0.74,9650,0
CLNNW.US,60,20210108,160000,0.76,0.76,0.7,0.7201,25475,0
CLNNW.US,60,20210108,170000,0.71,0.78,0.71,0.75,49299,0
CLNNW.US,60,20210108,180000,0.755,0.7701,0.74,0.7599,71770,0
CLNNW.US,60,20210108,190000,0.75,0.79,0.7001,0.76,113606,0
CLNNW.US,60,20210108,200000,0.76005,0.7611,0.76,0.761001,4500,0
CLNNW.US,60,20210108,210000,0.761,0.761101,0.761,0.761001,2860,0
CLNNW.US,60,20210108,220000,0.761,0.81,0.761,0.79,41762,0
CLNNW.US,60,20210111,160000,0.7,0.75,0.7,0.75,3169,0
CLNNW.US,60,20210111,170000,0.8,0.8,0.6822,0.6822,11946,0
CLNNW.US,60,20210111,180000,0.7,0.7899,0.7,0.7101,6025,0
CLNNW.US,60,20210111,190000,0.715051,0.735051,0.715051,0.7201,2805,0
CLNNW.US,60,20210111,200000,0.7201,0.7201,0.7,0.7201,25850,0
CLNNW.US,60,20210111,210000,0.7202,0.740001,0.72,0.72,3820,0
CLNNW.US,60,20210111,220000,0.72,0.76,0.700101,0.7075,6353,0
CLNNW.US,60,20210112,160000,0.689,0.75,0.689,0.75,14173,0
CLNNW.US,60,20210112,170000,0.725201,0.76,0.700601,0.7401,20624,0
CLNNW.US,60,20210112,180000,0.7112,0.7118,0.7007,0.709,11476,0
