<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMLFW.US,60,20201102,160000,2.0685,2.0685,2.0685,2.0685,100,0
CMLFW.US,60,20201102,220000,2.14,2.15,2,2,9060,0
CMLFW.US,60,20201103,210000,2,2.02,2,2.02,66664,0
CMLFW.US,60,20201111,160000,7.18,7.18,7.18,7.18,100,0
CMLFW.US,60,20201111,170000,5.03,5.03,5.03,5.03,200,0
CMLFW.US,60,20201111,200000,2.5,2.5,2.5,2.5,439,0
CMLFW.US,60,20201112,210000,2.0701,2.26,2.0701,2.26,200,0
CMLFW.US,60,20201120,160000,2.05,2.06,2.05,2.06,300,0
CMLFW.US,60,20201130,220000,2.25,2.25,2.24,2.25,13500,0
CMLFW.US,60,20201201,200000,2.99,2.99,2.99,2.99,250,0
CMLFW.US,60,20201201,210000,2.3,2.3,2.25,2.25,400,0
CMLFW.US,60,20201202,170000,2.25,2.5082,2.25,2.49,1357,0
CMLFW.US,60,20201202,180000,2.4,2.4,1.97,2.01,15900,0
CMLFW.US,60,20201202,190000,2.02,2.35,2.02,2.32,13083,0
CMLFW.US,60,20201202,200000,2.21,2.2101,2.21,2.21,2500,0
CMLFW.US,60,20201202,210000,2.21,2.22,2.21,2.22,1771,0
CMLFW.US,60,20201202,220000,2.21,2.21,2.21,2.21,200,0
CMLFW.US,60,20201203,180000,2.08,2.08,1.925,2,9818,0
CMLFW.US,60,20201203,190000,2.05,2.1,2,2.05,9020,0
CMLFW.US,60,20201203,220000,2.06,2.06,2,2.05,9820,0
CMLFW.US,60,20201204,200000,2.05,2.05,2.05,2.05,1441,0
CMLFW.US,60,20201204,210000,2.14,2.15,2.1297,2.1397,4150,0
CMLFW.US,60,20201204,220000,2.15,2.15,2.15,2.15,900,0
CMLFW.US,60,20201207,160000,2.7758,2.7758,2.7758,2.7758,100,0
CMLFW.US,60,20201207,170000,2.49,2.9999,2.49,2.9999,4300,0
CMLFW.US,60,20201207,180000,2.98,3,2.98,3,200,0
CMLFW.US,60,20201207,190000,3,3,2.77,2.77,1230,0
CMLFW.US,60,20201207,200000,2.61,2.64,2.6,2.6,3400,0
CMLFW.US,60,20201207,210000,2.74,2.8,2.6,2.65,8010,0
CMLFW.US,60,20201207,220000,2.65,2.95,2.5,2.75,13790,0
CMLFW.US,60,20201208,180000,3.08,3.08,2.965,2.965,400,0
CMLFW.US,60,20201208,210000,2.55,2.83,2.5,2.8,2510,0
CMLFW.US,60,20201208,220000,2.875,3.1,2.5,3.1,3610,0
CMLFW.US,60,20201209,160000,2.76,2.76,2.76,2.76,125,0
CMLFW.US,60,20201209,170000,2.95,2.95,2.5001,2.51,2970,0
CMLFW.US,60,20201209,180000,2.74,3.01,2.5,2.5,8520,0
CMLFW.US,60,20201209,190000,2.73,2.9,2.73,2.85,13150,0
CMLFW.US,60,20201209,220000,3.24,3.3,2.74,2.74,2130,0
CMLFW.US,60,20201210,180000,3.2,3.2,3.2,3.2,660,0
CMLFW.US,60,20201210,190000,2.8,2.8,2.49,2.78,19780,0
CMLFW.US,60,20201210,200000,2.78,2.9,2.475,2.75,22980,0
CMLFW.US,60,20201210,210000,2.79,2.79,2.75,2.75,8364,0
CMLFW.US,60,20201210,220000,3.025,3.025,3.025,3.025,100,0
CMLFW.US,60,20201211,160000,2.75,2.75,2.75,2.75,350,0
CMLFW.US,60,20201211,180000,3.1,3.1,2.79,2.79,1200,0
CMLFW.US,60,20201211,190000,2.925,3.08,2.925,2.925,2514,0
CMLFW.US,60,20201211,200000,2.7501,2.77,2.75,2.75,2100,0
CMLFW.US,60,20201211,210000,2.75,2.75,2.7,2.7,1600,0
CMLFW.US,60,20201211,220000,2.74,2.79,2.6231,2.79,1100,0
CMLFW.US,60,20201214,160000,2.8898,2.89,2.84,2.89,5966,0
CMLFW.US,60,20201214,170000,2.96,3.4,2.75,3.25,23740,0
CMLFW.US,60,20201214,180000,2.7501,2.8,2.7501,2.8,1600,0
CMLFW.US,60,20201214,190000,2.8,3.1999,2.7501,2.8,2143,0
CMLFW.US,60,20201214,200000,2.77,2.85,2.75,2.85,4351,0
CMLFW.US,60,20201214,210000,2.8,2.8,2.79,2.79,4900,0
CMLFW.US,60,20201214,220000,2.75,2.8,2.75,2.8,7990,0
CMLFW.US,60,20201215,160000,2.8,2.8,2.75,2.75,550,0
CMLFW.US,60,20201215,170000,2.8,2.8,2.78,2.8,3508,0
CMLFW.US,60,20201215,180000,2.795,2.795,2.79,2.79,1100,0
CMLFW.US,60,20201215,190000,2.775,2.79,2.775,2.79,1300,0
CMLFW.US,60,20201215,200000,2.775,2.79,2.75,2.75,3400,0
CMLFW.US,60,20201215,220000,2.8,2.8,2.65,2.65,7334,0
CMLFW.US,60,20201216,160000,2.69,2.69,2.52,2.52,700,0
CMLFW.US,60,20201216,170000,2.58,2.64,2.55,2.64,57600,0
CMLFW.US,60,20201216,180000,2.6,2.6,2.5,2.51,4345,0
CMLFW.US,60,20201216,190000,2.5,2.5,2.49,2.5,825,0
CMLFW.US,60,20201216,200000,2.5,2.5,2.4999,2.4999,1200,0
CMLFW.US,60,20201216,210000,2.46,2.4723,2.31,2.45,46055,0
CMLFW.US,60,20201216,220000,2.4,2.45,2.23,2.25,7735,0
CMLFW.US,60,20201217,170000,2.45,2.45,2.4,2.45,3600,0
CMLFW.US,60,20201217,180000,2.45,2.45,2.4379,2.45,4939,0
CMLFW.US,60,20201217,190000,2.35,2.35,2.35,2.35,100,0
CMLFW.US,60,20201217,200000,2.4248,2.4248,2.4248,2.4248,1000,0
CMLFW.US,60,20201217,210000,2.45,2.45,2.36,2.4,8850,0
CMLFW.US,60,20201217,220000,2.45,2.45,2.36,2.4,13300,0
CMLFW.US,60,20201218,170000,2.45,2.45,2.36,2.4,16500,0
CMLFW.US,60,20201218,180000,2.38,2.42,2.35,2.4,30380,0
CMLFW.US,60,20201218,190000,2.45,2.5,2.3,2.49,31894,0
CMLFW.US,60,20201218,200000,2.49,2.5,2.4354,2.5,19062,0
CMLFW.US,60,20201218,210000,2.41,2.57,2.35,2.46,20500,0
CMLFW.US,60,20201218,220000,2.46,2.5,2.3,2.45,6317,0
CMLFW.US,60,20201221,160000,2.5,2.68,2.49,2.5,17345,0
CMLFW.US,60,20201221,170000,2.5,2.6,2.4,2.4,59100,0
CMLFW.US,60,20201221,180000,2.4,2.61,2.4,2.5547,54524,0
CMLFW.US,60,20201221,190000,2.5484,2.75,2.5,2.7,70234,0
CMLFW.US,60,20201221,200000,2.8,2.9,2.8,2.8999,26029,0
CMLFW.US,60,20201221,210000,2.9,2.9,2.75,2.75,36828,0
CMLFW.US,60,20201221,220000,2.75,2.775,2.65,2.65,28065,0
CMLFW.US,60,20201222,160000,2.65,3.7,2.57,3,19900,0
CMLFW.US,60,20201222,170000,3.25,3.25,2.78,2.95,24000,0
CMLFW.US,60,20201222,180000,2.95,2.975,2.95,2.95,7657,0
CMLFW.US,60,20201222,190000,2.95,3.03,2.9,2.95,13335,0
CMLFW.US,60,20201222,200000,2.95,2.97,2.95,2.95,7499,0
CMLFW.US,60,20201222,210000,2.95,3,2.8287,2.9167,15400,0
CMLFW.US,60,20201222,220000,2.81,2.92,2.71,2.85,19631,0
CMLFW.US,60,20201223,160000,3.15,3.45,3.1,3.1,4772,0
CMLFW.US,60,20201223,170000,3.25,3.3,3.2,3.3,8900,0
CMLFW.US,60,20201223,180000,3.3,3.3,3.2,3.3,849,0
CMLFW.US,60,20201223,190000,3.31,3.32,3,3.29,6691,0
CMLFW.US,60,20201223,200000,3.3,3.51,3.3,3.3301,2489,0
CMLFW.US,60,20201223,210000,3.51,3.51,3.01,3.2,8032,0
CMLFW.US,60,20201223,220000,3.185,3.6614,3.185,3.4354,6060,0
CMLFW.US,60,20201224,160000,3.5,3.5,3.4,3.4,600,0
CMLFW.US,60,20201224,170000,3.39,3.39,3.05,3.17,13902,0
CMLFW.US,60,20201224,180000,3.17,3.36,3,3.05,23215,0
CMLFW.US,60,20201224,190000,3.07,3.37,3.01,3.05,29096,0
CMLFW.US,60,20201228,160000,3.32,3.7,3.17,3.26,3720,0
CMLFW.US,60,20201228,170000,3.24,3.6499,3.15,3.15,43487,0
CMLFW.US,60,20201228,180000,3.15,3.425,3.1,3.18,18715,0
CMLFW.US,60,20201228,190000,3.18,3.2,3.12,3.14,9800,0
CMLFW.US,60,20201228,200000,3.14,3.4,3.1,3.11,5150,0
CMLFW.US,60,20201228,210000,3.15,3.15,3.11,3.15,1300,0
CMLFW.US,60,20201228,220000,3.13,3.19,3,3.15,21423,0
CMLFW.US,60,20201229,160000,3,3.01,2.92,3.01,6900,0
CMLFW.US,60,20201229,170000,2.7,2.99,2.7,2.8649,24663,0
CMLFW.US,60,20201229,180000,2.74,2.95,2.67,2.72,32127,0
CMLFW.US,60,20201229,190000,2.74,2.85,2.72,2.79,30170,0
CMLFW.US,60,20201229,200000,2.8,2.89,2.75,2.85,8772,0
CMLFW.US,60,20201229,210000,2.85,3,2.85,2.925,8858,0
CMLFW.US,60,20201229,220000,2.85,2.9,2.76,2.9,17870,0
CMLFW.US,60,20201230,160000,2.9,2.9,2.76,2.8,1900,0
CMLFW.US,60,20201230,170000,2.9,2.99,2.9,2.95,700,0
CMLFW.US,60,20201230,180000,2.925,2.98,2.8501,2.8501,2903,0
CMLFW.US,60,20201230,190000,2.86,2.925,2.86,2.925,400,0
CMLFW.US,60,20201230,200000,2.92,2.92,2.86,2.86,600,0
CMLFW.US,60,20201230,210000,2.86,2.9,2.81,2.89,3393,0
CMLFW.US,60,20201230,220000,2.91,2.93,2.91,2.93,2103,0
CMLFW.US,60,20201231,170000,2.8,2.8,2.65,2.65,2660,0
CMLFW.US,60,20201231,180000,2.7,2.82,2.69,2.8,12306,0
CMLFW.US,60,20201231,190000,2.88,2.88,2.71,2.7859,3019,0
CMLFW.US,60,20201231,200000,2.7537,2.82,2.73,2.82,3700,0
CMLFW.US,60,20201231,210000,2.82,2.82,2.81,2.81,1185,0
CMLFW.US,60,20201231,220000,2.84,2.85,2.73,2.73,2918,0
CMLFW.US,60,20210104,160000,2.88,3.15,2.88,3.0114,28100,0
CMLFW.US,60,20210104,170000,2.92,3.05,2.77,2.83,39797,0
CMLFW.US,60,20210104,180000,2.85,3.112,2.8,3.112,10802,0
CMLFW.US,60,20210104,190000,2.81,2.81,2.76,2.76,4398,0
CMLFW.US,60,20210104,200000,2.995,3.005,2.79,2.85,12948,0
CMLFW.US,60,20210104,210000,2.85,2.94,2.8,2.9,2627,0
CMLFW.US,60,20210104,220000,2.9,3,2.9,3,95021,0
CMLFW.US,60,20210105,160000,2.9001,2.9001,2.9001,2.9001,939,0
CMLFW.US,60,20210105,170000,2.92,2.95,2.9,2.9,10300,0
CMLFW.US,60,20210105,180000,2.9,2.975,2.9,2.96,36058,0
CMLFW.US,60,20210105,190000,2.97,2.97,2.97,2.97,1000,0
CMLFW.US,60,20210105,200000,3,3,2.95,3,23544,0
CMLFW.US,60,20210105,210000,3,3.15,2.91,3.0001,17281,0
CMLFW.US,60,20210105,220000,3.04,3.1299,3,3.06,12521,0
CMLFW.US,60,20210106,160000,2.95,3.15,2.95,2.96,24789,0
CMLFW.US,60,20210106,170000,3.1508,3.2,3.1508,3.2,410,0
CMLFW.US,60,20210106,180000,3,3.14,2.9786,3.0054,1714,0
CMLFW.US,60,20210106,190000,3.04,3.04,3,3.005,26312,0
CMLFW.US,60,20210106,200000,3.005,3.05,3.005,3.04,2764,0
CMLFW.US,60,20210106,210000,3.04,3.05,3.01,3.01,1211,0
CMLFW.US,60,20210106,220000,3.01,3.01,3.0099,3.0099,1426,0
CMLFW.US,60,20210107,160000,3.1,3.1,3,3.1,1009,0
CMLFW.US,60,20210107,170000,3.01,3.4,3,3.1,14582,0
CMLFW.US,60,20210107,180000,3.02,3.06,3,3,85072,0
CMLFW.US,60,20210107,190000,3,3.0369,3,3,51960,0
CMLFW.US,60,20210107,200000,3.03,3.06,3.03,3.03,3679,0
CMLFW.US,60,20210107,210000,3.02,3.03,2.97,3,17217,0
CMLFW.US,60,20210107,220000,3.03,3.055,2.97,3,15459,0
CMLFW.US,60,20210108,160000,3.01,3.01,3.01,3.01,485,0
CMLFW.US,60,20210108,170000,3.01,3.28,3,3.1,3517,0
CMLFW.US,60,20210108,180000,3.05,3.0592,3.05,3.05,13751,0
CMLFW.US,60,20210108,190000,3.05,3.155,3.05,3.09,10219,0
CMLFW.US,60,20210108,200000,3.1,3.1,3.06,3.1,1569,0
CMLFW.US,60,20210108,210000,3.17,3.17,3.1,3.1,3602,0
CMLFW.US,60,20210108,220000,3.1,3.15,3.09,3.1,5348,0
CMLFW.US,60,20210111,160000,3.01,3.2,3.01,3.2,3917,0
CMLFW.US,60,20210111,170000,3.2,3.4,3.2,3.2,20368,0
CMLFW.US,60,20210111,180000,3.11,3.25,3.06,3.25,10640,0
CMLFW.US,60,20210111,190000,3.25,3.3,3.25,3.3,1163,0
CMLFW.US,60,20210111,200000,3.29,3.29,3.2,3.2,567,0
CMLFW.US,60,20210111,220000,3.2,3.25,3.2,3.25,5333,0
CMLFW.US,60,20210112,160000,3.19,3.19,3.19,3.19,333,0
CMLFW.US,60,20210112,170000,3.1,4.18,3.06,3.18,5761,0
CMLFW.US,60,20210112,180000,3.5301,3.5301,3.2,3.31,7608,0
CMLFW.US,60,20210112,190000,3.36,3.4017,3.36,3.4,667,0
CMLFW.US,60,20210112,200000,3.41,3.4486,3.4,3.4,733,0
CMLFW.US,60,20210112,210000,3.4,3.48,3.37,3.39,64630,0
CMLFW.US,60,20210112,220000,3.37,3.37,3.1791,3.25,20709,0
CMLFW.US,60,20210113,160000,3.9999,3.9999,3.27,3.5,201254,0
CMLFW.US,60,20210113,170000,3.5,3.94,3.3,3.69,242984,0
CMLFW.US,60,20210113,180000,3.685,3.73,3.4,3.43,3184,0
CMLFW.US,60,20210113,190000,3.425,3.69,3.415,3.5977,11141,0
