<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREXW.US,60,20200914,180000,0.3889,0.3889,0.3889,0.3889,101,0
CREXW.US,60,20200914,190000,0.24,0.2411,0.17,0.1708,800,0
CREXW.US,60,20200917,160000,0.1711,0.1711,0.1711,0.1711,100,0
CREXW.US,60,20200918,190000,0.36,0.36,0.1712,0.1712,1100,0
CREXW.US,60,20200921,160000,0.1714,0.1714,0.1714,0.1714,100,0
CREXW.US,60,20200923,210000,0.1601,0.1605,0.15,0.1503,3600,0
CREXW.US,60,20200929,200000,0.29,0.29,0.29,0.29,550,0
CREXW.US,60,20200930,160000,0.26,0.26,0.26,0.26,100,0
CREXW.US,60,20200930,170000,0.25,0.25,0.2492,0.2492,200,0
CREXW.US,60,20200930,190000,0.199999,0.199999,0.199999,0.199999,100,0
CREXW.US,60,20200930,220000,0.2,0.2,0.1502,0.159,6800,0
CREXW.US,60,20201001,160000,0.17,0.17,0.17,0.17,200,0
CREXW.US,60,20201001,170000,0.1709,0.1709,0.17,0.17,326,0
CREXW.US,60,20201002,160000,0.17,0.17,0.17,0.17,506,0
CREXW.US,60,20201005,200000,0.18,0.18,0.18,0.18,200,0
CREXW.US,60,20201005,210000,0.18,0.18,0.18,0.18,200,0
CREXW.US,60,20201005,220000,0.18,0.18,0.18,0.18,794,0
CREXW.US,60,20201007,170000,0.2246,0.2246,0.2246,0.2246,100,0
CREXW.US,60,20201008,190000,0.22,0.22,0.22,0.22,500,0
CREXW.US,60,20201008,220000,0.22,0.22,0.22,0.22,825,0
CREXW.US,60,20201009,170000,0.18,0.18,0.18,0.18,183,0
CREXW.US,60,20201012,190000,0.180101,0.180101,0.18,0.18,1130,0
CREXW.US,60,20201012,220000,0.17,0.17,0.17,0.17,277,0
CREXW.US,60,20201014,190000,0.15,0.15,0.15,0.15,756,0
CREXW.US,60,20201016,160000,0.17,0.17,0.1699,0.1699,1000,0
CREXW.US,60,20201016,170000,0.194099,0.1942,0.194099,0.1942,650,0
CREXW.US,60,20201016,180000,0.1943,0.1943,0.1943,0.1943,2915,0
CREXW.US,60,20201016,220000,0.197099,0.197099,0.197099,0.197099,100,0
CREXW.US,60,20201020,160000,0.2365,0.2365,0.22,0.22,544,0
CREXW.US,60,20201022,190000,0.22,0.22,0.1506,0.1506,600,0
CREXW.US,60,20201023,170000,0.22,0.22,0.2199,0.2199,5818,0
CREXW.US,60,20201023,180000,0.22,0.22,0.185,0.185,1000,0
CREXW.US,60,20201023,220000,0.22,0.22,0.2199,0.2199,600,0
CREXW.US,60,20201026,160000,0.1507,0.1507,0.1501,0.1501,2975,0
CREXW.US,60,20201026,210000,0.1506,0.1506,0.1506,0.1506,501,0
CREXW.US,60,20201030,180000,0.152,0.152,0.152,0.152,1000,0
CREXW.US,60,20201030,210000,0.1511,0.1511,0.1126,0.1126,10522,0
CREXW.US,60,20201102,180000,0.1899,0.1899,0.163,0.163,1100,0
CREXW.US,60,20201102,200000,0.1823,0.1823,0.1823,0.1823,100,0
CREXW.US,60,20201103,220000,0.1823,0.1823,0.17,0.17,300,0
CREXW.US,60,20201104,170000,0.1112,0.1112,0.0979,0.1001,6993,0
CREXW.US,60,20201104,180000,0.11,0.11,0.1099,0.1099,7614,0
CREXW.US,60,20201104,210000,0.1272,0.1272,0.1272,0.1272,200,0
CREXW.US,60,20201105,160000,0.1499,0.1499,0.1499,0.1499,615,0
CREXW.US,60,20201105,170000,0.15,0.15,0.115,0.115,8500,0
CREXW.US,60,20201105,180000,0.115,0.1153,0.115,0.1153,1400,0
CREXW.US,60,20201105,210000,0.14,0.15,0.127499,0.15,19898,0
CREXW.US,60,20201105,220000,0.15,0.18,0.15,0.18,15200,0
CREXW.US,60,20201106,160000,0.19,0.2,0.19,0.2,14000,0
CREXW.US,60,20201106,220000,0.2,0.2,0.2,0.2,961,0
CREXW.US,60,20201109,170000,0.1202,0.1202,0.12,0.12,500,0
CREXW.US,60,20201109,220000,0.2,0.2,0.2,0.2,1000,0
CREXW.US,60,20201110,160000,0.126,0.160001,0.120001,0.126,1000,0
CREXW.US,60,20201110,200000,0.1261,0.15,0.1261,0.15,5600,0
CREXW.US,60,20201110,210000,0.135,0.135,0.13,0.13,600,0
CREXW.US,60,20201111,200000,0.149,0.149,0.149,0.149,348,0
CREXW.US,60,20201111,220000,0.15,0.15,0.15,0.15,133,0
CREXW.US,60,20201112,160000,0.13,0.14,0.13,0.14,233,0
CREXW.US,60,20201112,220000,0.14,0.15,0.14,0.15,992,0
CREXW.US,60,20201113,190000,0.12,0.12,0.12,0.12,5000,0
CREXW.US,60,20201117,160000,0.16,0.16,0.16,0.16,1477,0
CREXW.US,60,20201117,170000,0.16,0.16,0.1201,0.1261,5777,0
CREXW.US,60,20201117,220000,0.122,0.1399,0.12,0.125729,12960,0
CREXW.US,60,20201119,160000,0.14,0.14,0.12,0.12,1164,0
CREXW.US,60,20201120,170000,0.1299,0.1299,0.1201,0.1201,1350,0
CREXW.US,60,20201120,180000,0.1299,0.1299,0.1299,0.1299,299,0
CREXW.US,60,20201123,170000,0.1685,0.1685,0.136,0.136,1115,0
CREXW.US,60,20201124,160000,0.138,0.1387,0.138,0.1387,400,0
CREXW.US,60,20201124,200000,0.138,0.1387,0.12,0.12,800,0
CREXW.US,60,20201124,210000,0.159251,0.159251,0.13,0.13,1200,0
CREXW.US,60,20201127,190000,0.12,0.1399,0.119749,0.1399,4570,0
CREXW.US,60,20201130,160000,0.1499,0.1499,0.1499,0.1499,1260,0
CREXW.US,60,20201130,170000,0.140101,0.140148,0.14,0.140148,1408,0
CREXW.US,60,20201130,200000,0.1385,0.1385,0.1385,0.1385,700,0
CREXW.US,60,20201130,210000,0.1393,0.14,0.1393,0.1399,3395,0
CREXW.US,60,20201130,220000,0.1385,0.1385,0.1385,0.1385,300,0
CREXW.US,60,20201202,170000,0.1093,0.1093,0.0903,0.0903,1230,0
CREXW.US,60,20201202,190000,0.12,0.12,0.12,0.12,394,0
CREXW.US,60,20201202,210000,0.1,0.135,0.1,0.135,699,0
CREXW.US,60,20201202,220000,0.1016,0.115,0.1016,0.115,1270,0
CREXW.US,60,20201203,180000,0.123,0.1243,0.123,0.1243,1000,0
CREXW.US,60,20201203,210000,0.1235,0.1235,0.1235,0.1235,398,0
CREXW.US,60,20201204,170000,0.1399,0.1399,0.1399,0.1399,200,0
CREXW.US,60,20201204,180000,0.134,0.1449,0.133999,0.14,7500,0
CREXW.US,60,20201204,190000,0.1337,0.1337,0.1337,0.1337,155,0
CREXW.US,60,20201204,200000,0.14,0.14,0.14,0.14,1200,0
CREXW.US,60,20201204,220000,0.14,0.14,0.14,0.14,400,0
CREXW.US,60,20201207,170000,0.134,0.1448,0.134,0.1448,800,0
CREXW.US,60,20201207,190000,0.1349,0.1349,0.13,0.13,500,0
CREXW.US,60,20201207,210000,0.1356,0.1356,0.1349,0.1349,390,0
CREXW.US,60,20201207,220000,0.1441,0.1448,0.1441,0.1448,400,0
CREXW.US,60,20201208,180000,0.1399,0.1399,0.1399,0.1399,600,0
CREXW.US,60,20201208,200000,0.139901,0.1447,0.139901,0.1447,474,0
CREXW.US,60,20201208,210000,0.1447,0.1447,0.1447,0.1447,400,0
CREXW.US,60,20201208,220000,0.1447,0.2,0.11,0.11,18337,0
CREXW.US,60,20201210,210000,0.12,0.1201,0.12,0.1201,2200,0
CREXW.US,60,20201211,170000,0.2,0.2,0.2,0.2,200,0
CREXW.US,60,20201211,180000,0.2,0.2,0.16,0.1999,5200,0
CREXW.US,60,20201211,190000,0.19,0.2,0.189899,0.19,2528,0
CREXW.US,60,20201211,200000,0.198,0.198,0.1919,0.1919,2918,0
CREXW.US,60,20201211,210000,0.11,0.1227,0.11,0.1104,1199,0
CREXW.US,60,20201211,220000,0.1125,0.1125,0.1122,0.1123,1788,0
CREXW.US,60,20201214,160000,0.123,0.123,0.123,0.123,500,0
CREXW.US,60,20201214,180000,0.123,0.1403,0.123,0.1403,1209,0
CREXW.US,60,20201214,190000,0.1427,0.1427,0.1427,0.1427,200,0
CREXW.US,60,20201214,200000,0.1794,0.1798,0.17,0.17,2785,0
CREXW.US,60,20201214,220000,0.17,0.195,0.17,0.195,1000,0
CREXW.US,60,20201215,160000,0.1307,0.1307,0.1307,0.1307,100,0
CREXW.US,60,20201215,180000,0.2,0.2,0.2,0.2,250,0
CREXW.US,60,20201215,190000,0.16,0.16,0.16,0.16,1000,0
