<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSTE.US,60,20200914,160000,10.244,10.299,10.224,10.299,1090,0
CSTE.US,60,20200914,170000,10.264,10.264,10.115,10.214,36241,0
CSTE.US,60,20200914,180000,10.224,10.313,10.224,10.313,606,0
CSTE.US,60,20200914,190000,10.323,10.353,10.244,10.244,4996,0
CSTE.US,60,20200914,200000,10.261,10.261,10.185,10.224,6817,0
CSTE.US,60,20200914,210000,10.204,10.234,10.145,10.165,6459,0
CSTE.US,60,20200914,220000,10.18,10.18,10.095,10.135,14366,0
CSTE.US,60,20200915,160000,10.303,10.303,10.165,10.165,3960,0
CSTE.US,60,20200915,170000,10.155,10.343,10.155,10.343,3432,0
CSTE.US,60,20200915,180000,10.403,10.403,10.313,10.313,1313,0
CSTE.US,60,20200915,190000,10.343,10.343,10.274,10.274,1261,0
CSTE.US,60,20200915,200000,10.274,10.323,10.204,10.234,6637,0
CSTE.US,60,20200915,210000,10.244,10.313,10.234,10.313,5803,0
CSTE.US,60,20200915,220000,10.333,10.432,10.313,10.412,20291,0
CSTE.US,60,20200916,160000,10.403,10.432,10.294,10.313,4095,0
CSTE.US,60,20200916,170000,10.294,10.353,10.185,10.204,6964,0
CSTE.US,60,20200916,180000,10.224,10.294,10.195,10.254,3019,0
CSTE.US,60,20200916,190000,10.254,10.422,10.234,10.412,8614,0
CSTE.US,60,20200916,200000,10.408,10.541,10.403,10.517,18302,0
CSTE.US,60,20200916,210000,10.504,10.621,10.487,10.551,26662,0
CSTE.US,60,20200916,220000,10.571,10.7,10.492,10.512,47729,0
CSTE.US,60,20200917,160000,10.432,10.502,10.333,10.502,5249,0
CSTE.US,60,20200917,170000,10.482,10.482,10.333,10.403,5816,0
CSTE.US,60,20200917,180000,10.571,10.63,10.403,10.521,6792,0
CSTE.US,60,20200917,190000,10.531,10.531,10.353,10.408,4084,0
CSTE.US,60,20200917,200000,10.408,10.408,10.363,10.383,2134,0
CSTE.US,60,20200917,210000,10.393,10.393,10.383,10.393,931,0
CSTE.US,60,20200917,220000,10.284,10.353,10.204,10.244,28808,0
CSTE.US,60,20200918,160000,10.383,10.383,10.383,10.383,29578,0
CSTE.US,60,20200918,170000,10.294,10.323,10.22,10.22,707,0
CSTE.US,60,20200918,180000,10.165,10.234,10.095,10.155,3176,0
CSTE.US,60,20200918,190000,10.135,10.135,10.026,10.026,5926,0
CSTE.US,60,20200918,200000,10.026,10.026,9.887,9.907,5703,0
CSTE.US,60,20200918,210000,9.887,10.006,9.877,9.986,11308,0
CSTE.US,60,20200918,220000,10.026,10.105,10.006,10.026,27773,0
CSTE.US,60,20200921,160000,9.858,9.858,9.669,9.798,7451,0
CSTE.US,60,20200921,170000,9.739,9.739,9.6,9.674,5589,0
CSTE.US,60,20200921,180000,9.66,9.714,9.615,9.615,4643,0
CSTE.US,60,20200921,190000,9.61,9.625,9.58,9.59,9102,0
CSTE.US,60,20200921,200000,9.63,9.669,9.6,9.62,5495,0
CSTE.US,60,20200921,210000,9.66,9.759,9.66,9.749,10346,0
CSTE.US,60,20200921,220000,9.749,9.788,9.64,9.699,31779,0
CSTE.US,60,20200922,160000,9.788,9.858,9.739,9.778,3040,0
CSTE.US,60,20200922,170000,9.709,9.754,9.63,9.63,2726,0
