<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTIC.US,60,20200914,160000,1,1.05,1,1.05,20246,0
CTIC.US,60,20200914,170000,1.045,1.09,1.03,1.065,33700,0
CTIC.US,60,20200914,180000,1.07,1.09,1.07,1.085,17345,0
CTIC.US,60,20200914,190000,1.09,1.1,1.0877,1.095,30383,0
CTIC.US,60,20200914,200000,1.09,1.1,1.09,1.1,14770,0
CTIC.US,60,20200914,210000,1.1,1.1,1.09,1.095,28701,0
CTIC.US,60,20200914,220000,1.095,1.1,1.085,1.1,29489,0
CTIC.US,60,20200915,160000,1.09,1.13,1.09,1.1,28179,0
CTIC.US,60,20200915,170000,1.1,1.12,1.1,1.1126,16231,0
CTIC.US,60,20200915,180000,1.11,1.12,1.1,1.11,13215,0
CTIC.US,60,20200915,190000,1.114,1.12,1.09,1.1,21778,0
CTIC.US,60,20200915,200000,1.105,1.11,1.095,1.11,2099,0
CTIC.US,60,20200915,210000,1.0974,1.11,1.09,1.09,5300,0
CTIC.US,60,20200915,220000,1.1,1.11,1.08,1.1,46051,0
CTIC.US,60,20200916,160000,1.11,1.13,1.1,1.12,8314,0
CTIC.US,60,20200916,170000,1.103,1.12,1.08,1.1064,16752,0
CTIC.US,60,20200916,180000,1.11,1.11,1.1001,1.11,4494,0
CTIC.US,60,20200916,190000,1.11,1.11,1.1,1.105,8618,0
CTIC.US,60,20200916,200000,1.105,1.105,1.06,1.075,36322,0
CTIC.US,60,20200916,210000,1.08,1.1,1.07,1.095,28207,0
CTIC.US,60,20200916,220000,1.0998,1.13,1.085,1.11,59560,0
CTIC.US,60,20200917,160000,1.11,1.11,1.09,1.09,3692,0
CTIC.US,60,20200917,170000,1.09,1.13,1.09,1.115,6562,0
CTIC.US,60,20200917,180000,1.12,1.18,1.115,1.1798,78810,0
CTIC.US,60,20200917,190000,1.18,1.19,1.16,1.19,66930,0
CTIC.US,60,20200917,200000,1.185,1.19,1.18,1.18,38506,0
CTIC.US,60,20200917,210000,1.19,1.19,1.1705,1.185,37902,0
