<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXDC.US,60,20200914,160000,1.14,1.15,1.14,1.14,17909,0
CXDC.US,60,20200914,170000,1.14,1.15,1.14,1.14,3705,0
CXDC.US,60,20200914,180000,1.14,1.15,1.14,1.14,6200,0
CXDC.US,60,20200914,190000,1.14,1.14,1.14,1.14,800,0
CXDC.US,60,20200914,200000,1.14,1.14,1.14,1.14,1500,0
CXDC.US,60,20200914,210000,1.14,1.14,1.14,1.14,2900,0
CXDC.US,60,20200914,220000,1.14,1.14,1.14,1.14,947,0
CXDC.US,60,20200915,160000,1.14,1.14,1.14,1.14,5400,0
CXDC.US,60,20200915,170000,1.15,1.15,1.14,1.15,5500,0
CXDC.US,60,20200915,180000,1.14,1.14,1.14,1.14,2623,0
CXDC.US,60,20200915,190000,1.14,1.14,1.14,1.14,800,0
CXDC.US,60,20200915,200000,1.14,1.16,1.14,1.16,3401,0
CXDC.US,60,20200915,210000,1.16,1.16,1.16,1.16,3380,0
CXDC.US,60,20200915,220000,1.16,1.17,1.16,1.16,5000,0
CXDC.US,60,20200916,160000,1.14,1.14,1.14,1.14,397,0
CXDC.US,60,20200916,170000,1.14,1.15,1.14,1.14,1500,0
CXDC.US,60,20200916,180000,1.14,1.15,1.14,1.15,5172,0
CXDC.US,60,20200916,190000,1.15,1.15,1.15,1.15,800,0
CXDC.US,60,20200916,200000,1.16,1.16,1.15,1.15,4800,0
CXDC.US,60,20200916,210000,1.15,1.15,1.15,1.15,4300,0
CXDC.US,60,20200916,220000,1.15,1.15,1.15,1.15,800,0
CXDC.US,60,20200917,160000,1.14,1.15,1.14,1.14,2311,0
CXDC.US,60,20200917,170000,1.14,1.14,1.14,1.14,300,0
CXDC.US,60,20200917,180000,1.14,1.14,1.14,1.14,6097,0
CXDC.US,60,20200917,190000,1.14,1.155,1.14,1.155,8048,0
CXDC.US,60,20200917,200000,1.15,1.15,1.15,1.15,600,0
CXDC.US,60,20200917,210000,1.15,1.15,1.15,1.15,400,0
CXDC.US,60,20200917,220000,1.15,1.16,1.15,1.155,24792,0
CXDC.US,60,20200918,160000,1.15,1.1598,1.15,1.15,10400,0
CXDC.US,60,20200918,170000,1.15,1.16,1.15,1.15,7000,0
CXDC.US,60,20200918,180000,1.15,1.16,1.15,1.15,5030,0
CXDC.US,60,20200918,190000,1.15,1.15,1.15,1.15,400,0
CXDC.US,60,20200918,200000,1.15,1.16,1.15,1.15,2500,0
CXDC.US,60,20200918,210000,1.15,1.16,1.15,1.15,500,0
CXDC.US,60,20200918,220000,1.15,1.16,1.15,1.16,4000,0
CXDC.US,60,20200921,160000,1.16,1.16,1.15,1.155,1042,0
CXDC.US,60,20200921,170000,1.15,1.16,1.15,1.15,38300,0
CXDC.US,60,20200921,180000,1.15,1.155,1.15,1.15,5700,0
CXDC.US,60,20200921,190000,1.15,1.15,1.15,1.15,2400,0
CXDC.US,60,20200921,200000,1.15,1.15,1.14,1.145,96513,0
CXDC.US,60,20200921,210000,1.14,1.1498,1.14,1.14,4200,0
CXDC.US,60,20200921,220000,1.15,1.16,1.145,1.16,1800,0
CXDC.US,60,20200922,160000,1.16,1.16,1.14,1.14,8752,0
CXDC.US,60,20200922,170000,1.1418,1.1418,1.13,1.13,875,0
CXDC.US,60,20200922,180000,1.15,1.15,1.13,1.14,4230,0
CXDC.US,60,20200922,190000,1.14,1.145,1.13,1.14,6000,0
CXDC.US,60,20200922,200000,1.13,1.14,1.13,1.14,8600,0
CXDC.US,60,20200922,210000,1.14,1.145,1.13,1.145,4352,0
CXDC.US,60,20200922,220000,1.14,1.14,1.13,1.14,49578,0
CXDC.US,60,20200923,160000,1.13,1.1305,1.13,1.13,7300,0
CXDC.US,60,20200923,170000,1.13,1.13,1.13,1.13,5599,0
CXDC.US,60,20200923,180000,1.13,1.13,1.13,1.13,600,0
CXDC.US,60,20200923,190000,1.13,1.13,1.13,1.13,3300,0
CXDC.US,60,20200923,200000,1.13,1.13,1.12,1.12,21952,0
CXDC.US,60,20200923,210000,1.12,1.125,1.12,1.125,800,0
CXDC.US,60,20200923,220000,1.1284,1.1284,1.12,1.12,32076,0
CXDC.US,60,20200924,160000,1.12,1.12,1.12,1.12,200,0
CXDC.US,60,20200924,170000,1.12,1.13,1.11,1.11,52720,0
CXDC.US,60,20200924,180000,1.11,1.12,1.11,1.12,2750,0
CXDC.US,60,20200924,190000,1.11,1.11,1.11,1.11,1200,0
