<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLCAU.US,60,20210114,160000,10.99,11.19,10.9,10.95,111336,0
DLCAU.US,60,20210114,170000,10.94,10.95,10.81,10.94,83106,0
DLCAU.US,60,20210114,180000,10.94,10.94,10.88,10.89,18649,0
DLCAU.US,60,20210114,190000,10.8898,10.9,10.88,10.89,14741,0
DLCAU.US,60,20210114,200000,10.8977,10.9,10.89,10.8999,22747,0
DLCAU.US,60,20210114,210000,10.9,10.9,10.795,10.7998,64777,0
DLCAU.US,60,20210114,220000,10.795,10.84,10.65,10.84,67287,0
DLCAU.US,60,20210115,160000,10.9,10.9,10.8,10.88,32495,0
DLCAU.US,60,20210115,170000,10.88,10.89,10.8348,10.89,20002,0
DLCAU.US,60,20210115,180000,10.89,11.09,10.88,11.06,22298,0
DLCAU.US,60,20210115,190000,11.055,11.07,10.95,11.04,22390,0
DLCAU.US,60,20210115,200000,11.04,11.08,11,11.05,9900,0
DLCAU.US,60,20210115,210000,11.05,11.105,11,11.1,12038,0
DLCAU.US,60,20210115,220000,11.1,11.16,10.98,10.98,22353,0
DLCAU.US,60,20210119,160000,10.95,10.95,10.86,10.91,15527,0
DLCAU.US,60,20210119,170000,10.9108,10.92,10.85,10.85,11105,0
DLCAU.US,60,20210119,180000,10.88,10.9097,10.835,10.86,45533,0
DLCAU.US,60,20210119,190000,10.86,10.92,10.85,10.85,20314,0
DLCAU.US,60,20210119,200000,10.83,10.9,10.83,10.85,24447,0
DLCAU.US,60,20210119,210000,10.85,10.91,10.85,10.85,22252,0
DLCAU.US,60,20210119,220000,10.85,10.85,10.83,10.85,12848,0
DLCAU.US,60,20210120,160000,10.8,10.81,10.72,10.77,17629,0
DLCAU.US,60,20210120,170000,10.7571,10.85,10.7571,10.85,21678,0
DLCAU.US,60,20210120,180000,10.85,10.88,10.79,10.79,17717,0
DLCAU.US,60,20210120,190000,10.79,10.84,10.79,10.835,11550,0
DLCAU.US,60,20210120,200000,10.85,10.85,10.8,10.8,18937,0
DLCAU.US,60,20210120,210000,10.833,10.833,10.8,10.8,2754,0
DLCAU.US,60,20210120,220000,10.85,10.85,10.79,10.79,31800,0
DLCAU.US,60,20210121,160000,10.83,10.83,10.78,10.8278,3164,0
DLCAU.US,60,20210121,170000,10.8177,10.84,10.77,10.79,14315,0
DLCAU.US,60,20210121,180000,10.8,10.8,10.795,10.8,216941,0
DLCAU.US,60,20210121,190000,10.795,10.95,10.795,10.9402,38430,0
DLCAU.US,60,20210121,200000,10.95,10.95,10.8,10.8,25402,0
DLCAU.US,60,20210121,210000,10.825,10.85,10.825,10.825,68350,0
DLCAU.US,60,20210121,220000,10.83,10.85,10.83,10.85,36800,0
DLCAU.US,60,20210122,160000,10.8,10.9,10.8,10.865,2935,0
DLCAU.US,60,20210122,170000,10.85,10.96,10.8372,10.84,13399,0
DLCAU.US,60,20210122,180000,10.85,10.95,10.8499,10.85,34856,0
DLCAU.US,60,20210122,190000,10.88,10.89,10.75,10.8,118715,0
DLCAU.US,60,20210122,200000,10.78,10.8192,10.7,10.7,59408,0
DLCAU.US,60,20210122,210000,10.755,10.7726,10.69,10.69,33649,0
DLCAU.US,60,20210122,220000,10.69,10.75,10.69,10.7,47287,0
DLCAU.US,60,20210125,160000,10.84,10.94,10.8,10.88,27137,0
DLCAU.US,60,20210125,170000,10.87,10.94,10.8,10.92,90646,0
DLCAU.US,60,20210125,180000,10.92,10.94,10.84,10.9,340792,0
DLCAU.US,60,20210125,190000,10.9,10.95,10.9,10.95,4292,0
DLCAU.US,60,20210125,200000,10.97,10.97,10.92,10.92,2211,0
DLCAU.US,60,20210125,210000,10.95,10.95,10.84,10.865,10144,0
DLCAU.US,60,20210125,220000,10.9,10.94,10.87,10.9,47542,0
DLCAU.US,60,20210126,160000,10.89,10.99,10.88,10.98,92497,0
DLCAU.US,60,20210126,170000,10.97,10.9799,10.82,10.82,6952,0
DLCAU.US,60,20210126,180000,10.83,10.844,10.78,10.78,3322,0
DLCAU.US,60,20210126,190000,10.78,10.8493,10.76,10.76,3741,0
DLCAU.US,60,20210126,200000,10.77,10.77,10.73,10.75,7346,0
DLCAU.US,60,20210126,210000,10.73,10.85,10.72,10.85,30021,0
DLCAU.US,60,20210126,220000,10.85,10.85,10.73,10.77,22728,0
DLCAU.US,60,20210127,160000,10.64,10.64,10.42,10.44,30132,0
DLCAU.US,60,20210127,170000,10.46,10.515,10.3,10.5,140418,0
DLCAU.US,60,20210127,180000,10.43,10.58,10.35,10.35,125798,0
DLCAU.US,60,20210127,190000,10.36,10.415,10.35,10.385,20963,0
DLCAU.US,60,20210127,200000,10.4,10.46,10.39,10.45,18914,0
DLCAU.US,60,20210127,210000,10.425,10.45,10.4,10.4,14823,0
DLCAU.US,60,20210127,220000,10.4,10.45,10.39,10.45,42311,0
DLCAU.US,60,20210128,160000,10.47,10.7299,10.37,10.49,10027,0
DLCAU.US,60,20210128,170000,10.5213,10.525,10.5213,10.525,500,0
DLCAU.US,60,20210128,180000,10.59,10.59,10.56,10.57,3369,0
DLCAU.US,60,20210128,190000,10.57,10.62,10.5,10.5,38374,0
DLCAU.US,60,20210128,200000,10.55,10.57,10.45,10.5,181280,0
DLCAU.US,60,20210128,210000,10.49,10.5,10.49,10.5,24916,0
DLCAU.US,60,20210128,220000,10.49,10.5,10.37,10.37,27790,0
DLCAU.US,60,20210129,160000,10.46,10.46,10.46,10.46,562,0
DLCAU.US,60,20210129,170000,10.4499,10.45,10.44,10.45,12000,0
DLCAU.US,60,20210129,180000,10.45,10.57,10.45,10.45,20698,0
DLCAU.US,60,20210129,190000,10.5003,10.5003,10.45,10.495,13766,0
DLCAU.US,60,20210129,200000,10.5,10.5223,10.38,10.44,29153,0
DLCAU.US,60,20210129,210000,10.465,10.53,10.39,10.455,14290,0
DLCAU.US,60,20210129,220000,10.42,10.48,10.4002,10.48,2214,0
DLCAU.US,60,20210201,160000,10.5,10.5,10.41,10.46,3400,0
DLCAU.US,60,20210201,170000,10.42,10.47,10.4101,10.44,7850,0
DLCAU.US,60,20210201,180000,10.425,10.5,10.42,10.47,8940,0
DLCAU.US,60,20210201,190000,10.475,10.499,10.475,10.499,12483,0
DLCAU.US,60,20210201,200000,10.495,10.59,10.485,10.59,20180,0
DLCAU.US,60,20210201,210000,10.6001,10.69,10.6001,10.69,500,0
DLCAU.US,60,20210201,220000,10.64,10.69,10.6,10.67,30487,0
DLCAU.US,60,20210202,160000,10.68,10.68,10.6505,10.67,2818,0
DLCAU.US,60,20210202,170000,10.65,10.67,10.61,10.635,6680,0
DLCAU.US,60,20210202,180000,10.6,10.65,10.6,10.65,4274,0
DLCAU.US,60,20210202,190000,10.65,10.78,10.65,10.65,8834,0
DLCAU.US,60,20210202,200000,10.6502,10.6744,10.65,10.6501,2300,0
DLCAU.US,60,20210202,210000,10.6501,10.6501,10.63,10.6496,3184,0
DLCAU.US,60,20210202,220000,10.73,10.76,10.725,10.76,2364,0
DLCAU.US,60,20210203,160000,10.81,10.81,10.6401,10.6401,5067,0
DLCAU.US,60,20210203,170000,10.7,10.78,10.7,10.78,5124,0
DLCAU.US,60,20210203,180000,10.759,10.8,10.759,10.8,4380,0
DLCAU.US,60,20210203,190000,10.8,10.82,10.7901,10.81,6040,0
DLCAU.US,60,20210203,200000,10.8399,10.86,10.81,10.86,4620,0
DLCAU.US,60,20210203,210000,10.8613,10.8613,10.835,10.86,4701,0
DLCAU.US,60,20210203,220000,10.83,10.92,10.83,10.92,7617,0
