<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMRC.US,60,20200914,160000,18.1,18.55,18.1,18.55,2055,0
DMRC.US,60,20200914,170000,18.46,18.73,18.3,18.43,8523,0
DMRC.US,60,20200914,180000,18.54,18.83,18.47,18.6,13499,0
DMRC.US,60,20200914,190000,18.61,18.67,18.32,18.67,19707,0
DMRC.US,60,20200914,200000,18.67,18.76,18.52,18.57,7060,0
DMRC.US,60,20200914,210000,18.6,19.07,18.59,19.07,7409,0
DMRC.US,60,20200914,220000,19.15,19.16,18.9,18.91,39436,0
DMRC.US,60,20200915,160000,19.04,19.1,18.865,19.06,4847,0
DMRC.US,60,20200915,170000,19.085,19.16,19.01,19.125,11341,0
DMRC.US,60,20200915,180000,19.1,19.24,19.01,19.01,19026,0
DMRC.US,60,20200915,190000,19.04,19.11,19.01,19.095,3391,0
DMRC.US,60,20200915,200000,19.06,19.1025,18.84,19,11639,0
DMRC.US,60,20200915,210000,18.955,19.1,18.9,19.045,4612,0
DMRC.US,60,20200915,220000,19.08,19.08,18.8,18.84,17006,0
DMRC.US,60,20200916,160000,18.98,19.05,18.43,18.78,1114,0
DMRC.US,60,20200916,170000,18.98,19.01,18.785,18.99,7700,0
DMRC.US,60,20200916,180000,18.985,19.15,18.91,19.135,11467,0
DMRC.US,60,20200916,190000,19.17,19.17,18.89,19.0589,20035,0
DMRC.US,60,20200916,200000,19.11,19.57,19.11,19.425,10132,0
DMRC.US,60,20200916,210000,19.425,19.58,19.27,19.31,12299,0
DMRC.US,60,20200916,220000,19.22,19.395,19.2,19.2,20729,0
DMRC.US,60,20200917,160000,18.67,19.105,18.67,19.005,5134,0
DMRC.US,60,20200917,170000,19.1,19.168,19.03,19.115,5525,0
DMRC.US,60,20200917,180000,19.14,19.18,18.91,18.91,3184,0
DMRC.US,60,20200917,190000,18.84,18.9373,18.66,18.855,8704,0
DMRC.US,60,20200917,200000,18.86,18.93,18.74,18.93,2025,0
DMRC.US,60,20200917,210000,18.94,18.95,18.79,18.84,1500,0
DMRC.US,60,20200917,220000,18.79,19.05,18.69,18.96,21088,0
DMRC.US,60,20200918,160000,18.85,19.06,18.85,18.95,23653,0
DMRC.US,60,20200918,170000,18.9062,18.96,18.89,18.89,2053,0
DMRC.US,60,20200918,180000,18.88,18.9699,18.82,18.92,2950,0
DMRC.US,60,20200918,190000,18.94,19,18.41,18.43,15525,0
DMRC.US,60,20200918,200000,18.48,18.5028,18.2,18.37,13160,0
DMRC.US,60,20200918,210000,18.2625,18.48,18.2625,18.36,2021,0
DMRC.US,60,20200918,220000,18.4,18.56,18.34,18.5,67172,0
DMRC.US,60,20200921,160000,17.89,18.04,17.63,17.7955,9523,0
DMRC.US,60,20200921,170000,17.8382,17.8382,17.475,17.69,4384,0
DMRC.US,60,20200921,180000,17.655,17.73,17.42,17.59,7200,0
DMRC.US,60,20200921,190000,17.63,17.64,17.22,17.275,10727,0
