<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEIQ.US,60,20210326,150000,17.86,27.5,17.86,27.5,258658,0
EEIQ.US,60,20210326,160000,32,35.2,18,18.18,857743,0
EEIQ.US,60,20210326,170000,17.39,19,13.5,16.8,3102096,0
EEIQ.US,60,20210326,180000,16.8,25.04,15.9,23.74,3480828,0
EEIQ.US,60,20210326,190000,23.7515,24.55,19.86,23.1401,1770823,0
EEIQ.US,60,20210326,200000,23.262,23.2774,18,21.4135,864898,0
EEIQ.US,60,20210326,210000,21.3642,21.43,15.5,15.5,800262,0
EEIQ.US,60,20210329,160000,22.4,28,20.6701,23.251,886147,0
EEIQ.US,60,20210329,170000,23.1613,23.29,19.23,20.63,851439,0
EEIQ.US,60,20210329,180000,20.69,24.5,20.08,21.4899,938454,0
EEIQ.US,60,20210329,190000,21.27,22,20.5,20.5873,207942,0
EEIQ.US,60,20210329,200000,20.75,20.81,17.3,18.12,292515,0
EEIQ.US,60,20210329,210000,18.027,21,18,19.245,400714,0
EEIQ.US,60,20210329,220000,19.24,19.4999,17.57,18.54,222731,0
EEIQ.US,60,20210330,160000,15.5,16.1,13.6,13.9389,400385,0
EEIQ.US,60,20210330,170000,13.945,14.2198,13.01,13.0904,298368,0
EEIQ.US,60,20210330,180000,13.1,13.41,12.1301,12.26,263700,0
EEIQ.US,60,20210330,190000,12.2657,13.18,12.01,12.6833,226534,0
EEIQ.US,60,20210330,200000,12.7,13,12.1101,12.2576,77894,0
EEIQ.US,60,20210330,210000,12.16,12.7959,12.05,12.1706,85581,0
EEIQ.US,60,20210330,220000,12.2354,12.9,11.82,11.95,138753,0
EEIQ.US,60,20210331,160000,11.17,14.795,11.13,13.69,586178,0
EEIQ.US,60,20210331,170000,13.58,15.5,13,14.2904,2784797,0
EEIQ.US,60,20210331,180000,14.365,14.43,12.08,12.9635,700052,0
EEIQ.US,60,20210331,190000,12.8805,13.97,12.7368,13.7666,441585,0
EEIQ.US,60,20210331,200000,13.9599,13.99,12.74,13.05,464529,0
EEIQ.US,60,20210331,210000,12.93,13.19,11.9,12.0999,256786,0
EEIQ.US,60,20210331,220000,12.02,12.5,11.91,12.5,125395,0
EEIQ.US,60,20210401,160000,12.36,12.532,11.53,11.85,128619,0
EEIQ.US,60,20210401,170000,11.85,13.28,11.85,12.57,1302236,0
EEIQ.US,60,20210401,180000,12.56,12.99,12.2,12.4001,532098,0
EEIQ.US,60,20210401,190000,12.48,12.49,11.85,11.99,80687,0
EEIQ.US,60,20210401,200000,11.98,12.29,11.8,12.16,85769,0
EEIQ.US,60,20210401,210000,12.15,12.2,11.84,12.1006,44868,0
EEIQ.US,60,20210401,220000,12.09,12.13,11.6,11.91,64447,0
EEIQ.US,60,20210405,160000,11.83,11.8726,10.1202,10.1861,118458,0
EEIQ.US,60,20210405,170000,10.247,10.7999,10.12,10.35,127238,0
EEIQ.US,60,20210405,180000,10.35,10.43,9.56,9.7262,114209,0
EEIQ.US,60,20210405,190000,9.77,9.8,9.04,9.48,119930,0
EEIQ.US,60,20210405,200000,9.4796,9.48,9.05,9.12,58551,0
EEIQ.US,60,20210405,210000,9.13,9.3172,8.77,8.96,56087,0
EEIQ.US,60,20210405,220000,8.96,9.1,8.541,8.8,92419,0
EEIQ.US,60,20210406,160000,9.7222,10.33,8.7901,9.0789,421442,0
EEIQ.US,60,20210406,170000,9,9.13,8.6,8.77,220443,0
EEIQ.US,60,20210406,180000,8.77,9.21,8.7,8.95,222581,0
EEIQ.US,60,20210406,190000,8.94,8.9499,8.72,8.83,75335,0
EEIQ.US,60,20210406,200000,8.83,8.89,8.32,8.44,79368,0
EEIQ.US,60,20210406,210000,8.4533,8.77,8.35,8.55,68425,0
EEIQ.US,60,20210406,220000,8.5699,8.7,8.4,8.51,85412,0
EEIQ.US,60,20210407,160000,7.97,7.99,7.56,7.63,168051,0
EEIQ.US,60,20210407,170000,7.642,7.74,7,7.2005,277333,0
EEIQ.US,60,20210407,180000,7.2,7.25,6.81,7.0903,142658,0
EEIQ.US,60,20210407,190000,7.135,7.46,7.06,7.4,82148,0
EEIQ.US,60,20210407,200000,7.43,7.45,7.23,7.3096,46220,0
EEIQ.US,60,20210407,210000,7.38,7.65,7.32,7.51,73636,0
EEIQ.US,60,20210407,220000,7.5199,7.65,7.26,7.58,125596,0
EEIQ.US,60,20210408,160000,7.17,7.2551,6.92,7.065,103262,0
EEIQ.US,60,20210408,170000,7.075,7.86,7.0349,7.5,189862,0
EEIQ.US,60,20210408,180000,7.55,8.37,7.41,8.1101,546222,0
EEIQ.US,60,20210408,190000,8.15,10.28,7.9,9.45,2101280,0
EEIQ.US,60,20210408,200000,9.4211,9.5599,7.96,8.22,1886561,0
EEIQ.US,60,20210408,210000,8.1742,8.2843,7.7,7.9992,294153,0
EEIQ.US,60,20210408,220000,7.9993,8.1,7.83,7.99,156958,0
EEIQ.US,60,20210409,160000,7.99,8.16,7.51,7.85,86780,0
EEIQ.US,60,20210409,170000,7.8572,7.9253,7.6101,7.7101,138808,0
EEIQ.US,60,20210409,180000,7.72,7.7894,7.65,7.7,33177,0
EEIQ.US,60,20210409,190000,7.7,7.78,7.62,7.6201,37932,0
EEIQ.US,60,20210409,200000,7.6287,7.72,7.51,7.6032,40548,0
EEIQ.US,60,20210409,210000,7.5983,7.71,7.5,7.5635,28494,0
EEIQ.US,60,20210409,220000,7.6965,7.71,7.41,7.68,99589,0
EEIQ.US,60,20210412,160000,7.35,7.5,7.1,7.152,81207,0
EEIQ.US,60,20210412,170000,7.13,7.19,6.85,7.07,96852,0
EEIQ.US,60,20210412,180000,7.0161,7.15,6.91,7,37575,0
EEIQ.US,60,20210412,190000,7.0138,7.08,6.83,6.9501,74296,0
EEIQ.US,60,20210412,200000,6.92,7.02,6.63,6.63,56903,0
EEIQ.US,60,20210412,210000,6.63,6.6599,6.45,6.55,72098,0
EEIQ.US,60,20210412,220000,6.55,6.6,6.45,6.53,81574,0
EEIQ.US,60,20210413,160000,6.31,6.5379,6.01,6.2,59822,0
EEIQ.US,60,20210413,170000,6.1901,6.2,5.88,6.0801,109032,0
EEIQ.US,60,20210413,180000,6.0999,6.1,5.99,6.1,45011,0
EEIQ.US,60,20210413,190000,6.08,6.15,6.02,6.1005,17262,0
EEIQ.US,60,20210413,200000,6.13,6.13,6,6.06,44727,0
EEIQ.US,60,20210413,210000,6.05,6.06,6,6.0301,18235,0
EEIQ.US,60,20210413,220000,6.02,6.12,5.9196,6.07,60155,0
EEIQ.US,60,20210414,160000,5.86,6.1,5.58,5.78,280574,0
EEIQ.US,60,20210414,170000,5.75,6.19,5.7132,5.96,135793,0
EEIQ.US,60,20210414,180000,5.9627,5.9999,5.85,5.8841,101910,0
EEIQ.US,60,20210414,190000,5.91,5.9561,5.8,5.83,32520,0
EEIQ.US,60,20210414,200000,5.83,5.95,5.65,5.75,47697,0
EEIQ.US,60,20210414,210000,5.75,5.79,5.6,5.6499,68534,0
EEIQ.US,60,20210414,220000,5.61,5.8,5.58,5.78,54380,0
EEIQ.US,60,20210415,160000,5.55,6.1,5.55,6.0899,194652,0
EEIQ.US,60,20210415,170000,6,7.62,6,6.38,3164869,0
EEIQ.US,60,20210415,180000,6.4095,6.44,6.11,6.3,392097,0
EEIQ.US,60,20210415,190000,6.3,6.48,6.1,6.31,194000,0
EEIQ.US,60,20210415,200000,6.32,6.47,6.22,6.43,162343,0
EEIQ.US,60,20210415,210000,6.4195,6.65,6.12,6.44,271022,0
EEIQ.US,60,20210415,220000,6.4399,6.6323,6.35,6.6,188577,0
EEIQ.US,60,20210416,160000,6.0451,6.25,5.85,6.0257,108487,0
EEIQ.US,60,20210416,170000,6.019,6.81,6.0101,6.15,240102,0
EEIQ.US,60,20210416,180000,6.15,6.165,6.01,6.0712,57707,0
EEIQ.US,60,20210416,190000,6.08,6.15,6,6.0213,68972,0
EEIQ.US,60,20210416,200000,6.0251,6.27,6.0029,6.05,83319,0
EEIQ.US,60,20210416,210000,6.22,6.28,6,6.1,99060,0
EEIQ.US,60,20210416,220000,6.11,6.21,6.06,6.18,56477,0
EEIQ.US,60,20210419,160000,6.03,6.38,5.95,6.158,151663,0
EEIQ.US,60,20210419,170000,6.06,6.1599,5.82,5.95,160130,0
EEIQ.US,60,20210419,180000,5.95,5.95,5.7,5.91,31215,0
EEIQ.US,60,20210419,190000,5.9,5.96,5.81,5.86,48544,0
EEIQ.US,60,20210419,200000,5.9079,6.13,5.85,6.05,76813,0
EEIQ.US,60,20210419,210000,6.01,6.05,5.9,5.97,99244,0
EEIQ.US,60,20210419,220000,5.97,5.98,5.77,5.89,62213,0
EEIQ.US,60,20210420,160000,5.7,5.83,5.6001,5.61,28491,0
EEIQ.US,60,20210420,170000,5.635,5.7399,5.54,5.5483,34551,0
EEIQ.US,60,20210420,180000,5.56,5.59,5.37,5.53,92115,0
EEIQ.US,60,20210420,190000,5.4899,5.59,5.39,5.4501,84563,0
EEIQ.US,60,20210420,200000,5.4342,5.59,5.3101,5.329,51864,0
EEIQ.US,60,20210420,210000,5.33,5.5,5.3,5.33,97905,0
EEIQ.US,60,20210420,220000,5.39,5.39,5.2,5.28,75729,0
