<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGLX.US,60,20210422,160000,8.13,8.3,7.72,7.8234,59726,0
EGLX.US,60,20210422,170000,7.83,8.1399,7.83,7.96,101661,0
EGLX.US,60,20210422,180000,8,8.24,7.9,8.19,123343,0
EGLX.US,60,20210422,190000,8.19,8.48,8.14,8.32,210848,0
EGLX.US,60,20210422,200000,8.32,8.4,8.11,8.3,208141,0
EGLX.US,60,20210422,210000,8.2559,8.51,8.19,8.445,232768,0
EGLX.US,60,20210422,220000,8.405,8.57,8.22,8.51,201139,0
EGLX.US,60,20210423,160000,8.32,8.72,8.27,8.5,100803,0
EGLX.US,60,20210423,170000,8.49,8.6445,8.2,8.29,139230,0
EGLX.US,60,20210423,180000,8.31,8.46,8.25,8.32,58189,0
EGLX.US,60,20210423,190000,8.32,8.37,8.24,8.24,37278,0
EGLX.US,60,20210423,200000,8.24,8.32,8.11,8.25,61293,0
EGLX.US,60,20210423,210000,8.2499,8.44,8.2,8.3264,34605,0
EGLX.US,60,20210423,220000,8.34,8.35,8.2696,8.35,107949,0
EGLX.US,60,20210426,160000,8.51,8.5642,8.2,8.2312,116567,0
EGLX.US,60,20210426,170000,8.25,8.32,8.1401,8.2299,205450,0
EGLX.US,60,20210426,180000,8.215,8.36,8.2,8.2601,239136,0
EGLX.US,60,20210426,190000,8.27,8.3764,8.26,8.3273,84304,0
EGLX.US,60,20210426,200000,8.3114,8.37,8.3049,8.3148,113242,0
EGLX.US,60,20210426,210000,8.33,8.35,8.2,8.235,240636,0
EGLX.US,60,20210426,220000,8.23,8.3,8.21,8.3,118578,0
EGLX.US,60,20210427,160000,8.35,8.42,8.07,8.1897,119388,0
EGLX.US,60,20210427,170000,8.1671,8.2,8.06,8.08,109272,0
EGLX.US,60,20210427,180000,8.15,8.19,8.07,8.1505,154004,0
EGLX.US,60,20210427,190000,8.2,8.3499,8.16,8.261,165460,0
EGLX.US,60,20210427,200000,8.28,8.363,8.24,8.329,52680,0
EGLX.US,60,20210427,210000,8.316,8.34,8.27,8.2982,109006,0
EGLX.US,60,20210427,220000,8.2901,8.35,8.29,8.3,128560,0
EGLX.US,60,20210428,160000,8.36,8.36,8.2,8.21,45216,0
EGLX.US,60,20210428,170000,8.209,8.3,8.15,8.3,87906,0
EGLX.US,60,20210428,180000,8.31,8.3551,8.25,8.2938,37112,0
EGLX.US,60,20210428,190000,8.3,8.32,8.21,8.2301,28794,0
EGLX.US,60,20210428,200000,8.24,8.35,8.23,8.31,29240,0
EGLX.US,60,20210428,210000,8.32,8.378,8.2701,8.37,77318,0
EGLX.US,60,20210428,220000,8.37,8.37,8.27,8.34,40944,0
EGLX.US,60,20210429,160000,8.5,8.525,8.2719,8.2728,105742,0
EGLX.US,60,20210429,170000,8.2969,8.32,8.1926,8.2646,90996,0
EGLX.US,60,20210429,180000,8.28,8.38,8.28,8.3401,46414,0
EGLX.US,60,20210429,190000,8.35,8.38,8.25,8.35,76390,0
EGLX.US,60,20210429,200000,8.3301,8.38,8.32,8.3596,43108,0
EGLX.US,60,20210429,210000,8.35,8.44,8.34,8.405,56366,0
EGLX.US,60,20210429,220000,8.405,8.41,8.29,8.33,53554,0
EGLX.US,60,20210430,160000,8.25,8.33,8.2042,8.2953,24710,0
EGLX.US,60,20210430,170000,8.318,8.55,8.3,8.315,197220,0
EGLX.US,60,20210430,180000,8.32,8.3644,8.22,8.2582,71198,0
EGLX.US,60,20210430,190000,8.2586,8.37,8.24,8.3516,110916,0
EGLX.US,60,20210430,200000,8.362,8.3933,8.35,8.35,40038,0
EGLX.US,60,20210430,210000,8.38,8.47,8.375,8.3999,91418,0
EGLX.US,60,20210430,220000,8.4099,8.57,8.405,8.54,201296,0
EGLX.US,60,20210503,160000,8.74,8.74,8.38,8.3967,70342,0
EGLX.US,60,20210503,170000,8.3945,8.53,8.33,8.439,88701,0
EGLX.US,60,20210503,180000,8.45,8.51,8.38,8.4,56100,0
EGLX.US,60,20210503,190000,8.4,8.52,8.38,8.52,42758,0
EGLX.US,60,20210503,200000,8.52,8.6408,8.5033,8.6399,68774,0
EGLX.US,60,20210503,210000,8.63,8.685,8.6,8.65,26420,0
EGLX.US,60,20210503,220000,8.6156,8.6156,8.54,8.56,54973,0
EGLX.US,60,20210504,160000,8.1668,8.26,8.02,8.17,130182,0
EGLX.US,60,20210504,170000,8.15,8.3399,8.0902,8.19,89414,0
EGLX.US,60,20210504,180000,8.19,8.2,7.6501,7.705,177453,0
EGLX.US,60,20210504,190000,7.74,7.9299,7.7,7.9,103220,0
EGLX.US,60,20210504,200000,7.9,8.05,7.87,7.87,34754,0
EGLX.US,60,20210504,210000,7.86,7.99,7.82,7.92,46919,0
EGLX.US,60,20210504,220000,7.93,7.9464,7.78,7.85,58298,0
EGLX.US,60,20210505,160000,7.81,8.09,7.81,8.0266,59696,0
EGLX.US,60,20210505,170000,8,8.0096,7.82,7.9,52091,0
EGLX.US,60,20210505,180000,7.895,8.08,7.8,7.91,97821,0
EGLX.US,60,20210505,190000,7.9347,7.98,7.9,7.98,54608,0
EGLX.US,60,20210505,200000,8,8.15,7.95,8.05,78966,0
EGLX.US,60,20210505,210000,8.089,8.095,8,8.01,40006,0
EGLX.US,60,20210505,220000,8,8.05,7.895,8.05,63238,0
EGLX.US,60,20210506,160000,8.11,8.15,7.885,7.885,31142,0
EGLX.US,60,20210506,170000,7.92,7.98,7.72,7.9251,64159,0
EGLX.US,60,20210506,180000,7.89,8.0501,7.8,8.05,41897,0
EGLX.US,60,20210506,190000,8.07,8.07,7.99,8.03,13718,0
EGLX.US,60,20210506,200000,8.04,8.04,7.96,7.9746,38291,0
EGLX.US,60,20210506,210000,7.96,7.96,7.88,7.9117,20897,0
EGLX.US,60,20210506,220000,7.9,8.01,7.898,8.01,14694,0
EGLX.US,60,20210507,160000,8.05,8.05,7.78,7.8964,58661,0
EGLX.US,60,20210507,170000,7.891,8,7.87,7.94,46881,0
EGLX.US,60,20210507,180000,7.94,7.97,7.9,7.95,20625,0
EGLX.US,60,20210507,190000,7.94,8.07,7.93,8.06,49185,0
EGLX.US,60,20210507,200000,8.07,8.13,8.06,8.13,18475,0
EGLX.US,60,20210507,210000,8.13,8.25,8.11,8.17,77935,0
EGLX.US,60,20210507,220000,8.17,8.2,8.12,8.2,43102,0
EGLX.US,60,20210510,160000,8.41,8.42,8,8.035,89637,0
EGLX.US,60,20210510,170000,8.0201,8.144,7.83,7.966,196908,0
EGLX.US,60,20210510,180000,7.97,8.049,7.87,8.049,39398,0
EGLX.US,60,20210510,190000,8.04,8.1,8,8.0235,39109,0
EGLX.US,60,20210510,200000,8.02,8.0699,8,8.04,19469,0
EGLX.US,60,20210510,210000,8.04,8.05,7.72,7.765,70507,0
EGLX.US,60,20210510,220000,7.76,7.85,7.62,7.68,116304,0
EGLX.US,60,20210511,160000,7.4,7.4,6.1,7,327718,0
EGLX.US,60,20210511,170000,7.04,7.21,6.65,6.9399,392697,0
EGLX.US,60,20210511,180000,6.9346,7.2,6.9346,7.0598,131783,0
EGLX.US,60,20210511,190000,7.0599,7.204,6.99,7.195,142532,0
EGLX.US,60,20210511,200000,7.195,7.5499,7.195,7.4799,156668,0
EGLX.US,60,20210511,210000,7.48,7.4817,7.3,7.3,71252,0
EGLX.US,60,20210511,220000,7.3,7.44,7.295,7.36,138035,0
EGLX.US,60,20210512,160000,7.51,7.57,7.095,7.195,101775,0
EGLX.US,60,20210512,170000,7.2133,7.29,7.0301,7.05,84639,0
EGLX.US,60,20210512,180000,7.0499,7.189,7.0163,7.12,59476,0
EGLX.US,60,20210512,190000,7.1299,7.15,7.08,7.11,28607,0
EGLX.US,60,20210512,200000,7.15,7.1591,7.08,7.11,24184,0
EGLX.US,60,20210512,210000,7.1,7.16,7.07,7.07,59515,0
EGLX.US,60,20210512,220000,7.06,7.4884,7,7.42,186357,0
EGLX.US,60,20210513,160000,7.25,7.25,6.67,7.05,305327,0
EGLX.US,60,20210513,170000,7.03,7.22,6.82,6.87,224059,0
EGLX.US,60,20210513,180000,6.794,6.8322,6.6,6.69,215253,0
EGLX.US,60,20210513,190000,6.6801,6.75,6.5,6.6,236394,0
EGLX.US,60,20210513,200000,6.66,6.6963,6.25,6.3,280788,0
EGLX.US,60,20210513,210000,6.325,6.45,6.25,6.33,303813,0
EGLX.US,60,20210513,220000,6.33,6.5,6.25,6.35,287267,0
EGLX.US,60,20210514,160000,6.35,6.7694,6.25,6.57,164721,0
EGLX.US,60,20210514,170000,6.575,6.5845,6.3644,6.5001,74738,0
EGLX.US,60,20210514,180000,6.54,6.55,6.4101,6.425,54527,0
EGLX.US,60,20210514,190000,6.45,6.5,6.3501,6.3507,34631,0
EGLX.US,60,20210514,200000,6.36,6.42,6.3501,6.4,41653,0
EGLX.US,60,20210514,210000,6.4,6.45,6.36,6.378,54769,0
EGLX.US,60,20210514,220000,6.39,6.39,6.3042,6.39,104073,0
EGLX.US,60,20210517,160000,6.39,6.39,5.87,5.93,176528,0
EGLX.US,60,20210517,170000,5.92,5.9499,5.735,5.92,230600,0
EGLX.US,60,20210517,180000,5.9,5.96,5.77,5.92,81368,0
EGLX.US,60,20210517,190000,5.94,6,5.9165,5.92,18285,0
EGLX.US,60,20210517,200000,5.94,6.02,5.94,5.98,18194,0
EGLX.US,60,20210517,210000,5.9799,5.99,5.91,5.96,13379,0
EGLX.US,60,20210517,220000,5.94,5.9655,5.89,5.93,40586,0
EGLX.US,60,20210518,160000,5.86,6.02,5.75,5.82,63364,0
EGLX.US,60,20210518,170000,5.78,6,5.76,5.94,34982,0
EGLX.US,60,20210518,180000,5.94,6.22,5.9365,6.15,54131,0
EGLX.US,60,20210518,190000,6.14,6.14,5.9901,6.06,33886,0
EGLX.US,60,20210518,200000,6.07,6.1276,5.9525,5.98,44268,0
EGLX.US,60,20210518,210000,5.98,6.01,5.95,5.97,17323,0
EGLX.US,60,20210518,220000,5.95,5.9676,5.88,5.89,29564,0
EGLX.US,60,20210519,160000,5.79,6.14,5.75,6.03,95399,0
EGLX.US,60,20210519,170000,6,6.2,5.93,6.1312,111086,0
EGLX.US,60,20210519,180000,6.13,6.26,6.04,6.26,68754,0
EGLX.US,60,20210519,190000,6.28,6.29,6.15,6.289,66322,0
EGLX.US,60,20210519,200000,6.26,6.3,6.14,6.17,32430,0
EGLX.US,60,20210519,210000,6.19,6.2,6.12,6.13,15091,0
EGLX.US,60,20210519,220000,6.15,6.35,6.13,6.3,49960,0
EGLX.US,60,20210520,160000,6.3,6.53,6.1701,6.53,75730,0
EGLX.US,60,20210520,170000,6.54,6.77,6.52,6.6701,110742,0
EGLX.US,60,20210520,180000,6.66,6.697,6.6,6.63,27413,0
EGLX.US,60,20210520,190000,6.6566,6.66,6.54,6.55,21706,0
EGLX.US,60,20210520,200000,6.62,6.71,6.6,6.7047,26952,0
EGLX.US,60,20210520,210000,6.709,6.78,6.68,6.71,35082,0
EGLX.US,60,20210520,220000,6.71,6.79,6.67,6.69,71903,0
EGLX.US,60,20210521,160000,6.7,6.8829,6.61,6.83,22202,0
EGLX.US,60,20210521,170000,6.75,6.95,6.75,6.7999,92026,0
EGLX.US,60,20210521,180000,6.8,6.9,6.7501,6.85,36960,0
EGLX.US,60,20210521,190000,6.84,6.89,6.79,6.85,32406,0
EGLX.US,60,20210521,200000,6.85,6.8633,6.809,6.845,6570,0
EGLX.US,60,20210521,210000,6.8681,6.8681,6.71,6.74,15487,0
EGLX.US,60,20210521,220000,6.73,6.77,6.63,6.69,28458,0
EGLX.US,60,20210524,160000,6.7,6.877,6.65,6.779,28801,0
EGLX.US,60,20210524,170000,6.7534,6.7751,6.6,6.635,25450,0
EGLX.US,60,20210524,180000,6.66,6.75,6.5077,6.535,41829,0
EGLX.US,60,20210524,190000,6.5751,6.635,6.5751,6.5827,4284,0
EGLX.US,60,20210524,200000,6.58,6.61,6.5,6.51,12011,0
EGLX.US,60,20210524,210000,6.55,6.59,6.5,6.57,43621,0
EGLX.US,60,20210524,220000,6.5683,6.5918,6.48,6.54,57357,0
EGLX.US,60,20210525,160000,6.54,6.66,6.475,6.61,23883,0
EGLX.US,60,20210525,170000,6.6101,6.6101,6.53,6.5413,14003,0
