<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EKSO.US,60,20200914,160000,4.82,4.88,4.79,4.85,1395,0
EKSO.US,60,20200914,170000,4.85,4.95,4.85,4.9,5977,0
EKSO.US,60,20200914,180000,4.925,5.14,4.9005,5.135,49508,0
EKSO.US,60,20200914,190000,5.13,5.17,5.0801,5.17,18177,0
EKSO.US,60,20200914,200000,5.19,5.4,5.18,5.36,23904,0
EKSO.US,60,20200914,210000,5.3739,5.46,5.29,5.44,18927,0
EKSO.US,60,20200914,220000,5.4308,5.53,5.36,5.51,39348,0
EKSO.US,60,20200915,160000,5.5,5.51,5.37,5.4694,8342,0
EKSO.US,60,20200915,170000,5.46,5.58,5.39,5.5,27934,0
EKSO.US,60,20200915,180000,5.49,5.5,5.43,5.43,6367,0
EKSO.US,60,20200915,190000,5.41,5.6,5.41,5.58,13332,0
EKSO.US,60,20200915,200000,5.58,5.58,5.46,5.46,2075,0
EKSO.US,60,20200915,210000,5.42,5.42,5.32,5.35,10056,0
EKSO.US,60,20200915,220000,5.3651,5.3651,5.29,5.31,6828,0
EKSO.US,60,20200916,160000,5.34,5.48,5.34,5.4407,17848,0
EKSO.US,60,20200916,170000,5.47,5.49,5.4511,5.4622,5901,0
EKSO.US,60,20200916,180000,5.4877,5.5,5.4707,5.4878,2031,0
EKSO.US,60,20200916,190000,5.479,5.64,5.479,5.5904,9000,0
EKSO.US,60,20200916,200000,5.612,5.64,5.57,5.58,9594,0
EKSO.US,60,20200916,210000,5.635,5.6495,5.59,5.61,3665,0
EKSO.US,60,20200916,220000,5.62,5.62,5.44,5.44,15908,0
EKSO.US,60,20200917,160000,5.37,5.45,5.3301,5.4175,1813,0
EKSO.US,60,20200917,170000,5.47,5.54,5.44,5.4986,5424,0
EKSO.US,60,20200917,180000,5.5403,5.58,5.5101,5.5111,5230,0
EKSO.US,60,20200917,190000,5.5,5.5,5.4301,5.46,25763,0
EKSO.US,60,20200917,200000,5.43,5.47,5.39,5.425,3756,0
EKSO.US,60,20200917,210000,5.41,5.4699,5.38,5.38,3434,0
EKSO.US,60,20200917,220000,5.4,5.4,5.3,5.3,7233,0
EKSO.US,60,20200918,160000,5.34,5.41,5.34,5.41,1284,0
EKSO.US,60,20200918,170000,5.4,5.4062,5.37,5.39,1993,0
EKSO.US,60,20200918,180000,5.37,5.39,5.3579,5.39,2947,0
EKSO.US,60,20200918,190000,5.43,5.43,5.34,5.34,12693,0
EKSO.US,60,20200918,200000,5.3078,5.3078,5.2587,5.2807,2220,0
EKSO.US,60,20200918,210000,5.33,5.39,5.3,5.31,7343,0
EKSO.US,60,20200918,220000,5.33,5.33,5.06,5.07,40176,0
EKSO.US,60,20200921,160000,5.06,5.19,4.9772,4.98,8772,0
EKSO.US,60,20200921,170000,4.97,4.97,4.87,4.882,6029,0
EKSO.US,60,20200921,180000,4.91,4.92,4.8601,4.87,3204,0
EKSO.US,60,20200921,190000,4.87,4.89,4.75,4.76,8827,0
EKSO.US,60,20200921,200000,4.75,4.8472,4.735,4.83,6768,0
EKSO.US,60,20200921,210000,4.8134,4.8384,4.78,4.8384,1500,0
EKSO.US,60,20200921,220000,4.81,4.82,4.69,4.69,16638,0
EKSO.US,60,20200922,160000,4.72,4.82,4.62,4.67,6834,0
EKSO.US,60,20200922,170000,4.6899,4.7398,4.6814,4.685,5147,0
EKSO.US,60,20200922,180000,4.63,4.64,4.62,4.64,3347,0
EKSO.US,60,20200922,190000,4.6399,4.7135,4.6,4.61,22105,0
EKSO.US,60,20200922,200000,4.605,4.61,4.59,4.61,1530,0
EKSO.US,60,20200922,210000,4.66,4.66,4.57,4.57,6824,0
EKSO.US,60,20200922,220000,4.57,4.58,4.54,4.54,13505,0
EKSO.US,60,20200923,160000,4.55,4.7299,4.55,4.67,19373,0
EKSO.US,60,20200923,170000,4.65,4.6616,4.5601,4.61,3958,0
EKSO.US,60,20200923,180000,4.6155,4.65,4.6,4.65,3215,0
EKSO.US,60,20200923,190000,4.651,4.71,4.6478,4.695,2552,0
EKSO.US,60,20200923,200000,4.695,4.695,4.65,4.65,5100,0
EKSO.US,60,20200923,210000,4.615,4.615,4.45,4.49,7302,0
EKSO.US,60,20200923,220000,4.49,4.49,4.4,4.41,7742,0
EKSO.US,60,20200924,160000,4.33,4.42,4.17,4.315,13894,0
