<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENFAU.US,60,20210113,160000,10.7,10.7,10.45,10.5775,92502,0
ENFAU.US,60,20210113,170000,10.593,10.593,10.5,10.515,270250,0
ENFAU.US,60,20210113,180000,10.515,10.52,10.47,10.495,77830,0
ENFAU.US,60,20210113,190000,10.51,10.51,10.49,10.5,6290,0
ENFAU.US,60,20210113,200000,10.47,10.5,10.47,10.49,25390,0
ENFAU.US,60,20210113,210000,10.49,10.5,10.44,10.45,8204,0
ENFAU.US,60,20210113,220000,10.48,10.48,10.44,10.46,61546,0
ENFAU.US,60,20210114,160000,10.46,10.5,10.46,10.48,7738,0
ENFAU.US,60,20210114,170000,10.48,10.5,10.45,10.45,32228,0
ENFAU.US,60,20210114,180000,10.48,10.48,10.45,10.45,109160,0
ENFAU.US,60,20210114,190000,10.45,10.48,10.45,10.45,61195,0
ENFAU.US,60,20210114,200000,10.45,10.47,10.45,10.45,16358,0
ENFAU.US,60,20210114,210000,10.45,10.48,10.4,10.45,208720,0
ENFAU.US,60,20210114,220000,10.42,10.45,10.42,10.45,43710,0
ENFAU.US,60,20210115,160000,10.44,10.44,10.4,10.43,6565,0
ENFAU.US,60,20210115,170000,10.425,10.45,10.4,10.4,215375,0
ENFAU.US,60,20210115,180000,10.44,10.44,10.44,10.44,2443,0
ENFAU.US,60,20210115,190000,10.44,10.44,10.4,10.4,19226,0
ENFAU.US,60,20210115,200000,10.4,10.4,10.4,10.4,100,0
ENFAU.US,60,20210115,210000,10.4,10.41,10.4,10.41,600,0
ENFAU.US,60,20210115,220000,10.41,10.59,10.41,10.59,93084,0
ENFAU.US,60,20210119,160000,10.57,10.57,10.46,10.47,4158,0
ENFAU.US,60,20210119,170000,10.47,10.4701,10.46,10.4701,84539,0
ENFAU.US,60,20210119,180000,10.47,10.5,10.47,10.47,11400,0
ENFAU.US,60,20210119,190000,10.47,10.47,10.47,10.47,11300,0
ENFAU.US,60,20210119,200000,10.47,10.5,10.47,10.5,7272,0
ENFAU.US,60,20210119,210000,10.48,10.5345,10.48,10.51,1700,0
ENFAU.US,60,20210119,220000,10.51,10.57,10.48,10.53,179430,0
ENFAU.US,60,20210120,160000,10.52,10.53,10.52,10.53,300,0
ENFAU.US,60,20210120,170000,10.51,10.51,10.51,10.51,2500,0
ENFAU.US,60,20210120,180000,10.48,10.48,10.48,10.48,24966,0
ENFAU.US,60,20210120,190000,10.48,10.48,10.45,10.45,29587,0
ENFAU.US,60,20210120,200000,10.45,10.46,10.45,10.45,14072,0
ENFAU.US,60,20210120,210000,10.45,10.45,10.45,10.45,7900,0
ENFAU.US,60,20210120,220000,10.45,10.45,10.43,10.43,99481,0
ENFAU.US,60,20210121,160000,10.53,10.53,10.45,10.45,2800,0
