<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENTA.US,60,20200914,160000,46.84,47.5,46.645,47.195,4350,0
ENTA.US,60,20200914,170000,47.22,47.305,46.41,47.3,16027,0
ENTA.US,60,20200914,180000,47.25,47.44,47.08,47.36,7075,0
ENTA.US,60,20200914,190000,47.32,47.88,47.32,47.87,8340,0
ENTA.US,60,20200914,200000,47.87,48.05,47.58,47.99,12180,0
ENTA.US,60,20200914,210000,47.92,48.17,47.21,47.39,12999,0
ENTA.US,60,20200914,220000,47.25,47.51,47.06,47.47,50603,0
ENTA.US,60,20200915,160000,47.8,48.315,47.02,47.54,4042,0
ENTA.US,60,20200915,170000,47.57,48.34,47.57,47.84,15970,0
ENTA.US,60,20200915,180000,47.81,47.89,46.89,46.89,7568,0
ENTA.US,60,20200915,190000,46.83,47.12,46.75,47.05,4643,0
ENTA.US,60,20200915,200000,47.04,47.17,47.03,47.1,4504,0
ENTA.US,60,20200915,210000,47.13,47.2,46.85,46.85,5000,0
ENTA.US,60,20200915,220000,46.85,46.9,46.54,46.69,41016,0
ENTA.US,60,20200916,160000,46.85,47.15,46.85,47.07,2907,0
ENTA.US,60,20200916,170000,47.26,47.5,46.91,47.01,13865,0
ENTA.US,60,20200916,180000,46.95,46.95,46.54,46.63,7232,0
ENTA.US,60,20200916,190000,46.65,47.07,46.58,47.07,5759,0
ENTA.US,60,20200916,200000,47.38,47.42,47.16,47.42,4766,0
ENTA.US,60,20200916,210000,47.47,47.58,47.18,47.18,5000,0
ENTA.US,60,20200916,220000,47.16,47.52,47.03,47.37,42597,0
ENTA.US,60,20200917,160000,46.99,47.24,45.94,47.17,2306,0
ENTA.US,60,20200917,170000,47.05,47.71,47.05,47.13,16789,0
ENTA.US,60,20200917,180000,47.02,47.19,46.48,46.48,4700,0
ENTA.US,60,20200917,190000,46.52,46.52,46,46.17,6601,0
ENTA.US,60,20200917,200000,46.22,46.62,46.045,46.55,10629,0
ENTA.US,60,20200917,210000,46.64,46.655,46.4,46.51,6600,0
ENTA.US,60,20200917,220000,46.545,46.56,46.17,46.33,38260,0
ENTA.US,60,20200918,160000,46.28,46.32,46.04,46.32,700,0
ENTA.US,60,20200918,170000,46.15,46.36,45.97,46.15,8000,0
ENTA.US,60,20200918,180000,46.09,46.2,45.93,46.07,5600,0
ENTA.US,60,20200918,190000,46.03,46.27,45.94,45.95,8832,0
ENTA.US,60,20200918,200000,45.88,45.92,45.34,45.67,13240,0
ENTA.US,60,20200918,210000,45.7,46.09,45.64,46.04,7100,0
ENTA.US,60,20200918,220000,46.03,46.17,45.85,46.16,325076,0
ENTA.US,60,20200921,160000,45.44,45.44,44.65,44.84,2798,0
ENTA.US,60,20200921,170000,44.65,44.87,44.23,44.87,5773,0
ENTA.US,60,20200921,180000,44.76,44.91,44.4,44.83,13424,0
ENTA.US,60,20200921,190000,44.84,44.92,44.735,44.9,25497,0
ENTA.US,60,20200921,200000,44.86,45.245,44.79,45,12303,0
ENTA.US,60,20200921,210000,45.02,45.04,44.38,44.62,28169,0
ENTA.US,60,20200921,220000,44.69,44.93,44.39,44.79,54014,0
ENTA.US,60,20200922,160000,44.83,44.92,44.45,44.82,1089,0
ENTA.US,60,20200922,170000,44.28,44.85,43.61,43.61,12786,0
ENTA.US,60,20200922,180000,43.56,44.05,43.555,43.98,5232,0
ENTA.US,60,20200922,190000,43.9851,44.29,43.97,44.1,3800,0
ENTA.US,60,20200922,200000,44.15,44.6,44.01,44.6,4720,0
ENTA.US,60,20200922,210000,44.605,44.8,44.38,44.46,10600,0
ENTA.US,60,20200922,220000,44.41,44.75,44.31,44.54,40262,0
ENTA.US,60,20200923,160000,44.49,44.49,44.08,44.08,1827,0
ENTA.US,60,20200923,170000,43.805,43.94,43.12,43.89,25854,0
ENTA.US,60,20200923,180000,43.96,44.18,43.74,43.74,4445,0
ENTA.US,60,20200923,190000,43.71,43.9,43.63,43.79,3300,0
ENTA.US,60,20200923,200000,43.73,43.75,43.21,43.26,5900,0
ENTA.US,60,20200923,210000,43.21,43.25,42.9,43.16,14766,0
ENTA.US,60,20200923,220000,43.2,43.63,43.12,43.36,57489,0
ENTA.US,60,20200924,160000,43.17,43.17,42.18,42.18,9897,0
ENTA.US,60,20200924,170000,42.19,43.21,42.11,43.15,12637,0
ENTA.US,60,20200924,180000,43.34,43.34,42.86,43.01,13900,0
ENTA.US,60,20200924,190000,43.05,43.27,42.86,43.01,20066,0
ENTA.US,60,20200924,200000,43.02,43.43,43.01,43.32,5300,0
ENTA.US,60,20200924,210000,43.37,43.39,42.96,43.15,13048,0
ENTA.US,60,20200924,220000,43.04,43.57,42.985,43.44,39396,0
ENTA.US,60,20200925,160000,43.515,44,43.34,43.34,1000,0
ENTA.US,60,20200925,170000,43.51,43.56,43.08,43.42,11542,0
ENTA.US,60,20200925,180000,43.37,43.66,43.25,43.64,6241,0
ENTA.US,60,20200925,190000,43.61,43.73,43.48,43.7,5100,0
ENTA.US,60,20200925,200000,43.7,43.93,43.54,43.68,19076,0
ENTA.US,60,20200925,210000,43.68,43.8,43.44,43.77,12254,0
ENTA.US,60,20200925,220000,43.79,43.85,43.53,43.69,80545,0
ENTA.US,60,20200928,160000,44.02,44.15,43.27,43.835,4143,0
ENTA.US,60,20200928,170000,43.9,44.18,43.72,44,4778,0
ENTA.US,60,20200928,180000,43.95,44.11,43.85,43.85,4488,0
ENTA.US,60,20200928,190000,43.79,43.99,43.79,43.82,5440,0
ENTA.US,60,20200928,200000,43.78,44.09,43.77,44.06,3225,0
ENTA.US,60,20200928,210000,44.02,44.15,43.88,44.135,5667,0
ENTA.US,60,20200928,220000,44.17,44.29,43.99,44.15,74257,0
ENTA.US,60,20200929,160000,44.24,44.62,43.88,44.55,2625,0
ENTA.US,60,20200929,170000,44.59,44.84,44.36,44.58,9048,0
ENTA.US,60,20200929,180000,44.56,44.91,44.56,44.56,5122,0
ENTA.US,60,20200929,190000,44.69,44.84,44.58,44.71,3062,0
ENTA.US,60,20200929,200000,44.63,44.73,44.49,44.7,5705,0
ENTA.US,60,20200929,210000,44.73,45.06,44.64,44.92,4500,0
ENTA.US,60,20200929,220000,44.83,44.92,44.67,44.83,52465,0
