<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EOSE.US,60,20200914,160000,10.5,10.5,10.4,10.43,43920,0
EOSE.US,60,20200914,170000,10.442,10.48,10.4,10.425,46024,0
EOSE.US,60,20200914,180000,10.44,10.44,10.38,10.39,21443,0
EOSE.US,60,20200914,190000,10.4,10.41,10.38,10.41,21381,0
EOSE.US,60,20200914,200000,10.41,10.42,10.37,10.37,17568,0
EOSE.US,60,20200914,210000,10.38,10.38,10.3,10.33,21922,0
EOSE.US,60,20200914,220000,10.33,10.39,10.3,10.39,15921,0
EOSE.US,60,20200915,160000,10.4,10.42,10.25,10.28,25444,0
EOSE.US,60,20200915,170000,10.27,10.35,10.25,10.3,64675,0
EOSE.US,60,20200915,180000,10.28,10.32,10.22,10.3,80715,0
EOSE.US,60,20200915,190000,10.28,10.38,10.2767,10.28,30208,0
EOSE.US,60,20200915,200000,10.29,10.3,10.25,10.28,36614,0
EOSE.US,60,20200915,210000,10.25,10.3,10.25,10.3,18585,0
EOSE.US,60,20200915,220000,10.3,10.35,10.24,10.3,42551,0
EOSE.US,60,20200916,160000,10.39,10.45,10.35,10.36,61717,0
EOSE.US,60,20200916,170000,10.38,10.39,10.28,10.2985,100536,0
EOSE.US,60,20200916,180000,10.32,10.38,10.28,10.375,102726,0
EOSE.US,60,20200916,190000,10.3718,10.38,10.33,10.33,20561,0
EOSE.US,60,20200916,200000,10.345,10.36,10.2801,10.29,26040,0
EOSE.US,60,20200916,210000,10.28,10.3297,10.28,10.3,18506,0
EOSE.US,60,20200916,220000,10.3,10.31,10.15,10.31,126984,0
EOSE.US,60,20200917,160000,10.29,10.29,10.17,10.23,30616,0
EOSE.US,60,20200917,170000,10.23,10.27,10.23,10.25,21063,0
EOSE.US,60,20200917,180000,10.24,10.25,10.17,10.19,28273,0
EOSE.US,60,20200917,190000,10.17,10.21,10.16,10.2,65286,0
EOSE.US,60,20200917,200000,10.185,10.24,10.1825,10.22,23041,0
EOSE.US,60,20200917,210000,10.23,10.29,10.23,10.2801,15159,0
EOSE.US,60,20200917,220000,10.2801,10.2801,10.155,10.18,89790,0
EOSE.US,60,20200918,160000,10.22,10.33,10.2101,10.235,27316,0
EOSE.US,60,20200918,170000,10.22,10.27,10.21,10.21,20512,0
EOSE.US,60,20200918,180000,10.22,10.28,10.21,10.225,27073,0
EOSE.US,60,20200918,190000,10.22,10.22,10.16,10.19,45192,0
EOSE.US,60,20200918,200000,10.19,10.2,10.17,10.2,15065,0
EOSE.US,60,20200918,210000,10.2,10.2,10.16,10.18,40959,0
EOSE.US,60,20200918,220000,10.18,10.2,10.16,10.2,66046,0
EOSE.US,60,20200921,160000,10.17,10.1766,10.11,10.13,18893,0
EOSE.US,60,20200921,170000,10.145,10.17,10.01,10.07,232463,0
EOSE.US,60,20200921,180000,10.075,10.1,10.06,10.08,18143,0
EOSE.US,60,20200921,190000,10.07,10.1,10.03,10.06,389500,0
EOSE.US,60,20200921,200000,10.06,10.09,10.0518,10.06,55086,0
EOSE.US,60,20200921,210000,10.06,10.13,10.055,10.115,48669,0
EOSE.US,60,20200921,220000,10.126,10.18,10.08,10.1199,58309,0
EOSE.US,60,20200922,160000,10.2,10.2,10.09,10.09,25074,0
EOSE.US,60,20200922,170000,10.09,10.1,10.06,10.08,19154,0
EOSE.US,60,20200922,180000,10.08,10.17,10.07,10.13,99971,0
EOSE.US,60,20200922,190000,10.11,10.15,10.1,10.11,12458,0
EOSE.US,60,20200922,200000,10.11,10.125,10.1,10.12,12300,0
EOSE.US,60,20200922,210000,10.1,10.15,10.1,10.13,26144,0
EOSE.US,60,20200922,220000,10.14,10.14,10.04,10.06,29246,0
EOSE.US,60,20200923,160000,10.08,10.09,10.06,10.0683,3672,0
EOSE.US,60,20200923,170000,10.06,10.09,10,10.09,96369,0
