<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCBC.US,60,20200914,160000,18.697,18.697,18.56,18.56,216,0
FCBC.US,60,20200914,170000,18.828,18.833,18.755,18.833,1128,0
FCBC.US,60,20200914,180000,18.785,18.785,18.648,18.648,4849,0
FCBC.US,60,20200914,190000,18.619,18.746,18.56,18.716,4982,0
FCBC.US,60,20200914,200000,18.721,18.721,18.55,18.56,10957,0
FCBC.US,60,20200914,210000,18.604,18.604,18.502,18.522,6943,0
FCBC.US,60,20200914,220000,18.502,18.619,18.502,18.55,30007,0
FCBC.US,60,20200915,160000,18.55,18.56,18.55,18.55,2615,0
FCBC.US,60,20200915,170000,18.57,18.697,18.56,18.648,717,0
FCBC.US,60,20200915,180000,18.599,18.599,18.57,18.599,1024,0
FCBC.US,60,20200915,190000,18.677,18.712,18.599,18.648,922,0
FCBC.US,60,20200915,200000,18.668,18.668,18.648,18.658,972,0
FCBC.US,60,20200915,210000,18.648,18.658,18.648,18.648,820,0
FCBC.US,60,20200915,220000,18.648,18.658,18.56,18.599,13320,0
FCBC.US,60,20200916,160000,18.726,18.726,18.512,18.59,515,0
FCBC.US,60,20200916,170000,18.638,18.668,18.638,18.668,214,0
FCBC.US,60,20200916,180000,18.726,18.795,18.668,18.668,2596,0
FCBC.US,60,20200916,190000,18.687,18.736,18.658,18.736,1024,0
FCBC.US,60,20200916,200000,18.697,18.746,18.697,18.746,615,0
FCBC.US,60,20200916,210000,18.814,18.941,18.814,18.941,5348,0
FCBC.US,60,20200916,220000,18.863,18.961,18.56,18.726,17325,0
FCBC.US,60,20200917,160000,18.502,18.502,18.502,18.502,205,0
FCBC.US,60,20200917,170000,18.56,18.726,18.56,18.726,620,0
FCBC.US,60,20200917,180000,18.668,18.677,18.628,18.628,615,0
FCBC.US,60,20200917,190000,18.59,18.619,18.59,18.619,470,0
FCBC.US,60,20200917,200000,18.648,18.648,18.55,18.55,3968,0
FCBC.US,60,20200917,210000,18.595,18.595,18.55,18.55,3537,0
FCBC.US,60,20200917,220000,18.55,18.609,18.54,18.56,5903,0
FCBC.US,60,20200918,160000,18.56,18.56,18.55,18.55,1537,0
FCBC.US,60,20200918,170000,18.628,18.638,18.55,18.638,615,0
FCBC.US,60,20200918,180000,18.648,18.648,18.56,18.56,1126,0
FCBC.US,60,20200918,190000,18.55,18.55,18.502,18.502,5760,0
FCBC.US,60,20200918,200000,18.54,18.56,18.502,18.56,3890,0
FCBC.US,60,20200918,210000,18.56,18.609,18.56,18.609,1435,0
FCBC.US,60,20200918,220000,18.599,18.697,18.502,18.522,94938,0
FCBC.US,60,20200921,160000,18.502,18.58,18.502,18.58,5381,0
FCBC.US,60,20200921,170000,18.57,18.57,18.502,18.533,5397,0
FCBC.US,60,20200921,180000,18.502,18.522,18.501,18.522,17329,0
FCBC.US,60,20200921,190000,18.522,18.54,18.414,18.512,17115,0
FCBC.US,60,20200921,200000,18.502,18.536,18.467,18.502,3269,0
FCBC.US,60,20200921,210000,18.502,18.512,18.414,18.452,13521,0
FCBC.US,60,20200921,220000,18.452,18.502,18.16,18.189,23295,0
FCBC.US,60,20200922,160000,18.287,18.287,17.975,17.975,2025,0
FCBC.US,60,20200922,170000,17.975,17.975,17.554,17.554,5280,0
FCBC.US,60,20200922,180000,17.564,17.622,17.442,17.467,5285,0
FCBC.US,60,20200922,190000,17.486,17.535,17.437,17.486,3499,0
FCBC.US,60,20200922,200000,17.428,17.584,17.398,17.545,6331,0
FCBC.US,60,20200922,210000,17.564,17.566,17.452,17.501,1520,0
FCBC.US,60,20200922,220000,17.476,17.614,17.389,17.584,12332,0
FCBC.US,60,20200923,160000,17.594,18.01,17.594,18.01,977,0
FCBC.US,60,20200923,170000,17.862,17.862,17.632,17.76,669,0
FCBC.US,60,20200923,180000,17.706,17.778,17.526,17.526,1486,0
