<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCBP.US,60,20200914,160000,13.853,13.853,13.853,13.853,205,0
FCBP.US,60,20200914,170000,13.792,13.836,13.744,13.744,3184,0
FCBP.US,60,20200914,180000,13.841,13.869,13.753,13.812,2257,0
FCBP.US,60,20200914,190000,13.792,13.792,13.773,13.792,615,0
FCBP.US,60,20200914,200000,13.792,13.792,13.704,13.724,1552,0
FCBP.US,60,20200914,210000,13.724,13.802,13.724,13.802,410,0
FCBP.US,60,20200914,220000,13.807,14.035,13.744,14.035,2477,0
FCBP.US,60,20200915,170000,14.027,14.035,13.957,14.035,4767,0
FCBP.US,60,20200915,190000,13.792,13.792,13.792,13.792,102,0
FCBP.US,60,20200915,220000,13.802,14.012,13.704,13.704,1346,0
FCBP.US,60,20200916,160000,14.027,14.027,14.027,14.027,102,0
FCBP.US,60,20200916,170000,13.704,13.841,13.704,13.729,1959,0
FCBP.US,60,20200916,180000,13.958,13.962,13.889,13.889,1026,0
FCBP.US,60,20200916,190000,13.841,13.87,13.714,13.714,821,0
FCBP.US,60,20200916,200000,13.744,13.812,13.714,13.714,821,0
FCBP.US,60,20200916,210000,13.646,13.783,13.626,13.646,7745,0
FCBP.US,60,20200916,220000,13.646,13.646,13.607,13.636,5459,0
FCBP.US,60,20200917,160000,13.588,13.588,13.588,13.588,381,0
FCBP.US,60,20200917,180000,13.948,13.948,13.948,13.948,411,0
FCBP.US,60,20200917,220000,13.783,13.783,13.558,13.695,2456,0
FCBP.US,60,20200918,160000,13.646,13.646,13.607,13.646,18969,0
FCBP.US,60,20200918,170000,13.607,13.675,13.607,13.666,8830,0
FCBP.US,60,20200918,180000,13.709,13.709,13.598,13.598,8442,0
FCBP.US,60,20200918,190000,13.607,13.607,13.607,13.607,411,0
FCBP.US,60,20200918,200000,13.607,13.607,13.598,13.598,1232,0
FCBP.US,60,20200918,210000,13.558,13.558,13.558,13.558,102,0
FCBP.US,60,20200918,220000,13.646,13.646,13.5,13.5,17234,0
FCBP.US,60,20200921,160000,13.412,13.412,13.392,13.392,792,0
FCBP.US,60,20200921,180000,13.607,13.607,13.344,13.53,4401,0
FCBP.US,60,20200921,190000,13.46,13.46,13.354,13.354,204,0
FCBP.US,60,20200921,200000,13.364,13.364,13.315,13.315,339,0
FCBP.US,60,20200921,210000,13.256,13.354,13.207,13.207,3102,0
FCBP.US,60,20200921,220000,13.261,13.295,13.091,13.198,7440,0
FCBP.US,60,20200922,160000,13.071,13.178,13.071,13.178,1294,0
FCBP.US,60,20200922,170000,13.032,13.032,12.915,12.915,4347,0
FCBP.US,60,20200922,180000,12.779,12.779,12.72,12.72,4813,0
FCBP.US,60,20200922,190000,12.7,12.71,12.7,12.71,308,0
FCBP.US,60,20200922,200000,12.691,12.72,12.671,12.72,2301,0
FCBP.US,60,20200922,210000,12.735,12.773,12.735,12.759,423,0
FCBP.US,60,20200922,220000,12.798,13.198,12.788,12.983,10626,0
FCBP.US,60,20200923,160000,12.963,12.963,12.963,12.963,136,0
FCBP.US,60,20200923,180000,12.915,12.915,12.915,12.915,102,0
FCBP.US,60,20200923,190000,12.876,12.876,12.876,12.876,205,0
FCBP.US,60,20200923,200000,13.139,13.198,13.129,13.129,1949,0
FCBP.US,60,20200923,210000,12.905,12.905,12.73,12.793,1253,0
FCBP.US,60,20200923,220000,12.691,12.759,12.408,12.438,7208,0
FCBP.US,60,20200924,160000,12.574,12.574,12.564,12.574,1518,0
FCBP.US,60,20200924,170000,12.574,12.632,12.574,12.632,550,0
FCBP.US,60,20200924,180000,12.476,12.476,12.476,12.476,102,0
FCBP.US,60,20200924,190000,12.496,12.496,12.496,12.496,307,0
FCBP.US,60,20200924,200000,12.613,12.632,12.534,12.622,1130,0
FCBP.US,60,20200924,210000,12.662,12.671,12.574,12.622,4591,0
FCBP.US,60,20200924,220000,12.506,12.506,12.496,12.496,728,0
FCBP.US,60,20200925,160000,12.418,12.418,12.418,12.418,154,0
FCBP.US,60,20200925,170000,12.428,12.428,12.428,12.428,102,0
FCBP.US,60,20200925,190000,12.53,12.53,12.53,12.53,308,0
FCBP.US,60,20200925,200000,12.534,12.593,12.506,12.506,5479,0
FCBP.US,60,20200925,210000,12.554,12.564,12.428,12.428,1827,0
FCBP.US,60,20200925,220000,12.564,12.574,12.438,12.506,4410,0
FCBP.US,60,20200928,160000,12.584,12.72,12.584,12.72,753,0
FCBP.US,60,20200928,170000,12.72,12.993,12.72,12.915,2098,0
FCBP.US,60,20200928,180000,12.915,12.915,12.897,12.905,695,0
FCBP.US,60,20200928,190000,12.905,12.915,12.895,12.895,637,0
FCBP.US,60,20200928,200000,12.895,12.895,12.769,12.769,308,0
FCBP.US,60,20200928,220000,12.915,12.915,12.808,12.808,2290,0
FCBP.US,60,20200929,160000,12.867,12.867,12.867,12.867,102,0
FCBP.US,60,20200929,170000,12.915,13.352,12.915,13.256,6688,0
FCBP.US,60,20200929,180000,13.227,13.256,13.227,13.256,209,0
FCBP.US,60,20200929,190000,12.964,13.051,12.964,13.051,436,0
FCBP.US,60,20200929,200000,12.885,12.885,12.885,12.885,102,0
FCBP.US,60,20200929,220000,13.013,13.081,12.876,13.023,2681,0
FCBP.US,60,20200930,160000,13.1,13.1,13.1,13.1,308,0
FCBP.US,60,20200930,170000,12.988,13.137,12.973,12.973,975,0
FCBP.US,60,20200930,190000,13.11,13.256,13.11,13.256,1435,0
FCBP.US,60,20200930,210000,13.081,13.091,13.081,13.091,204,0
FCBP.US,60,20200930,220000,13.1,13.1,12.954,12.954,2829,0
FCBP.US,60,20201001,160000,13.061,13.061,13.061,13.061,216,0
FCBP.US,60,20201001,180000,13.159,13.256,13.159,13.256,1653,0
FCBP.US,60,20201001,190000,13.256,13.256,13.256,13.256,205,0
FCBP.US,60,20201001,200000,13.256,13.305,13.237,13.237,513,0
FCBP.US,60,20201001,210000,13.256,13.256,13.188,13.246,765,0
FCBP.US,60,20201001,220000,13.305,13.305,12.954,12.954,4797,0
FCBP.US,60,20201002,160000,12.993,12.993,12.993,12.993,298,0
FCBP.US,60,20201002,170000,13.207,13.207,13.207,13.207,205,0
FCBP.US,60,20201002,180000,13.188,13.207,13.188,13.207,1026,0
FCBP.US,60,20201002,190000,13.256,13.598,13.084,13.598,1754,0
FCBP.US,60,20201002,210000,13.032,13.402,13.032,13.402,410,0
FCBP.US,60,20201002,220000,13.315,13.607,13.315,13.53,3888,0
FCBP.US,60,20201005,160000,13.598,14.035,13.598,13.841,1133,0
FCBP.US,60,20201005,170000,13.656,13.734,13.656,13.734,2067,0
FCBP.US,60,20201005,180000,13.783,13.783,13.626,13.656,507,0
FCBP.US,60,20201005,200000,13.646,13.656,13.646,13.656,411,0
FCBP.US,60,20201005,210000,13.598,13.598,13.598,13.598,513,0
FCBP.US,60,20201005,220000,13.656,13.87,13.636,13.744,4809,0
FCBP.US,60,20201006,160000,13.821,13.821,13.783,13.783,678,0
FCBP.US,60,20201006,170000,13.987,14.035,13.656,13.841,923,0
FCBP.US,60,20201006,180000,13.695,13.695,13.685,13.685,204,0
